pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Ethanol Oxidation R-HSA-71384,Reactome,4,11,21.87,2.0,5.53,1.5891636695943188e-08,"ADH1A, ADH1B, ADH1C, ADH7",5.148890289485593e-06
RA Biosynthesis Pathway R-HSA-5365859,Reactome,3,21,8.59,1.7,2.82,0.0023994605354987876,"ADH1A, ADH1C, ADH7",0.275848374269037
Tyrosine metabolism,KEGG,4,35,6.87,1.9,2.8,0.0025541516136021944,"ADH1A, ADH1B, ADH1C, ADH7",0.275848374269037
Fatty acid degradation,KEGG,4,43,5.59,1.9,2.41,0.00793843581820193,"ADH1A, ADH1B, ADH1C, ADH7",0.6430133012743564
Pyruvate metabolism,KEGG,4,46,5.23,1.9,2.29,0.011004047706927981,"ADH1A, ADH1B, ADH1C, ADH7",0.7130622914089332
Metalloprotease DUBs R-HSA-5689901,Reactome,3,29,6.22,1.77,2.2,0.013741730749769912,"H2AC25, H2AC4, NLRP3",0.7420534604875751
Butyrophilin (BTN) Family Interactions R-HSA-8851680,Reactome,2,9,13.36,2.74,2.13,0.016771304917101996,"BTN2A1, BTNL2",0.7566199462945906
Mitotic Prophase R-HSA-68875,Reactome,6,107,3.37,1.95,2.02,0.021631225640144875,"GOLGA2, H2AC4, H2BC3, POM121, POM121C, PPP2R2D",0.7566199462945906
SUMOylation Of SUMOylation Proteins R-HSA-4085377,Reactome,3,34,5.31,1.74,1.97,0.02434160080865092,"POM121, POM121C, SUMO2",0.7566199462945906
Signaling By Retinoic Acid R-HSA-5362517,Reactome,3,40,4.51,1.46,1.88,0.030157178352667492,"ADH1A, ADH1C, ADH7",0.7566199462945906
Nicotinamide Salvaging R-HSA-197264,Reactome,2,19,6.33,1.34,1.84,0.03308624349373258,"PARP4, SLC22A13",0.7566199462945906
SLC Transporter Disorders R-HSA-5619102,Reactome,5,98,3.07,1.55,1.83,0.03393141963746031,"NLRP3, POM121, POM121C, SLC11A2, SLC16A1",0.7566199462945906
Formation Of Fibrin Clot (Clotting Cascade) R-HSA-140877,Reactome,3,33,5.47,2.18,1.8,0.035942804783441654,"GP5, PF4, PF4V1",0.7566199462945906
Inflammasomes R-HSA-622312,Reactome,2,21,5.73,1.23,1.77,0.03795501480304631,"NLRC4, NLRP3",0.7566199462945906
ABC transporters,KEGG,3,44,4.1,1.5,1.71,0.043906040827898576,"ABCA9, ABCC4, ABCC6",0.7566199462945906
HCMV Late Events R-HSA-9610379,Reactome,5,80,3.76,2.79,1.66,0.04818669127072275,"H2AC25, H2AC4, H2BC3, POM121, POM121C",0.7566199462945906
Regulation Of HSF1-mediated Heat Shock Response R-HSA-3371453,Reactome,5,77,3.91,3.02,1.65,0.049042136186972195,"BAG1, HSPA1L, POM121, POM121C, RLN1",0.7566199462945906
SUMOylation Of DNA Replication Proteins R-HSA-4615885,Reactome,3,44,4.1,1.64,1.63,0.05144171458552917,"POM121, POM121C, SUMO2",0.7566199462945906
Fat digestion and absorption,KEGG,3,42,4.3,1.93,1.57,0.05835279121912535,"CD36, MOGAT2, PNLIPRP1",0.7566199462945906
Glycolysis / Gluconeogenesis,KEGG,4,65,3.7,2.26,1.56,0.05893928715497443,"ADH1A, ADH1B, ADH1C, ADH7",0.7566199462945906
HCMV Early Events R-HSA-9609690,Reactome,5,92,3.27,2.61,1.5,0.06651533469624109,"H2AC25, H2AC4, H2BC3, POM121, POM121C",0.7566199462945906
Attenuation Phase R-HSA-3371568,Reactome,2,25,4.81,1.33,1.47,0.07088260646820557,"HSPA1L, RLN1",0.7566199462945906
Protein digestion and absorption,KEGG,5,100,3.01,2.34,1.46,0.0727142424873349,"CELA3A, CELA3B, COL20A1, COL23A1, CTRL",0.7566199462945906
Retinol metabolism,KEGG,4,58,4.15,3.41,1.41,0.07899210314183958,"ADH1A, ADH1B, ADH1C, ADH7",0.7566199462945906
HSF1 Activation R-HSA-3371511,Reactome,2,26,4.63,1.39,1.39,0.0819388647936996,"HSPA1L, RLN1",0.7566199462945906
HDACs Deacetylate Histones R-HSA-3214815,Reactome,4,59,4.08,3.52,1.37,0.08548794015117422,"DPEP3, H2AC25, H2AC4, H2BC3",0.7566199462945906
Cellular Response To Heat Stress R-HSA-3371556,Reactome,5,94,3.2,3.02,1.37,0.08589008038272383,"BAG1, HSPA1L, POM121, POM121C, RLN1",0.7566199462945906
Common Pathway Of Fibrin Clot Formation R-HSA-140875,Reactome,2,21,5.73,2.12,1.35,0.08852801714457109,"PF4, PF4V1",0.7566199462945906
EGFR Downregulation R-HSA-182971,Reactome,2,29,4.15,1.29,1.3,0.09603391432170799,"EGF, SPRY1",0.7566199462945906
Meiotic Synapsis R-HSA-1221632,Reactome,3,55,3.28,1.7,1.28,0.09972238025711572,"H2AC4, H2BC3, SYCE1",0.7566199462945906
HCMV Infection R-HSA-9609646,Reactome,5,108,2.78,2.61,1.26,0.10329359351912687,"H2AC25, H2AC4, H2BC3, POM121, POM121C",0.7566199462945906
Spermatogenesis,Hallmark,6,124,2.91,3.79,1.25,0.10642564311465652,"AKAP4, CCT6B, DPEP3, H1-6, HSPA1L, PRM2",0.7566199462945906
SUMOylation Of RNA Binding Proteins R-HSA-4570464,Reactome,3,45,4.01,2.74,1.24,0.10840455018234196,"POM121, POM121C, SUMO2",0.7566199462945906
Formation Of Tubulin Folding Intermediates By CCT/TriC R-HSA-389960,Reactome,2,26,4.63,1.81,1.22,0.11150036260377466,"CCT6B, TUBAL3",0.7566199462945906
Transcriptional Regulation By Small RNAs R-HSA-5578749,Reactome,4,72,3.34,3.07,1.21,0.1124717585408424,"H2AC4, H2BC3, POM121, POM121C",0.7566199462945906
Nicotinate Metabolism R-HSA-196807,Reactome,2,31,3.88,1.34,1.2,0.11576149321672274,"PARP4, SLC22A13",0.7566199462945906
Disorders Of Transmembrane Transporters R-HSA-5619115,Reactome,6,172,2.1,1.87,1.16,0.12334034705965086,"ABCC6, NLRP3, POM121, POM121C, SLC11A2, SLC16A1",0.7566199462945906
SUMOylation Of Chromatin Organization Proteins R-HSA-4551638,Reactome,3,54,3.34,2.18,1.16,0.12381174606817585,"POM121, POM121C, SUMO2",0.7566199462945906
ERCC6 (CSB) And EHMT2 (G9a) Positively Regulate rRNA Expression R-HSA-427389,Reactome,3,43,4.2,3.5,1.14,0.12729459403216764,"DPEP3, H2AC4, H2BC3",0.7566199462945906
Pancreatic secretion,KEGG,4,101,2.38,1.57,1.14,0.12798781030355527,"CELA3A, CELA3B, CTRL, PNLIPRP1",0.7566199462945906
Cooperation Of Prefoldin And TriC/CCT In Actin And Tubulin Folding R-HSA-389958,Reactome,2,31,3.88,1.6,1.1,0.1366776147119237,"CCT6B, TUBAL3",0.7566199462945906
Reproduction R-HSA-1474165,Reactome,4,102,2.36,1.7,1.07,0.14128717356019133,"H2AC4, H2BC3, IZUMO3, SYCE1",0.7566199462945906
