pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Insulin Receptor Recycling R-HSA-77387,Reactome,4,26,9.25,2.12,3.24,0.000603036333038976,"ATP6V0E2, ATP6V1D, ATP6V1G1, ATP6V1G2",0.09097959766660528
Amino Acids Regulate mTORC1 R-HSA-9639288,Reactome,6,52,6.94,2.45,3.21,0.0006529604470178441,"ATP6V0E2, ATP6V1D, ATP6V1G1, ATP6V1G2, LAMTOR1, MLST8",0.09097959766660528
Processing Of SMDT1 R-HSA-8949664,Reactome,3,15,12.03,2.05,3.17,0.0007579217574947402,"PHB1, PHB2, SMDT1",0.09097959766660528
Mitochondrial Protein Import R-HSA-1268020,Reactome,5,62,4.85,1.23,3.11,0.0009289374287833001,"ATP5MC1, CHCHD7, SLC25A4, TIMM10B, TIMM8A",0.09097959766660528
Signaling By Activated Point Mutants Of FGFR1 R-HSA-1839122,Reactome,2,11,10.93,1.0,3.11,0.0009462120242533423,"FGF13, FGF9",0.09097959766660528
Oxidative phosphorylation,KEGG,10,112,5.37,3.33,3.1,0.0009610520880275205,"ATP5MC1, ATP5ME, ATP6V0E2, ATP6V1D, ATP6V1G1, ATP6V1G2, COX5A, COX7A1, COX7A2, UQCRH",0.09097959766660528
Transferrin Endocytosis And Recycling R-HSA-917977,Reactome,4,31,7.76,1.99,2.97,0.0014742749879609082,"ATP6V0E2, ATP6V1D, ATP6V1G1, ATP6V1G2",0.10144516860226546
FGFR1c Ligand Binding And Activation R-HSA-190373,Reactome,2,12,10.02,1.0,2.94,0.0016575266264972452,"FGF13, FGF9",0.10144516860226546
FGFR3 Mutant Receptor Activation R-HSA-2033514,Reactome,2,12,10.02,1.0,2.94,0.0016575266264972452,"FGF13, FGF9",0.10144516860226546
"GABA Synthesis, Release, Reuptake And Degradation R-HSA-888590",Reactome,3,18,10.02,1.94,2.91,0.0017860064894765046,"CPLX1, DNAJC5, SYT1",0.10144516860226546
ROS And RNS Production In Phagocytes R-HSA-1222556,Reactome,4,36,6.68,1.84,2.79,0.0026364771333128394,"ATP6V0E2, ATP6V1D, ATP6V1G1, ATP6V1G2",0.10835005235890281
Phospholipase C-mediated Cascade; FGFR3 R-HSA-5654227,Reactome,2,13,9.25,1.0,2.79,0.0026705998820856325,"FGF13, FGF9",0.10835005235890281
FGFR2c Ligand Binding And Activation R-HSA-190375,Reactome,2,13,9.25,1.0,2.79,0.0026705998820856325,"FGF13, FGF9",0.10835005235890281
FGFR3 Ligand Binding And Activation R-HSA-190239,Reactome,2,13,9.25,1.0,2.79,0.0026705998820856325,"FGF13, FGF9",0.10835005235890281
Cellular Response To Starvation R-HSA-9711097,Reactome,12,145,4.98,4.83,2.7,0.0034734179611011235,"ATP6V0E2, ATP6V1D, ATP6V1G1, ATP6V1G2, EIF2S1, LAMTOR1, MLST8, RPL18, RPL21, RPL23A, RPLP2, RPS10",0.12711454992214588
Mitochondrial Calcium Ion Transport R-HSA-8949215,Reactome,3,19,9.5,2.16,2.67,0.003798305522637145,"PHB1, PHB2, SMDT1",0.12711454992214588
Collecting duct acid secretion,KEGG,4,27,8.91,2.97,2.67,0.003815617925224493,"ATP6V0E2, ATP6V1D, ATP6V1G1, ATP6V1G2",0.12711454992214588
FGFR4 Ligand Binding And Activation R-HSA-190322,Reactome,2,14,8.59,1.0,2.65,0.004028277990490538,"FGF13, FGF9",0.12711454992214588
Dopamine Neurotransmitter Release Cycle R-HSA-212676,Reactome,3,22,8.2,1.86,2.61,0.0045468672704888635,"CPLX1, LIN7A, SYT1",0.13592740050724603
G0 And Early G1 R-HSA-1538133,Reactome,3,27,6.68,1.49,2.53,0.005637744710989063,"CDK1, CDK2, LIN52",0.1487879142122776
Signaling By Insulin Receptor R-HSA-74752,Reactome,6,77,4.69,2.22,2.53,0.005729044462451593,"ATP6V0E2, ATP6V1D, ATP6V1G1, ATP6V1G2, FGF13, FGF9",0.1487879142122776
Phospholipase C-mediated Cascade; FGFR4 R-HSA-5654228,Reactome,2,15,8.02,1.0,2.53,0.005762912170193851,"FGF13, FGF9",0.1487879142122776
Regulation Of TP53 Degradation R-HSA-6804757,Reactome,3,33,5.47,1.13,2.5,0.006186210629109918,"CDK1, CDK2, MLST8",0.15277250597106232
Regulation Of TP53 Expression And Degradation R-HSA-6806003,Reactome,3,34,5.31,1.13,2.44,0.007275537962827418,"CDK1, CDK2, MLST8",0.1716966167051179
Diseases Associated With Glycosylation Precursor Biosynthesis R-HSA-5609975,Reactome,2,15,8.02,1.08,2.43,0.007557069397232301,"DPM2, DPM3",0.1716966167051179
FGFR1 Ligand Binding And Activation R-HSA-190242,Reactome,2,16,7.52,1.0,2.41,0.007896300821264088,"FGF13, FGF9",0.17250380255684622
Prion disease,KEGG,13,244,3.2,3.27,2.36,0.009258033731718768,"ATP5MC1, CAV1, COX5A, COX7A1, COX7A2, CSNK2A1, EIF2S1, PPP3CA, PSMA1, PSMA3, PSMB2, SLC25A4, UQCRH",0.18959193827853119
Phospholipase C-mediated Cascade: FGFR1 R-HSA-5654219,Reactome,2,16,7.52,1.05,2.35,0.009346081464434636,"FGF13, FGF9",0.18959193827853119
Activated Point Mutants Of FGFR2 R-HSA-2033519,Reactome,2,17,7.08,1.0,2.31,0.01044046589626548,"FGF13, FGF9",0.20448912514064801
Alzheimer disease,KEGG,14,319,2.64,2.52,2.29,0.011155173321305478,"APH1A, ATP5MC1, COX5A, COX7A1, COX7A2, CSNK2A1, EIF2S1, KRAS, PPP3CA, PSMA1, PSMA3, PSMB2, SLC25A4, UQCRH",0.2112046148833837
Parkinson disease,KEGG,11,221,2.99,2.59,2.25,0.012270805876542003,"ATP5MC1, COX5A, COX7A1, COX7A2, EIF2S1, PSMA1, PSMA3, PSMB2, SLC25A4, TXN, UQCRH",0.22060409043290113
SHC-mediated cascade:FGFR3 R-HSA-5654704,Reactome,2,17,7.08,1.06,2.24,0.012428399461008514,"FGF13, FGF9",0.22060409043290113
Neurotransmitter Release Cycle R-HSA-112310,Reactome,4,49,4.91,1.82,2.23,0.013031141903636651,"CPLX1, DNAJC5, LIN7A, SYT1",0.2238400785399593
PI-3K cascade:FGFR3 R-HSA-5654710,Reactome,2,18,6.68,1.0,2.21,0.013398877940772212,"FGF13, FGF9",0.2238400785399593
Phospholipase C-mediated Cascade; FGFR2 R-HSA-5654221,Reactome,2,18,6.68,1.04,2.17,0.01511333594200304,"FGF13, FGF9",0.24397807338119643
Transcription Of E2F Targets Under Negative Control By P107 (RBL1) And P130 (RBL2) In Complex With HDAC1 R-HSA-1362300,Reactome,2,16,7.52,1.25,2.16,0.015463399017118084,"CDK1, LIN52",0.24397807338119643
FRS-mediated FGFR3 Signaling R-HSA-5654706,Reactome,2,19,6.33,1.0,2.13,0.0167678560493936,"FGF13, FGF9",0.25063532200146227
SHC-mediated cascade:FGFR4 R-HSA-5654719,Reactome,2,19,6.33,1.0,2.13,0.0167678560493936,"FGF13, FGF9",0.25063532200146227
RHOH GTPase Cycle R-HSA-9013407,Reactome,3,30,6.01,1.85,2.1,0.01767318241804026,"CAV1, LAMTOR1, RHOH",0.2573940413704325
