pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Glucagon Signaling In Metabolic Regulation R-HSA-163359,Reactome,4,30,8.02,1.35,3.69,0.00011348115562405106,"CYSLTR2, GNG5, PRKAR1A, PRKAR2B",0.03540612055470393
CREB1 Phosphorylation Thru Activation Of Adenylate Cyclase R-HSA-442720,Reactome,2,11,10.93,1.5,2.53,0.005645273333759398,"PRKAR1A, PRKAR2B",0.4653464799478328
PKA Activation In Glucagon Signaling R-HSA-164378,Reactome,2,15,8.02,1.0,2.53,0.005762912170193851,"PRKAR1A, PRKAR2B",0.4653464799478328
PKA Activation R-HSA-163615,Reactome,2,16,7.52,1.0,2.41,0.007896300821264088,"PRKAR1A, PRKAR2B",0.4653464799478328
Acetylcholine Neurotransmitter Release Cycle R-HSA-264642,Reactome,2,16,7.52,1.06,2.34,0.00953837458187991,"RAB3A, TSPOAP1",0.4653464799478328
Norepinephrine Neurotransmitter Release Cycle R-HSA-181430,Reactome,2,17,7.08,1.0,2.31,0.01044046589626548,"RAB3A, TSPOAP1",0.4653464799478328
Serotonin Neurotransmitter Release Cycle R-HSA-181429,Reactome,2,17,7.08,1.0,2.31,0.01044046589626548,"RAB3A, TSPOAP1",0.4653464799478328
PKA-mediated Phosphorylation Of CREB R-HSA-111931,Reactome,2,18,6.68,1.0,2.21,0.013398877940772212,"PRKAR1A, PRKAR2B",0.5225562396901162
Nucleotide-like (Purinergic) Receptors R-HSA-418038,Reactome,2,14,8.59,1.57,2.12,0.017166376001458275,"ADORA3, P2RY6",0.5404675618337167
Post-translational Protein Phosphorylation R-HSA-8957275,Reactome,5,97,3.1,1.19,2.11,0.017494763802032867,"BPIFB2, IGFBP7, LAMB1, MEPE, SERPINC1",0.5404675618337167
Eicosanoid Ligand-Binding Receptors R-HSA-391903,Reactome,2,15,8.02,1.49,2.07,0.01923528441878412,"CYSLTR2, PTGDR2",0.5404675618337167
Laminin Interactions R-HSA-3000157,Reactome,2,18,6.68,1.25,1.98,0.023721019348270506,"LAMB1, NID2",0.5404675618337167
Glycosaminoglycan degradation,KEGG,2,19,6.33,1.16,1.98,0.02403613902252298,"HYAL1, HYAL3",0.5404675618337167
Glutamate Neurotransmitter Release Cycle R-HSA-210500,Reactome,2,22,5.47,1.0,1.89,0.029222728357913477,"RAB3A, TSPOAP1",0.5404675618337167
Dopamine Neurotransmitter Release Cycle R-HSA-212676,Reactome,2,22,5.47,1.0,1.89,0.029222728357913477,"RAB3A, TSPOAP1",0.5404675618337167
Vasopressin Regulates Renal Water Homeostasis Via Aquaporins R-HSA-432040,Reactome,3,40,4.51,1.52,1.84,0.032691129846383914,"GNG5, PRKAR1A, PRKAR2B",0.5404675618337167
Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426,Reactome,5,114,2.64,1.1,1.83,0.033874071814959265,"BPIFB2, IGFBP7, LAMB1, MEPE, SERPINC1",0.5404675618337167
DAG And IP3 Signaling R-HSA-1489509,Reactome,3,38,4.75,1.75,1.8,0.036266838677218666,"PRKAR1A, PRKAR2B, PRKCE",0.5404675618337167
