pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Olfactory transduction,KEGG,58,379,9.2,8.86,7.0,1.299646861061451e-12,"OR10G9, OR10S1, OR10W1, OR13C3, OR13C4, OR1C1, OR1D2, OR1E1, OR1E2, OR1S1, OR1S2, OR2A1, OR2A42, OR2F1, OR2F2, OR2J1, OR2J2, OR2V2, OR3A1, OR3A2, OR3A3, OR4C13, OR4C15, OR4C5, OR4F16, OR4F3, OR4K1, OR4K13, OR4N2, OR4S1, OR51A2, OR51M1, OR52D1, OR52E6, OR52E8, OR52L1, OR52N5, OR52R1, OR56A1, OR56B1, OR5A2, OR5AC2, OR5AK2, OR5AN1, OR5B17, OR5D14, OR5D16, OR5D18, OR5J2, OR5V1, OR6B3, OR6M1, OR7G1, OR8B2, OR8B3, OR8D1, OR8D2, OR8K3",2.8982125001670354e-10
Olfactory Signaling Pathway R-HSA-381753,Reactome,56,347,9.71,10.1,6.65,1.5015161405712437e-11,"OR10G9, OR10S1, OR10W1, OR13C3, OR13C4, OR1C1, OR1D2, OR1E1, OR1E2, OR1S1, OR1S2, OR2A1, OR2F1, OR2F2, OR2J1, OR2J2, OR2V2, OR3A1, OR3A2, OR3A3, OR4C13, OR4C15, OR4C5, OR4F3, OR4K1, OR4K13, OR4N2, OR4S1, OR51A2, OR51M1, OR52D1, OR52E6, OR52E8, OR52L1, OR52N5, OR52R1, OR56A1, OR56B1, OR5A2, OR5AC2, OR5AK2, OR5AN1, OR5B17, OR5D14, OR5D16, OR5D18, OR5J2, OR5V1, OR6B3, OR6M1, OR7G1, OR8B2, OR8B3, OR8D1, OR8D2, OR8K3",1.210645196935348e-09
Expression And Translocation Of Olfactory Receptors R-HSA-9752946,Reactome,56,340,9.91,10.39,6.63,1.6286706685228898e-11,"OR10G9, OR10S1, OR10W1, OR13C3, OR13C4, OR1C1, OR1D2, OR1E1, OR1E2, OR1S1, OR1S2, OR2A1, OR2F1, OR2F2, OR2J1, OR2J2, OR2V2, OR3A1, OR3A2, OR3A3, OR4C13, OR4C15, OR4C5, OR4F3, OR4K1, OR4K13, OR4N2, OR4S1, OR51A2, OR51M1, OR52D1, OR52E6, OR52E8, OR52L1, OR52N5, OR52R1, OR56A1, OR56B1, OR5A2, OR5AC2, OR5AK2, OR5AN1, OR5B17, OR5D14, OR5D16, OR5D18, OR5J2, OR5V1, OR6B3, OR6M1, OR7G1, OR8B2, OR8B3, OR8D1, OR8D2, OR8K3",1.210645196935348e-09
Sensory Perception R-HSA-9709957,Reactome,60,546,6.61,11.02,5.18,1.1240243708199245e-07,"AKR1B10, OR10G9, OR10S1, OR10W1, OR13C3, OR13C4, OR1C1, OR1D2, OR1E1, OR1E2, OR1S1, OR1S2, OR2A1, OR2F1, OR2F2, OR2J1, OR2J2, OR2V2, OR3A1, OR3A2, OR3A3, OR4C13, OR4C15, OR4C5, OR4F3, OR4K1, OR4K13, OR4N2, OR4S1, OR51A2, OR51M1, OR52D1, OR52E6, OR52E8, OR52L1, OR52N5, OR52R1, OR56A1, OR56B1, OR5A2, OR5AC2, OR5AK2, OR5AN1, OR5B17, OR5D14, OR5D16, OR5D18, OR5J2, OR5V1, OR6B3, OR6M1, OR7G1, OR8B2, OR8B3, OR8D1, OR8D2, OR8K3, SCNN1D, TAS2R20, TAS2R31",6.2664358673210785e-06
Systemic lupus erythematosus,KEGG,18,122,8.87,5.49,4.69,1.3398638639418142e-06,"H2AB3, H2AC1, H2AC11, H2AC13, H2AC14, H2AC17, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17, H2BC6, H2BC7, H3C3, H3C4, H4C11, H4C9, HLA-DQB1",5.975792833180491e-05
Packaging Of Telomere Ends R-HSA-171306,Reactome,6,31,11.64,2.42,4.51,3.3111801432948706e-06,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.00012306552865912603
Cleavage Of Damaged Purine R-HSA-110331,Reactome,6,35,10.31,2.13,4.46,4.172912048838001e-06,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.0001329370552701249
SIRT1 Negatively Regulates rRNA Expression R-HSA-427359,Reactome,6,35,10.31,2.46,4.15,1.6838181613901696e-05,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.0004693643124875098
Activated PKN1 Stimulates Transcription Of Androgen Receptor Regulated KLK2 And KLK3 R-HSA-5625886,Reactome,6,34,10.61,2.59,4.11,1.9469711799677586e-05,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.00048241619236978904
Cleavage Of Damaged Pyrimidine R-HSA-110329,Reactome,6,40,9.02,2.22,4.01,2.9946527866230396e-05,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.0006678075714169378
