pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Interleukin-17 Signaling R-HSA-448424,Reactome,7,66,6.38,1.44,4.35,6.802954914315411e-06,"BTRC, IL17F, MAP2K3, MAP2K6, MAPK1, MEF2C, PPP2R1A",0.0037144133832162146
MAP Kinase Activation R-HSA-450294,Reactome,6,59,6.12,1.21,4.19,1.382119007099519e-05,"BTRC, MAP2K3, MAP2K6, MAPK1, MEF2C, PPP2R1A",0.003773184889381687
CTLA4 Inhibitory Signaling R-HSA-389513,Reactome,3,20,9.02,1.0,3.79,7.455760339575087e-05,"FYN, PPP2R1A, PPP2R5B",0.013569483818026659
Adherens junction,KEGG,5,63,4.77,1.0,3.41,0.0003264811066446371,"CTNNA2, FYN, MAPK1, SNAI1, TGFBR1",0.044564671056992966
Uptake And Function Of Anthrax Toxins R-HSA-5210891,Reactome,2,11,10.93,1.0,3.11,0.0009462120242533423,"MAP2K3, MAP2K6",0.06956162606593093
Negative Regulation Of MAPK Pathway R-HSA-5675221,Reactome,4,38,6.33,1.38,3.11,0.0009487904262314984,"MAPK1, PPP2R1A, PPP2R5B, PPP5C",0.06956162606593093
EPH-ephrin Mediated Repulsion Of Cells R-HSA-3928665,Reactome,4,46,5.23,1.05,3.09,0.0010146828245448504,"CLTA, EFNB2, FYN, PSENEN",0.06956162606593093
ERK/MAPK Targets R-HSA-198753,Reactome,3,21,8.59,1.42,3.08,0.0010192179643359843,"MAPK1, MEF2C, PPP2R1A",0.06956162606593093
mRNA surveillance pathway,KEGG,7,92,4.58,1.84,3.0,0.001355868601355548,"CPSF4, CPSF7, MAGOHB, PABPC1L2B, PPP2R1A, PPP2R2B, PPP2R5B",0.07067493006436315
MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058,Reactome,7,108,3.9,1.41,2.99,0.0014097238173574936,"BTRC, MAP2K3, MAP2K6, MAPK1, MEF2C, PPP2R1A, S100A1",0.07067493006436315
Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638,Reactome,3,23,7.84,1.34,2.98,0.0014238539023955948,"CDKN1B, EREG, MAPK1",0.07067493006436315
MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871,Reactome,6,92,3.92,1.21,2.95,0.0015750989807947963,"BTRC, MAP2K3, MAP2K6, MAPK1, MEF2C, PPP2R1A",0.07166700362616323
Cyclin A/B1/B2 Associated Events During G2/M Transition R-HSA-69273,Reactome,3,23,7.84,1.41,2.91,0.001778902442533143,"CDK7, PPME1, PPP2R1A",0.074713902586392
TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138,Reactome,6,96,3.76,1.21,2.84,0.0022382263719105656,"BTRC, MAP2K3, MAP2K6, MAPK1, MEF2C, PPP2R1A",0.0845425644861348
MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155,Reactome,6,97,3.72,1.21,2.82,0.002432525105276971,"BTRC, MAP2K3, MAP2K6, MAPK1, MEF2C, PPP2R1A",0.0845425644861348
Toll-like Receptor Cascades R-HSA-168898,Reactome,8,156,3.08,1.21,2.81,0.0024774377871394815,"BTRC, CNPY3, MAP2K3, MAP2K6, MAPK1, MEF2C, PPP2R1A, S100A1",0.0845425644861348
Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181,Reactome,6,98,3.68,1.21,2.79,0.002639130363923979,"BTRC, MAP2K3, MAP2K6, MAPK1, MEF2C, PPP2R1A",0.08476265757073487
Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164,Reactome,6,99,3.64,1.21,2.76,0.002858492639412113,"BTRC, MAP2K3, MAP2K6, MAPK1, MEF2C, PPP2R1A",0.08670761006216743
Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138,Reactome,6,101,3.57,1.21,2.71,0.0033372858662945883,"BTRC, MAP2K3, MAP2K6, MAPK1, MEF2C, PPP2R1A",0.09590305699983395
MyD88-independent TLR4 Cascade R-HSA-166166,Reactome,6,102,3.54,1.21,2.69,0.003597611498710326,"BTRC, MAP2K3, MAP2K6, MAPK1, MEF2C, PPP2R1A",0.0982147939147919
Recycling Pathway Of L1 R-HSA-437239,Reactome,3,27,6.68,1.35,2.66,0.003927399974869174,"CLTA, MAPK1, RDX",0.09997453558217426
APC Truncation Mutants Have Impaired AXIN Binding R-HSA-5467337,Reactome,2,14,8.59,1.0,2.65,0.004028277990490538,"PPP2R1A, PPP2R5B",0.09997453558217426
mRNA 3-End Processing R-HSA-72187,Reactome,5,55,5.47,2.13,2.6,0.004708766933563059,"CDC40, CPSF4, CPSF7, MAGOHB, SRSF9",0.11178203242284479
CTNNB1 S33 Mutants Not Phosphorylated R-HSA-5358747,Reactome,2,15,8.02,1.0,2.53,0.005762912170193851,"PPP2R1A, PPP2R5B",0.12920989063297128
ERKs Are Inactivated R-HSA-202670,Reactome,2,12,10.02,1.36,2.52,0.005916203783560956,"MAPK1, PPP2R1A",0.12920989063297128
Spliceosome,KEGG,7,126,3.34,1.55,2.47,0.006672083503385704,"CCDC12, CDC40, HSPA2, MAGOHB, PPIE, SRSF10, SRSF9",0.1296404478479313
Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,Reactome,5,59,5.1,2.11,2.47,0.006758998746000536,"CDK5R2, EGR3, MAPK1, MEF2C, PPP2R1A",0.1296404478479313
RNA Polymerase II Transcription Termination R-HSA-73856,Reactome,5,63,4.77,1.91,2.47,0.00682154791539797,"CDC40, CPSF4, CPSF7, MAGOHB, SRSF9",0.1296404478479313
MAPK Targets/ Nuclear Events Mediated By MAP Kinases R-HSA-450282,Reactome,3,29,6.22,1.42,2.46,0.006885664812435912,"MAPK1, MEF2C, PPP2R1A",0.1296404478479313
Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016,Reactome,7,135,3.12,1.41,2.42,0.007788471220452554,"BTRC, MAP2K3, MAP2K6, MAPK1, MEF2C, PPP2R1A, S100A1",0.14175017621223648
Oxidative phosphorylation,KEGG,8,112,4.3,3.33,2.29,0.01101877979192239,"ATP6V1A, ATP6V1B2, ATP6V1G3, COX6C, COX7A1, NDUFB8, NDUFV2, UQCRH",0.18957026268471727
Spry Regulation Of FGF Signaling R-HSA-1295596,Reactome,2,14,8.59,1.36,2.27,0.011575210288532022,"MAPK1, PPP2R1A",0.18957026268471727
Signaling By WNT In Cancer R-HSA-4791275,Reactome,3,32,5.64,1.44,2.27,0.011584092701712597,"CTBP1, PPP2R1A, PPP2R5B",0.18957026268471727
Beta-catenin Phosphorylation Cascade R-HSA-196299,Reactome,2,17,7.08,1.04,2.26,0.011804741632381661,"PPP2R1A, PPP2R5B",0.18957026268471727
Chronic myeloid leukemia,KEGG,5,76,3.96,1.71,2.23,0.012941270583216527,"BCL2L1, CDKN1B, CTBP1, MAPK1, TGFBR1",0.20188382109817782
Gluconeogenesis R-HSA-70263,Reactome,3,30,6.01,1.7,2.19,0.014159894945984831,"ALDOC, ENO2, ENO3",0.2037149484939247
PI3K/AKT/mTOR  Signaling,Hallmark,6,103,3.5,1.78,2.19,0.014186339510182035,"CAB39, CDKN1B, DAPP1, MAP2K3, MAP2K6, MAPK1",0.2037149484939247
Myogenesis R-HSA-525793,Reactome,3,29,6.22,1.8,2.18,0.01449447929901307,"CTNNA2, MAP2K6, MEF2C",0.2037149484939247
Insulin Receptor Recycling R-HSA-77387,Reactome,3,26,6.94,2.12,2.18,0.01455106774956605,"ATP6V1A, ATP6V1B2, ATP6V1G3",0.2037149484939247
Platelet Sensitization By LDL R-HSA-432142,Reactome,2,16,7.52,1.27,2.14,0.01621152398216116,"PPP2R1A, PPP2R5B",0.22128730235649985
ROS And RNS Production In Phagocytes R-HSA-1222556,Reactome,3,36,5.01,1.38,2.11,0.017227377114533107,"ATP6V1A, ATP6V1B2, ATP6V1G3",0.2269769063409007
