pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Olfactory transduction,KEGG,69,379,10.95,8.86,8.5,9.370251206294457e-18,"OR10A3, OR10G3, OR10G7, OR10H1, OR10H5, OR10Q1, OR10W1, OR13C3, OR13C5, OR13D1, OR13G1, OR1A1, OR1E2, OR1F1, OR1L6, OR1L8, OR1Q1, OR1S1, OR2A14, OR2AJ1, OR2D3, OR2T27, OR2T33, OR2T8, OR3A1, OR4A15, OR4B1, OR4C13, OR4D11, OR4F16, OR4F21, OR4F3, OR4M2, OR4N2, OR4N4, OR4N4C, OR4P4, OR4S2, OR51D1, OR52D1, OR52E6, OR56A4, OR5AK2, OR5AR1, OR5B12, OR5B17, OR5K3, OR5L1, OR5L2, OR5M1, OR5M11, OR5T1, OR5T3, OR6B2, OR6C1, OR6C3, OR6C65, OR6F1, OR6K3, OR7D2, OR8A1, OR8B3, OR8D1, OR8G5, OR8H1, OR8H2, OR8J1, OR8U1, OR9Q1",2.6330405889687424e-15
Olfactory Signaling Pathway R-HSA-381753,Reactome,66,347,11.44,10.1,7.98,7.145567057590111e-16,"OR10A3, OR10G3, OR10G7, OR10H1, OR10H5, OR10Q1, OR10W1, OR13C3, OR13C5, OR13D1, OR13G1, OR1A1, OR1E2, OR1F1, OR1L6, OR1L8, OR1Q1, OR1S1, OR2A14, OR2AJ1, OR2D3, OR2T27, OR2T33, OR2T8, OR3A1, OR4A15, OR4B1, OR4C13, OR4D11, OR4F21, OR4F3, OR4N2, OR4N4, OR4P4, OR4S2, OR51D1, OR52D1, OR52E6, OR56A4, OR5AK2, OR5AR1, OR5B12, OR5B17, OR5K3, OR5L1, OR5L2, OR5M1, OR5M11, OR5T1, OR5T3, OR6B2, OR6C1, OR6C3, OR6C65, OR6F1, OR6K3, OR7D2, OR8A1, OR8B3, OR8D1, OR8G5, OR8H1, OR8H2, OR8J1, OR8U1, OR9Q1",7.712061156796035e-14
Expression And Translocation Of Olfactory Receptors R-HSA-9752946,Reactome,66,340,11.67,10.39,7.97,8.233517249248437e-16,"OR10A3, OR10G3, OR10G7, OR10H1, OR10H5, OR10Q1, OR10W1, OR13C3, OR13C5, OR13D1, OR13G1, OR1A1, OR1E2, OR1F1, OR1L6, OR1L8, OR1Q1, OR1S1, OR2A14, OR2AJ1, OR2D3, OR2T27, OR2T33, OR2T8, OR3A1, OR4A15, OR4B1, OR4C13, OR4D11, OR4F21, OR4F3, OR4N2, OR4N4, OR4P4, OR4S2, OR51D1, OR52D1, OR52E6, OR56A4, OR5AK2, OR5AR1, OR5B12, OR5B17, OR5K3, OR5L1, OR5L2, OR5M1, OR5M11, OR5T1, OR5T3, OR6B2, OR6C1, OR6C3, OR6C65, OR6F1, OR6K3, OR7D2, OR8A1, OR8B3, OR8D1, OR8G5, OR8H1, OR8H2, OR8J1, OR8U1, OR9Q1",7.712061156796035e-14
Sensory Perception R-HSA-9709957,Reactome,67,546,7.38,11.02,5.9,1.8579812370875537e-09,"OR10A3, OR10G3, OR10G7, OR10H1, OR10H5, OR10Q1, OR10W1, OR13C3, OR13C5, OR13D1, OR13G1, OR1A1, OR1E2, OR1F1, OR1L6, OR1L8, OR1Q1, OR1S1, OR2A14, OR2AJ1, OR2D3, OR2T27, OR2T33, OR2T8, OR3A1, OR4A15, OR4B1, OR4C13, OR4D11, OR4F21, OR4F3, OR4N2, OR4N4, OR4P4, OR4S2, OR51D1, OR52D1, OR52E6, OR56A4, OR5AK2, OR5AR1, OR5B12, OR5B17, OR5K3, OR5L1, OR5L2, OR5M1, OR5M11, OR5T1, OR5T3, OR6B2, OR6C1, OR6C3, OR6C65, OR6F1, OR6K3, OR7D2, OR8A1, OR8B3, OR8D1, OR8G5, OR8H1, OR8H2, OR8J1, OR8U1, OR9Q1, TAS2R20",1.3052318190540064e-07
Packaging Of Telomere Ends R-HSA-171306,Reactome,5,31,9.7,2.42,3.6,0.00015814020393592788,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.008887479461199147
Aspirin ADME R-HSA-9749641,Reactome,5,36,8.35,2.17,3.46,0.0002707468866766973,"CES1, SLC22A7, UGT1A3, UGT2B10, UGT3A1",0.0110003450343639
Cleavage Of Damaged Purine R-HSA-110331,Reactome,5,35,8.59,2.25,3.46,0.00027402994747525734,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.0110003450343639
SIRT1 Negatively Regulates rRNA Expression R-HSA-427359,Reactome,5,35,8.59,2.46,3.3,0.0004768724774378914,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.01620244627951514
Activated PKN1 Stimulates Transcription Of Androgen Receptor Regulated KLK2 And KLK3 R-HSA-5625886,Reactome,5,34,8.84,2.59,3.28,0.0005189395605538656,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.01620244627951514
Cleavage Of Damaged Pyrimidine R-HSA-110329,Reactome,5,40,7.52,2.25,3.16,0.000775925065623957,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.02180349434403319
RNA Polymerase I Promoter Opening R-HSA-73728,Reactome,5,30,10.02,3.34,3.13,0.0008840799509395566,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.022584224201274126
"Base-Excision Repair, AP Site Formation R-HSA-73929",Reactome,5,42,7.16,2.25,3.06,0.0010994728346197032,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.02574598887734472
DNA Methylation R-HSA-5334118,Reactome,5,32,9.4,3.28,3.03,0.0012173716154282154,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.026313955687332965
