pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Apoptotic Cleavage Of Cell Adhesion Proteins R-HSA-351906,Reactome,3,10,18.04,1.1,5.5,1.919750946848259e-08,"DSG3, PKP1, TJP1",1.0539432698196943e-05
Sensory Processing Of Sound By Outer Hair Cells Of Cochlea R-HSA-9662361,Reactome,6,48,7.52,1.33,4.61,2.024301545468252e-06,"CIB2, PCDH15, PJVK, RDX, SLC26A5, TMC1",0.0005556707742310352
G Alpha (Z) Signaling Events R-HSA-418597,Reactome,5,46,6.54,1.23,3.88,5.185674013275283e-05,"GNB2, GNG12, GNG5, PRKCA, RGS4",0.008070069937707439
Vasopressin Regulates Renal Water Homeostasis Via Aquaporins R-HSA-432040,Reactome,5,40,7.52,1.52,3.85,5.87983237720032e-05,"GNB2, GNG12, GNG5, NLRP3, PRKCA",0.008070069937707439
Presynaptic Function Of Kainate Receptors R-HSA-500657,Reactome,3,20,9.02,1.03,3.73,9.418980164611017e-05,"GNB2, GNG12, GNG5",0.008953596073295308
Glucagon Signaling In Metabolic Regulation R-HSA-163359,Reactome,4,30,8.02,1.35,3.69,0.00011348115562405106,"GNB2, GNG12, GNG5, PRKCA",0.008953596073295308
Activation Of G Protein Gated Potassium Channels R-HSA-1296041,Reactome,4,28,8.59,1.48,3.69,0.00011416242716405677,"GNB2, GNG12, GNG5, KCNJ5",0.008953596073295308
Sensory Processing Of Sound R-HSA-9659379,Reactome,7,67,6.28,2.1,3.56,0.00018890293528125282,"CIB2, PCDH15, PJVK, RDX, SLC17A8, SLC26A5, TMC1",0.012963463933675975
G Beta:Gamma Signaling Thru PLC Beta R-HSA-418217,Reactome,3,19,9.5,1.33,3.41,0.0003302345007976272,"GNB2, GNG12, GNG5",0.01708988181282991
Ca2+ Pathway R-HSA-4086398,Reactome,5,58,5.18,1.15,3.4,0.00033995567403422597,"GNB2, GNG12, GNG5, MOV10, PRKCA",0.01708988181282991
ADP Signaling Thru P2Y Purinoceptor 1 R-HSA-418592,Reactome,3,24,7.52,1.0,3.36,0.00039495695060971596,"GNB2, GNG12, GNG5",0.01708988181282991
G Beta:Gamma Signaling Thru CDC42 R-HSA-8964616,Reactome,3,19,9.5,1.37,3.34,0.00041301141536292496,"GNB2, GNG12, GNG5",0.01708988181282991
Activation Of GABAB Receptors R-HSA-991365,Reactome,4,41,5.87,1.08,3.32,0.0004457270853423852,"GNB2, GNG12, GNG5, KCNJ5",0.01708988181282991
MASTL Facilitates Mitotic Progression R-HSA-2465910,Reactome,2,10,12.03,1.0,3.3,0.00048468272920999654,"PPP2CA, PPP2R2D",0.01708988181282991
ADP Signaling Thru P2Y Purinoceptor 12 R-HSA-392170,Reactome,3,21,8.59,1.24,3.29,0.0004931530309348022,"GNB2, GNG12, GNG5",0.01708988181282991
Sensory Processing Of Sound By Inner Hair Cells Of Cochlea R-HSA-9662360,Reactome,6,59,6.12,1.96,3.29,0.0004980657723229117,"CIB2, PCDH15, PJVK, RDX, SLC17A8, TMC1",0.01708988181282991
G Beta:Gamma Signaling Thru BTK R-HSA-8964315,Reactome,3,17,10.61,1.65,3.27,0.00053432425507572,"GNB2, GNG12, GNG5",0.017255530355092367
G Beta:Gamma Signaling Thru PI3Kgamma R-HSA-392451,Reactome,3,24,7.52,1.08,3.24,0.0006079981454874876,"GNB2, GNG12, GNG5",0.01854394343736837
Activation Of Kainate Receptors Upon Glutamate Binding R-HSA-451326,Reactome,4,28,8.59,1.95,3.22,0.0006488728624353566,"GNB2, GNG12, GNG5, GRIK1",0.018749010604053196
"Regulation Of Glycolysis By Fructose 2,6-Bisphosphate Metabolism R-HSA-9634600",Reactome,2,11,10.93,1.03,3.06,0.0010924099474314062,"PPP2CA, PRKCA",0.0299866530569921
Prostacyclin Signaling Thru Prostacyclin Receptor R-HSA-392851,Reactome,3,18,10.02,1.8,3.03,0.0012265961821858336,"GNB2, GNG12, GNG5",0.03064047328638347
Organic Anion Transporters R-HSA-428643,Reactome,2,10,12.03,1.19,3.03,0.001227851388525385,"SLC17A8, SLC5A8",0.03064047328638347
Aquaporin-mediated Transport R-HSA-445717,Reactome,5,48,6.26,1.95,3.0,0.0013703955131212362,"GNB2, GNG12, GNG5, NLRP3, PRKCA",0.03190528815607177
Cooperation Of PDCL (PhLP1) And TRiC/CCT In G-protein Beta Folding R-HSA-6814122,Reactome,4,36,6.68,1.6,2.99,0.0013947666953473999,"CCT5, GNB2, GNG12, GNG5",0.03190528815607177
Glucagon-type Ligand Receptors R-HSA-420092,Reactome,4,30,8.02,2.11,2.95,0.0015752911801402269,"CPAMD8, GNB2, GNG12, GNG5",0.034593394315879385
Inhibition Of Replication Initiation Of Damaged DNA By RB1/E2F1 R-HSA-113501,Reactome,2,13,9.25,1.0,2.79,0.0026705998820856325,"PPP2CA, TFDP1",0.05639074366403893
Glucagon-like Peptide-1 (GLP1) Regulates Insulin Secretion R-HSA-381676,Reactome,4,39,6.17,1.68,2.76,0.002900484916796799,"GNB2, GNG12, GNG5, PRKCA",0.05897652664153492
G-protein Activation R-HSA-202040,Reactome,3,23,7.84,1.61,2.72,0.003222430439185008,"GNB2, GNG12, GNG5",0.06318265396830605
RHO GTPases Activate CIT R-HSA-5625900,Reactome,3,19,9.5,2.11,2.7,0.0034863396123033965,"KIF14, PPP1R12B, RHOB",0.06341826344150077
Circadian entrainment,KEGG,6,92,3.92,1.46,2.69,0.0035932707627601922,"GNB2, GNG12, GNG5, KCNJ5, NOS1AP, PRKCA",0.06341826344150077
G Alpha (12/13) Signaling Events R-HSA-416482,Reactome,5,72,4.18,1.31,2.67,0.003789942812011738,"GNB2, GNG12, GNG5, RHOB, TIAM1",0.06341826344150077
Recycling Pathway Of L1 R-HSA-437239,Reactome,3,27,6.68,1.35,2.66,0.003927399974869174,"DNM3, RDX, RPS6KA4",0.06341826344150077
