pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Digestion Of Dietary Carbohydrate R-HSA-189085,Reactome,5,10,30.07,4.66,4.97,3.395147097518717e-07,"AMY1A, AMY1B, AMY1C, AMY2A, AMY2B",0.00010219392763531337
Starch and sucrose metabolism,KEGG,7,34,12.38,4.14,3.92,4.4749167952927934e-05,"AMY1A, AMY1B, AMY1C, AMY2A, AMY2B, G6PC2, SI",0.006734749776915654
Transport Of Fatty Acids R-HSA-804914,Reactome,2,8,15.04,1.0,3.78,7.828181307182562e-05,"LCN1, LCN12",0.007854275244873171
Arachidonic Acid Metabolism R-HSA-2142753,Reactome,6,54,6.68,2.03,3.45,0.0002842074885755731,"ALOX12B, AWAT1, CYP4A11, CYP4A22, DPEP3, FAAH2",0.021386613515311875
Carbohydrate digestion and absorption,KEGG,7,45,9.36,4.14,3.3,0.0004810194642199665,"AMY1A, AMY1B, AMY1C, AMY2A, AMY2B, G6PC2, SI",0.02895737174604198
Synthesis Of Leukotrienes (LT) And Eoxins (EX) R-HSA-2142691,Reactome,3,17,10.61,1.69,3.23,0.0006089251630183472,"CYP4A11, CYP4A22, DPEP3",0.029958063186981163
Digestion R-HSA-8935690,Reactome,5,22,13.67,4.66,3.2,0.0006966991438832828,"AMY1A, AMY1B, AMY1C, AMY2A, AMY2B",0.029958063186981163
Galactose metabolism,KEGG,3,29,6.22,1.0,2.93,0.0016787801494467763,"G6PC2, GALT, SI",0.058558792751734715
Eicosanoids R-HSA-211979,Reactome,2,7,17.18,1.96,2.92,0.0017509273580252904,"CYP4A11, CYP4A22",0.058558792751734715
Digestion And Absorption R-HSA-8963743,Reactome,5,27,11.14,4.66,2.83,0.0023463552591865317,"AMY1A, AMY1B, AMY1C, AMY2A, AMY2B",0.0706252933015146
Presynaptic Depolarization And Calcium Channel Opening R-HSA-112308,Reactome,2,12,10.02,1.11,2.79,0.002669706030278338,"CACNA1B, CACNG4",0.07231886220577059
Serotonergic synapse,KEGG,8,109,4.41,2.4,2.76,0.0028831440082034785,"ALOX12B, CACNA1B, CACNA1C, CYP2D6, CYP4X1, GNGT1, HTR3C, HTR3E",0.07231886220577059
Miscellaneous Substrates R-HSA-211958,Reactome,2,8,15.04,2.01,2.67,0.0038250372997693733,"CYP4A11, CYP4A22",0.0859245328102012
Interleukin-35 Signaling R-HSA-8984722,Reactome,2,12,10.02,1.23,2.65,0.003996489898148893,"IL12RB2, JAK1",0.0859245328102012
Defects Of Contact Activation System (CAS) And Kallikrein/Kinin System (KKS) R-HSA-9651496,Reactome,2,12,10.02,1.31,2.57,0.00512040254120598,"KLKB1, TTF2",0.10274941099353334
Phase 0 - Rapid Depolarisation R-HSA-5576892,Reactome,4,32,7.52,2.7,2.5,0.00623701208573604,"CACNA1C, CACNG4, SCN2A, SCN3A",0.11733378986290925
Glucocorticoid Biosynthesis R-HSA-194002,Reactome,2,10,12.03,1.81,2.45,0.007158786821907965,"CYP11B1, CYP21A2",0.1267526372584881
Fatty Acids R-HSA-211935,Reactome,2,9,13.36,2.24,2.35,0.00927818465072829,"CYP4A11, CYP4A22",0.15515186554828975
