pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Terminal Pathway Of Complement R-HSA-166665,Reactome,3,6,30.07,2.56,4.79,8.147731948221217e-07,"C8A, C8B, C8G",0.00018576828841944374
Formyl Peptide Receptors Bind Formyl Peptides And Many Other Ligands R-HSA-444473,Reactome,2,7,17.18,1.9,2.96,0.0015192915049504119,"FPR2, FPR3",0.17319923156434694
Selenocompound metabolism,KEGG,2,17,7.08,1.43,1.93,0.026748659392383335,"SEPHS2, TXNRD2",0.8113403546207568
Asthma,KEGG,3,26,6.94,2.72,1.92,0.027187775563289173,"CCL11, EPX, HLA-DPA1",0.8113403546207568
Peptide Ligand-Binding Receptors R-HSA-375276,Reactome,11,181,3.65,5.68,1.84,0.03303053114265457,"BRS3, CCL11, CCL7, F2RL2, FPR2, FPR3, NPBWR1, NTSR2, PPBP, PYY, SSTR4",0.8113403546207568
Nicotinate and nicotinamide metabolism,KEGG,3,34,5.31,2.01,1.83,0.03358130553813665,"NMRK2, NT5M, PNP",0.8113403546207568
Complement Cascade R-HSA-166658,Reactome,4,47,5.12,3.07,1.77,0.03809883553942532,"C8A, C8B, C8G, GZMM",0.8113403546207568
Coagulation,Hallmark,8,134,3.59,5.08,1.59,0.056188451361887805,"C8A, C8B, C8G, F11, F2RL2, MST1, PROZ, TF",0.8113403546207568
Canonical Retinoid Cycle In Rods (Twilight Vision) R-HSA-2453902,Reactome,2,23,5.23,1.51,1.48,0.06901709816684842,"CYP4V2, RBP3",0.8113403546207568
Regulation Of Complement Cascade R-HSA-977606,Reactome,3,37,4.88,2.73,1.47,0.07113583208813665,"C8A, C8B, C8G",0.8113403546207568
Fertilization R-HSA-1187000,Reactome,2,22,5.47,1.67,1.46,0.07153147356057504,"CATSPER3, IZUMO4",0.8113403546207568
Complement and coagulation cascades,KEGG,5,74,4.06,4.67,1.38,0.08392134969790643,"C8A, C8B, C8G, F11, F2RL2",0.8113403546207568
Chemokine Receptors Bind Chemokines R-HSA-380108,Reactome,3,48,3.76,2.17,1.31,0.09571365062918624,"CCL11, CCL7, PPBP",0.8113403546207568
Class A/1 (Rhodopsin-like Receptors) R-HSA-373076,Reactome,13,308,2.54,6.67,1.29,0.09918019669849615,"BRS3, CCL11, CCL7, F2RL2, FPR2, FPR3, GPR31, HRH4, NPBWR1, NTSR2, PPBP, PYY, SSTR4",0.8113403546207568
