pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Olfactory transduction,KEGG,48,379,7.62,8.86,5.63,8.957033846851754e-09,"OR10A3, OR11G2, OR11H1, OR13F1, OR1A1, OR1A2, OR1S1, OR1S2, OR2AE1, OR2AG1, OR2AG2, OR2F2, OR2T6, OR4C13, OR4F15, OR4F17, OR4F4, OR4F5, OR4K5, OR4M2, OR4N2, OR51A7, OR51E1, OR51T1, OR52A1, OR52A5, OR52J3, OR52K2, OR52L1, OR5A1, OR5AP2, OR5K2, OR5K4, OR5L2, OR5M1, OR5M11, OR5M3, OR5T2, OR5V1, OR6C3, OR6C68, OR6N1, OR8B2, OR8B3, OR8H2, OR8J3, OR8U1, OR9Q2",2.9737352371547824e-06
Olfactory Signaling Pathway R-HSA-381753,Reactome,46,347,7.97,10.1,5.31,5.483545694505986e-08,"OR10A3, OR11G2, OR11H1, OR13F1, OR1A1, OR1A2, OR1S1, OR1S2, OR2AE1, OR2AG1, OR2AG2, OR2F2, OR2T6, OR4C13, OR4F15, OR4F17, OR4K5, OR4M2B, OR4N2, OR51A7, OR51E1, OR51T1, OR52A1, OR52A5, OR52J3, OR52K2, OR52L1, OR5A1, OR5AP2, OR5K2, OR5K4, OR5L2, OR5M1, OR5M11, OR5M3, OR5T2, OR5V1, OR6C3, OR6C68, OR6N1, OR8B2, OR8B3, OR8H2, OR8J3, OR8U1, OR9Q2",5.790210993138727e-06
Expression And Translocation Of Olfactory Receptors R-HSA-9752946,Reactome,46,340,8.14,10.39,5.3,5.681170740856837e-08,"OR10A3, OR11G2, OR11H1, OR13F1, OR1A1, OR1A2, OR1S1, OR1S2, OR2AE1, OR2AG1, OR2AG2, OR2F2, OR2T6, OR4C13, OR4F15, OR4F17, OR4K5, OR4M2B, OR4N2, OR51A7, OR51E1, OR51T1, OR52A1, OR52A5, OR52J3, OR52K2, OR52L1, OR5A1, OR5AP2, OR5K2, OR5K4, OR5L2, OR5M1, OR5M11, OR5M3, OR5T2, OR5V1, OR6C3, OR6C68, OR6N1, OR8B2, OR8B3, OR8H2, OR8J3, OR8U1, OR9Q2",5.790210993138727e-06
Translocation Of ZAP-70 To Immunological Synapse R-HSA-202430,Reactome,4,12,20.05,2.0,5.27,6.976157823058707e-08,"HLA-DQA1, HLA-DQA2, HLA-DQB2, TARP",5.790210993138727e-06
Generation Of Second Messenger Molecules R-HSA-202433,Reactome,5,25,12.03,1.61,5.03,2.4223772048860796e-07,"HLA-DQA1, HLA-DQA2, HLA-DQB2, PKN1, TARP",1.6084584640443568e-05
PD-1 Signaling R-HSA-389948,Reactome,4,17,14.15,1.87,4.46,4.054963608445949e-06,"HLA-DQA1, HLA-DQA2, HLA-DQB2, TARP",0.00022437465300067583
Phosphorylation Of CD3 And TCR Zeta Chains R-HSA-202427,Reactome,4,16,15.04,2.12,4.35,6.960049232025093e-06,"HLA-DQA1, HLA-DQA2, HLA-DQB2, TARP",0.00030072819347331067
Post-chaperonin Tubulin Folding Pathway R-HSA-389977,Reactome,4,23,10.46,1.38,4.34,7.246462493332787e-06,"TBCD, TUBA1A, TUBA1C, TUBA4B",0.00030072819347331067
Sensory Perception R-HSA-9709957,Reactome,51,546,5.62,11.02,4.25,1.0528137186463849e-05,"AKR1B10, OR10A3, OR11G2, OR11H1, OR13F1, OR1A1, OR1A2, OR1S1, OR1S2, OR2AE1, OR2AG1, OR2AG2, OR2F2, OR2T6, OR4C13, OR4F15, OR4F17, OR4K5, OR4M2B, OR4N2, OR51A7, OR51E1, OR51T1, OR52A1, OR52A5, OR52J3, OR52K2, OR52L1, OR5A1, OR5AP2, OR5K2, OR5K4, OR5L2, OR5M1, OR5M11, OR5M3, OR5T2, OR5V1, OR6C3, OR6C68, OR6N1, OR8B2, OR8B3, OR8H2, OR8J3, OR8U1, OR9Q2, RBP1, TAS2R20, TAS2R50, TRPM4",0.0003883712828784442
Viral myocarditis,KEGG,5,46,6.54,1.34,3.72,9.987941084581552e-05,"HLA-DQA1, HLA-DQA2, HLA-DQB1, MYH6, MYH7",0.003315996440081075
