pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Olfactory transduction,KEGG,60,379,9.52,8.86,7.27,1.7814233649102956e-13,"OR10A3, OR10S1, OR11A1, OR11G2, OR13D1, OR14A2, OR14K1, OR1D2, OR1E2, OR1F1, OR1G1, OR1J4, OR1L4, OR1L6, OR1S1, OR1S2, OR2A14, OR2AG2, OR2AJ1, OR2D3, OR2F2, OR2J1, OR2J2, OR2S2, OR2T1, OR2T6, OR2V1, OR2W1, OR2Y1, OR3A1, OR4C13, OR4K14, OR4L1, OR4M2, OR4Q3, OR51A7, OR51B2, OR51I2, OR51V1, OR52E8, OR52N2, OR56A1, OR56A4, OR5AP2, OR5AS1, OR5B17, OR5F1, OR5M11, OR5M3, OR5P2, OR6C65, OR6C70, OR7C2, OR7G1, OR8D2, OR8J1, OR8J3, OR9A4, OR9G1, OR9G4",4.6851434497140775e-11
Olfactory Signaling Pathway R-HSA-381753,Reactome,59,347,10.23,10.1,7.05,9.116451159154369e-13,"OR10A3, OR10S1, OR11A1, OR11G2, OR13D1, OR14A2, OR14K1, OR1D2, OR1E2, OR1F1, OR1G1, OR1J4, OR1L4, OR1L6, OR1S1, OR1S2, OR2A14, OR2AG2, OR2AJ1, OR2D3, OR2F2, OR2J1, OR2J2, OR2S2, OR2T1, OR2T6, OR2V1, OR2W1, OR2Y1, OR3A1, OR4C13, OR4K14, OR4L1, OR4M2B, OR4Q3, OR51A7, OR51B2, OR51I2, OR51V1, OR52E8, OR52N2, OR56A1, OR56A4, OR5AP2, OR5AS1, OR5B17, OR5F1, OR5M11, OR5M3, OR5P2, OR6C65, OR6C70, OR7C2, OR7G1, OR8D2, OR8J1, OR8J3, OR9A4, OR9G4",8.813975452005668e-11
Expression And Translocation Of Olfactory Receptors R-HSA-9752946,Reactome,59,340,10.44,10.39,7.03,1.0053964393922814e-12,"OR10A3, OR10S1, OR11A1, OR11G2, OR13D1, OR14A2, OR14K1, OR1D2, OR1E2, OR1F1, OR1G1, OR1J4, OR1L4, OR1L6, OR1S1, OR1S2, OR2A14, OR2AG2, OR2AJ1, OR2D3, OR2F2, OR2J1, OR2J2, OR2S2, OR2T1, OR2T6, OR2V1, OR2W1, OR2Y1, OR3A1, OR4C13, OR4K14, OR4L1, OR4M2B, OR4Q3, OR51A7, OR51B2, OR51I2, OR51V1, OR52E8, OR52N2, OR56A1, OR56A4, OR5AP2, OR5AS1, OR5B17, OR5F1, OR5M11, OR5M3, OR5P2, OR6C65, OR6C70, OR7C2, OR7G1, OR8D2, OR8J1, OR8J3, OR9A4, OR9G4",8.813975452005668e-11
Sensory Perception R-HSA-9709957,Reactome,65,546,7.16,11.02,5.69,6.315147321039063e-09,"AKR1B10, HSD17B6, OR10A3, OR10S1, OR11A1, OR11G2, OR13D1, OR14A2, OR14K1, OR1D2, OR1E2, OR1F1, OR1G1, OR1J4, OR1L4, OR1L6, OR1S1, OR1S2, OR2A14, OR2AG2, OR2AJ1, OR2D3, OR2F2, OR2J1, OR2J2, OR2S2, OR2T1, OR2T6, OR2V1, OR2W1, OR2Y1, OR3A1, OR4C13, OR4K14, OR4L1, OR4M2B, OR4Q3, OR51A7, OR51B2, OR51I2, OR51V1, OR52E8, OR52N2, OR56A1, OR56A4, OR5AP2, OR5AS1, OR5B17, OR5F1, OR5M11, OR5M3, OR5P2, OR6C65, OR6C70, OR7C2, OR7G1, OR8D2, OR8J1, OR8J3, OR9A4, OR9G4, TAS2R10, TAS2R20, TAS2R31, TAS2R5",4.152209363583184e-07
Activated PKN1 Stimulates Transcription Of Androgen Receptor Regulated KLK2 And KLK3 R-HSA-5625886,Reactome,7,34,12.38,2.59,4.95,3.762187330798475e-07,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",1.674936837903183e-05
SIRT1 Negatively Regulates rRNA Expression R-HSA-427359,Reactome,7,35,12.03,2.51,4.94,3.8211486796270334e-07,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",1.674936837903183e-05
RNA Polymerase I Promoter Opening R-HSA-73728,Reactome,7,30,14.03,3.34,4.69,1.3693271092451376e-06,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",5.1447575675924455e-05
DNA Methylation R-HSA-5334118,Reactome,7,32,13.16,3.28,4.56,2.5666831102720745e-06,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",7.916730706241373e-05
Assembly Of ORC Complex At Origin Of Replication R-HSA-68616,Reactome,7,36,11.69,2.87,4.54,2.7529799401270547e-06,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",7.916730706241373e-05
PRC2 Methylates Histones And DNA R-HSA-212300,Reactome,7,40,10.52,2.57,4.51,3.2351315692081717e-06,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",7.916730706241373e-05
