pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Digestion Of Dietary Carbohydrate R-HSA-189085,Reactome,5,10,30.07,4.78,4.9,4.6816423689957556e-07,"AMY1A, AMY1B, AMY1C, AMY2A, AMY2B",0.0001207863731200905
Digestion R-HSA-8935690,Reactome,5,22,13.67,4.78,3.16,0.0008006391365425032,"AMY1A, AMY1B, AMY1C, AMY2A, AMY2B",0.10328244861398292
Digestion And Absorption R-HSA-8963743,Reactome,5,27,11.14,4.78,2.79,0.0026214729992270697,"AMY1A, AMY1B, AMY1C, AMY2A, AMY2B",0.225446677933528
Starch and sucrose metabolism,KEGG,5,34,8.84,4.78,2.42,0.007827230837822993,"AMY1A, AMY1B, AMY1C, AMY2A, AMY2B",0.4370196237250382
Pancreatic secretion,KEGG,8,101,4.76,3.62,2.39,0.008469372552810817,"AMY1A, AMY1B, AMY1C, AMY2A, AMY2B, CPA3, CPB1, GNAQ",0.4370196237250382
Butyrophilin (BTN) Family Interactions R-HSA-8851680,Reactome,2,9,13.36,2.74,2.13,0.016771304917101996,"BTN3A2, BTN3A3",0.7211661114353859
Carbohydrate digestion and absorption,KEGG,5,45,6.68,4.78,2.0,0.02254103360118093,"AMY1A, AMY1B, AMY1C, AMY2A, AMY2B",0.758069433384903
African trypanosomiasis,KEGG,3,34,5.31,1.71,1.99,0.023506028942167533,"GNAQ, HBB, KNG1",0.758069433384903
Salivary secretion,KEGG,6,79,4.57,4.15,1.81,0.03487446310060829,"AMY1A, AMY1B, AMY1C, AMY2A, AMY2B, GNAQ",0.7663025209242861
Late SARS-CoV-2 Infection Events R-HSA-9772573,Reactome,3,49,3.68,1.18,1.74,0.04112523330891182,"DAD1, FUT8, PARP14",0.7663025209242861
Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,Reactome,5,86,3.5,2.33,1.7,0.044366835159657246,"CLEC2D, KLRK1, MICA, MICB, SIGLEC11",0.7663025209242861
Malaria,KEGG,3,44,4.1,2.21,1.4,0.08029547267279491,"HBB, KLRK1, TGFB3",0.7663025209242861
Nucleotide Catabolism R-HSA-8956319,Reactome,2,33,3.64,1.0,1.3,0.09741989022162967,"ENTPD6, NUDT1",0.7663025209242861
TP53 Regulates Transcription Of DNA Repair Genes R-HSA-6796648,Reactome,3,60,3.01,1.52,1.23,0.10888968085329404,"ELOA2, MDC1, POLR2E",0.7663025209242861
Butanoate metabolism,KEGG,2,28,4.3,1.62,1.2,0.11466171249059626,"BDH1, EHHADH",0.7663025209242861
beta-Alanine metabolism,KEGG,2,30,4.01,1.59,1.14,0.12815911603797964,"ALDH3B2, EHHADH",0.7663025209242861
Various types of N-glycan biosynthesis,KEGG,2,39,3.08,1.0,1.07,0.1428378430137442,"DAD1, FUT8",0.7663025209242861
DAP12 Interactions R-HSA-2172127,Reactome,2,32,3.76,1.72,1.02,0.15350541851571958,"KLRK1, SIGLEC14",0.7663025209242861
