pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Signaling By Leptin R-HSA-2586552,Reactome,3,11,16.4,2.02,3.84,6.095758301677564e-05,"PTPN11, STAT3, STAT5B",0.026155819817228657
Metabolism Of Folate And Pterines R-HSA-196757,Reactome,3,15,12.03,1.5,3.71,0.00010420645345509425,"MTHFD1L, MTHFD2, MTHFR",0.026155819817228657
One carbon pool by folate,KEGG,3,18,10.02,1.5,3.31,0.0004652137798260276,"MTHFD1L, MTHFD2, MTHFR",0.07784577249088863
Signaling By SCF-KIT R-HSA-1433557,Reactome,4,40,6.01,1.29,3.09,0.0010159407585584306,"PRKCA, PTPN11, STAT3, STAT5B",0.12750056519908304
Disorders Of Developmental Biology R-HSA-9675151,Reactome,2,12,10.02,1.0,2.94,0.0016575266264972452,"NCOR1, PRKCA",0.16641567330032342
Interleukin-9 Signaling R-HSA-8985947,Reactome,2,9,13.36,1.55,2.83,0.002344624001770655,"STAT3, STAT5B",0.19616687481481146
STAT5 Activation R-HSA-9645135,Reactome,2,7,17.18,2.28,2.71,0.0033472805902978364,"PTPN11, STAT5B",0.240047836618502
Interleukin-21 Signaling R-HSA-9020958,Reactome,2,10,12.03,1.55,2.65,0.004029462060766863,"STAT3, STAT5B",0.25284874431312065
Acetylcholine Regulates Insulin Secretion R-HSA-399997,Reactome,2,10,12.03,1.69,2.54,0.005548454977481133,"GNA14, PRKCA",0.3015307917413812
STAT5 Activation Downstream Of FLT3 ITD Mutants R-HSA-9702518,Reactome,2,10,12.03,1.78,2.47,0.006760435939397022,"PTPN11, STAT5B",0.3015307917413812
RHOD GTPase Cycle R-HSA-9013405,Reactome,4,46,5.23,1.65,2.46,0.007039983542811824,"ANKFY1, CAPZB, LMAN1, RHOD",0.3015307917413812
Interleukin-6 Signaling R-HSA-1059683,Reactome,2,11,10.93,1.61,2.45,0.007207907372303933,"PTPN11, STAT3",0.3015307917413812
Apoptosis Induced DNA Fragmentation R-HSA-140342,Reactome,2,13,9.25,1.34,2.4,0.00810218154234709,"H1-3, KPNA1",0.31286885648140306
GAB1 Signalosome R-HSA-180292,Reactome,2,17,7.08,1.05,2.25,0.01208818721724654,"BTC, PTPN11",0.3864306232566405
Necroptosis,KEGG,7,135,3.12,1.65,2.24,0.012537582715637834,"CAPN1, CHMP4C, H2AC11, H2AC12, H2AC13, STAT3, STAT5B",0.3864306232566405
Interleukin-20 Family Signaling R-HSA-8854691,Reactome,3,26,6.94,2.02,2.23,0.012831953413135014,"PTPN11, STAT3, STAT5B",0.3864306232566405
"Interleukin-3, Interleukin-5 And GM-CSF Signaling R-HSA-512988",Reactome,3,41,4.4,1.0,2.22,0.013086296006698982,"PRKCA, PTPN11, STAT5B",0.3864306232566405
Signaling By VEGF R-HSA-194138,Reactome,6,91,3.97,2.28,2.17,0.014882669346232289,"ABI2, ELMO1, FLT1, ITPR1, NCF2, PRKCA",0.41506111176714494
Downstream Signal Transduction R-HSA-186763,Reactome,3,28,6.44,2.02,2.12,0.017187054260503515,"PTPN11, STAT3, STAT5B",0.45410006519856655
ERK/MAPK Targets R-HSA-198753,Reactome,2,21,5.73,1.0,1.97,0.02469532357200085,"DUSP3, MEF2A",0.6198526216572213
Prolactin Receptor Signaling R-HSA-1170546,Reactome,2,15,8.02,1.76,1.9,0.02839893907711696,"PTPN11, STAT5B",0.6518331601038294
Deregulated CDK5 Triggers Neurodegenerative Pathways In Alzheimers Disease Models R-HSA-8862803,Reactome,2,20,6.01,1.25,1.82,0.034084510020448135,"CAPN1, CDC25A",0.6518331601038294
VEGFR2 Mediated Cell Proliferation R-HSA-5218921,Reactome,2,17,7.08,1.64,1.81,0.03546108561656547,"ITPR1, PRKCA",0.6518331601038294
Vibrio cholerae infection,KEGG,4,49,4.91,2.83,1.79,0.03707480182822939,"ATP6V1G3, PRKCA, SEC61A2, SEC61B",0.6518331601038294
Signaling By KIT In Disease R-HSA-9669938,Reactome,2,18,6.68,1.55,1.78,0.03766988667553906,"STAT3, STAT5B",0.6518331601038294
VEGFA-VEGFR2 Pathway R-HSA-4420097,Reactome,5,85,3.54,2.19,1.78,0.03787405214622881,"ABI2, ELMO1, ITPR1, NCF2, PRKCA",0.6518331601038294
VxPx Cargo-Targeting To Cilium R-HSA-5620916,Reactome,2,20,6.01,1.34,1.76,0.038929353641093824,"RAB11A, RAB8A",0.6518331601038294
Aldosterone synthesis and secretion,KEGG,5,96,3.13,1.82,1.72,0.04234625587646268,"CAMK1D, CYP11A1, DAGLB, ITPR1, PRKCA",0.6518331601038294
HS-GAG Degradation R-HSA-2024096,Reactome,2,20,6.01,1.41,1.72,0.04250547515485185,"GLB1L, GPC6",0.6518331601038294
Interleukin-15 Signaling R-HSA-8983432,Reactome,2,14,8.59,2.42,1.7,0.04420732952822536,"STAT3, STAT5B",0.6518331601038294
Viral myocarditis,KEGG,3,46,3.92,1.39,1.7,0.04455761446967437,"CXADR, MYH7, SGCG",0.6518331601038294
Signaling By FLT3 ITD And TKD Mutants R-HSA-9703648,Reactome,2,15,8.02,2.28,1.67,0.046991440806210635,"PTPN11, STAT5B",0.6518331601038294
