pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
CYP2E1 Reactions R-HSA-211999,Reactome,6,10,36.08,4.24,6.41,7.511536542697582e-11,"CYP2A13, CYP2A6, CYP2A7, CYP2C19, CYP2C8, CYP2C9",9.915228236360808e-09
Xenobiotics R-HSA-211981,Reactome,7,20,21.05,4.71,4.97,3.312571330041739e-07,"CYP2A13, CYP2A6, CYP2A7, CYP2C18, CYP2C19, CYP2C8, CYP2C9",2.1862970778275477e-05
Biosynthesis Of Maresin-Like SPMs R-HSA-9027307,Reactome,2,4,30.07,1.79,4.2,1.3641446063751952e-05,"CYP2C8, CYP2C9",0.0004453413875821825
Synthesis Of (16-20)-Hydroxyeicosatetraenoic Acids (HETE) R-HSA-2142816,Reactome,3,8,22.55,2.49,4.15,1.686899195387055e-05,"CYP2C19, CYP2C8, CYP2C9",0.0004453413875821825
Synthesis Of Epoxy (EET) And Dihydroxyeicosatrienoic Acids (DHET) R-HSA-2142670,Reactome,3,8,22.55,2.49,4.15,1.686899195387055e-05,"CYP2C19, CYP2C8, CYP2C9",0.0004453413875821825
Alpha-defensins R-HSA-1462054,Reactome,2,4,30.07,2.02,3.95,3.943400438022245e-05,"PRSS2, PRSS3",0.0008675480963648939
Aspirin ADME R-HSA-9749641,Reactome,7,36,11.69,4.14,3.79,7.66735827955799e-05,"CYP2C19, CYP2C8, CYP2C9, GLYATL2, UGT2B10, UGT2B28, UGT2B7",0.001445844704145221
Caffeine metabolism,KEGG,2,5,24.06,1.89,3.61,0.00015494049748758618,"CYP2A6, CYP2A7",0.002556518208545172
Metabolism of xenobiotics by cytochrome P450,KEGG,12,63,11.46,8.56,3.53,0.00021066745480582746,"CYP2A13, CYP2A6, CYP2A7, CYP2C9, CYP2D6, GSTM1, GSTM2, GSTM5, HSD11B1L, UGT2B10, UGT2B28, UGT2B7",0.0030897893371521364
Biosynthesis Of Maresins R-HSA-9018682,Reactome,2,6,20.05,1.79,3.35,0.00040994353030216965,"CYP2C8, CYP2C9",0.005411254599988639
Retinol metabolism,KEGG,9,58,9.33,5.83,3.21,0.0006619571890362515,"CYP2A6, CYP2A7, CYP2C18, CYP2C8, CYP2C9, RDH16, UGT2B10, UGT2B28, UGT2B7",0.007943486268435019
Interaction With Cumulus Cells And Zona Pellucida R-HSA-2534343,Reactome,2,7,17.18,1.75,3.09,0.0009875496210855078,"ADAM20, OVGP1",0.010863045831940586
Activation Of Arylsulfatases R-HSA-1663150,Reactome,3,13,13.88,2.63,3.06,0.001113166719047483,"ARSD, ARSF, ARSH",0.011302923608789827
