pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Formation Of ATP By Chemiosmotic Coupling R-HSA-163210,Reactome,4,15,16.04,1.87,4.8,7.809579080671719e-07,"ATP5MC1, ATP5MC3, ATP5MF, ATP5MG",0.0004287458915288774
Mitochondrial Protein Import R-HSA-1268020,Reactome,7,62,6.79,1.51,4.42,4.832213699831869e-06,"ATP5MC1, CHCHD5, CMC2, COA4, TIMM10B, TIMM13, TOMM6",0.001326442660603848
FGFR3b Ligand Binding And Activation R-HSA-190371,Reactome,2,7,17.18,1.0,4.09,2.152559816449852e-05,"FGF18, FGF9",0.003939184464103229
PI-3K cascade:FGFR3 R-HSA-5654710,Reactome,3,18,10.02,1.07,3.92,4.3898311665391525e-05,"FGF18, FGF9, PTPN11",0.0060250432760749865
FRS-mediated FGFR3 Signaling R-HSA-5654706,Reactome,3,19,9.5,1.07,3.79,7.570924769703038e-05,"FGF18, FGF9, PTPN11",0.008312875397133936
PI-3K cascade:FGFR4 R-HSA-5654720,Reactome,3,20,9.02,1.07,3.66,0.0001237628484419226,"FGF18, FGF9, PTPN11",0.011324300632435917
FRS-mediated FGFR4 Signaling R-HSA-5654712,Reactome,3,21,8.59,1.07,3.55,0.000193227037286799,"FGF18, FGF9, PTPN11",0.01515452049577895
Cristae Formation R-HSA-8949613,Reactome,4,27,8.91,1.87,3.36,0.00038740772080338664,"ATP5MC1, ATP5MC3, ATP5MF, ATP5MG",0.026585854840132407
Platelet Adhesion To Exposed Collagen R-HSA-75892,Reactome,2,10,12.03,1.02,3.26,0.0005571230514562368,"FCER1G, FYN",0.033984506138830445
PI-3K cascade:FGFR2 R-HSA-5654695,Reactome,3,23,7.84,1.19,3.17,0.00076602531260044,"FGF18, FGF9, PTPN11",0.03986185262311343
Protein Localization R-HSA-9609507,Reactome,9,153,3.54,1.44,3.16,0.0007986892146707609,"ATAD1, ATP5MC1, CHCHD5, CMC2, COA4, CYB5A, TIMM10B, TIMM13, TOMM6",0.03986185262311343
FRS-mediated FGFR2 Signaling R-HSA-5654700,Reactome,3,24,7.52,1.23,3.02,0.0012511190934253423,"FGF18, FGF9, PTPN11",0.05723869852420941
Negative Regulation Of FGFR3 Signaling R-HSA-5654732,Reactome,3,27,6.68,1.07,2.99,0.0014156883275762704,"FGF18, FGF9, PTPN11",0.059616826466020144
"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",Reactome,9,106,5.11,3.01,2.96,0.001538415045347004,"ATP5MC1, ATP5MC3, ATP5MF, ATP5MG, COX6A1, NDUFA6, NDUFS5, SLC25A14, UQCRQ",0.059616826466020144
FGFR3 Mutant Receptor Activation R-HSA-2033514,Reactome,2,12,10.02,1.0,2.94,0.0016575266264972452,"FGF18, FGF9",0.059616826466020144
PECAM1 Interactions R-HSA-210990,Reactome,2,11,10.93,1.13,2.92,0.0017374667093922082,"FYN, PTPN11",0.059616826466020144
Negative Regulation Of FGFR4 Signaling R-HSA-5654733,Reactome,3,29,6.22,1.07,2.83,0.002297240028336597,"FGF18, FGF9, PTPN11",0.06981711120309582
Downstream Signaling Of Activated FGFR4 R-HSA-5654716,Reactome,3,26,6.94,1.29,2.79,0.002601531401148136,"FGF18, FGF9, PTPN11",0.06981711120309582
FGFR3 Ligand Binding And Activation R-HSA-190239,Reactome,2,13,9.25,1.0,2.79,0.0026705998820856325,"FGF18, FGF9",0.06981711120309582
FGFR2c Ligand Binding And Activation R-HSA-190375,Reactome,2,13,9.25,1.0,2.79,0.0026705998820856325,"FGF18, FGF9",0.06981711120309582
Phospholipase C-mediated Cascade; FGFR3 R-HSA-5654227,Reactome,2,13,9.25,1.0,2.79,0.0026705998820856325,"FGF18, FGF9",0.06981711120309582
Downstream Signaling Of Activated FGFR3 R-HSA-5654708,Reactome,3,24,7.52,1.48,2.76,0.0029199901416948016,"FGF18, FGF9, PTPN11",0.07286702671774756
Oxidative phosphorylation,KEGG,9,112,4.83,3.33,2.7,0.003510297757457274,"ATP5MC1, ATP5MC3, ATP5MF, ATP5MG, ATP6V1G2, COX6A1, NDUFA6, NDUFS5, UQCRQ",0.08123527906069215
Thermogenesis,KEGG,14,208,4.05,4.16,2.69,0.0036095335048772757,"ATP5MC1, ATP5MC3, ATP5MF, ATP5MG, COA3, COA4, COA5, COX6A1, CREB1, NDUFA6, NDUFAF8, NDUFS5, SMARCD1, UQCRQ",0.08123527906069215
Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517,Reactome,11,154,4.3,3.53,2.68,0.003699238572891264,"ATP5MC1, ATP5MC3, ATP5MF, ATP5MG, COX6A1, MPC1, MPC2, NDUFA6, NDUFS5, SLC25A14, UQCRQ",0.08123527906069215
FGFR4 Ligand Binding And Activation R-HSA-190322,Reactome,2,14,8.59,1.0,2.65,0.004028277990490538,"FGF18, FGF9",0.08505863910689636
Negative Regulation Of FGFR2 Signaling R-HSA-5654727,Reactome,3,32,5.64,1.07,2.63,0.004249039968245089,"FGF18, FGF9, PTPN11",0.08639714602098347
Phospholipase C-mediated Cascade; FGFR4 R-HSA-5654228,Reactome,2,15,8.02,1.0,2.53,0.005762912170193851,"FGF18, FGF9",0.112994242194158
FGFR2 Mutant Receptor Activation R-HSA-1839126,Reactome,4,32,7.52,2.68,2.51,0.006078823960398807,"FGF18, FGF9, POLR2B, POLR2E",0.11507842600892915
Dectin-2 Family R-HSA-5621480,Reactome,2,14,8.59,1.2,2.42,0.007839744226260286,"FCER1G, FYN",0.14346731934056323
GPVI-mediated Activation Cascade R-HSA-114604,Reactome,3,29,6.22,1.49,2.4,0.008164222879106927,"FCER1G, FYN, PTPN11",0.1445857535687001
RNA Polymerase III Chain Elongation R-HSA-73780,Reactome,2,16,7.52,1.06,2.35,0.009397586713088565,"POLR2E, POLR3H",0.1612273470464257
Mitochondrial Biogenesis R-HSA-1592230,Reactome,6,86,4.2,2.17,2.34,0.009765257359646277,"ATP5MC1, ATP5MC3, ATP5MF, ATP5MG, CREB1, NRF1",0.1624583724377517
Activated Point Mutants Of FGFR2 R-HSA-2033519,Reactome,2,17,7.08,1.0,2.31,0.01044046589626548,"FGF18, FGF9",0.1685828169720514
Amyotrophic lateral sclerosis,KEGG,15,318,2.84,3.17,2.29,0.01095088699476111,"ATP5MC1, ATP5MC3, CHMP2B, COX6A1, DCTN5, EIF2S1, GABARAPL2, GRIA2, HNRNPA3, NDUFA6, NDUFS5, PPP3CB, PSMA7, TARDBP, UQCRQ",0.17177248457496713
SHC-mediated cascade:FGFR3 R-HSA-5654704,Reactome,2,17,7.08,1.06,2.24,0.012428399461008514,"FGF18, FGF9",0.18953309178037983
MECP2 Regulates Neuronal Receptors And Channels R-HSA-9022699,Reactome,2,18,6.68,1.0,2.21,0.013398877940772212,"CREB1, GRIA2",0.19881037809416066
Phospholipase C-mediated Cascade; FGFR2 R-HSA-5654221,Reactome,2,18,6.68,1.04,2.17,0.01511333594200304,"FGF18, FGF9",0.21834793242525444
