pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
mTORC1-mediated Signaling R-HSA-166208,Reactome,4,23,10.46,1.0,5.09,1.81551705276821e-07,"EIF4EBP1, LAMTOR1, LAMTOR4, MLST8",6.443989377216134e-05
Protein export,KEGG,4,23,10.46,1.02,5.04,2.3604356693099393e-07,"HSPA5, SPCS2, SRP19, SRP54",6.443989377216134e-05
MTOR Signaling R-HSA-165159,Reactome,6,40,9.02,2.03,4.2,1.349468891434663e-05,"EIF4EBP1, LAMTOR1, LAMTOR4, MLST8, PRKAB1, PRKAG1",0.002088294454904637
Defective CFTR Causes Cystic Fibrosis R-HSA-5678895,Reactome,8,57,8.44,2.66,4.17,1.5298860475491846e-05,"DERL1, DERL2, ERLIN2, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.002088294454904637
ABC Transporter Disorders R-HSA-5619084,Reactome,8,74,6.5,2.66,3.5,0.0002299928709593967,"DERL1, DERL2, ERLIN2, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.02308595204664204
ABC-family Proteins Mediated Transport R-HSA-382556,Reactome,9,99,5.47,2.42,3.48,0.0002536917807323301,"DERL1, DERL2, EIF2S1, ERLIN2, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.02308595204664204
Energy Dependent Regulation Of mTOR By LKB1-AMPK R-HSA-380972,Reactome,5,29,10.37,3.17,3.28,0.0005181198880715182,"LAMTOR1, LAMTOR4, MLST8, PRKAB1, PRKAG1",0.03453494314759938
Amino Acids Regulate mTORC1 R-HSA-9639288,Reactome,6,52,6.94,2.45,3.21,0.0006529604470178441,"ATP6V0E2, ATP6V1D, ATP6V1G1, LAMTOR1, LAMTOR4, MLST8",0.03453494314759938
Hh Mutants Are Degraded By ERAD R-HSA-5362768,Reactome,6,52,6.94,2.46,3.21,0.0006640390134990392,"DERL2, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.03453494314759938
TP53 Regulates Metabolic Genes R-HSA-5628897,Reactome,7,73,5.77,2.3,3.2,0.0006937092896035036,"COX20, GPX2, LAMTOR1, LAMTOR4, MLST8, PRKAB1, PRKAG1",0.03453494314759938
Coenzyme A Biosynthesis R-HSA-196783,Reactome,2,8,15.04,1.43,3.16,0.000785121662698481,"PANK1, PANK2",0.03453494314759938
Oxygen-dependent Proline Hydroxylation Of Hypoxia-inducible Factor Alpha R-HSA-1234176,Reactome,6,60,6.01,2.09,3.15,0.0008235618714594453,"EGLN3, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.03453494314759938
Parkinson disease,KEGG,15,221,4.08,3.35,3.13,0.0008649165454076054,"ATP5PF, CAMK2A, EIF2S1, GNAI1, HSPA5, NDUFA6, NDUFS6, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6, SNCA, TXN, UQCRH",0.03453494314759938
Gap Junction Trafficking R-HSA-190828,Reactome,3,25,7.22,1.11,3.1,0.0009729730801675908,"CLTA, GJB2, GJD2",0.03453494314759938
Hh Mutants Abrogate Ligand Secretion R-HSA-5387390,Reactome,6,55,6.56,2.46,3.09,0.001008236794480919,"DERL2, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.03453494314759938
PCP/CE Pathway R-HSA-4086400,Reactome,7,80,5.26,2.16,3.09,0.0010120129860102384,"CLTA, PFN1, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.03453494314759938
Lipophagy R-HSA-9613354,Reactome,2,9,13.36,1.37,3.01,0.0013203387296907673,"PRKAB1, PRKAG1",0.04143649399967194
Cellular Response To Starvation R-HSA-9711097,Reactome,13,145,5.39,4.83,3.0,0.0013660382637254486,"ATP6V0E2, ATP6V1D, ATP6V1G1, CEBPG, EIF2S1, FAU, LAMTOR1, LAMTOR4, MLST8, RPL13A, RPL15, RPS10, RSL24D1",0.04143649399967194
Hedgehog Ligand Biogenesis R-HSA-5358346,Reactome,6,61,5.92,2.46,2.87,0.002060235519699837,"DERL2, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.059204662829269006
Gap Junction Trafficking And Regulation R-HSA-157858,Reactome,3,27,6.68,1.2,2.82,0.0023802292427733316,"CLTA, GJB2, GJD2",0.06007553596464744
Activation Of AMPK Downstream Of NMDARs R-HSA-9619483,Reactome,2,10,12.03,1.37,2.82,0.0024206259912495304,"PRKAB1, PRKAG1",0.06007553596464744
Activation Of PPARGC1A (PGC-1alpha) By Phosphorylation R-HSA-2151209,Reactome,2,10,12.03,1.37,2.82,0.0024206259912495304,"PRKAB1, PRKAG1",0.06007553596464744
Cellular Response To Hypoxia R-HSA-1234174,Reactome,6,68,5.31,2.27,2.75,0.0029480762259399803,"EGLN3, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.0674016259530356
SCF(Skp2)-mediated Degradation Of P27/P21 R-HSA-187577,Reactome,6,57,6.33,2.95,2.75,0.002962708833100466,"CDK2, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.0674016259530356
Proteasome,KEGG,5,46,6.54,2.49,2.73,0.0031505107555971105,"PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.06762487655015274
Regulation Of Activated PAK-2p34 By Proteasome Mediated Degradation R-HSA-211733,Reactome,5,47,6.4,2.43,2.72,0.00322023221667394,"PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.06762487655015274
Regulation Of Ornithine Decarboxylase (ODC) R-HSA-350562,Reactome,5,48,6.26,2.43,2.68,0.003637620786256957,"PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.06765999158190784
Cross-presentation Of Soluble Exogenous Antigens (Endosomes) R-HSA-1236978,Reactome,5,48,6.26,2.43,2.68,0.003637620786256957,"PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.06765999158190784
Ubiquitin Mediated Degradation Of Phosphorylated Cdc25A R-HSA-69601,Reactome,5,49,6.14,2.43,2.64,0.00408934015055487,"PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.06765999158190784
Ubiquitin-dependent Degradation Of Cyclin D R-HSA-75815,Reactome,5,49,6.14,2.43,2.64,0.00408934015055487,"PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.06765999158190784
GSK3B And BTRC:CUL1-mediated-degradation Of NFE2L2 R-HSA-9762114,Reactome,5,49,6.14,2.43,2.64,0.00408934015055487,"PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.06765999158190784
Vpu Mediated Degradation Of CD4 R-HSA-180534,Reactome,5,49,6.14,2.43,2.64,0.00408934015055487,"PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.06765999158190784
Autodegradation Of E3 Ubiquitin Ligase COP1 R-HSA-349425,Reactome,5,49,6.14,2.43,2.64,0.00408934015055487,"PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.06765999158190784
Negative Regulation Of NOTCH4 Signaling R-HSA-9604323,Reactome,5,50,6.01,2.43,2.61,0.004576342215367835,"PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.06940785693307884
Vif-mediated Degradation Of APOBEC3G R-HSA-180585,Reactome,5,50,6.01,2.43,2.61,0.004576342215367835,"PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.06940785693307884
Regulation Of Apoptosis R-HSA-169911,Reactome,5,50,6.01,2.43,2.61,0.004576342215367835,"PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.06940785693307884
p53-Dependent G1 DNA Damage Response R-HSA-69563,Reactome,6,62,5.82,2.95,2.59,0.004787268664228416,"CDK2, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.06992333433168539
Macroautophagy R-HSA-1632852,Reactome,7,101,4.17,2.2,2.54,0.005566891258429741,"ATG3, CHMP2A, LAMTOR1, LAMTOR4, MLST8, PRKAB1, PRKAG1",0.06992333433168539
AUF1 (hnRNP D0) Binds And Destabilizes mRNA R-HSA-450408,Reactome,5,52,5.78,2.43,2.53,0.005659596786050548,"PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.06992333433168539
Degradation Of AXIN R-HSA-4641257,Reactome,5,52,5.78,2.43,2.53,0.005659596786050548,"PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.06992333433168539
