pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Class C/3 (Metabotropic Glutamate/Pheromone Receptors) R-HSA-420499,Reactome,7,37,11.38,3.74,3.92,4.4931821393483734e-05,"TAS1R1, TAS1R2, TAS2R16, TAS2R4, TAS2R40, TAS2R41, TAS2R60",0.006560045923448625
Amino Acid Conjugation R-HSA-156587,Reactome,3,9,20.05,2.69,3.74,9.24199748383487e-05,"ACSM1, ACSM2A, ACSM2B",0.006746658163199455
Relaxin Receptors R-HSA-444821,Reactome,2,8,15.04,1.13,3.56,0.0001876853724803484,"INSL5, RXFP4",0.009134021460710288
Conjugation Of Benzoate With Glycine R-HSA-177135,Reactome,2,6,20.05,1.74,3.39,0.00034768082490435094,"ACSM1, ACSM2B",0.012690350109008808
Sensory Perception Of Taste R-HSA-9717189,Reactome,7,45,9.36,5.88,2.77,0.0028192379471606447,"SCNN1A, TAS1R1, TAS1R2, TAS2R16, TAS2R4, TAS2R40, TAS2R41",0.0712632374065698
Regulation Of Signaling By NODAL R-HSA-1433617,Reactome,2,9,13.36,1.63,2.76,0.0029286261947905397,"LEFTY1, LEFTY2",0.0712632374065698
Conjugation Of Salicylate With Glycine R-HSA-177128,Reactome,2,8,15.04,1.96,2.7,0.003488242129960154,"ACSM2A, ACSM2B",0.07275476442488323
"Sensory Perception Of Sweet, Bitter, And Umami (Glutamate) Taste R-HSA-9717207",Reactome,6,39,9.25,5.37,2.63,0.004326101292737039,"TAS1R1, TAS1R2, TAS2R16, TAS2R4, TAS2R40, TAS2R41",0.07895134859245097
Taste transduction,KEGG,8,80,6.01,4.72,2.49,0.006397101842746248,"SCNN1A, TAS1R1, TAS1R2, TAS2R16, TAS2R4, TAS2R40, TAS2R41, TAS2R60",0.10377520767121691
Butanoate metabolism,KEGG,4,28,8.59,3.43,2.42,0.007710333074257021,"ACSM1, ACSM2A, ACSM2B, ACSM3",0.1125708628841525
GPCR Ligand Binding R-HSA-500792,Reactome,23,415,3.33,9.38,1.98,0.023688172221961977,"BRS3, CCL11, CXCR1, HRH4, INSL5, KEL, LTB4R, NPBWR1, NPFFR1, NTSR2, P2RY13, PPBP, PYY, RAMP3, RXFP4, SSTR4, TAS1R1, TAS1R2, TAS2R16, TAS2R4, TAS2R40, TAS2R41, TAS2R60",0.2856736357566797
Peptide Ligand-Binding Receptors R-HSA-375276,Reactome,12,181,3.99,6.27,1.98,0.023688632597501695,"BRS3, CCL11, CXCR1, INSL5, KEL, NPBWR1, NPFFR1, NTSR2, PPBP, PYY, RXFP4, SSTR4",0.2856736357566797
G Alpha (I) Signaling Events R-HSA-418594,Reactome,16,300,3.21,6.03,1.95,0.02543669359477285,"CXCR1, HRH4, INSL5, NPBWR1, P2RY13, PPBP, PYY, RXFP4, SSTR4, TAS1R1, TAS1R2, TAS2R16, TAS2R4, TAS2R40, TAS2R41, TAS2R60",0.2856736357566797
Signaling By NODAL R-HSA-1181150,Reactome,2,20,6.01,1.63,1.6,0.05493767876643593,"LEFTY1, LEFTY2",0.572921507135689
Class A/1 (Rhodopsin-like Receptors) R-HSA-373076,Reactome,15,308,2.93,7.84,1.51,0.06582188443737796,"BRS3, CCL11, CXCR1, HRH4, INSL5, KEL, LTB4R, NPBWR1, NPFFR1, NTSR2, P2RY13, PPBP, PYY, RXFP4, SSTR4",0.6077054414728664
Fertilization R-HSA-1187000,Reactome,2,22,5.47,1.59,1.5,0.0667221940586616,"CATSPER3, IZUMO4",0.6077054414728664
Viral protein interaction with cytokine and cytokine receptor,KEGG,5,86,3.5,3.12,1.47,0.07076022263725157,"CCL11, CCL24, CXCR1, IL20RB, PPBP",0.6077054414728664
Peroxisomal Lipid Metabolism R-HSA-390918,Reactome,2,29,4.15,1.11,1.4,0.08007187137226379,"ACOXL, KRTAP11-1",0.6494718455750285
Chemokine Receptors Bind Chemokines R-HSA-380108,Reactome,3,48,3.76,2.17,1.31,0.09571365062918624,"CCL11, CXCR1, PPBP",0.7172870414508437
Coagulation,Hallmark,6,134,2.69,2.99,1.28,0.09971083921504231,"F11, GP1BA, LEFTY2, MMP10, MST1, TF",0.7172870414508437
Endogenous Sterols R-HSA-211976,Reactome,2,27,4.45,1.61,1.25,0.10587865643527061,"CYP39A1, CYP4V2",0.7172870414508437
Signaling By GPCR R-HSA-372790,Reactome,23,638,2.17,9.38,1.23,0.10962630688009561,"BRS3, CCL11, CXCR1, HRH4, INSL5, KEL, LTB4R, NPBWR1, NPFFR1, NTSR2, P2RY13, PPBP, PYY, RAMP3, RXFP4, SSTR4, TAS1R1, TAS1R2, TAS2R16, TAS2R4, TAS2R40, TAS2R41, TAS2R60",0.7172870414508437
GPCR Downstream Signaling R-HSA-388396,Reactome,21,590,2.14,8.41,1.21,0.1129972736532151,"BRS3, CXCR1, HRH4, INSL5, LTB4R, NPBWR1, NPFFR1, NTSR2, P2RY13, PPBP, PYY, RAMP3, RXFP4, SSTR4, TAS1R1, TAS1R2, TAS2R16, TAS2R4, TAS2R40, TAS2R41, TAS2R60",0.7172870414508437
Sensory Perception R-HSA-9709957,Reactome,21,546,2.31,11.02,1.17,0.12043833782545882,"CYP4V2, OR10S1, OR10V1, OR2AT4, OR2I1P, OR2T1, OR2W1, OR4C11, OR4E1, OR4X1, OR56B1, OR6A2, OR6P1, OR6Y1, SCNN1A, TAS1R1, TAS1R2, TAS2R16, TAS2R4, TAS2R40, TAS2R41",0.7212160984275251
