pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Terminal Pathway Of Complement R-HSA-166665,Reactome,3,6,30.07,2.51,4.84,6.439673499470483e-07,"C8A, C8B, C8G",0.000213153192832473
Endosomal/Vacuolar Pathway R-HSA-1236977,Reactome,2,5,24.06,2.34,3.24,0.0005942276368756472,"CTSS, CTSV",0.09834467390291961
Formyl Peptide Receptors Bind Formyl Peptides And Many Other Ligands R-HSA-444473,Reactome,2,7,17.18,1.92,2.95,0.0015953708870368299,"FPR2, FPR3",0.17602258786973024
Trafficking And Processing Of Endosomal TLR R-HSA-1679131,Reactome,2,13,9.25,1.44,2.32,0.010157820638718475,"CTSS, CTSV",0.7231684124298724
Ethanol Oxidation R-HSA-71384,Reactome,2,11,10.93,2.0,2.2,0.014035983543037197,"ADH7, ALDH1B1",0.7231684124298724
Nicotinamide Salvaging R-HSA-197264,Reactome,2,19,6.33,1.13,2.0,0.022832383302406077,"PARP10, SLC22A13",0.7231684124298724
Complement Cascade R-HSA-166658,Reactome,4,47,5.12,3.07,1.77,0.03809883553942532,"C8A, C8B, C8G, FCN3",0.7231684124298724
Amoebiasis,KEGG,6,91,3.97,4.76,1.5,0.06651989093550563,"C8A, C8B, C8G, CTSG, IL1R1, IL1R2",0.7231684124298724
Regulation Of Complement Cascade R-HSA-977606,Reactome,3,37,4.88,2.73,1.47,0.07113583208813665,"C8A, C8B, C8G",0.7231684124298724
Fatty acid degradation,KEGG,3,43,4.2,2.46,1.36,0.08707873107543446,"ADH7, ALDH1B1, ECHS1",0.7231684124298724
Nicotinate Metabolism R-HSA-196807,Reactome,2,31,3.88,1.13,1.3,0.09655443433509497,"PARP10, SLC22A13",0.7231684124298724
Meiotic Synapsis R-HSA-1221632,Reactome,3,55,3.28,1.7,1.28,0.09972238025711572,"DIDO1, H2BC12, SMC1B",0.7231684124298724
Coagulation,Hallmark,7,134,3.14,5.22,1.27,0.10222520764079218,"C8A, C8B, C8G, CTSV, F11, MST1, PROZ",0.7231684124298724
Activation Of G Protein Gated Potassium Channels R-HSA-1296041,Reactome,2,28,4.3,1.5,1.25,0.10594139622464915,"KCNJ2, UBD",0.7231684124298724
Antimicrobial Peptides R-HSA-6803157,Reactome,5,76,3.96,5.48,1.24,0.106902098416775,"CTSG, EPPIN, ITLN1, PGLYRP3, PGLYRP4",0.7231684124298724
Pancreatic secretion,KEGG,5,101,2.98,3.19,1.23,0.10893440084305805,"ATP1B4, CELA2A, CELA2B, CTRL, PLA2G10",0.7231684124298724
Protein digestion and absorption,KEGG,5,100,3.01,3.37,1.21,0.11265066940945795,"ATP1B4, CELA2A, CELA2B, CTRL, KCNE3",0.7231684124298724
MET Promotes Cell Motility R-HSA-8875878,Reactome,2,25,4.81,2.11,1.17,0.12158288940803053,"CRK, ITGA3",0.7231684124298724
Reactive Oxygen Species Pathway,Hallmark,3,49,3.68,2.66,1.16,0.12366600214716827,"GPX3, SOD2, TXNRD2",0.7231684124298724
