pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Expression And Translocation Of Olfactory Receptors R-HSA-9752946,Reactome,62,340,10.97,15.81,6.03,8.405119267291969e-10,"OR10A3, OR10A5, OR10H2, OR10H3, OR10X1, OR11A1, OR12D2, OR13C2, OR13C5, OR1A1, OR1A2, OR1L4, OR1L6, OR1L8, OR1S2, OR2AG1, OR2AG2, OR2AJ1, OR2F1, OR2F2, OR2J2, OR4C11, OR4C13, OR4F15, OR4K15, OR4N5, OR4S2, OR51B6, OR51I2, OR52A1, OR52A5, OR52E2, OR52I2, OR52L1, OR52N4, OR56A3, OR56A4, OR56A5, OR56B1, OR5A2, OR5AK2, OR5B17, OR5B2, OR5I1, OR5L1, OR5L2, OR5M1, OR5M10, OR5T2, OR5T3, OR5V1, OR5W2, OR6C2, OR6C3, OR6C6, OR7C2, OR8A1, OR8B2, OR8B3, OR8J2, OR8K3, OR9Q1",1.6498912020911447e-07
Olfactory Signaling Pathway R-HSA-381753,Reactome,62,347,10.75,15.81,5.95,1.309437461977099e-09,"OR10A3, OR10A5, OR10H2, OR10H3, OR10X1, OR11A1, OR12D2, OR13C2, OR13C5, OR1A1, OR1A2, OR1L4, OR1L6, OR1L8, OR1S2, OR2AG1, OR2AG2, OR2AJ1, OR2F1, OR2F2, OR2J2, OR4C11, OR4C13, OR4F15, OR4K15, OR4N5, OR4S2, OR51B6, OR51I2, OR52A1, OR52A5, OR52E2, OR52I2, OR52L1, OR52N4, OR56A3, OR56A4, OR56A5, OR56B1, OR5A2, OR5AK2, OR5B17, OR5B2, OR5I1, OR5L1, OR5L2, OR5M1, OR5M10, OR5T2, OR5T3, OR5V1, OR5W2, OR6C2, OR6C3, OR6C6, OR7C2, OR8A1, OR8B2, OR8B3, OR8J2, OR8K3, OR9Q1",1.6498912020911447e-07
Olfactory transduction,KEGG,61,379,9.68,15.48,5.6,1.0413391773944834e-08,"OR10A3, OR10A5, OR10H2, OR10H3, OR10X1, OR11A1, OR12D2, OR13C2, OR13C5, OR1A1, OR1A2, OR1L4, OR1L6, OR1L8, OR1S2, OR2AG1, OR2AG2, OR2AJ1, OR2F1, OR2F2, OR2J2, OR4C11, OR4C13, OR4F15, OR4K15, OR4N5, OR4S2, OR51B6, OR51I2, OR52A1, OR52A5, OR52E2, OR52I2, OR52L1, OR52N4, OR56A3, OR56A4, OR56A5, OR56B1, OR5A2, OR5AK2, OR5B17, OR5B2, OR5I1, OR5L1, OR5L2, OR5M1, OR5M10, OR5T2, OR5T3, OR5V1, OR5W2, OR6C2, OR6C3, OR6C6, OR7C2, OR8A1, OR8B2, OR8B3, OR8K3, OR9Q1",8.747249090113661e-07
Sensory Perception R-HSA-9709957,Reactome,63,546,6.94,16.35,4.5,3.3358572689364742e-06,"OR10A3, OR10A5, OR10H2, OR10H3, OR10X1, OR11A1, OR12D2, OR13C2, OR13C5, OR1A1, OR1A2, OR1L4, OR1L6, OR1L8, OR1S2, OR2AG1, OR2AG2, OR2AJ1, OR2F1, OR2F2, OR2J2, OR4C11, OR4C13, OR4F15, OR4K15, OR4N5, OR4S2, OR51B6, OR51I2, OR52A1, OR52A5, OR52E2, OR52I2, OR52L1, OR52N4, OR56A3, OR56A4, OR56A5, OR56B1, OR5A2, OR5AK2, OR5B17, OR5B2, OR5I1, OR5L1, OR5L2, OR5M1, OR5M10, OR5T2, OR5T3, OR5V1, OR5W2, OR6C2, OR6C3, OR6C6, OR7C2, OR8A1, OR8B2, OR8B3, OR8J2, OR8K3, OR9Q1, TAS2R14",0.00021015900794299787
Systemic lupus erythematosus,KEGG,15,121,7.46,5.45,3.82,6.747862270028109e-05,"C8A, CTSG, H2AC17, H2BC10, H2BC11, H2BC12, H2BC13, H2BC15, H2BC17, H2BC8, H2BW1, H2BW2, H4C9, HLA-DPA1, HLA-DPB1",0.003400922584094167
Translocation Of ZAP-70 To Immunological Synapse R-HSA-202430,Reactome,3,12,15.04,2.0,3.67,0.00012109486563965255,"HLA-DPA1, HLA-DQB2, TARP",0.005085984356865407
Packaging Of Telomere Ends R-HSA-171306,Reactome,5,31,9.7,2.42,3.6,0.00015814020393592788,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.005693047341693403
Cleavage Of Damaged Purine R-HSA-110331,Reactome,5,35,8.59,2.13,3.55,0.00019258861939658344,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.006066541510992379
SIRT1 Negatively Regulates rRNA Expression R-HSA-427359,Reactome,5,35,8.59,2.46,3.3,0.0004768724774378914,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.011570945718397497
Nonhomologous End-Joining (NHEJ) R-HSA-5693571,Reactome,5,44,6.83,1.82,3.3,0.00048353355922217727,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.011570945718397497
