pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Riboflavin metabolism,KEGG,2,8,15.04,1.0,3.78,7.828181307182562e-05,"ACP1, ENPP3",0.0314692888548739
Synthesis Of IP3 And IP4 In Cytosol R-HSA-1855204,Reactome,3,26,6.94,1.55,2.55,0.005426670233261025,"INPPL1, ITPKC, PLCH2",0.5246334112873403
Vitamin B5 (Pantothenate) Metabolism R-HSA-199220,Reactome,2,15,8.02,1.0,2.53,0.005762912170193851,"ENPP3, PANK4",0.5246334112873403
Type II diabetes mellitus,KEGG,4,46,5.23,1.62,2.48,0.006526222464376246,"CACNA1A, PRKCD, PRKCZ, SOCS2",0.5246334112873403
N-Glycan Antennae Elongation R-HSA-975577,Reactome,2,15,8.02,1.06,2.45,0.007166544561003182,"B4GALT6, ST8SIA6",0.5246334112873403
Thyroxine Biosynthesis R-HSA-209968,Reactome,2,10,12.03,1.99,2.34,0.009605362043764928,"DIDO1, DUOX2",0.5246334112873403
Nicotinate and nicotinamide metabolism,KEGG,3,34,5.31,1.24,2.33,0.009822190607282635,"ENPP3, NMRK2, PNP",0.5246334112873403
VEGFR2 Mediated Cell Proliferation R-HSA-5218921,Reactome,2,17,7.08,1.0,2.31,0.01044046589626548,"PRKCD, PRKCZ",0.5246334112873403
Inositol Phosphate Metabolism R-HSA-1483249,Reactome,4,48,5.01,1.84,2.25,0.012212560370558003,"IMPA1, INPPL1, ITPKC, PLCH2",0.5454943632182574
Metalloprotease DUBs R-HSA-5689901,Reactome,3,29,6.22,1.77,2.2,0.013741730749769912,"H2AC1, H2AC12, H2AC14",0.5524175761407505
Formation Of TC-NER Pre-Incision Complex R-HSA-6781823,Reactome,4,43,5.59,2.38,2.16,0.01556094720904753,"CDK7, COPS3, POLR2F, PPIE",0.5686818889124643
Negative Regulation Of FLT3 R-HSA-9706369,Reactome,2,13,9.25,1.96,1.99,0.02344546880076844,"SLA2, SOCS2",0.690146277196097
RNA Polymerase III Transcription Termination R-HSA-73980,Reactome,2,21,5.73,1.19,1.8,0.035616082821369445,"NFIX, POLR2F",0.690146277196097
PIWI-interacting RNA (piRNA) Biogenesis R-HSA-5601884,Reactome,3,28,6.44,3.01,1.74,0.04129033425625128,"PIWIL1, POLR2F, TDRD12",0.690146277196097
Growth Hormone Receptor Signaling R-HSA-982772,Reactome,2,24,5.01,1.05,1.72,0.04297389200717373,"SOCS2, STAT5B",0.690146277196097
ABC transporters,KEGG,3,44,4.1,1.5,1.71,0.043906040827898576,"ABCA3, ABCG2, TAP2",0.690146277196097
Pyrimidine metabolism,KEGG,3,54,3.34,1.02,1.69,0.045460020485295946,"ENPP3, NME6, PNP",0.690146277196097
Sphingolipid metabolism,KEGG,3,48,3.76,1.31,1.68,0.04626360698669774,"ACER1, B4GALT6, CERS1",0.690146277196097
Metabolism Of Amine-Derived Hormones R-HSA-209776,Reactome,2,17,7.08,1.99,1.64,0.050594703365366755,"DIDO1, DUOX2",0.690146277196097
GnRH secretion,KEGG,4,64,3.76,2.14,1.63,0.0514657469559732,"CACNA1H, CGA, KCNN1, KISS1",0.690146277196097
Inositol phosphate metabolism,KEGG,4,73,3.3,1.72,1.6,0.054642701043058274,"IMPA1, INPPL1, ITPKC, PLCH2",0.690146277196097
Interleukin-7 Signaling R-HSA-1266695,Reactome,2,25,4.81,1.16,1.58,0.05757758876880615,"SOCS2, STAT5B",0.690146277196097
