pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Olfactory transduction,KEGG,48,379,7.62,8.86,5.63,8.957033846851754e-09,"OR10G9, OR10J1, OR11A1, OR11G2, OR11H7, OR13G1, OR1A1, OR1D2, OR1L6, OR2D3, OR2F2, OR2G6, OR2T6, OR2V1, OR2V2, OR2Y1, OR4F15, OR4F29, OR4F3, OR4F6, OR4K1, OR4K2, OR51A7, OR51B5, OR52A1, OR52A5, OR52B2, OR52E8, OR52H1, OR52I2, OR52K2, OR52N2, OR52N4, OR56A4, OR5D13, OR5F1, OR5M1, OR5P2, OR5T1, OR5V1, OR6C65, OR8B3, OR8D1, OR8D2, OR8H2, OR8I2, OR8J3, OR8K5",1.755578633982944e-06
Olfactory Signaling Pathway R-HSA-381753,Reactome,47,347,8.15,10.1,5.44,2.611103010980932e-08,"OR10G9, OR10J1, OR11A1, OR11G2, OR11H7, OR13G1, OR1A1, OR1D2, OR1L6, OR2D3, OR2F2, OR2G6, OR2T6, OR2V1, OR2V2, OR2Y1, OR4F15, OR4F3, OR4F6, OR4K1, OR4K2, OR51A7, OR51B5, OR52A1, OR52A5, OR52B2, OR52E8, OR52H1, OR52I2, OR52K2, OR52N2, OR52N4, OR56A4, OR5D13, OR5F1, OR5M1, OR5P2, OR5T1, OR5V1, OR6C65, OR8B3, OR8D1, OR8D2, OR8H2, OR8I2, OR8J3, OR8K5",1.774373546588674e-06
Expression And Translocation Of Olfactory Receptors R-HSA-9752946,Reactome,47,340,8.31,10.39,5.44,2.7158778774316437e-08,"OR10G9, OR10J1, OR11A1, OR11G2, OR11H7, OR13G1, OR1A1, OR1D2, OR1L6, OR2D3, OR2F2, OR2G6, OR2T6, OR2V1, OR2V2, OR2Y1, OR4F15, OR4F3, OR4F6, OR4K1, OR4K2, OR51A7, OR51B5, OR52A1, OR52A5, OR52B2, OR52E8, OR52H1, OR52I2, OR52K2, OR52N2, OR52N4, OR56A4, OR5D13, OR5F1, OR5M1, OR5P2, OR5T1, OR5V1, OR6C65, OR8B3, OR8D1, OR8D2, OR8H2, OR8I2, OR8J3, OR8K5",1.774373546588674e-06
Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,Reactome,11,86,7.69,2.33,5.03,2.46878838850146e-07,"CD1B, CD1C, CD300C, CD300LD, IGLL5, KLRC1, MICA, MICB, PILRA, PVR, TARP",1.2097063103657155e-05
Sensory Perception R-HSA-9709957,Reactome,52,546,5.73,11.02,4.36,6.620873586293002e-06,"AKR1B10, HSD17B6, OR10G9, OR10J1, OR11A1, OR11G2, OR11H7, OR13G1, OR1A1, OR1D2, OR1L6, OR2D3, OR2F2, OR2G6, OR2T6, OR2V1, OR2V2, OR2Y1, OR4F15, OR4F3, OR4F6, OR4K1, OR4K2, OR51A7, OR51B5, OR52A1, OR52A5, OR52B2, OR52E8, OR52H1, OR52I2, OR52K2, OR52N2, OR52N4, OR56A4, OR5D13, OR5F1, OR5M1, OR5P2, OR5T1, OR5V1, OR6C65, OR8B3, OR8D1, OR8D2, OR8H2, OR8I2, OR8J3, OR8K5, RBP1, TAS2R13, TAS2R31",0.0002595382445826857
Ficolins Bind To Repetitive Carbohydrate Structures On Target Cell Surface R-HSA-2855086,Reactome,2,5,24.06,1.59,3.93,4.241078081553137e-05,"FCN1, FCN2",0.0013854188399740246
Creation Of C4 And C2 Activators R-HSA-166786,Reactome,3,14,12.89,1.87,3.46,0.00026604855336234614,"FCN1, FCN2, IGLL5",0.007449359494145692
Scavenging Of Heme From Plasma R-HSA-2168880,Reactome,2,11,10.93,1.02,3.07,0.0010653090786785075,"HBA1, IGLL5",0.02610007242762343
Phosphorylation Of CD3 And TCR Zeta Chains R-HSA-202427,Reactome,3,16,11.28,2.12,3.0,0.0013431555812846514,"HLA-DQB2, PTPRC, TARP",0.026621837472632193
Lectin Pathway Of Complement Activation R-HSA-166662,Reactome,2,8,15.04,1.59,3.0,0.0013582570139098057,"FCN1, FCN2",0.026621837472632193
Glucuronidation R-HSA-156588,Reactome,3,19,9.5,1.84,2.89,0.0019113208957156767,"UGT2A3, UGT3A1, UGT3A2",0.034056263232752064
Initial Triggering Of Complement R-HSA-166663,Reactome,3,21,8.59,1.93,2.64,0.004095127029968474,"FCN1, FCN2, IGLL5",0.06688707482281842
STING Mediated Induction Of Host Immune Responses R-HSA-1834941,Reactome,2,13,9.25,1.16,2.59,0.004794584530169707,"CGAS, IFI16",0.06980190050824543
FCGR Activation R-HSA-2029481,Reactome,2,10,12.03,1.64,2.58,0.004985850036303245,"IGLL5, TARP",0.06980190050824543
Beta-oxidation Of Very Long Chain Fatty Acids R-HSA-390247,Reactome,2,11,10.93,1.62,2.44,0.007311458903004263,"ACOT4, ACOT6",0.09125146855745742
Phase II - Conjugation Of Compounds R-HSA-156580,Reactome,6,97,3.72,1.62,2.43,0.007449099474078156,"GSTA1, GSTA2, GSTT2, UGT2A3, UGT3A1, UGT3A2",0.09125146855745742
Translocation Of ZAP-70 To Immunological Synapse R-HSA-202430,Reactome,2,12,10.02,2.0,2.07,0.018998558710832784,"HLA-DQB2, TARP",0.21904220631313093
Cytosolic DNA-sensing pathway,KEGG,3,45,4.01,1.0,2.05,0.020420288329695026,"AIM2, CCL4, CGAS",0.22235425070112363
Glutathione Conjugation R-HSA-156590,Reactome,3,33,5.47,2.2,1.79,0.03655867658075009,"GSTA1, GSTA2, GSTT2",0.3244866481559746
Antigen processing and presentation,KEGG,4,55,4.37,2.35,1.78,0.03728705193271135,"HLA-DQB1, KLRC1, KLRC2, KLRC3",0.3244866481559746
Complement Cascade R-HSA-166658,Reactome,4,47,5.12,3.07,1.77,0.03809883553942532,"CFH, FCN1, FCN2, IGLL5",0.3244866481559746
