pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Packaging Of Telomere Ends R-HSA-171306,Reactome,7,31,13.58,2.42,5.41,3.162350641538477e-08,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9, H3-4",1.4135707367676994e-05
Cleavage Of Damaged Purine R-HSA-110331,Reactome,7,35,12.03,2.41,5.05,2.236763090070018e-07,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9, H3-4",4.99916550630649e-05
Cleavage Of Damaged Pyrimidine R-HSA-110329,Reactome,7,40,10.52,2.41,4.66,1.6116000881240292e-06,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9, H3-4",0.00024012841313048036
"Base-Excision Repair, AP Site Formation R-HSA-73929",Reactome,7,42,10.02,2.41,4.52,3.117614282560214e-06,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9, H3-4",0.0003439670733100392
Condensation Of Prophase Chromosomes R-HSA-2299718,Reactome,7,41,10.27,2.53,4.47,3.847506412863973e-06,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9, H3-4",0.0003439670733100392
Inhibition Of DNA Recombination At Telomere R-HSA-9670095,Reactome,7,45,9.36,2.41,4.33,7.525267839362453e-06,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9, H3-4",0.0005606324540325027
Meiotic Synapsis R-HSA-1221632,Reactome,8,55,8.75,2.68,4.25,1.0675385355575141e-05,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9, H3-4, SYCP3",0.0006816996077060126
SIRT1 Negatively Regulates rRNA Expression R-HSA-427359,Reactome,6,35,10.31,2.46,4.15,1.6838181613901696e-05,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.0009408333976767573
Activated PKN1 Stimulates Transcription Of Androgen Receptor Regulated KLK2 And KLK3 R-HSA-5625886,Reactome,6,34,10.61,2.59,4.11,1.9469711799677586e-05,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.0009669956860506534
Meiotic Recombination R-HSA-912446,Reactome,7,51,8.25,2.41,4.0,3.2254150452310414e-05,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9, H3-4",0.0014417605252182756
RNA Polymerase I Promoter Opening R-HSA-73728,Reactome,6,30,12.03,3.34,3.91,4.651755163901466e-05,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.001890304143876323
DNA Methylation R-HSA-5334118,Reactome,6,32,11.28,3.28,3.8,7.373282536507954e-05,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.0027465477448492125
Assembly Of ORC Complex At Origin Of Replication R-HSA-68616,Reactome,6,36,10.02,2.87,3.77,8.018124268381843e-05,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.002757001190743603
Glucuronidation R-HSA-156588,Reactome,4,19,12.66,2.32,3.75,8.811913774284946e-05,"UGT1A10, UGT2B10, UGT2B28, UGT2B7",0.0027703795221647527
PRC2 Methylates Histones And DNA R-HSA-212300,Reactome,6,40,9.02,2.57,3.74,9.29657557773407e-05,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.0027703795221647527
DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586,Reactome,7,58,7.26,2.41,3.67,0.00012103368457266629,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9, H3-4",0.0033813785627488644
Defective Pyroptosis R-HSA-9710421,Reactome,6,40,9.02,2.69,3.65,0.00012996172987324146,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.0034172290149022903
RNA Polymerase I Promoter Escape R-HSA-73772,Reactome,7,56,7.52,2.71,3.54,0.00019652214491700968,"GTF2H5, H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.004880299932105741
Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722,Reactome,7,56,7.52,2.8,3.49,0.0002452825506507182,"H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9, H3-4",0.0057705947442563705
