pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
TRAIL Signaling R-HSA-75158,Reactome,2,7,17.18,1.29,3.6,0.0001588124387004019,"TNFRSF10A, TNFRSF10B",0.04780254404882097
TP53 Regulates Transcription Of Death Receptors And Ligands R-HSA-6803211,Reactome,2,10,12.03,1.07,3.19,0.000711537674506101,"TNFRSF10A, TNFRSF10B",0.10708642001316819
Ribosome biogenesis in eukaryotes,KEGG,7,60,7.02,4.74,2.56,0.005288556973269841,"CSNK2A2, GNL3L, NOP56, NXF2B, RCL1, RPP38, RPP40",0.3639740826745792
Dimerization Of Procaspase-8 R-HSA-69416,Reactome,2,11,10.93,1.53,2.51,0.0060460811075511494,"TNFRSF10A, TNFRSF10B",0.3639740826745792
CASP8 Activity Is Inhibited R-HSA-5218900,Reactome,2,11,10.93,1.53,2.51,0.0060460811075511494,"TNFRSF10A, TNFRSF10B",0.3639740826745792
Response Of EIF2AK1 (HRI) To Heme Deficiency R-HSA-9648895,Reactome,2,15,8.02,1.18,2.33,0.009983979303252916,"ASNS, CEBPG",0.500862961713188
TNFs Bind Their Physiological Receptors R-HSA-5669034,Reactome,3,29,6.22,2.29,1.94,0.026339344966936677,"TNFRSF18, TNFRSF1B, TNFSF18",0.7424292083139232
Caspase Activation Via Death Receptors In Presence Of Ligand R-HSA-140534,Reactome,2,15,8.02,1.7,1.94,0.02639565106388342,"TNFRSF10A, TNFRSF10B",0.7424292083139232
Intra-Golgi Traffic R-HSA-6811438,Reactome,3,38,4.75,1.67,1.84,0.03311805244573477,"NSF, RGPD1, STX6",0.7424292083139232
Retrograde Transport At Trans-Golgi-Network R-HSA-6811440,Reactome,3,39,4.63,1.67,1.8,0.03616444997438722,"NSF, RGPD1, STX6",0.7424292083139232
Vitamin digestion and absorption,KEGG,2,22,5.47,1.22,1.71,0.043582553350209614,"CBLIF, SLC19A3",0.7424292083139232
RNA Polymerase I Transcription Initiation R-HSA-73762,Reactome,3,45,4.01,1.62,1.61,0.05401639154175983,"GTF2H5, MTA3, TTF1",0.7424292083139232
Regulation Of Necroptotic Cell Death R-HSA-5675482,Reactome,2,26,4.63,1.07,1.58,0.056536807627836916,"TNFRSF10A, TNFRSF10B",0.7424292083139232
Synthesis Of PC R-HSA-1483191,Reactome,2,27,4.45,1.0,1.58,0.056686560501655305,"CSNK2A2, LPIN1",0.7424292083139232
RIPK1-mediated Regulated Necrosis R-HSA-5213460,Reactome,2,28,4.3,1.07,1.48,0.06951288467707142,"TNFRSF10A, TNFRSF10B",0.7424292083139232
Cellular Hexose Transport R-HSA-189200,Reactome,2,21,5.73,1.88,1.43,0.07599614329549323,"SLC2A14, SLC2A3",0.7424292083139232
Binding And Uptake Of Ligands By Scavenger Receptors R-HSA-2173782,Reactome,3,38,4.75,2.88,1.4,0.0810645973442119,"MSR1, SCGB3A2, SPARC",0.7424292083139232
RNA Polymerase III Transcription Initiation From Type 3 Promoter R-HSA-76071,Reactome,2,24,5.01,1.6,1.39,0.0822207606156356,"BRF2, POLR3F",0.7424292083139232
Caspase Activation Via Extrinsic Apoptotic Signaling Pathway R-HSA-5357769,Reactome,2,25,4.81,1.49,1.39,0.08227920464348087,"TNFRSF10A, TNFRSF10B",0.7424292083139232
Chaperonin-mediated Protein Folding R-HSA-390466,Reactome,4,85,2.83,1.65,1.38,0.08377020216923181,"CSNK2A2, NOP56, PFDN6, TUBB6",0.7424292083139232
Renin-angiotensin system,KEGG,2,23,5.23,1.75,1.38,0.08397934208604291,"ACE, AGTR2",0.7424292083139232
Scavenging By Class A Receptors R-HSA-3000480,Reactome,2,18,6.68,2.63,1.36,0.08618606305717269,"MSR1, SCGB3A2",0.7424292083139232
Natural killer cell mediated cytotoxicity,KEGG,4,90,2.67,1.52,1.34,0.0893648335432089,"CD244, NCR3, TNFRSF10A, TNFRSF10B",0.7424292083139232
Expression And Translocation Of Olfactory Receptors R-HSA-9752946,Reactome,16,340,2.83,10.39,1.31,0.09500550809987307,"OR10G3, OR10J1, OR13C2, OR13C5, OR1B1, OR1J4, OR2B11, OR2D2, OR4C45, OR51G2, OR51T1, OR52N5, OR5M9, OR6C1, OR6K3, OR8U3",0.7424292083139232
Olfactory Signaling Pathway R-HSA-381753,Reactome,16,347,2.77,10.1,1.3,0.09672682808513455,"OR10G3, OR10J1, OR13C2, OR13C5, OR1B1, OR1J4, OR2B11, OR2D2, OR4C45, OR51G2, OR51T1, OR52N5, OR5M9, OR6C1, OR6K3, OR8U3",0.7424292083139232
Protein Folding R-HSA-391251,Reactome,4,91,2.64,1.66,1.27,0.1025888366916492,"CSNK2A2, NOP56, PFDN6, TUBB6",0.7424292083139232
Olfactory transduction,KEGG,16,379,2.54,8.86,1.26,0.10433965510450582,"OR10G3, OR10J1, OR13C2, OR13C5, OR1B1, OR1J4, OR2B11, OR2D2, OR4C45, OR51G2, OR51T1, OR52N5, OR5M9, OR6C1, OR6K3, OR8U3",0.7424292083139232
Prefoldin Mediated Transfer Of Substrate To CCT/TriC R-HSA-389957,Reactome,2,26,4.63,1.76,1.24,0.108084245020246,"PFDN6, TUBB6",0.7424292083139232
ATF4 Activates Genes In Response To Endoplasmic Reticulum Stress R-HSA-380994,Reactome,2,27,4.45,1.71,1.21,0.1133021094115339,"ASNS, CEBPG",0.7424292083139232
Unfolded Protein Response,Hallmark,4,103,2.34,1.32,1.2,0.11484562778423124,"ASNS, CEBPG, EIF4A3, NOP56",0.7424292083139232
Myc Targets V2,Hallmark,3,54,3.34,2.1,1.18,0.11931284207479831,"NOP56, RCL1, TMEM97",0.7424292083139232
AURKA Activation By TPX2 R-HSA-8854518,Reactome,3,66,2.73,1.32,1.18,0.11978766500035759,"ACTR1A, SSNA1, TPX2",0.7424292083139232
RNA Polymerase I Transcription Termination R-HSA-73863,Reactome,2,29,4.15,1.76,1.11,0.13262078565016366,"GTF2H5, TTF1",0.7424292083139232
