pathway,database,overlap,pathway_size,fold_enrichment,p_value,overlapping_genes,fdr_q
Sealing Of Nuclear Envelope (NE) By ESCRT-III R-HSA-9668328,Reactome,4,31,7.76,0.0016495654635392454,"LEMD2, TUBB4B, TUBB8, TUBB8B",0.3001448063283444
Diseases Of Mitotic Cell Cycle R-HSA-9675126,Reactome,4,38,6.33,0.0035338892081163854,"ANAPC1, ANAPC11, ATRX, UBE2E1",0.3001448063283444
Lysine degradation,KEGG,5,63,4.77,0.003916710023262965,"AASS, GCDH, KMT5A, SETD1A, SETD2",0.3001448063283444
Aberrant Regulation Of Mitotic Exit In Cancer Due To RB1 Defects R-HSA-9687136,Reactome,3,20,9.02,0.004200530405447859,"ANAPC1, ANAPC11, UBE2E1",0.3001448063283444
Conversion From APC/C:Cdc20 To APC/C:Cdh1 In Late Anaphase R-HSA-176407,Reactome,3,20,9.02,0.004200530405447859,"ANAPC1, ANAPC11, UBE2E1",0.3001448063283444
Phosphorylation Of APC/C R-HSA-176412,Reactome,3,20,9.02,0.004200530405447859,"ANAPC1, ANAPC11, UBE2E1",0.3001448063283444
Inactivation Of APC/C Via Direct Inhibition Of APC/C Complex R-HSA-141430,Reactome,3,21,8.59,0.004841045263360393,"ANAPC1, ANAPC11, UBE2E1",0.3001448063283444
APC/C:Cdc20 Mediated Degradation Of Cyclin B R-HSA-174048,Reactome,3,24,7.52,0.007102143388119183,"ANAPC1, ANAPC11, UBE2E1",0.38529127880546565
APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,Reactome,3,26,6.94,0.008903668836619413,"ANAPC1, ANAPC11, UBE2E1",0.4293546972325361
Uptake Of Dietary Cobalamins Into Enterocytes R-HSA-9758881,Reactome,2,10,12.03,0.011348365615155837,"AMN, CTRB2",0.47563963643459634
Lysine Catabolism R-HSA-71064,Reactome,2,12,10.02,0.016284339061878705,"AASS, GCDH",0.47563963643459634
Glycerolipid metabolism,KEGG,4,61,3.94,0.018587244118611863,"GLA, LIPG, PNLIPRP2, PNPLA2",0.47563963643459634
Oocyte meiosis,KEGG,6,129,2.8,0.020804152699790933,"ADCY2, ANAPC1, ANAPC11, CPEB2, PPP3R2, STAG3",0.47563963643459634
Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects R-HSA-9687139,Reactome,3,36,5.01,0.021659619622975194,"ANAPC1, ANAPC11, UBE2E1",0.47563963643459634
"Synthesis Of IP2, IP, And Ins In Cytosol R-HSA-1855183",Reactome,2,14,8.59,0.021968452088743446,"ISYNA1, OCRL",0.47563963643459634
Circadian entrainment,KEGG,5,97,3.1,0.022860918609652135,"ADCY2, CACNA1H, GNG7, GNGT2, GRIA3",0.47563963643459634
Cell Cycle R-HSA-1640170,Reactome,18,654,1.66,0.02531379392084528,"ANAPC1, ANAPC11, ATRX, CCNH, CENPU, CEP290, CHTF18, E2F4, H2AC20, KMT5A, LEMD2, STAG3, TERT, TUBB4B, TUBB8, TUBB8B, UBE2E1, USO1",0.47563963643459634
M Phase R-HSA-68886,Reactome,12,380,1.9,0.025471384469812838,"ANAPC1, ANAPC11, CENPU, CEP290, H2AC20, KMT5A, LEMD2, TUBB4B, TUBB8, TUBB8B, UBE2E1, USO1",0.47563963643459634
Stimuli-sensing Channels R-HSA-2672351,Reactome,5,100,3.01,0.025672068644998887,"ASPH, BEST2, CLCA1, TSC22D3, TTYH3",0.47563963643459634
Transcriptional Regulation By VENTX R-HSA-8853884,Reactome,3,39,4.63,0.026739208425585723,"ANAPC1, ANAPC11, UBE2E1",0.47563963643459634
Carboxyterminal Post-Translational Modifications Of Tubulin R-HSA-8955332,Reactome,3,41,4.4,0.030448228984429837,"TUBB4B, TUBB8, TUBB8B",0.47563963643459634
Trafficking Of GluR2-containing AMPA Receptors R-HSA-416993,Reactome,2,17,7.08,0.03177932519510692,"AP2B1, GRIA3",0.47563963643459634
Vasopressin Regulates Renal Water Homeostasis Via Aquaporins R-HSA-432040,Reactome,3,42,4.3,0.032398975737019046,"ADCY2, GNG7, GNGT2",0.47563963643459634
Formation Of Incision Complex In GG-NER R-HSA-5696395,Reactome,3,42,4.3,0.032398975737019046,"CCNH, DDB2, RNF111",0.47563963643459634
Activation Of GABAB Receptors R-HSA-991365,Reactome,3,42,4.3,0.032398975737019046,"ADCY2, GNG7, GNGT2",0.47563963643459634
Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314,Reactome,7,182,2.31,0.032651285538179635,"ADCY2, AP2B1, CASK, GNG7, GNGT2, GRIA3, NRG1",0.47563963643459634
GPER1 Signaling R-HSA-9634597,Reactome,3,43,4.2,0.03441351566861147,"ADCY2, GNG7, GNGT2",0.47563963643459634
G Beta:Gamma Signaling Thru BTK R-HSA-8964315,Reactome,2,18,6.68,0.0353665851609693,"GNG7, GNGT2",0.47563963643459634
Nuclear Envelope (NE) Reassembly R-HSA-2995410,Reactome,4,75,3.21,0.03623295720469293,"LEMD2, TUBB4B, TUBB8, TUBB8B",0.47563963643459634
Prostacyclin Signaling Thru Prostacyclin Receptor R-HSA-392851,Reactome,2,19,6.33,0.03910213335867768,"GNG7, GNGT2",0.47563963643459634
Mitotic Anaphase R-HSA-68882,Reactome,8,232,2.07,0.04043235925637974,"ANAPC1, ANAPC11, CENPU, LEMD2, TUBB4B, TUBB8, TUBB8B, UBE2E1",0.47563963643459634
