pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
"POU5F1 (OCT4), SOX2, NANOG Repress Genes Related To Differentiation R-HSA-2892245",Reactome,2,9,13.36,1.21,3.2,0.0006986268116064611,"EOMES, SOX2",0.2067935362355125
"Adrenaline,noradrenaline Inhibits Insulin Secretion R-HSA-400042",Reactome,3,27,6.68,1.52,2.51,0.006067634755556576,"ADRA2C, GNG12, GNG8",0.6009162264653048
Depolymerisation Of Nuclear Lamina R-HSA-4419969,Reactome,2,15,8.02,1.02,2.51,0.006090367160121332,"LEMD2, LPIN2",0.6009162264653048
Regulation Of TP53 Activity Thru Methylation R-HSA-6804760,Reactome,2,17,7.08,1.0,2.31,0.01044046589626548,"CHEK2, KMT5A",0.6711688763395988
Golgi Associated Vesicle Biogenesis R-HSA-432722,Reactome,4,49,4.91,1.91,2.18,0.01474706036899361,"DTNBP1, IGF2R, SH3GL2, SORT1",0.6711688763395988
SUMOylation Of Transcription Factors R-HSA-3232118,Reactome,2,19,6.33,1.05,2.08,0.01880968357361344,"FOXL2, SP3",0.6711688763395988
Signaling By PDGFR In Disease R-HSA-9671555,Reactome,2,18,6.68,1.24,1.99,0.02322613485128731,"FIP1L1, GOLGA4",0.6711688763395988
Gastrulation R-HSA-9758941,Reactome,2,17,7.08,1.4,1.95,0.02539377758180269,"EOMES, SOX2",0.6711688763395988
Presynaptic Function Of Kainate Receptors R-HSA-500657,Reactome,2,20,6.01,1.1,1.95,0.025507185926146522,"GNG12, GNG8",0.6711688763395988
G Beta:Gamma Signaling Thru PLC Beta R-HSA-418217,Reactome,2,19,6.33,1.33,1.85,0.032428192766715803,"GNG12, GNG8",0.6711688763395988
G Beta:Gamma Signaling Thru CDC42 R-HSA-8964616,Reactome,2,19,6.33,1.37,1.81,0.03492571832316113,"GNG12, GNG8",0.6711688763395988
G Alpha (Z) Signaling Events R-HSA-418597,Reactome,3,46,3.92,1.23,1.8,0.03567619522719445,"ADRA2C, GNG12, GNG8",0.6711688763395988
G Beta:Gamma Signaling Thru BTK R-HSA-8964315,Reactome,2,17,7.08,1.65,1.8,0.036228219108235926,"GNG12, GNG8",0.6711688763395988
Glucagon-like Peptide-1 (GLP1) Regulates Insulin Secretion R-HSA-381676,Reactome,3,39,4.63,1.68,1.79,0.03662021733029346,"GNG12, GNG8, KCNC2",0.6711688763395988
ADP Signaling Thru P2Y Purinoceptor 12 R-HSA-392170,Reactome,2,21,5.73,1.24,1.76,0.038975250164838056,"GNG12, GNG8",0.6711688763395988
trans-Golgi Network Vesicle Budding R-HSA-199992,Reactome,4,65,3.7,1.91,1.7,0.044351766123672594,"DTNBP1, IGF2R, SH3GL2, SORT1",0.6711688763395988
G Beta:Gamma Signaling Thru PI3Kgamma R-HSA-392451,Reactome,2,24,5.01,1.1,1.68,0.046471240750095344,"GNG12, GNG8",0.6711688763395988
