pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Expression And Translocation Of Olfactory Receptors R-HSA-9752946,Reactome,50,340,8.84,16.28,4.66,1.5707722334900005e-06,"OR10AG1, OR10C1, OR10G2, OR10G7, OR10H3, OR11A1, OR11H6, OR11H7, OR12D2, OR12D3, OR13C2, OR13C5, OR14J1, OR1I1, OR1J4, OR1N1, OR1N2, OR2AJ1, OR2AT4, OR2I1P, OR2J2, OR2T1, OR2T35, OR2V1, OR2V2, OR2W1, OR4C11, OR4C5, OR4N5, OR52A5, OR52I2, OR52N1, OR52N2, OR56A5, OR56B1, OR5AU1, OR5B17, OR5B2, OR5C1, OR5L2, OR5M10, OR5T1, OR5T3, OR6C2, OR6C65, OR6C75, OR6F1, OR6K3, OR6Y1, OR8K3",0.00024578264736981726
Olfactory Signaling Pathway R-HSA-381753,Reactome,50,347,8.67,16.28,4.6,2.082903791269638e-06,"OR10AG1, OR10C1, OR10G2, OR10G7, OR10H3, OR11A1, OR11H6, OR11H7, OR12D2, OR12D3, OR13C2, OR13C5, OR14J1, OR1I1, OR1J4, OR1N1, OR1N2, OR2AJ1, OR2AT4, OR2I1P, OR2J2, OR2T1, OR2T35, OR2V1, OR2V2, OR2W1, OR4C11, OR4C5, OR4N5, OR52A5, OR52I2, OR52N1, OR52N2, OR56A5, OR56B1, OR5AU1, OR5B17, OR5B2, OR5C1, OR5L2, OR5M10, OR5T1, OR5T3, OR6C2, OR6C65, OR6C75, OR6F1, OR6K3, OR6Y1, OR8K3",0.00024578264736981726
Olfactory transduction,KEGG,51,379,8.09,16.35,4.45,4.3439274304078665e-06,"OR10AG1, OR10C1, OR10G2, OR10G7, OR10H3, OR11A1, OR11H6, OR11H7, OR12D2, OR12D3, OR13C2, OR13C5, OR14J1, OR1I1, OR1J4, OR1N1, OR1N2, OR2AJ1, OR2AT4, OR2J2, OR2T1, OR2T35, OR2V1, OR2V2, OR2W1, OR4C11, OR4C5, OR4N4C, OR4N5, OR52A5, OR52I2, OR52N1, OR52N2, OR56A5, OR56B1, OR5AU1, OR5B17, OR5B2, OR5C1, OR5L2, OR5M10, OR5T1, OR5T3, OR6C2, OR6C65, OR6C75, OR6F1, OR6K3, OR6Y1, OR8K3, OR9G1",0.0003417222911920855
Sensory Perception R-HSA-9709957,Reactome,56,546,6.17,17.23,3.81,6.871033684462295e-05,"OR10AG1, OR10C1, OR10G2, OR10G7, OR10H3, OR11A1, OR11H6, OR11H7, OR12D2, OR12D3, OR13C2, OR13C5, OR14J1, OR1I1, OR1J4, OR1N1, OR1N2, OR2AJ1, OR2AT4, OR2I1P, OR2J2, OR2T1, OR2T35, OR2V1, OR2V2, OR2W1, OR4C11, OR4C5, OR4N5, OR52A5, OR52I2, OR52N1, OR52N2, OR56A5, OR56B1, OR5AU1, OR5B17, OR5B2, OR5C1, OR5L2, OR5M10, OR5T1, OR5T3, OR6C2, OR6C65, OR6C75, OR6F1, OR6K3, OR6Y1, OR8K3, SCNN1A, TAS2R16, TAS2R40, TAS2R41, TAS2R46, TAS2R50",0.004053909873832754
Amino Acid Conjugation R-HSA-156587,Reactome,3,9,20.05,2.66,3.76,8.60165238666174e-05,"ACSM1, ACSM2A, ACSM2B",0.004059979926504342
Butanoate metabolism,KEGG,5,28,10.74,3.07,3.41,0.0003290657258210859,"ACSM1, ACSM2A, ACSM2B, ACSM3, OXCT2",0.011145771789211605
Conjugation Of Benzoate With Glycine R-HSA-177135,Reactome,2,6,20.05,1.74,3.39,0.000348243189931539,"ACSM1, ACSM2B",0.011145771789211605
Class C/3 (Metabotropic Glutamate/Pheromone Receptors) R-HSA-420499,Reactome,6,37,9.75,3.48,3.37,0.00037782277251564763,"TAS2R16, TAS2R40, TAS2R41, TAS2R46, TAS2R50, TAS2R60",0.011145771789211605
Formyl Peptide Receptors Bind Formyl Peptides And Many Other Ligands R-HSA-444473,Reactome,2,7,17.18,1.94,2.94,0.0016515036664111885,"FPR2, FPR3",0.043306096141448945
Conjugation Of Salicylate With Glycine R-HSA-177128,Reactome,2,8,15.04,1.95,2.7,0.003421770770590127,"ACSM2A, ACSM2B",0.080753790185927
Neutrophil extracellular trap formation,KEGG,11,172,3.85,3.77,2.36,0.009108154861508212,"CLCN4, FPR2, FPR3, H2AC17, H2BC10, H2BC12, H2BC3, H2BW1, H2BW2, H3C10, H4C1",0.1954113224832671
Sensory Perception Of Taste R-HSA-9717189,Reactome,6,45,8.02,5.88,2.29,0.01110274139392299,"SCNN1A, TAS2R16, TAS2R40, TAS2R41, TAS2R46, TAS2R50",0.21835391408048546
