pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Advanced Glycosylation Endproduct Receptor Signaling R-HSA-879415,Reactome,3,12,15.04,2.09,3.59,0.00016475839322490965,"DDOST, HMGB1, LGALS3",0.050910343506497084
Class C/3 (Metabotropic Glutamate/Pheromone Receptors) R-HSA-420499,Reactome,5,37,8.13,3.48,2.68,0.003692696941467223,"TAS2R13, TAS2R30, TAS2R38, TAS2R46, TAS2R50",0.4749743890215654
TRP Channels R-HSA-3295583,Reactome,3,25,7.22,1.57,2.6,0.00461140183516083,"MCOLN2, TRPM8, TRPV3",0.4749743890215654
"Sensory Perception Of Sweet, Bitter, And Umami (Glutamate) Taste R-HSA-9717207",Reactome,5,39,7.71,5.37,2.08,0.018565173118162876,"TAS2R13, TAS2R30, TAS2R38, TAS2R46, TAS2R50",0.7499549940514638
Various types of N-glycan biosynthesis,KEGG,3,39,4.63,1.34,2.01,0.022467294153528838,"ALG3, DDOST, MAN1B1",0.7499549940514638
Sensory Perception Of Taste R-HSA-9717189,Reactome,5,45,6.68,5.88,1.81,0.035492564363087634,"TAS2R13, TAS2R30, TAS2R38, TAS2R46, TAS2R50",0.7499549940514638
Diseases Associated With N-glycosylation Of Proteins R-HSA-3781860,Reactome,2,20,6.01,1.32,1.78,0.037620901700723464,"ALG3, MAN1B1",0.7499549940514638
Processing Of Intronless Pre-mRNAs R-HSA-77595,Reactome,2,19,6.33,1.46,1.76,0.03942006979977317,"CPSF4, CSTF2",0.7499549940514638
Taste transduction,KEGG,6,80,4.51,4.72,1.68,0.046239364821212235,"PLCB4, TAS2R13, TAS2R30, TAS2R38, TAS2R46, TAS2R50",0.7499549940514638
N-Glycan biosynthesis,KEGG,3,50,3.61,1.34,1.6,0.0551734628119649,"ALG3, DDOST, MAN1B1",0.7499549940514638
Long-term depression,KEGG,3,58,3.11,1.08,1.52,0.06424323165953036,"GRID2, PLA2G4C, PLCB4",0.7499549940514638
Stimuli-sensing Channels R-HSA-2672351,Reactome,5,89,3.38,2.8,1.5,0.06660533077942674,"ANO7, MCOLN2, TRDN, TRPM8, TRPV3",0.7499549940514638
Deadenylation Of mRNA R-HSA-429947,Reactome,2,25,4.81,1.28,1.5,0.06694754912355359,"CNOT10, PAN3",0.7499549940514638
Nicotinate Metabolism R-HSA-196807,Reactome,2,31,3.88,1.0,1.38,0.08314448742261094,"BST1, PTGIS",0.7499549940514638
Processing Of Capped Intronless Pre-mRNA R-HSA-75067,Reactome,2,27,4.45,1.38,1.35,0.08861753704123831,"CPSF4, CSTF2",0.7499549940514638
TGF-beta Signaling,Hallmark,3,52,3.47,1.73,1.35,0.0886942756777866,"LEFTY2, RAB31, TGIF1",0.7499549940514638
Vascular smooth muscle contraction,KEGG,5,131,2.3,1.4,1.35,0.0891501232263694,"ADM, ARHGEF12, KCNU1, PLA2G4C, PLCB4",0.7499549940514638
Mitochondrial Protein Import R-HSA-1268020,Reactome,3,62,2.91,1.23,1.32,0.09377103532238412,"ATP5MC1, HSPD1, TIMM44",0.7499549940514638
Synthesis Of PC R-HSA-1483191,Reactome,2,27,4.45,1.44,1.32,0.09377639774788682,"CHPT1, SLC44A5",0.7499549940514638
NOD-like receptor signaling pathway,KEGG,5,147,2.05,1.4,1.13,0.13008994868163176,"GBP2, MCU, PLCB4, RIPK3, SUGT1",0.7499549940514638
Activation Of Kainate Receptors Upon Glutamate Binding R-HSA-451326,Reactome,2,28,4.3,1.95,1.1,0.13643384759953803,"GNG5, GRIK5",0.7499549940514638
Platelet Aggregation (Plug Formation) R-HSA-76009,Reactome,2,34,3.54,1.34,1.08,0.13957770217754445,"ITGB3, THPO",0.7499549940514638
Inflammatory mediator regulation of TRP channels,KEGG,4,96,2.51,2.04,1.07,0.14320314170226556,"PLA2G4C, PLCB4, TRPM8, TRPV3",0.7499549940514638
Non-integrin membrane-ECM Interactions R-HSA-3000171,Reactome,2,35,3.44,1.39,1.03,0.15139433820817416,"ITGB3, LAMB1",0.7499549940514638
Glycerophospholipid metabolism,KEGG,4,96,2.51,2.72,0.92,0.17778200595729632,"CHAT, CHPT1, PLA2G4C, PNPLA6",0.7499549940514638
RNA degradation,KEGG,3,72,2.51,1.74,0.91,0.18046141838683893,"CNOT10, HSPD1, PAN3",0.7499549940514638
Platelet Degranulation R-HSA-114608,Reactome,4,113,2.13,1.76,0.9,0.18316547332331562,"GTPBP2, ITGB3, LEFTY2, PHACTR2",0.7499549940514638
Kinesins R-HSA-983189,Reactome,2,41,2.93,1.24,0.9,0.18430820015976795,"KIF20B, KIF21A",0.7499549940514638
TAK1-dependent IKK And NF-kappa-B Activation R-HSA-445989,Reactome,2,42,2.86,1.17,0.89,0.18573103037856703,"HMGB1, TIFA",0.7499549940514638
Ion Channel Transport R-HSA-983712,Reactome,6,161,2.24,3.99,0.88,0.19060499032707012,"ANO7, ATP8A1, MCOLN2, TRDN, TRPM8, TRPV3",0.7499549940514638
Platelet activation,KEGG,4,117,2.06,1.8,0.84,0.2003691879067771,"ARHGEF12, ITGB3, PLA2G4C, PLCB4",0.7499549940514638
ECM Proteoglycans R-HSA-3000178,Reactome,2,46,2.61,1.1,0.81,0.2095108556794371,"ITGB3, LAMB1",0.7499549940514638
Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849,Reactome,4,116,2.07,2.03,0.8,0.21062216214656293,"ALDH1L2, BST1, CBLIF, PTGIS",0.7499549940514638
Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005,Reactome,4,118,2.04,1.94,0.8,0.2124452056279189,"GTPBP2, ITGB3, LEFTY2, PHACTR2",0.7499549940514638
Metabolism Of Vitamins And Cofactors R-HSA-196854,Reactome,5,174,1.73,1.56,0.77,0.22127822154576277,"ALDH1L2, BST1, CBLIF, COQ5, PTGIS",0.7499549940514638
Mitochondrial Biogenesis R-HSA-1592230,Reactome,3,86,2.1,1.53,0.73,0.2323837678814149,"ATP5MC1, ESRRA, HCFC1",0.7499549940514638
Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,Reactome,4,93,2.59,4.88,0.72,0.23593638387786242,"EIF2S3, IMPACT, RPL21, RPS14",0.7499549940514638
Glycerophospholipid Biosynthesis R-HSA-1483206,Reactome,4,127,1.89,1.82,0.72,0.23691735057682378,"CHPT1, PITPNB, PLA2G4C, SLC44A5",0.7499549940514638
Transcriptional Activation Of Mitochondrial Biogenesis R-HSA-2151201,Reactome,2,51,2.36,1.0,0.72,0.2372595326339858,"ESRRA, HCFC1",0.7499549940514638
Phospholipid Metabolism R-HSA-1483257,Reactome,6,207,1.74,2.52,0.71,0.23910335719033754,"CHPT1, PITPNB, PLA2G4C, PNPLA6, RAB14, SLC44A5",0.7499549940514638
Late SARS-CoV-2 Infection Events R-HSA-9772573,Reactome,2,49,2.45,1.18,0.71,0.23990816414285315,"DDOST, MAN1B1",0.7499549940514638
Protein processing in endoplasmic reticulum,KEGG,5,163,1.84,2.57,0.69,0.24602383388012844,"CKAP4, DDOST, MAN1B1, NFE2L2, UBE2J1",0.7499549940514638
Glutamatergic synapse,KEGG,4,111,2.17,3.3,0.68,0.24866326395270388,"GNG5, GRIK5, PLA2G4C, PLCB4",0.7499549940514638
Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164,Reactome,3,99,1.82,1.0,0.67,0.25038133431381093,"HMGB1, RIPK3, TIFA",0.7499549940514638
PI Metabolism R-HSA-1483255,Reactome,3,81,2.23,2.29,0.66,0.2531797440310956,"PITPNB, PNPLA6, RAB14",0.7499549940514638
Sensory Perception R-HSA-9709957,Reactome,16,546,1.76,11.02,0.66,0.25483000233168646,"CABP1, KIF20B, OR1I1, OR2A5, OR2T8, OR4C15, OR51B4, OR52E8, OR5AS1, OR5K4, OR6C65, TAS2R13, TAS2R30, TAS2R38, TAS2R46, TAS2R50",0.7499549940514638
