pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Olfactory transduction,KEGG,50,379,7.93,8.86,5.9,1.769771488343255e-09,"CNGB1, OR10J1, OR10P1, OR11H7, OR13F1, OR14J1, OR1J2, OR1L8, OR1S2, OR2A7, OR2AE1, OR2B2, OR2C3, OR2G2, OR2G6, OR2L13, OR2T11, OR2T2, OR2T35, OR2V1, OR2V2, OR2W1, OR4B1, OR4C5, OR4D1, OR4F15, OR4F16, OR4F3, OR4K1, OR51A4, OR51E1, OR51M1, OR52B2, OR52B6, OR52D1, OR52N1, OR52R1, OR56B1, OR5I1, OR5K1, OR5M1, OR5M3, OR5T3, OR6C4, OR6C68, OR6C76, OR6N1, OR8D2, OR8I2, OR8S1",2.959222087563563e-07
Olfactory Signaling Pathway R-HSA-381753,Reactome,50,347,8.67,10.1,5.84,2.5401047961918997e-09,"CNGB1, OR10J1, OR10P1, OR11H7, OR13F1, OR14J1, OR1J2, OR1L8, OR1S2, OR2A7, OR2AE1, OR2B2, OR2C3, OR2G2, OR2G6, OR2L13, OR2T11, OR2T2, OR2T35, OR2V1, OR2V2, OR2W1, OR4B1, OR4C5, OR4D1, OR4F15, OR4F3, OR4K1, OR51A4, OR51E1, OR51M1, OR52B2, OR52B6, OR52D1, OR52N1, OR52R1, OR56B1, OR5I1, OR5K1, OR5M1, OR5M3, OR5T3, OR6C4, OR6C68, OR6C76, OR6N1, OR8D2, OR8I2, OR8J2, OR8S1",2.959222087563563e-07
Expression And Translocation Of Olfactory Receptors R-HSA-9752946,Reactome,49,340,8.67,10.39,5.7,5.894157606607222e-09,"OR10J1, OR10P1, OR11H7, OR13F1, OR14J1, OR1J2, OR1L8, OR1S2, OR2A7, OR2AE1, OR2B2, OR2C3, OR2G2, OR2G6, OR2L13, OR2T11, OR2T2, OR2T35, OR2V1, OR2V2, OR2W1, OR4B1, OR4C5, OR4D1, OR4F15, OR4F3, OR4K1, OR51A4, OR51E1, OR51M1, OR52B2, OR52B6, OR52D1, OR52N1, OR52R1, OR56B1, OR5I1, OR5K1, OR5M1, OR5M3, OR5T3, OR6C4, OR6C68, OR6C76, OR6N1, OR8D2, OR8I2, OR8J2, OR8S1",4.577795741131609e-07
Sensory Perception R-HSA-9709957,Reactome,57,546,6.28,11.02,4.87,5.593970540910466e-07,"ABCA4, CNGB1, GRK7, OR10J1, OR10P1, OR11H7, OR13F1, OR14J1, OR1J2, OR1L8, OR1S2, OR2A7, OR2AE1, OR2B2, OR2C3, OR2G2, OR2G6, OR2L13, OR2T11, OR2T2, OR2T35, OR2V1, OR2V2, OR2W1, OR4B1, OR4C5, OR4D1, OR4F15, OR4F3, OR4K1, OR51A4, OR51E1, OR51M1, OR52B2, OR52B6, OR52D1, OR52N1, OR52R1, OR56B1, OR5I1, OR5K1, OR5M1, OR5M3, OR5T3, OR6C4, OR6C68, OR6C76, OR6N1, OR8D2, OR8I2, OR8J2, OR8S1, RBP3, RDH8, TAS2R20, TAS2R5, TAS2R8",3.258487840080347e-05
Microbial Modulation Of RIPK1-mediated Regulated Necrosis R-HSA-9686347,Reactome,2,6,20.05,1.27,3.97,3.6055829813401525e-05,"MLKL, RIPK3",0.001680201669304511
Caffeine metabolism,KEGG,2,5,24.06,1.89,3.61,0.00015494049748758618,"CYP2A6, CYP2A7",0.00601685598576793
Canonical Retinoid Cycle In Rods (Twilight Vision) R-HSA-2453902,Reactome,3,23,7.84,1.52,2.8,0.002534696875503042,"ABCA4, RBP3, RDH8",0.07384128635230476
CYP2E1 Reactions R-HSA-211999,Reactome,3,10,18.04,4.24,2.8,0.0025353231365598202,"CYP2A6, CYP2A7, CYP2F1",0.07384128635230476
Thiamine metabolism,KEGG,3,15,12.03,3.02,2.62,0.004455802527619124,"ALPG, ALPI, ALPP",0.11535577654836177
Fatty Acids R-HSA-211935,Reactome,2,9,13.36,2.24,2.35,0.00927818465072829,"CYP2A7, CYP2F1",0.20269302239490639
Synthesis Of Pyrophosphates In Cytosol R-HSA-1855167,Reactome,2,10,12.03,1.98,2.34,0.009569198482162963,"NUDT10, NUDT11",0.20269302239490639
Phase I - Functionalization Of Compounds R-HSA-211945,Reactome,6,94,3.84,2.24,2.13,0.016628861697365792,"ALDH3A1, CES1, CYP2A6, CYP2A7, CYP2F1, FMO3",0.3188439969391437
"TICAM1, RIP1-mediated IKK Complex Recruitment R-HSA-168927",Reactome,2,17,7.08,1.23,2.09,0.018512500835485682,"RIPK3, UBE2N",0.3188439969391437
Biological Oxidations R-HSA-211859,Reactome,10,198,3.04,2.81,2.07,0.019158008399776875,"ALDH3A1, CES1, CYP2A6, CYP2A7, CYP2F1, FMO3, GSTT2, GSTT2B, UGT1A6, UGT3A2",0.3188439969391437
Xenobiotics R-HSA-211981,Reactome,3,20,9.02,3.49,2.03,0.021191745435643866,"CYP2A6, CYP2A7, CYP2F1",0.32301159282881836
Metabolism Of Angiotensinogen To Angiotensins R-HSA-2022377,Reactome,2,18,6.68,1.22,2.0,0.022570751116458298,"CES1, CMA1",0.32301159282881836
Folate biosynthesis,KEGG,3,24,7.52,2.86,1.99,0.023567369433862284,"ALPG, ALPI, ALPP",0.32301159282881836
Metabolism of xenobiotics by cytochrome P450,KEGG,7,63,6.68,8.56,1.84,0.03292127470020479,"ALDH3A1, CYP2A6, CYP2A7, CYP2F1, GSTT2, GSTT2B, UGT1A6",0.42614761139709534
IKK Complex Recruitment Mediated By RIP1 R-HSA-937041,Reactome,2,20,6.01,1.3,1.79,0.03685473604772855,"RIPK3, UBE2N",0.4519554473221449
Aspirin ADME R-HSA-9749641,Reactome,3,36,5.01,2.17,1.69,0.045902105479349954,"CES1, UGT1A6, UGT3A2",0.5347595288344269
Drug metabolism,KEGG,9,127,4.26,7.42,1.63,0.0511257211066552,"ALDH3A1, CES1, CYP2A6, CYP2A7, FMO3, GSTT2, GSTT2B, IMPDH1, UGT1A6",0.5672520484690791
Visual Phototransduction R-HSA-2187338,Reactome,5,91,3.3,2.39,1.59,0.05624423048463159,"ABCA4, CNGB1, GRK7, RBP3, RDH8",0.5831162058985285
Glucuronidation R-HSA-156588,Reactome,2,19,6.33,1.84,1.57,0.05842836458521094,"UGT1A6, UGT3A2",0.5831162058985285
Regulated Necrosis R-HSA-5218859,Reactome,3,53,3.4,1.26,1.55,0.06006347185220894,"CASP4, MLKL, RIPK3",0.5831162058985285
Regulation Of Necroptotic Cell Death R-HSA-5675482,Reactome,2,26,4.63,1.27,1.45,0.07285407481915813,"MLKL, RIPK3",0.6789999773145539
Retinol metabolism,KEGG,4,58,4.15,3.41,1.41,0.07899210314183958,"CYP2A6, CYP2A7, RDH8, UGT1A6",0.6832549830615483
"Inactivation, Recovery And Regulation Of Phototransduction Cascade R-HSA-2514859",Reactome,2,30,4.01,1.04,1.4,0.0806409195906308,"CNGB1, GRK7",0.6832549830615483
Antigen processing and presentation,KEGG,3,55,3.28,1.45,1.39,0.08210789496018606,"HSPA1B, KLRC1, KLRC4",0.6832549830615483
RIPK1-mediated Regulated Necrosis R-HSA-5213460,Reactome,2,28,4.3,1.27,1.36,0.08717458607131445,"MLKL, RIPK3",0.7004027087798713
HDMs Demethylate Histones R-HSA-3214842,Reactome,2,25,4.81,1.69,1.3,0.0960695973945005,"H3C7, KDM6A",0.7278973385489216
Class C/3 (Metabotropic Glutamate/Pheromone Receptors) R-HSA-420499,Reactome,3,37,4.88,3.48,1.3,0.09684471027904107,"TAS2R20, TAS2R5, TAS2R8",0.7278973385489216
Phase II - Conjugation Of Compounds R-HSA-156580,Reactome,4,97,2.48,1.43,1.26,0.10398546526931174,"GSTT2, GSTT2B, UGT1A6, UGT3A2",0.7305928374436316
Glutathione metabolism,KEGG,3,54,3.34,1.86,1.25,0.10493473801189751,"GSTT2, GSTT2B, NAT8B",0.7305928374436316
Phototransduction Cascade R-HSA-2514856,Reactome,2,31,3.88,1.24,1.24,0.10661011361838402,"CNGB1, GRK7",0.7305928374436316
Interleukin-20 Family Signaling R-HSA-8854691,Reactome,2,26,4.63,1.78,1.23,0.10978913268112783,"IFNL2, IFNL3",0.7308819404200796
Phototransduction,KEGG,2,29,4.15,1.65,1.15,0.12493408747241191,"CNGB1, GRK7",0.8086011772519993
Digestion R-HSA-8935690,Reactome,2,22,5.47,2.96,1.1,0.13575466084628762,"ALPP, CHIA",0.8222598065130495
Cytochrome P450 - Arranged By Substrate Type R-HSA-211897,Reactome,3,55,3.28,2.67,1.03,0.15251335768630697,"CYP2A6, CYP2A7, CYP2F1",0.8222598065130495
"Sensory Perception Of Sweet, Bitter, And Umami (Glutamate) Taste R-HSA-9717207",Reactome,3,39,4.63,5.37,1.0,0.15817528094231104,"TAS2R20, TAS2R5, TAS2R8",0.8222598065130495
Activation Of HOX Genes During Differentiation R-HSA-5619507,Reactome,4,83,2.9,3.37,0.99,0.16025885947807045,"ASH2L, H2BC12, H3C7, KDM6A",0.8222598065130495
NOD1/2 Signaling Pathway R-HSA-168638,Reactome,2,33,3.64,1.72,0.99,0.1615713807481836,"CASP4, UBE2N",0.8222598065130495
Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722,Reactome,3,56,3.22,2.8,0.98,0.16304338680265185,"ASH2L, H2BC12, H3C7",0.8222598065130495
RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459,Reactome,3,59,3.06,2.54,0.97,0.165332356124886,"ASH2L, H2BC12, H3C7",0.8222598065130495
Glutathione Conjugation R-HSA-156590,Reactome,2,33,3.64,1.91,0.94,0.17398832411149806,"GSTT2, GSTT2B",0.8222598065130495
Diseases Of Programmed Cell Death R-HSA-9645723,Reactome,3,68,2.65,2.03,0.91,0.18078721873689885,"GOLGA2, H2BC12, H3C7",0.8222598065130495
Digestion And Absorption R-HSA-8963743,Reactome,2,27,4.45,3.03,0.91,0.18168586806076598,"ALPP, CHIA",0.8222598065130495
Sensory Perception Of Taste R-HSA-9717189,Reactome,3,45,4.01,5.88,0.84,0.1996006122147423,"TAS2R20, TAS2R5, TAS2R8",0.8222598065130495
RNA transport,KEGG,5,159,1.89,1.92,0.84,0.20170857208084925,"EIF2S3, PABPC1L2A, PABPC1L2B, RPP25, TARDBP",0.8222598065130495
Neutrophil extracellular trap formation,KEGG,6,172,2.1,3.77,0.82,0.20727565435156164,"CASP4, H2BC12, H2BC8, H3C10, H3C7, H4C7",0.8222598065130495
RNA Polymerase I Promoter Opening R-HSA-73728,Reactome,2,30,4.01,3.34,0.78,0.21700672015215705,"H2BC12, H3C7",0.8222598065130495
Activated PKN1 Stimulates Transcription Of Androgen Receptor Regulated KLK2 And KLK3 R-HSA-5625886,Reactome,2,34,3.54,2.59,0.78,0.21794385651220105,"H2BC12, H3C7",0.8222598065130495
SIRT1 Negatively Regulates rRNA Expression R-HSA-427359,Reactome,2,35,3.44,2.46,0.77,0.21943189680558078,"H2BC12, H3C7",0.8222598065130495
Systemic lupus erythematosus,KEGG,5,121,2.49,5.45,0.76,0.22347227095456706,"H2BC12, H2BC8, H3C10, H3C7, H4C7",0.8222598065130495
ABC transporters,KEGG,2,44,2.73,1.5,0.74,0.2291255737641133,"ABCA4, ABCB5",0.8222598065130495
DNA Methylation R-HSA-5334118,Reactome,2,32,3.76,3.28,0.74,0.22981803717395838,"H2BC12, H3C7",0.8222598065130495
Assembly Of ORC Complex At Origin Of Replication R-HSA-68616,Reactome,2,36,3.34,2.87,0.69,0.24379596647101925,"H2BC12, H3C7",0.8222598065130495
PKMTs Methylate Histone Lysines R-HSA-3214841,Reactome,2,42,2.86,1.95,0.69,0.2439294044986205,"ASH2L, H3C7",0.8222598065130495
Cargo Trafficking To Periciliary Membrane R-HSA-5620920,Reactome,2,49,2.45,1.29,0.68,0.24970504881749783,"BBIP1, CNGB1",0.8222598065130495
Nonhomologous End-Joining (NHEJ) R-HSA-5693571,Reactome,2,44,2.73,1.82,0.67,0.2505184571121727,"H2BC12, UBE2N",0.8222598065130495
Deactivation Of Beta-Catenin Transactivating Complex R-HSA-3769402,Reactome,2,36,3.34,3.32,0.65,0.2593332452243647,"ASH2L, SOX3",0.8222598065130495
PRC2 Methylates Histones And DNA R-HSA-212300,Reactome,2,40,3.01,2.57,0.65,0.2593429174117453,"H2BC12, H3C7",0.8222598065130495
Drug ADME R-HSA-9748784,Reactome,3,81,2.23,2.45,0.64,0.26046867108127203,"CES1, UGT1A6, UGT3A2",0.8222598065130495
Defective Pyroptosis R-HSA-9710421,Reactome,2,40,3.01,2.69,0.63,0.2641270314724595,"H2BC12, H3C7",0.8222598065130495
Condensation Of Prophase Chromosomes R-HSA-2299718,Reactome,2,41,2.93,2.53,0.63,0.2646301247989272,"H2BC12, H3C7",0.8222598065130495
Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,Reactome,3,86,2.1,2.33,0.59,0.27650801199919317,"CD1E, CD300LD, KLRC1",0.8222598065130495
Inositol Phosphate Metabolism R-HSA-1483249,Reactome,2,48,2.51,1.98,0.56,0.2865640602472168,"NUDT10, NUDT11",0.8222598065130495
Reproduction R-HSA-1474165,Reactome,3,102,1.77,1.23,0.56,0.2868982300231626,"H2BC12, H3C7, OVGP1",0.8222598065130495
Voltage Gated Potassium Channels R-HSA-1296072,Reactome,2,43,2.8,2.98,0.54,0.29351750776602603,"KCNA3, KCNG2",0.8222598065130495
Interferon Alpha/Beta Signaling R-HSA-909733,Reactome,2,50,2.41,2.0,0.52,0.30008337716315925,"IFI27, IFIT3",0.8222598065130495
mRNA surveillance pathway,KEGG,3,92,1.96,2.37,0.52,0.303210977610895,"PABPC1L2A, PABPC1L2B, TARDBP",0.8222598065130495
"Nucleotide-binding Domain, Leucine Rich Repeat Containing NLR Signaling Pathways R-HSA-168643",Reactome,2,53,2.27,1.72,0.51,0.30593225840647303,"CASP4, UBE2N",0.8222598065130495
ERCC6 (CSB) And EHMT2 (G9a) Positively Regulate rRNA Expression R-HSA-427389,Reactome,2,43,2.8,3.5,0.5,0.30817657432203566,"H2BC12, H3C7",0.8222598065130495
Toxoplasmosis,KEGG,3,103,1.75,1.53,0.49,0.31129567559573923,"BIRC7, HSPA1B, IRGM",0.8222598065130495
Xenobiotic Metabolism,Hallmark,5,190,1.58,2.53,0.48,0.31522363553959626,"ALDH3A1, CES1, FMO3, GSTT2, MBL2",0.8222598065130495
Recruitment And ATM-mediated Phosphorylation Of Repair And Signal Proteins At DNA Double Strand Breaks R-HSA-5693565,Reactome,2,55,2.19,1.66,0.48,0.3154718236032764,"H2BC12, UBE2N",0.8222598065130495
Alcoholism,KEGG,5,176,1.71,3.77,0.48,0.31552513154301765,"H2BC12, H2BC8, H3C10, H3C7, H4C7",0.8222598065130495
Meiotic Recombination R-HSA-912446,Reactome,2,51,2.36,2.29,0.47,0.3181154160062255,"H2BC12, H3C7",0.8222598065130495
Taste transduction,KEGG,3,80,2.26,4.72,0.47,0.3184662914793044,"TAS2R20, TAS2R5, TAS2R8",0.8222598065130495
