pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Carnitine Metabolism R-HSA-200425,Reactome,2,11,10.93,1.0,3.11,0.0009462120242533423,"PRKAB2, SLC22A5",0.2587671484403115
Telomere Extension By Telomerase R-HSA-171319,Reactome,3,21,8.59,1.49,3.01,0.0013202405532668955,"CCNA2, GAR1, NHP2",0.2587671484403115
Serotonin Neurotransmitter Release Cycle R-HSA-181429,Reactome,2,17,7.08,1.0,2.31,0.01044046589626548,"SYN1, TSPOAP1",0.712829997188932
Activation Of ATR In Response To Replication Stress R-HSA-176187,Reactome,3,35,5.15,1.64,1.98,0.023853918031796446,"CDC25C, MCM10, RFC3",0.712829997188932
Dopamine Neurotransmitter Release Cycle R-HSA-212676,Reactome,2,22,5.47,1.0,1.89,0.029222728357913477,"SYN1, TSPOAP1",0.712829997188932
Bladder cancer,KEGG,3,40,4.51,1.44,1.89,0.029313402639214454,"CXCL8, ERBB2, MYC",0.712829997188932
Extension Of Telomeres R-HSA-180786,Reactome,4,47,5.12,2.8,1.86,0.031729923269196186,"CCNA2, GAR1, NHP2, RFC3",0.712829997188932
Glutamate Neurotransmitter Release Cycle R-HSA-210500,Reactome,2,22,5.47,1.2,1.73,0.0419569980009223,"ARL6IP5, TSPOAP1",0.712829997188932
Regulation Of PLK1 Activity At G2/M Transition R-HSA-2565942,Reactome,4,79,3.05,1.26,1.72,0.042766767627389256,"AJUBA, BORA, SDCCAG8, TUBG1",0.712829997188932
RIG-I-like receptor signaling pathway,KEGG,3,55,3.28,1.02,1.66,0.04880524430246935,"CXCL8, DDX3X, MAPK8",0.712829997188932
Progesterone-mediated oocyte maturation,KEGG,4,90,2.67,1.0,1.66,0.04881533369675861,"CCNA2, CDC25C, CPEB3, MAPK8",0.712829997188932
Platelet Calcium Homeostasis R-HSA-418360,Reactome,2,26,4.63,1.0,1.64,0.05062322449980138,"P2RX4, SLC8A2",0.712829997188932
Ribosome biogenesis in eukaryotes,KEGG,5,60,5.01,4.74,1.63,0.0518501765515325,"GAR1, GNL3L, NHP2, NOP56, RPP25",0.712829997188932
RNA Polymerase III Transcription Termination R-HSA-73980,Reactome,2,21,5.73,1.48,1.62,0.05301874934895969,"POLR3B, SSB",0.712829997188932
Gap-filling DNA Repair Synthesis And Ligation In GG-NER R-HSA-5696397,Reactome,2,22,5.47,1.51,1.54,0.06171866688271408,"POLE4, RFC3",0.712829997188932
Cyclin A/B1/B2 Associated Events During G2/M Transition R-HSA-69273,Reactome,2,23,5.23,1.41,1.54,0.061978790148351705,"CCNA2, CDC25C",0.712829997188932
PCNA-Dependent Long Patch Base Excision Repair R-HSA-5651801,Reactome,2,21,5.73,1.64,1.53,0.06239882259794182,"POLE4, RFC3",0.712829997188932
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,KEGG,2,26,4.63,1.17,1.52,0.06485286513698552,"GPLD1, PIGB",0.712829997188932
