pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Biosynthesis Of E-series 18(S)-resolvins R-HSA-9018896,Reactome,2,5,24.06,1.0,4.96,3.5997800907669095e-07,"GPX4, LTA4H",0.00014615107168513652
Biosynthesis Of EPA-derived SPMs R-HSA-9018679,Reactome,2,6,20.05,1.0,4.47,3.889935389783644e-06,"GPX4, LTA4H",0.0007896568841260797
APEX1-Independent Resolution Of AP Sites Via Single Nucleotide Replacement Pathway R-HSA-5649702,Reactome,2,6,20.05,1.47,3.69,0.00011334982096694196,"NEIL2, PNKP",0.01534000910419281
Type I diabetes mellitus,KEGG,4,33,7.29,1.36,3.45,0.0002768519954464669,"FAS, FASLG, HLA-DOB, IL12A",0.02810047753781639
"Transport Of Vitamins, Nucleosides, And Related Molecules R-HSA-425397",Reactome,5,43,6.99,1.81,3.36,0.0003943426571793049,"LCN1, NLRP3, SLC33A1, SLC35B3, SLC35D1",0.03202062376295956
Allograft rejection,KEGG,4,27,8.91,1.95,3.29,0.0005055332477440362,"FAS, FASLG, HLA-DOB, IL12A",0.03420774976401312
Negative Feedback Regulation Of MAPK Pathway R-HSA-5674499,Reactome,2,6,20.05,1.99,3.17,0.0007730139003482327,"BRAF, MAP2K2",0.0448348062201975
Transport Of Nucleotide Sugars R-HSA-727802,Reactome,2,9,13.36,1.4,2.98,0.001439010944139753,"SLC35B3, SLC35D1",0.07302980541509246
Signaling By High-Kinase Activity BRAF Mutants R-HSA-6802948,Reactome,3,30,6.01,1.26,2.55,0.005343077121812261,"BRAF, FGA, MAP2K2",0.21903635595260862
Biosynthesis Of DHA-derived SPMs R-HSA-9018677,Reactome,2,15,8.02,1.0,2.53,0.005762912170193851,"GPX4, LTA4H",0.21903635595260862
Glutathione metabolism,KEGG,4,54,4.45,1.22,2.52,0.005934482550440135,"GPX3, GPX4, MGST3, PRDX6",0.21903635595260862
Signaling By RAF1 Mutants R-HSA-9656223,Reactome,3,35,5.15,1.06,2.46,0.006895139837903003,"BRAF, FGA, MAP2K2",0.23328556451571825
MAP2K And MAPK Activation R-HSA-5674135,Reactome,3,33,5.47,1.28,2.35,0.009371936778905762,"BRAF, FGA, MAP2K2",0.2926927947873646
Biosynthesis Of Specialized Proresolving Mediators (SPMs) R-HSA-9018678,Reactome,2,17,7.08,1.0,2.31,0.01044046589626548,"GPX4, LTA4H",0.3027735109916989
Autoimmune thyroid disease,KEGG,3,29,6.22,1.69,2.26,0.011934748838284496,"FAS, FASLG, HLA-DOB",0.315351482367372
Graft-versus-host disease,KEGG,3,25,7.22,2.11,2.24,0.012427644625315152,"FAS, FASLG, HLA-DOB",0.315351482367372
African trypanosomiasis,KEGG,3,34,5.31,1.44,2.16,0.015229272040560465,"FAS, FASLG, IL12A",0.3637108499098558
Reactive Oxygen Species Pathway,Hallmark,4,49,4.91,2.0,2.12,0.016880480977742907,"ATOX1, GPX3, GPX4, PRDX6",0.37919080798726806
Prolonged ERK Activation Events R-HSA-169893,Reactome,2,13,9.25,1.78,2.09,0.018485503568911054,"BRAF, MAP2K2",0.37919080798726806
RNA Pol II CTD Phosphorylation And Interaction With CE R-HSA-77075,Reactome,3,26,6.94,2.32,2.08,0.018679350147156062,"GTF2H1, POLR2E, RNMT",0.37919080798726806
Regulation Of Gene Expression In Beta Cells R-HSA-210745,Reactome,2,20,6.01,1.0,2.04,0.020537967178092986,"MAFA, PKLR",0.38930244046323637
Paradoxical Activation Of RAF Signaling By Kinase Inactive BRAF R-HSA-6802955,Reactome,3,38,4.75,1.36,2.03,0.02109520613347586,"BRAF, FGA, MAP2K2",0.38930244046323637
Acute myeloid leukemia,KEGG,4,66,3.64,1.38,1.97,0.024154521352287132,"BRAF, CEBPE, MAP2K2, PPARD",0.41513516315832666
Frs2-mediated Activation R-HSA-170968,Reactome,2,11,10.93,2.49,1.97,0.024540009644827193,"BRAF, MAP2K2",0.41513516315832666
Basal transcription factors,KEGG,3,43,4.2,1.23,1.92,0.027139763844441573,"GTF2E1, GTF2H1, TAF4",0.44074976483373113
mRNA Capping R-HSA-72086,Reactome,3,28,6.44,2.71,1.83,0.033857339757010954,"GTF2H1, POLR2E, RNMT",0.5286953823594788
HIV Transcription Initiation R-HSA-167161,Reactome,4,44,5.47,3.31,1.8,0.036222696578063526,"GTF2E1, GTF2H1, POLR2E, TAF4",0.544682030025696
Transcription Of HIV Genome R-HSA-167172,Reactome,5,67,4.49,3.4,1.76,0.03935451786119015,"GTF2E1, GTF2H1, POLR2E, RNMT, TAF4",0.5706405089872572
