pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Terminal Pathway Of Complement R-HSA-166665,Reactome,3,6,30.07,2.53,4.82,7.08498219431193e-07,"C8A, C8B, C8G",0.00019837950144073403
Ethanol Oxidation R-HSA-71384,Reactome,3,11,16.4,2.08,3.79,7.654678725395079e-05,"ADH6, ADH7, ALDH1B1",0.010286078507269572
Amino Acid Conjugation R-HSA-156587,Reactome,3,9,20.05,2.75,3.69,0.00011020798400645971,"ACSM1, ACSM2A, ACSM2B",0.010286078507269572
Conjugation Of Benzoate With Glycine R-HSA-177135,Reactome,2,6,20.05,1.8,3.33,0.000432536242911307,"ACSM1, ACSM2B",0.030277537003791488
Conjugation Of Salicylate With Glycine R-HSA-177128,Reactome,2,8,15.04,1.98,2.69,0.003623623202680435,"ACSM2A, ACSM2B",0.20292289935010435
Butanoate metabolism,KEGG,4,28,8.59,3.22,2.5,0.0061552889759347905,"ACSM1, ACSM2A, ACSM2B, ECHS1",0.26566824848161524
Fatty acid degradation,KEGG,5,43,6.99,3.33,2.48,0.006641706212040381,"ACSBG1, ADH6, ADH7, ALDH1B1, ECHS1",0.26566824848161524
Digestion Of Dietary Carbohydrate R-HSA-189085,Reactome,2,10,12.03,2.52,2.08,0.01881167599937222,"LCT, TREH",0.6584086599780277
Chemokine Receptors Bind Chemokines R-HSA-380108,Reactome,4,48,5.01,2.86,1.81,0.03537903960272557,"CCL11, CXCR1, CXCR2, CXCR4",0.7810032362793483
Fatty acid biosynthesis,KEGG,2,18,6.68,1.68,1.71,0.043998556710924765,"ACSBG1, OLAH",0.7810032362793483
Regulation Of Complement Cascade R-HSA-977606,Reactome,3,37,4.88,2.73,1.47,0.07113583208813665,"C8A, C8B, C8G",0.7810032362793483
Pyruvate metabolism,KEGG,3,46,3.92,2.08,1.39,0.08256844754619985,"ADH6, ADH7, ALDH1B1",0.7810032362793483
Other Interleukin Signaling R-HSA-449836,Reactome,2,23,5.23,1.75,1.38,0.08394843166662252,"PRTN3, STX4",0.7810032362793483
Basigin Interactions R-HSA-210991,Reactome,2,25,4.81,1.76,1.28,0.10067112405809181,"ITGA3, SLC7A6",0.7810032362793483
Amoebiasis,KEGG,5,91,3.3,4.21,1.2,0.115560860266886,"C8A, C8B, C8G, IL1R1, IL1R2",0.7810032362793483
Nicotinate Metabolism R-HSA-196807,Reactome,2,31,3.88,1.35,1.19,0.11698642857224295,"NMRK2, PARP10",0.7810032362793483
Pyrimidine metabolism,KEGG,3,54,3.34,2.1,1.18,0.1190378345490265,"PNP, TYMP, TYMS",0.7810032362793483
MET Promotes Cell Motility R-HSA-8875878,Reactome,2,25,4.81,2.11,1.17,0.12158288940803053,"CRK, ITGA3",0.7810032362793483
Translation Of Structural Proteins R-HSA-9683701,Reactome,2,28,4.3,1.72,1.17,0.12161818613333991,"PARP10, ST6GALNAC3",0.7810032362793483
Reactive Oxygen Species Pathway,Hallmark,3,49,3.68,2.66,1.16,0.1236235777088967,"GPX3, SOD2, TXNRD2",0.7810032362793483
Interconversion Of Nucleotide Di- And Triphosphates R-HSA-499943,Reactome,2,28,4.3,1.82,1.13,0.12863170063708312,"AK6, TYMS",0.7810032362793483
Complement Cascade R-HSA-166658,Reactome,3,47,3.84,3.07,1.12,0.13116134952418862,"C8A, C8B, C8G",0.7810032362793483
Digestion R-HSA-8935690,Reactome,2,22,5.47,2.96,1.1,0.13575466084628762,"LCT, TREH",0.7810032362793483
Myogenesis R-HSA-525793,Reactome,2,29,4.15,1.85,1.09,0.13838322753518328,"MYF5, MYF6",0.7810032362793483
beta-Alanine metabolism,KEGG,2,30,4.01,1.78,1.07,0.1419762172022872,"ALDH1B1, ECHS1",0.7810032362793483
Viral protein interaction with cytokine and cytokine receptor,KEGG,4,86,2.8,2.86,1.04,0.1501926771018941,"CCL11, CXCR1, CXCR2, CXCR4",0.7810032362793483
Cytokine-cytokine receptor interaction,KEGG,10,267,2.25,5.63,1.03,0.15154608372520995,"CCL11, CXCR1, CXCR2, CXCR4, IFNB1, IFNK, IL1R1, IL1R2, IL36A, TNFSF18",0.7810032362793483
Coagulation,Hallmark,6,134,2.69,4.89,1.0,0.15764787830106575,"C8A, C8B, C8G, F11, MST1, PROZ",0.7810032362793483
Tyrosine metabolism,KEGG,2,35,3.44,1.47,1.0,0.1583774528925725,"ADH6, ADH7",0.7810032362793483
Nicotinate and nicotinamide metabolism,KEGG,2,34,3.54,1.61,0.99,0.16096036243520767,"NMRK2, PNP",0.7810032362793483
Complement and coagulation cascades,KEGG,4,74,3.25,4.67,0.96,0.16919656278531164,"C8A, C8B, C8G, F11",0.7810032362793483
Peptide Ligand-Binding Receptors R-HSA-375276,Reactome,7,181,2.33,4.6,0.95,0.17055684724680986,"CCL11, CXCR1, CXCR2, CXCR4, NMUR1, RXFP4, SSTR4",0.7810032362793483
Detoxification Of Reactive Oxygen Species R-HSA-3299685,Reactome,2,34,3.54,1.75,0.95,0.17110539032770516,"GPX3, TXNRD2",0.7810032362793483
Phase I - Functionalization Of Compounds R-HSA-211945,Reactome,4,94,2.56,2.77,0.94,0.17317299080263165,"ADH6, ADH7, ALDH1B1, CYP39A1",0.7810032362793483
Mitochondrial Fatty Acid Beta-Oxidation R-HSA-77289,Reactome,2,36,3.34,1.58,0.94,0.17442995011838802,"ACAD10, ECHS1",0.7810032362793483
Synthesis Of Substrates In N-glycan Biosythesis R-HSA-446219,Reactome,3,63,2.86,2.39,0.93,0.17678847353982718,"DOLPP1, GNPNAT1, ST6GALNAC3",0.7810032362793483
Xenobiotic Metabolism,Hallmark,7,190,2.22,4.27,0.92,0.17797637629610646,"ACSM1, ADH7, CRP, F11, GCKR, IL1R1, LCAT",0.7810032362793483
Glycolysis / Gluconeogenesis,KEGG,3,65,2.78,2.26,0.92,0.17947966582417418,"ADH6, ADH7, ALDH1B1",0.7810032362793483
Digestion And Absorption R-HSA-8963743,Reactome,2,27,4.45,3.03,0.91,0.18168586806076598,"LCT, TREH",0.7810032362793483
Biological Oxidations R-HSA-211859,Reactome,7,198,2.13,4.08,0.89,0.1872280084529096,"ACSM1, ACSM2A, ACSM2B, ADH6, ADH7, ALDH1B1, CYP39A1",0.7810032362793483
Fatty acyl-CoA Biosynthesis R-HSA-75105,Reactome,2,37,3.25,1.68,0.88,0.19013327434074478,"ACSBG1, OLAH",0.7810032362793483
Antimicrobial Peptides R-HSA-6803157,Reactome,4,76,3.17,5.48,0.86,0.1951601557973694,"EPPIN, ITLN1, PGLYRP4, PRTN3",0.7810032362793483
Aspirin ADME R-HSA-9749641,Reactome,2,36,3.34,2.17,0.8,0.21206904380487474,"ACSM2A, ACSM2B",0.7810032362793483
Tryptophan metabolism,KEGG,2,41,2.93,1.78,0.75,0.2268163059287478,"ALDH1B1, ECHS1",0.7810032362793483
Interferon Gamma Response,Hallmark,6,180,2.0,4.07,0.73,0.23300446917301837,"CD274, HELZ2, IFIT3, PNP, SOD2, TNFAIP6",0.7810032362793483
Interleukin-10 Signaling R-HSA-6783783,Reactome,2,41,2.93,1.93,0.72,0.23538879563272896,"IL1R1, IL1R2",0.7810032362793483
Cholesterol metabolism,KEGG,2,41,2.93,1.96,0.72,0.23714526056847895,"LCAT, SOAT2",0.7810032362793483
Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193,Reactome,3,77,2.34,2.39,0.7,0.24041960953264052,"DOLPP1, GNPNAT1, ST6GALNAC3",0.7810032362793483
Cardiac muscle contraction,KEGG,3,77,2.34,2.52,0.69,0.24629412644234,"ATP1B4, CACNA2D4, COX7B2",0.7810032362793483
SARS-CoV-1 Infection R-HSA-9678108,Reactome,2,45,2.67,1.72,0.67,0.2516425987804217,"PARP10, ST6GALNAC3",0.7810032362793483
Spliceosome,KEGG,4,126,1.91,2.22,0.66,0.25493061276845685,"PPIE, RP9, SF3A2, SNRPD1",0.7810032362793483
Carbohydrate digestion and absorption,KEGG,2,45,2.67,1.78,0.66,0.2550807474649168,"ATP1B4, LCT",0.7810032362793483
Drug ADME R-HSA-9748784,Reactome,3,81,2.23,2.45,0.64,0.26046867108127203,"ACSM2A, ACSM2B, SLC28A2",0.7810032362793483
Class C/3 (Metabotropic Glutamate/Pheromone Receptors) R-HSA-420499,Reactome,2,37,3.25,3.48,0.61,0.2708848243482541,"TAS2R16, TAS2R60",0.7810032362793483
"Valine, leucine and isoleucine degradation",KEGG,2,48,2.51,1.78,0.59,0.2761892195638399,"ALDH1B1, ECHS1",0.7810032362793483
Late SARS-CoV-2 Infection Events R-HSA-9772573,Reactome,2,49,2.45,1.72,0.58,0.27935604464049496,"PARP10, ST6GALNAC3",0.7810032362793483
Respiratory Electron Transport R-HSA-611105,Reactome,3,85,2.12,2.75,0.56,0.2886622444864475,"ETFB, NDUFB6, TMEM126B",0.7810032362793483
Arginine and proline metabolism,KEGG,2,50,2.41,1.82,0.55,0.29154477391679656,"ALDH1B1, ODC1",0.7810032362793483
Mitochondrial Translation Initiation R-HSA-5368286,Reactome,3,81,2.23,3.43,0.54,0.2937071987358967,"MRPL13, MRPL50, MRPS15",0.7810032362793483
Interferon Alpha Response,Hallmark,3,89,2.03,2.46,0.54,0.2942315635794793,"HELZ2, IFIT3, MVB12A",0.7810032362793483
G Alpha (I) Signaling Events R-HSA-418594,Reactome,8,300,1.6,4.71,0.53,0.29877096160830385,"CXCR1, CXCR2, CXCR4, NMUR1, RXFP4, SSTR4, TAS2R16, TAS2R60",0.7810032362793483
Interferon Alpha/Beta Signaling R-HSA-909733,Reactome,2,50,2.41,2.0,0.52,0.30008337716315925,"IFIT3, IFNB1",0.7810032362793483
Mitochondrial Translation Termination R-HSA-5419276,Reactome,3,81,2.23,3.75,0.52,0.3018407549945592,"MRPL13, MRPL50, MRPS15",0.7810032362793483
Hematopoietic cell lineage,KEGG,3,90,2.0,2.58,0.52,0.30283010387281595,"IL1R1, IL1R2, ITGA3",0.7810032362793483
Glutathione metabolism,KEGG,2,54,2.23,1.57,0.51,0.30417802832611074,"GPX3, ODC1",0.7810032362793483
Signaling By FGFR R-HSA-190236,Reactome,3,83,2.17,3.7,0.5,0.308039987913565,"FGFBP1, FGFR4, TIAL1",0.7810032362793483
Chemokine signaling pathway,KEGG,5,174,1.73,3.65,0.5,0.3081182827319032,"CCL11, CRK, CXCR1, CXCR2, CXCR4",0.7810032362793483
Mitochondrial Translation Elongation R-HSA-5389840,Reactome,3,81,2.23,4.02,0.5,0.3082085960091241,"MRPL13, MRPL50, MRPS15",0.7810032362793483
RIG-I-like receptor signaling pathway,KEGG,2,55,2.19,1.63,0.48,0.3141425335730948,"IFNB1, IFNK",0.7810032362793483
GPCR Ligand Binding R-HSA-500792,Reactome,11,415,1.59,8.74,0.47,0.3177377920265306,"CCL11, CXCR1, CXCR2, CXCR4, LTB4R, NMUR1, RXFP4, SSTR4, TAS2R16, TAS2R60, UCN2",0.7810032362793483
Myc Targets V2,Hallmark,2,54,2.23,1.93,0.46,0.32186125500598495,"EXOSC5, FARSA",0.7810032362793483
Systemic lupus erythematosus,KEGG,4,122,1.97,5.49,0.45,0.3276482619943931,"C8A, C8B, C8G, SNRPD1",0.7810032362793483
Glycerophospholipid metabolism,KEGG,3,96,1.88,2.72,0.44,0.3304884346450322,"DGKA, LCAT, PLD4",0.7810032362793483
