gene,taxa_count,codon_length,fn,max_lrt,psi_contrast,max_rho_contrast,p_evd_track_a,max_synergy_contrast,top3_synergy_contrast,best_site_codon,best_site_lrt,best_site_rho,valid_clades,pos_clades,pos_delta_sum,net_delta,delta_bovids,delta_camelids,delta_lagomorphs,delta_felids,delta_equids,delta_rodents,z_track_b,z_score,p_track_b,q_track_b,rank_track_b,q_track_a,rank_track_a,p_combined,p_value,fdr_q,psi_score,psi_track_b,max_rho_track_a,composite_rank,tier
CNOT7,713,285,0.018827972933650017,16.275571823120117,0.007760426424604796,0.316350519657135,4.274358644806761e-14,5.148785591125488,2.550593614578247,8,16.275571823120117,0.316350519657135,6,4,0.18678996011749283,0.18678996011749283,0.03365541618673411,0.03413695326394208,0.0976063867412082,0.0,0.0,0.02139120392560845,-1.304006568641158,-1.304006568641158,0.9038843286204026,0.967637875437287,15210,4.845626242595219e-11,214,8.548717289613705e-14,8.548717289613705e-14,9.691496794273247e-11,0.007760426424604796,0.007760426424604796,0.316350519657135,1,Tier 0: Core Bottleneck Transducer
TRAPPC1,727,147,0.03290828689932823,39.55767822265625,0.008240136144452155,0.28867509961128235,9.32587340685088e-14,3.9882092475891113,2.244328737258911,26,13.815564155578613,0.28867509961128235,6,3,0.137602846316361,0.137602846316361,0.0,0.07925853779442052,0.043846379640992826,0.0,0.0,0.01449792888094763,-1.1725098975650656,-1.1725098975650656,0.8795037996324369,0.957230644297313,14961,4.845626242595219e-11,1472,1.8646195698579504e-13,1.8646195698579504e-13,9.691496794273247e-11,0.008240136144452155,0.008240136144452155,0.28867509961128235,2,Tier 0: Core Bottleneck Transducer
CHURC1,730,114,0.06398821622133255,41.31537628173828,0.009118488460661137,0.28867509961128235,9.908740494779031e-14,2.853588342666626,1.3373574018478394,31,9.88512134552002,0.28867509961128235,6,2,0.0360134278656222,-0.017843114826556386,-0.01099689893976179,0.03205186358199296,-0.00691941822256258,-0.017039075332604518,-0.018901150197249694,0.003961564283629236,-0.9893539402229051,-0.9893539402229051,0.8387549992203549,0.9421805416666497,14491,4.845626242595219e-11,1472,1.9817480989559044e-13,1.9817480989559044e-13,9.691496794273247e-11,0.009118488460661137,0.009118488460661137,0.28867509961128235,3,Tier 0: Core Bottleneck Transducer
PIGY,615,71,0.06180090829730034,41.91300964355469,0.010455643851730907,0.3162277638912201,1.1851630787872844e-13,2.6520819664001465,1.598182201385498,10,8.386619567871094,0.3162277638912201,5,2,0.02533114962999309,4.268499064622334e-05,0.0057765337888810156,0.019554615841112073,-0.008071754335785377,-0.010301858609227312,-0.006914851694334176,,-1.046930126989402,-1.046930126989402,0.8524340971534812,0.9461547841351843,14671,4.845626242595219e-11,237,2.370326157574709e-13,2.370326157574709e-13,9.691496794273247e-11,0.010455643851730907,0.010455643851730907,0.3162277638912201,4,Tier 0: Core Bottleneck Transducer
CDC26,722,89,0.06862591207027435,37.6771354675293,0.009005286213019185,0.28867512941360474,1.2767564783188485e-13,2.951103925704956,1.8170784711837769,65,19.919666290283203,0.1481502652168274,6,3,0.04530869570811005,-0.0003485034004595041,0.01356043966363885,0.016730439758093043,0.015017816286378164,-0.016941231388452747,-0.016566882009559632,-0.012149085710557178,-1.032059229560948,-1.032059229560948,0.8489778141812729,0.9452823744360922,14625,4.845626242595219e-11,641,2.5529578451255475e-13,2.5529578451255475e-13,9.691496794273247e-11,0.009005286213019185,0.009005286213019185,0.28867512941360474,5,Tier 0: Core Bottleneck Transducer
NFYB,720,228,0.044225580990314484,41.86504364013672,0.006381744386520916,0.28867509961128235,1.4155343563969744e-13,1.996636986732483,1.6591086387634277,31,41.740020751953125,0.04783507436513901,6,2,0.05825503061310271,-0.005277765704261408,-0.027810127080217736,0.0,0.051559862164806194,-0.019388128159084694,-0.016334541078061687,0.006695168448296514,-1.5618359848190262,-1.5618359848190262,0.9408366839142577,0.9832584379850929,15581,4.845626242595219e-11,1472,2.831068712794149e-13,2.831068712794149e-13,9.691496794273247e-11,0.006381744386520916,0.006381744386520916,0.28867509961128235,6,Tier 0: Core Bottleneck Transducer
TMEM14A,711,100,0.08657106012105942,41.12586975097656,0.01353427469035979,0.3162277638912201,1.4960255256822866e-13,9.395134925842285,3.5632050037384033,75,29.710025787353516,0.3162277638912201,5,2,0.05455193906365499,0.01411772042135499,0.027452069587071453,0.027099869476583542,-0.013696922578683476,-0.007021138988504628,-0.019716157075111897,,-0.1544017087473707,-0.1544017087473707,0.5613534967846472,0.8830152778136249,10322,4.845626242595219e-11,237,2.9926061628771095e-13,2.9926061628771095e-13,9.691496794273247e-11,0.01353427469035979,0.01353427469035979,0.3162277638912201,7,Tier 0: Core Bottleneck Transducer
SNRNP25,718,126,0.057553451508283615,40.699127197265625,0.009195847150831058,0.28867512941360474,1.5887291482384728e-13,2.4793994426727295,1.1132668256759644,90,8.588891983032227,0.28867512941360474,6,3,0.03886639543530109,0.021382404808359064,0.012390247870352396,0.0,0.01904544416551932,-0.017483990626942027,0.0,0.007430703399429375,-1.0041049843122516,-1.0041049843122516,0.8423359933906576,0.9429244099622911,14545,4.845626242595219e-11,641,3.177458296477198e-13,3.177458296477198e-13,9.691496794273247e-11,0.009195847150831058,0.009195847150831058,0.28867512941360474,8,Tier 0: Core Bottleneck Transducer
FZR1,688,511,0.07011096179485321,31.752931594848633,0.013851092093193022,0.3162277340888977,1.651456749129784e-13,3.7212376594543457,2.9798061847686768,138,26.313125610351562,0.1414213478565216,5,2,0.03507369687828037,0.010915024562880824,0.004647230581413612,0.03042646629686676,-0.0052160322584141735,,-0.017735892496323645,-0.001206747560661729,-0.15204275073930767,-0.15204275073930767,0.5604233913102507,0.8830152778136249,10300,4.845626242595219e-11,375,3.3034686097721533e-13,3.3034686097721533e-13,9.691496794273247e-11,0.013851092093193022,0.013851092093193022,0.3162277340888977,9,Tier 0: Core Bottleneck Transducer
TFAP4,715,423,0.09132186323404312,41.187461853027344,0.010442038696393503,0.3162277638912201,1.690314554991658e-13,0.9674513339996338,0.4867427349090576,414,3.059349775314331,0.3162277638912201,5,3,0.07297235162433131,0.06512382951702833,0.007572822799486303,0.035836657348735784,,-0.00479223608557811,-0.003056286021724869,0.02956287147610923,-0.7625410066699353,-0.7625410066699353,0.777131410695801,0.9188127417244191,13773,4.845626242595219e-11,237,3.381184221495914e-13,3.381184221495914e-13,9.691496794273247e-11,0.010442038696393503,0.010442038696393503,0.3162277638912201,10,Tier 0: Core Bottleneck Transducer
