,CONT_ADULTBODYMASS_G,CONT_GEOGRAPHICRANGE_KM2,CONT_GESTATIONLENGTH_D_ALLOMETRIC_RESIDUAL,CONT_LITTERSIZE_ALLOMETRIC_RESIDUAL,CONT_MAXLONGEVITY_M_ALLOMETRIC_RESIDUAL,CONT_MEANPRECIPITATION_MM,CONT_MEANTEMPERATURE_C,CONT_SEXUALMATURITYAGE_D_ALLOMETRIC_RESIDUAL,CONT_WEANINGAGE_D_ALLOMETRIC_RESIDUAL,DISC_AQUATIC_MARINE,DISC_BIPEDAL_SALTATION,DISC_CARNIVORY,DISC_DESERT_OSMOREGULATION,DISC_DIURNALITY,DISC_ECHOLOCATION,DISC_ENAMEL_LOSS_EDENTULISM,DISC_FOREGUT_FERMENTATION,DISC_HERBIVORY,DISC_HIBERNATION,DISC_HIGH_ALTITUDE,DISC_HIGH_SUGAR_FRUGIVORY,DISC_LOSS_GULO_VITAMINC,DISC_LOSS_UCP1_THERMOGENESIS,DISC_MYRMECOPHAGY,DISC_NOCTURNALITY,DISC_PETO_PARADOX_CANCER_RESISTANCE,DISC_PHYSICAL_BODY_ARMOR,DISC_PREHENSILE_TAIL,DISC_SCAR_FREE_REGENERATION,DISC_SPONTANEOUS_MENSTRUATION,DISC_SUBTERRANEAN_VISION_LOSS,DISC_SUBTERRANEAN,DISC_VENOM_RESISTANCE
A1BG,0.013442956561432934,0.3884051525636409,0.0,0.43217970059786587,0.0,0.0,0.0,0.0,0.0,0.015032518363297573,0.0,0.013507075833287176,0.004169569985240989,0.009947713376237894,0.008530801792665093,0.0057910086605948725,0.0030436514806648574,0.009113949606466236,0.01239851333036483,0.00529169293671135,0.006610843920463106,0.0069499008245733655,0.007853648535311048,0.0,0.0,0.007172851850799074,1.1839597446714887e-12,0.007827636218044417,0.011036839667102089,0.0049638667385402905,0.01706009174891949,0.0,0.009670015406432066
A1CF,0.04460471826601151,0.040253416056425656,0.07072597010378767,0.050175000709286856,0.05771357396099906,0.05837293204089938,0.05546344450719234,0.08397353531131724,0.06625455312750445,0.039652621307722596,0.03383491508453711,0.0375803197661303,0.010751641480313951,0.027677215574634987,0.023734986253631674,0.016112144472992255,0.008468257475697065,0.025357460398594954,0.034496000565234476,0.014722913761667154,0.01839314678627376,0.013724761156611648,0.021850963667534404,0.002071958016073795,0.03348593478096878,0.020849523438003746,0.0,0.001389358921036227,0.0,0.01381081305926183,0.047465766171528714,0.0,0.02703215377768029
A2M,0.0103996143286874,0.06096940145755041,0.04118248519813062,0.07599702239157057,0.002111284123911905,0.002759171621464609,0.07876917940131871,0.02220828845189131,0.01650115083154392,0.04248942598951003,0.0,0.05692062505980937,0.01723914541255666,0.04192099535680817,0.03594994033447027,0.024404085440572303,0.0,0.02593225670704405,0.052248994326182976,0.022299902162382736,0.07362333682698288,0.02928781210093542,0.03309632589226145,0.0,0.05071910910568128,0.0315795052749899,0.0,0.03298670650636729,0.046510719291894306,0.0,0.07189350958799401,0.0,6.816811881858745e-09
A2ML1,0.05495179466888512,0.04959110918854145,0.01889234806238329,0.06181423050459818,0.0,0.000667084397417719,0.06832944882673436,0.0,0.0,0.05486610013518287,0.041683691291945955,0.04629792756595065,0.014291949755853935,0.034097573673562157,0.02924085481943804,0.025373077385846193,0.010432661926761837,0.031239698653354478,0.042498130548735184,0.01813822764519796,0.0,0.022216037520315354,0.026919790449401456,0.05541598708708255,0.041253757089227655,0.025686043437748142,0.024884530807312705,0.02683062856155116,0.0,0.017014544490940364,0.05847652754813358,0.06559336879983993,0.03330287515750837
A3GALT2,0.03945754635402422,0.009550384657774632,0.0797245139379712,0.05655882185165006,0.06505653616220089,0.06579978510391192,0.06252012023550514,0.09465758160013271,0.07468419360690964,0.05020141734207572,0.028868081370546233,0.042361705644922885,0.013076856794228741,0.031198618493407566,0.0,0.0038698443519835455,0.0,0.028583718286404537,0.038884965081871885,0.011254672481016609,0.0,0.021796698014120364,3.1581808018958534e-05,0.05070455323646702,0.03774638750452953,5.3585486478427254e-05,0.02276886298354877,0.02454950467866267,0.0,0.015567978164485694,2.675206450401643e-14,0.0,0.030471484766620927
A4GALT,0.04386958559141018,0.039589997419165725,0.06956033172319981,0.045678137347778675,0.05676239355596374,0.057410884721159954,0.05454934860235969,0.08258956312162677,0.06516260840195616,0.04380117320008394,0.010413633566316695,0.023015204723679378,0.011409671273895238,0.027221065949620923,0.023343808714470896,0.01584659938448041,0.008328691685141101,0.02493954277892195,0.03392747019122036,0.014480264656543528,0.0,0.01901780856904659,0.021490836802306082,0.04424016364338646,0.03293405135351942,0.020505901361125345,0.019866030959160234,0.021419656323231482,0.0,0.0,0.02874081638397552,0.013298122545225045,0.026586635449589804
A4GNT,0.03346189476482137,0.030197602952489827,0.05305772709153501,0.03764065011118663,0.043295992295421595,0.04379063437679018,0.04160797367502648,0.06299588274181396,0.049703326702371785,0.03340971263890641,0.0,0.02819227996785267,0.008702822566508207,0.020763096617234262,0.017805686105379873,0.012087126737928267,0.006352779515460104,0.019022845661766402,0.0258784627634486,0.011044943451640352,0.0,0.014505993170803031,0.016392316220728637,2.856035176525999e-14,0.02512072420366041,0.01564104844286784,2.471188065013087e-12,0.016338022712641103,0.0,0.33299045450886466,1.7803855645875702e-14,0.0,0.0
AAAS,0.03924290836437297,0.03541466416701891,0.06222419671416753,0.04414360255061329,0.05077598474728506,0.051356083214772835,0.048796337136081586,0.0738793087224924,0.0582902764142406,0.03245525760149043,0.029767713457134196,0.03306289339372071,0.0020010709319916663,0.0243502139863088,0.020881869156220253,0.01417534811757733,0.007450311649606834,0.022309310168506055,0.0303493316793435,0.007326462653882758,0.0,0.016660674826924137,0.01922431971802636,0.03957440364383603,0.029460683111325724,0.018343259850648743,0.017770872963221475,0.01916064624174434,0.02701619934772938,0.01215065339253762,0.04176003760869881,0.04684241118298063,0.023782693285106658
AACS,0.046678584593090475,0.04212497151859595,0.07401432643805478,0.04065108212194819,0.06039692770262106,0.061086942192258964,0.058042179995696164,0.08787782826546908,0.06933501394170256,0.02467380096644051,0.0,0.03932759141705842,0.004516052880242047,0.02896404906756792,0.024838528450031927,0.016861267776053932,0.0,0.026536438437358985,0.004316719593003399,0.015407445718683799,0.02216807860764158,0.02023553161257265,0.022866909502996743,0.04707289100639073,0.03504284076026134,0.021818907984630678,0.02113806625147805,0.0,0.0,0.0,2.4835975000521365e-14,0.055718027640738174,0.02828899555692026
AADAC,0.0,0.024629318329269782,0.044431783608566526,0.017289874050352955,0.036257078209730766,0.03667130307626422,0.028492365496931467,0.01047760649029782,0.04162273014175169,0.0,0.0,0.015360872080878182,0.0,0.0,0.0,0.010122043086060321,0.0034372700596016926,0.01593017659057642,0.021671230952736032,0.009249294387705371,0.011555024507815832,0.15012382942397595,0.013727309613283667,0.0,0.446392056691368,0.0,0.01091653107479112,0.01314685689512243,0.0,0.00867629042637371,0.029819154806265933,0.0,0.0
