,CONT_ADULTBODYMASS_G,CONT_GEOGRAPHICRANGE_KM2,CONT_GESTATIONLENGTH_D_ALLOMETRIC_RESIDUAL,CONT_LITTERSIZE_ALLOMETRIC_RESIDUAL,CONT_MAXLONGEVITY_M_ALLOMETRIC_RESIDUAL,CONT_MEANPRECIPITATION_MM,CONT_MEANTEMPERATURE_C,CONT_SEXUALMATURITYAGE_D_ALLOMETRIC_RESIDUAL,CONT_WEANINGAGE_D_ALLOMETRIC_RESIDUAL,DISC_AQUATIC_MARINE,DISC_BIPEDAL_SALTATION,DISC_CARNIVORY,DISC_DESERT_OSMOREGULATION,DISC_DIURNALITY,DISC_ECHOLOCATION,DISC_ENAMEL_LOSS_EDENTULISM,DISC_FOREGUT_FERMENTATION,DISC_HERBIVORY,DISC_HIBERNATION,DISC_HIGH_ALTITUDE,DISC_HIGH_SUGAR_FRUGIVORY,DISC_LOSS_GULO_VITAMINC,DISC_LOSS_UCP1_THERMOGENESIS,DISC_MYRMECOPHAGY,DISC_NOCTURNALITY,DISC_PETO_PARADOX_CANCER_RESISTANCE,DISC_PHYSICAL_BODY_ARMOR,DISC_PREHENSILE_TAIL,DISC_SCAR_FREE_REGENERATION,DISC_SPONTANEOUS_MENSTRUATION,DISC_SUBTERRANEAN_VISION_LOSS,DISC_SUBTERRANEAN,DISC_VENOM_RESISTANCE
A1BG,-0.08389058190361554,2.4238369077533646,0.0,2.6970113608862745,0.0,0.0,0.0,0.0,0.0,-0.09381022003684848,-0.0,0.08429071732044197,-0.02602014302071293,0.062078565822132094,0.05323634895497996,-0.0361387083359285,-0.018993864382282805,0.05687547470920203,0.07737274856693949,0.033022735563213626,-0.04125487877813343,0.04337075863345122,0.04901058354855629,-0.0,0.0,-0.044762081386047335,-7.388484183300823e-12,-0.04884825404743897,-0.06887524316685041,0.03097694077081502,0.1064632633160403,-0.0,-0.06034559553587087
A1CF,0.10004608055269561,-0.09028633431300087,0.15863470003268323,-0.11253993653218373,0.12944856719083525,0.13092747332765628,0.12440164297875973,0.1883483049471999,0.1486055425716709,-0.0889387827049867,-0.07588996795929995,-0.08429071732044197,-0.024115376835208892,-0.062078565822132094,-0.05323634895497996,-0.0361387083359285,-0.018993864382282805,0.05687547470920203,0.07737274856693949,-0.033022735563213626,-0.04125487877813343,-0.03078393079521311,0.04901058354855629,-0.004647294874539692,0.0751072231529348,0.04676440480856684,-0.0,-0.0031162603404786796,-0.0,-0.03097694077081502,-0.1064632633160403,-0.0,0.060631725509976774
A2M,-0.01540023411021803,0.09028633431300087,-0.06098494552267201,0.11253993653218373,-0.0031264880363629545,-0.004085910071069725,-0.11664507597207985,-0.032887069706319126,-0.02443567404156511,-0.06292032442416795,-0.0,0.08429071732044197,-0.025528530849563965,0.062078565822132094,0.05323634895497996,0.0361387083359285,-0.0,-0.038401695646838103,0.07737274856693949,0.033022735563213626,0.10902487219966735,0.04337075863345122,0.04901058354855629,-0.0,-0.0751072231529348,0.04676440480856684,-0.0,0.04884825404743897,0.06887524316685041,-0.0,0.1064632633160403,-0.0,-1.0094653085004437e-08
A2ML1,0.10004608055269561,0.09028633431300087,-0.03439569876594002,0.11253993653218373,0.0,-0.0012145040896596718,0.12440164297875973,0.0,0.0,0.0998900637697432,0.07588996795929995,0.08429071732044197,0.02602014302071293,0.062078565822132094,0.05323634895497996,0.046194614012333386,-0.018993864382282805,0.05687547470920203,0.07737274856693949,0.033022735563213626,-0.0,-0.04044685879163246,0.04901058354855629,0.100891196391819,0.0751072231529348,0.04676440480856684,0.04530515861521274,-0.04884825404743897,-0.0,0.03097694077081502,0.1064632633160403,0.11942029369947411,-0.060631725509976774
A3GALT2,-0.07851206261058342,-0.01900321909220501,0.15863470003268323,0.11253993653218373,0.12944856719083525,0.13092747332765628,0.12440164297875973,0.1883483049471999,0.1486055425716709,0.0998900637697432,-0.057441296315694154,-0.08429071732044197,0.02602014302071293,-0.062078565822132094,-0.0,-0.007700161062477156,-0.0,0.05687547470920203,0.07737274856693949,-0.022394386679876924,-0.0,0.04337075863345122,-6.284103087132309e-05,0.100891196391819,0.0751072231529348,-0.00010662363624097409,0.04530515861521274,0.04884825404743897,-0.0,-0.03097694077081502,-5.323087615374471e-14,-0.0,0.060631725509976774
A4GALT,0.10004608055269561,-0.09028633431300087,0.15863470003268323,-0.10417054428450688,0.12944856719083525,0.13092747332765628,0.12440164297875973,0.1883483049471999,0.1486055425716709,0.0998900637697432,-0.023748645184967773,-0.05248695638859331,-0.02602014302071293,0.062078565822132094,0.05323634895497996,-0.0361387083359285,-0.018993864382282805,0.05687547470920203,-0.07737274856693949,0.033022735563213626,-0.0,0.04337075863345122,0.04901058354855629,-0.100891196391819,0.0751072231529348,-0.04676440480856684,0.04530515861521274,0.04884825404743897,-0.0,-0.0,-0.06554440832612887,-0.030326820311238692,0.060631725509976774
A4GNT,-0.10004608055269561,-0.09028633431300087,0.15863470003268323,-0.11253993653218373,0.12944856719083525,0.13092747332765628,0.12440164297875973,0.1883483049471999,0.1486055425716709,0.0998900637697432,-0.0,-0.08429071732044197,0.02602014302071293,0.062078565822132094,-0.05323634895497996,0.0361387083359285,-0.018993864382282805,0.05687547470920203,-0.07737274856693949,0.033022735563213626,-0.0,-0.04337075863345122,0.04901058354855629,-8.539119716330197e-14,-0.0751072231529348,0.04676440480856684,-7.388484183300823e-12,0.04884825404743897,-0.0,0.9955918536357408,-5.323087615374471e-14,-0.0,-0.0
AAAS,0.10004608055269561,0.09028633431300087,-0.15863470003268323,0.11253993653218373,-0.12944856719083525,-0.13092747332765628,-0.12440164297875973,0.1883483049471999,-0.1486055425716709,-0.08274160738058435,0.07588996795929995,-0.08429071732044197,-0.005101540940718061,0.062078565822132094,-0.05323634895497996,-0.0361387083359285,-0.018993864382282805,-0.05687547470920203,0.07737274856693949,-0.018678123089931744,-0.0,-0.042474813546438665,0.04901058354855629,0.100891196391819,-0.0751072231529348,-0.04676440480856684,0.04530515861521274,0.04884825404743897,0.06887524316685041,-0.03097694077081502,0.1064632633160403,-0.11942029369947411,0.060631725509976774
AACS,0.10004608055269561,-0.09028633431300087,0.15863470003268323,-0.08712735126781633,0.12944856719083525,0.13092747332765628,0.12440164297875973,0.1883483049471999,0.1486055425716709,-0.05288328899747925,-0.0,-0.08429071732044197,-0.009679243579802287,0.062078565822132094,0.05323634895497996,0.0361387083359285,-0.0,-0.05687547470920203,-0.00925201309957767,0.033022735563213626,0.04751278123387847,0.04337075863345122,0.04901058354855629,0.100891196391819,0.0751072231529348,0.04676440480856684,0.04530515861521274,-0.0,-0.0,-0.0,-5.323087615374471e-14,-0.11942029369947411,0.060631725509976774
AADAC,0.0,-0.08793400147051243,0.15863470003268323,-0.06172999958191648,0.12944856719083525,0.13092747332765628,-0.1017262303410178,-0.03740817558195957,0.1486055425716709,-0.0,-0.0,-0.054842888060895136,-0.0,0.0,-0.0,0.0361387083359285,-0.012272077790978183,0.05687547470920203,0.07737274856693949,0.033022735563213626,-0.04125487877813343,0.5359867805045437,0.04901058354855629,-0.0,1.5937525856277976,-0.0,-0.03897526706789848,-0.04693819447590807,-0.0,-0.03097694077081502,0.1064632633160403,-0.0,-0.0
AADACL2,0.10004608055269561,1.8712648834173227,0.0,0.9513450373857304,0.14461647316822035,-0.13084009161604546,0.0,-0.11128929913064418,0.1486055425716709,-0.0,-0.0,2.914356381650396,0.12217771287488335,0.0,-0.0,-0.0,-0.0,0.05687547470920203,0.07737274856693949,0.033022735563213626,-0.0,-0.002510560773882087,-0.04206469866470447,0.100891196391819,0.0751072231529348,-0.0,-0.0,0.04884825404743897,-0.0,-0.0,-0.003079336360728899,0.11942029369947411,-0.0
AADACL3,0.10004608055269561,2.0506731601511476,0.0,0.11253993653218373,0.12944856719083525,-0.13092747332765628,-0.09864744884442198,0.1883483049471999,-0.03442691745296804,0.5356173610060578,-0.0,0.08429071732044197,0.02602014302071293,-0.062078565822132094,-0.0,-0.006173833303770923,0.09891666697251725,0.05687547470920203,-0.0,0.033022735563213626,-0.0,0.04337075863345122,-0.007990513317704053,-8.539119716330197e-14,-0.07333827961907821,-0.00010662363624097409,-0.0017924249906538388,0.04884825404743897,-0.0,-0.003658108868801552,-0.006699794036560966,-0.0,-0.060631725509976774
AADACL4,0.0,0.0,1.1551431755595627,0.0,0.9531912980823489,0.15741081717702077,0.8325658361437591,0.1883483049471999,0.9750623437871396,-0.0,-0.0,0.08429071732044197,-0.0,-0.062078565822132094,-0.0,-0.0,-0.0,-0.05687547470920203,-0.0,0.033022735563213626,-0.0,0.04337075863345122,-6.284103087132309e-05,-0.0,0.0751072231529348,-0.0,-0.0,-0.0,-0.0,0.03097694077081502,-0.0,-0.11942029369947411,0.060631725509976774
AADAT,0.10004608055269561,0.09028633431300087,0.15863470003268323,0.11253993653218373,-0.12944856719083525,-0.13092747332765628,0.12440164297875973,0.1883483049471999,-0.1486055425716709,0.0998900637697432,-0.0,0.08429071732044197,0.07500579968851262,0.14487500289357946,-0.0,0.0361387083359285,0.018993864382282805,0.05687547470920203,0.07737274856693949,0.033022735563213626,-0.0,0.04337075863345122,-0.04901058354855629,0.100891196391819,0.0751072231529348,0.04676440480856684,0.04530515861521274,-0.0,-0.0,0.03097694077081502,0.1064632633160403,0.11942029369947411,-0.060631725509976774
AAGAB,-0.10004608055269561,-0.09028633431300087,0.15863470003268323,0.11253993653218373,0.12944856719083525,-0.13092747332765628,-0.12440164297875973,0.1883483049471999,0.1486055425716709,0.0998900637697432,0.07588996795929995,0.08429071732044197,0.02602014302071293,-0.062078565822132094,-0.03561062233283526,-0.0361387083359285,-0.0,0.05687547470920203,0.07737274856693949,0.033022735563213626,-0.04125487877813343,-0.04337075863345122,-0.044638935440655086,0.100891196391819,-0.0751072231529348,-0.04676440480856684,0.04530515861521274,0.04884825404743897,-0.0,-0.017221732240595884,0.1064632633160403,-0.0,0.060631725509976774
AAK1,-0.10004608055269561,0.09028633431300087,-0.15863470003268323,0.11253993653218373,-0.12628548546756854,-0.12957375138206093,-0.11687717460174905,-0.18213817252562534,-0.14014246006104258,-0.09589906329051048,-0.07588996795929995,-0.08429071732044197,0.02602014302071293,-0.062078565822132094,-0.05323634895497996,0.0361387083359285,0.018993864382282805,-0.04405893800788104,0.07737274856693949,-0.033022735563213626,-0.04125487877813343,-0.04337075863345122,0.04901058354855629,0.100891196391819,0.0751072231529348,0.04676440480856684,0.04530515861521274,-2.861863210768443e-07,-0.0,-0.0,0.1064632633160403,-0.0,0.060631725509976774
