gene,taxa_count,codon_length,max_lrt,psi_score,z_score,p_value,fdr_q,rank_track_b,is_golden_hypercube,num_pos_clades,delta_harm,rank_harmonic,composite_rank,delta_clade_1,delta_clade_2,delta_clade_3,tier,z_track_b,p_track_b,q_track_b,p_combined
HYAL3,682,421,41.40595245361328,0.1707021,5.653474511274707,7.861821897440014e-09,0.00013302202650468503,1,1,3,0.08283239,1,1,0.16520305,0.064511776,0.06594987,Tier 0: Core Bottleneck Transducer,5.653474511274707,7.861821897440014e-09,0.00013302202650468503,7.861821897440014e-09
FGL2,708,470,41.88622283935547,0.15767038,5.193353363341493,1.0326981529653467e-07,0.0008736626374086833,2,1,3,0.067267835,5,2,0.07027085,0.16295171,0.03987055,Tier 0: Core Bottleneck Transducer,5.193353363341493,1.0326981529653467e-07,0.0008736626374086833,1.0326981529653467e-07
ASTL,658,482,40.93325424194336,0.13920003,4.530389843255261,2.9437473165518767e-06,0.016602734865352586,3,1,3,0.055260543,25,3,0.15219352,0.05720766,0.031700343,Tier 1: Primary Regulatory Effector,4.530389843255261,2.9437473165518767e-06,0.016602734865352586,2.9437473165518767e-06
IZUMO1R,702,262,39.39887619018555,0.13381776,4.3412672109105195,7.083165742887054e-06,0.025056346857666844,4,0,2,0.0029137232,1564,4,0.19243017,-0.0005662679,0.039915245,Tier 1: Primary Regulatory Effector,4.3412672109105195,7.083165742887054e-06,0.025056346857666844,7.083165742887054e-06
CEP295NL,241,528,38.14048767089844,0.13465455,4.331514554781931,7.4043578184594695e-06,0.025056346857666844,5,1,3,0.07350922,2,5,0.10018191,0.08041268,0.052633904,Tier 1: Primary Regulatory Effector,4.331514554781931,7.4043578184594695e-06,0.025056346857666844,7.4043578184594695e-06
TM2D2,716,219,41.34855270385742,0.13217123,4.282977396071123,9.220445593127974e-06,0.02600165657262089,6,1,3,0.0065603526,563,6,0.001329364,0.1843409,0.043257028,Tier 1: Primary Regulatory Effector,4.282977396071123,9.220445593127974e-06,0.02600165657262089,9.220445593127974e-06
DNASE2B,686,373,41.54596710205078,0.1296247,4.1912557880377515,1.3870734282781127e-05,0.026412117488047893,7,1,3,0.06608111,6,7,0.113129795,0.066613674,0.044773098,Tier 1: Primary Regulatory Effector,4.1912557880377515,1.3870734282781127e-05,0.026412117488047893,1.3870734282781127e-05
CST7,707,148,40.02479553222656,0.12959047,4.190521969732338,1.3915673182247166e-05,0.026412117488047893,8,1,3,0.007997644,399,8,0.0018291859,0.158642,0.06398606,Tier 1: Primary Regulatory Effector,4.190521969732338,1.3915673182247166e-05,0.026412117488047893,1.3915673182247166e-05
CYSLTR2,679,363,41.55909729003906,0.12954797,4.188358048610944,1.4048998663855262e-05,0.026412117488047893,9,1,3,0.059974845,14,9,0.056832615,0.12856999,0.038981047,Tier 1: Primary Regulatory Effector,4.188358048610944,1.4048998663855262e-05,0.026412117488047893,1.4048998663855262e-05
SERPINC1,715,481,41.445045471191406,0.12629646,4.072966223278104,2.3209079082714936e-05,0.039269761807953676,10,1,3,0.070700675,3,10,0.07828349,0.08745658,0.053011827,Tier 1: Primary Regulatory Effector,4.072966223278104,2.3209079082714936e-05,0.039269761807953676,2.3209079082714936e-05
RGS18,688,236,41.0064811706543,0.123835,3.9850408575038023,3.3734257868669884e-05,0.05046117537115799,11,1,3,0.058150027,16,11,0.112955704,0.06694159,0.03459121,Tier 2: Physiological Homeostasis Modifier,3.9850408575038023,3.3734257868669884e-05,0.05046117537115799,3.3734257868669884e-05
