gene,taxa_count,codon_length,fn,max_lrt,psi_contrast,max_rho_contrast,p_evd_track_a,max_synergy_contrast,top3_synergy_contrast,best_site_codon,best_site_lrt,best_site_rho,valid_clades,pos_clades,pos_delta_sum,net_delta,delta_proboscidea,delta_mysticeti,delta_giant_odontoceti,delta_rodents,z_track_b,z_score,p_track_b,q_track_b,rank_track_b,q_track_a,rank_track_a,p_combined,p_value,fdr_q,psi_score,psi_track_b,max_rho_track_a,composite_rank,tier
PTGES3,720,162,0.021061543375253677,41.37678146362305,0.011117082999732906,0.31622767448425293,3.3029134982597864e-14,2.441380023956299,1.026228666305542,58,7.72032356262207,0.31622767448425293,4,2,0.08998756227155305,0.08998756227155305,0.07181698729938898,0.0,0.0,0.018170574972164073,-2.1930783108908134,-2.1930783108908134,0.9858491313029487,0.9999912216022939,14828,3.6229108966562057e-12,4292,6.600275881396556e-14,6.600275881396556e-14,7.2460845134672265e-12,0.011117082999732906,0.011117082999732906,0.31622767448425293,1,Tier 0: Core Bottleneck Transducer
MAP1LC3A,694,124,0.036023832857608795,29.06007194519043,0.014387739239634297,0.3162277638912201,3.497202527569182e-14,6.403067588806152,2.421808958053589,17,20.24827766418457,0.3162277638912201,4,4,0.21056820506233975,0.21056820506233975,0.020243737276467583,0.13297351705891805,0.019838104392996374,0.03751284633395773,-1.610517813204602,-1.610517813204602,0.946357570074511,0.9999912216022939,14263,3.6229108966562057e-12,1273,6.994405055138486e-14,6.994405055138486e-14,7.2460845134672265e-12,0.014387739239634297,0.014387739239634297,0.3162277638912201,2,Tier 0: Core Bottleneck Transducer
BLCAP,724,89,0.02250484563410282,34.2781867980957,0.009114507757436852,0.31622761487960815,3.6914915568785773e-14,1.6722707748413086,1.3196187019348145,72,34.2781867980957,0.04878527671098709,4,2,0.18276821880987373,0.18276821880987373,0.09775405499513044,0.0,0.0,0.08501416381474329,-2.5678155554512534,-2.5678155554512534,0.9948829202831881,0.9999912216022939,15035,3.6229108966562057e-12,4986,7.377431998634165e-14,7.377431998634165e-14,7.2460845134672265e-12,0.009114507757436852,0.009114507757436852,0.31622761487960815,3,Tier 0: Core Bottleneck Transducer
TSPAN5,713,279,0.028241947293281555,38.19605255126953,0.00920989892787866,0.3162277042865753,3.6914915568785773e-14,12.078648567199707,5.879634857177734,211,38.19605255126953,0.31622767448425293,4,3,0.19955625695805643,0.17269397107493067,0.12115126320052129,0.022432738925148462,0.055972254832386686,-0.026862285883125756,-2.543306405072595,-2.543306405072595,0.9945095555639715,0.9999912216022939,15024,3.6229108966562057e-12,4220,7.377431998634165e-14,7.377431998634165e-14,7.2460845134672265e-12,0.00920989892787866,0.00920989892787866,0.3162277042865753,4,Tier 0: Core Bottleneck Transducer
AP2M1,730,433,0.011049401946365833,16.495880126953125,0.009820165934246776,0.31622767448425293,3.885780586187972e-14,1.1922932863235474,0.9124531745910645,227,3.7703635692596436,0.31622767448425293,4,2,0.34492226828514844,0.34492226828514844,0.31015980421781314,0.03476246406733532,0.0,0.0,-2.438328701273996,-2.438328701273996,0.9926223249372107,0.9999912216022939,14975,3.6229108966562057e-12,4292,7.771561172376096e-14,7.771561172376096e-14,7.2460845134672265e-12,0.009820165934246776,0.009820165934246776,0.31622767448425293,5,Tier 0: Core Bottleneck Transducer
CRIPT,717,102,0.021952783688902855,20.130229949951172,0.009212323606146789,0.31622761487960815,4.080069615497367e-14,0.8941920399665833,0.585593044757843,63,2.8276848793029785,0.31622761487960815,4,2,0.2689007994443488,0.1678842306651617,0.1275418806563248,0.141358918788024,-0.055584380234843404,-0.0454321885443437,-2.545270303291354,-2.545270303291354,0.9945403411746764,0.9999912216022939,15026,3.6229108966562057e-12,4986,8.154588115871775e-14,8.154588115871775e-14,7.2460845134672265e-12,0.009212323606146789,0.009212323606146789,0.31622761487960815,6,Tier 0: Core Bottleneck Transducer
TPM2,690,284,0.03755123168230057,41.66205596923828,0.01827493786119758,0.3162277638912201,4.274358644806761e-14,1.585012435913086,1.502251148223877,216,6.251399517059326,0.25354522466659546,4,4,0.2898870267126795,0.2898870267126795,0.06578059707252382,0.17237156404084808,0.012683459569078903,0.03905140603022872,-0.9271759316299231,-0.9271759316299231,0.8230824014539986,0.9803426304233077,13069,3.6229108966562057e-12,1273,8.548717289613705e-14,8.548717289613705e-14,7.2460845134672265e-12,0.01827493786119758,0.01827493786119758,0.3162277638912201,7,Tier 0: Core Bottleneck Transducer
CDC42SE2,721,94,0.04468318447470665,34.4997673034668,0.014124276110894682,0.3162277638912201,4.4686476741161554e-14,4.566715717315674,2.240117073059082,4,14.44122314453125,0.3162277638912201,4,4,0.1235865873595435,0.1235865873595435,0.015406818896347183,0.0567085212276808,0.004779758950543459,0.04669148828497207,-1.6332719530340698,-1.6332719530340698,0.9487940935895515,0.9999912216022939,14297,3.6229108966562057e-12,1273,8.931744233109384e-14,8.931744233109384e-14,7.2460845134672265e-12,0.014124276110894682,0.014124276110894682,0.3162277638912201,8,Tier 0: Core Bottleneck Transducer
HYPK,718,123,0.017256975173950195,36.81023406982422,0.01700010752025573,0.3071781098842621,4.857225732734942e-14,2.9513638019561768,1.1927151679992676,111,9.607988357543945,0.3071781098842621,4,2,0.3707299456931895,0.22821584010522444,-0.14251410558796507,0.3027195608136113,0.0,0.06801038487957821,-1.1032788498794186,-1.1032788498794186,0.8650469557552287,0.9999912216022939,13457,3.6229108966562057e-12,5830,9.708900350346994e-14,9.708900350346994e-14,7.2460845134672265e-12,0.01700010752025573,0.01700010752025573,0.3071781098842621,9,Tier 0: Core Bottleneck Transducer
TRAPPC6B,715,144,0.020832421258091927,41.32819366455078,0.0129751472405899,0.3162277638912201,5.6343818499725104e-14,13.069122314453125,4.651434898376465,16,41.32819366455078,0.3162277638912201,4,2,0.2944670490054783,0.2944670490054783,0.0,0.22872930775144956,0.0,0.06573774125402874,-1.8505087320086453,-1.8505087320086453,0.9678798696643303,0.9999912216022939,14534,3.6229108966562057e-12,1273,1.1263212584822213e-13,1.1263212584822213e-13,7.2460845134672265e-12,0.0129751472405899,0.0129751472405899,0.3162277638912201,10,Tier 0: Core Bottleneck Transducer
ATP6V0E2,697,86,0.036157961934804916,25.422733306884766,0.017010853580695873,0.3162277042865753,5.828670879281901e-14,6.734564781188965,4.07755708694458,54,25.422733306884766,0.2649032473564148,4,3,0.1248519065989469,0.110216561832023,0.022567120049198034,0.06699295101554396,-0.014635344766923904,0.0352918355342049,-1.138454887612406,-1.138454887612406,0.8725347069863949,0.9999912216022939,13532,3.6229108966562057e-12,4220,1.166289287368727e-13,1.166289287368727e-13,7.2460845134672265e-12,0.017010853580695873,0.017010853580695873,0.3162277042865753,11,Tier 0: Core Bottleneck Transducer
MOB4,703,242,0.015927216038107872,35.920494079589844,0.007613711244140556,0.31622761487960815,5.828670879281901e-14,1.2250820398330688,0.942592442035675,230,3.874051332473755,0.31622761487960815,4,2,0.2097358690805216,0.2097358690805216,0.1708820131404342,0.038853855940087424,0.0,0.0,-2.825709340147699,-2.825709340147699,0.9976411974778981,0.9999912216022939,15169,3.6229108966562057e-12,4986,1.166289287368727e-13,1.166289287368727e-13,7.2460845134672265e-12,0.007613711244140556,0.007613711244140556,0.31622761487960815,12,Tier 0: Core Bottleneck Transducer
CPSF4,707,269,0.0399814248085022,38.24794006347656,0.006675103277951709,0.3162277638912201,6.217248937900684e-14,8.301995277404785,3.631098985671997,201,26.253215789794922,0.3162277638912201,4,2,0.0607027547437524,0.045552871310994565,-0.002667784198399766,-0.012482099234358066,0.0004216658442373546,0.06028108889951504,-3.0007378765628956,-3.0007378765628956,0.998653368508358,0.9999912216022939,15235,3.6229108966562057e-12,1273,1.244004899092488e-13,1.244004899092488e-13,7.2460845134672265e-12,0.006675103277951709,0.006675103277951709,0.3162277638912201,13,Tier 0: Core Bottleneck Transducer
KCTD6,729,237,0.02284400537610054,26.727949142456055,0.007428621383883482,0.3162277638912201,6.217248937900684e-14,3.1334383487701416,2.0494868755340576,225,9.908802032470703,0.3162277638912201,4,3,0.1406209817256322,0.0820078480745958,-0.0586131336510364,0.023576950937690442,0.0448070767616074,0.07223695402633436,-2.889052119380131,-2.889052119380131,0.9980679748844296,0.9999912216022939,15193,3.6229108966562057e-12,1273,1.244004899092488e-13,1.244004899092488e-13,7.2460845134672265e-12,0.007428621383883482,0.007428621383883482,0.3162277638912201,14,Tier 0: Core Bottleneck Transducer
PTP4A2,711,167,0.023379184305667877,37.355037689208984,0.007584599413274674,0.3162277638912201,6.217248937900684e-14,4.240127086639404,2.2372210025787354,132,13.408465385437012,0.31622761487960815,4,2,0.11315073256772601,0.11315073256772601,0.09377189959147851,0.0,0.0,0.019378832976247498,-2.839690172837813,-2.839690172837813,0.9977421315239882,0.9999912216022939,15178,3.6229108966562057e-12,1273,1.244004899092488e-13,1.244004899092488e-13,7.2460845134672265e-12,0.007584599413274674,0.007584599413274674,0.3162277638912201,15,Tier 0: Core Bottleneck Transducer
RPS25,709,133,0.013473276048898697,42.08028030395508,0.0076247874828712005,0.3162277340888977,6.217248937900684e-14,3.5354788303375244,2.5572211742401123,74,41.83235168457031,0.08451542258262634,4,2,0.23336521735599114,0.23336521735599114,0.0,0.03299205310842328,0.0,0.20037316424756788,-2.8301681199332998,-2.8301681199332998,0.9976738224806344,0.9999912216022939,15172,3.6229108966562057e-12,3465,1.244004899092488e-13,1.244004899092488e-13,7.2460845134672265e-12,0.0076247874828712005,0.0076247874828712005,0.3162277340888977,16,Tier 0: Core Bottleneck Transducer
SMIM7,706,75,0.038014303892850876,29.962703704833984,0.009475266407983046,0.3162277638912201,6.217248937900684e-14,3.000156879425049,2.276962995529175,56,24.54676055908203,0.12222211062908173,4,2,0.09077531433294328,0.09077531433294328,0.05807574477526185,0.0,0.0,0.03269956955768142,-2.490928599176631,-2.490928599176631,0.9936295139337157,0.9999912216022939,14999,3.6229108966562057e-12,1273,1.244004899092488e-13,1.244004899092488e-13,7.2460845134672265e-12,0.009475266407983046,0.009475266407983046,0.3162277638912201,17,Tier 0: Core Bottleneck Transducer
ATP6V1F,722,119,0.03614227846264839,25.38521385192871,0.0066498061257457995,0.3162277638912201,6.411537967210073e-14,8.000415802001953,3.537590980529785,64,25.299535751342773,0.3162277638912201,4,4,0.09017418447929981,0.09017418447929981,0.01858805504382712,0.019372183918892328,0.021510901984452685,0.030703043532127675,-3.026133456176093,-3.026133456176093,0.9987614852677643,0.9999912216022939,15246,3.6229108966562057e-12,1273,1.2817524819297432e-13,1.2817524819297432e-13,7.2460845134672265e-12,0.0066498061257457995,0.0066498061257457995,0.3162277638912201,18,Tier 0: Core Bottleneck Transducer
MYL11,670,173,0.0647316575050354,25.142921447753906,0.034613343814425865,0.421016126871109,6.605826996519463e-14,5.8711957931518555,5.129826545715332,158,24.619306564331055,0.23847933113574982,4,4,0.2774247980234195,0.2774247980234195,0.07215430041610767,0.18741924332215795,0.003759717561971866,0.014091536723182049,1.8234241773191773,1.8234241773191773,0.03411958562618364,0.8667758360870726,245,3.6229108966562057e-12,217,1.3217205108162489e-13,1.3217205108162489e-13,7.2460845134672265e-12,0.034613343814425865,0.034613343814425865,0.421016126871109,19,Tier 0: Core Bottleneck Transducer
TNNC2,690,170,0.04256951063871384,25.246931076049805,0.023793808945010576,0.3162262737751007,6.605826996519463e-14,1.4894567728042603,1.4385749101638794,89,8.158090591430664,0.18257418274879456,4,4,0.2381905156974179,0.2381905156974179,0.003354276554659309,0.18293754987019528,0.01963872210310063,0.03225996716946267,0.04843002070324228,0.04843002070324228,0.48068676715378633,0.8667758360870726,8617,3.6229108966562057e-12,5508,1.3217205108162489e-13,1.3217205108162489e-13,7.2460845134672265e-12,0.023793808945010576,0.023793808945010576,0.3162262737751007,20,Tier 0: Core Bottleneck Transducer
SRSF5,726,289,0.03416798263788223,41.223567962646484,0.01423430249655456,0.3162277340888977,6.994405055138241e-14,3.954345464706421,2.3802969455718994,100,12.504739761352539,0.3162277340888977,4,4,0.19930135371108576,0.19930135371108576,0.018657752190440843,0.15270318095556668,0.024043016369131014,0.003897404195947229,-1.6080615926527992,-1.6080615926527992,0.9460891550775588,0.9999912216022939,14256,3.6229108966562057e-12,3465,1.3994361225400098e-13,1.3994361225400098e-13,7.2460845134672265e-12,0.01423430249655456,0.01423430249655456,0.3162277340888977,21,Tier 0: Core Bottleneck Transducer
ATP6V0B,721,159,0.03408302366733551,42.32606887817383,0.006532870766881502,0.3162277638912201,7.18869408444763e-14,8.568819999694824,4.937486171722412,3,27.096988677978516,0.3162277638912201,4,3,0.09774037378518,0.09774037378518,0.03461528613987049,0.0,0.025282247612659268,0.03784284003265023,-3.046504143586189,-3.046504143586189,0.9988424035593284,0.9999912216022939,15256,3.6229108966562057e-12,1273,1.4377388168895777e-13,1.4377388168895777e-13,7.2460845134672265e-12,0.006532870766881502,0.006532870766881502,0.3162277638912201,22,Tier 0: Core Bottleneck Transducer
