gene,taxa_count,codon_length,max_lrt,psi_score,z_score,p_value,fdr_q,rank_track_b,is_golden_hypercube,num_pos_clades,delta_harm,composite_rank,tier
NOX5,330,820,39.78160095214844,0.0408404,8.631316,6.0649969959517866e-18,2.5974865884412512e-14,1,0,0,0.0,1,Tier 0: Core Bottleneck Transducer
NLRP13,267,840,41.33687210083008,0.040496837,8.580597,9.438206451537876e-18,3.233718294425907e-14,2,0,0,0.0,2,Tier 0: Core Bottleneck Transducer
AKR1C4,110,331,43.59965515136719,0.035576638,7.8542433,4.021929573814148e-15,8.612459441126272e-12,3,0,0,0.0,3,Tier 0: Core Bottleneck Transducer
FAM240C,412,103,27.22524070739746,0.033720024,7.5801573,3.4513630597864925e-14,5.91253005772024e-11,4,0,0,0.0,4,Tier 0: Core Bottleneck Transducer
TREML4,98,202,39.68037033081055,0.033407565,7.53403,4.9197830920453684e-14,6.483138780756093e-11,5,0,0,0.0,5,Tier 0: Core Bottleneck Transducer
OR8K5,247,322,41.38114929199219,0.03281628,7.44674,9.567479901851817e-14,1.170717844275882e-10,6,0,0,0.0,6,Tier 0: Core Bottleneck Transducer
CAPN14,472,696,44.540687561035156,0.03234842,7.3776717,1.610815456585013e-13,1.8396586391171907e-10,7,0,0,0.0,7,Tier 0: Core Bottleneck Transducer
ADAM20,457,774,43.49506378173828,0.032158013,7.349562,1.9885714874686817e-13,2.1291386344891242e-10,8,0,0,0.0,8,Tier 0: Core Bottleneck Transducer
C2orf78,311,1024,41.87446594238281,0.031575613,7.263584,3.7696577387933717e-13,3.798706277839368e-10,9,0,0,0.0,9,Tier 0: Core Bottleneck Transducer
TRIM52,379,327,35.227447509765625,0.031063693,7.1880116,6.574165570659104e-13,6.214514940809957e-10,10,0,0,0.0,10,Tier 0: Core Bottleneck Transducer
ARSF,213,606,41.672218322753906,0.03101993,7.1815505,6.892521386690163e-13,6.214514940809957e-10,11,0,0,0.0,11,Tier 0: Core Bottleneck Transducer
PTCRA,276,180,34.85593032836914,0.029618485,6.9746594,3.066126332833259e-12,2.283730878598546e-09,12,0,0,0.0,12,Tier 0: Core Bottleneck Transducer
KRTAP25-1,157,105,40.99005126953125,0.0293375,6.9331784,4.114886626038895e-12,2.8196849116268927e-09,13,0,0,0.0,13,Tier 0: Core Bottleneck Transducer
LOC102723934,49,559,42.14274215698242,0.02783171,6.7108836,1.9344935873635583e-11,1.2274003572268562e-08,14,0,0,0.0,14,Tier 0: Core Bottleneck Transducer
PPDPFL,510,113,41.94924545288086,0.02755672,6.6702876,2.5530260181805758e-11,1.561996025623266e-08,15,0,0,0.0,15,Tier 0: Core Bottleneck Transducer
PRAMEF20,135,525,42.91194152832031,0.026727341,6.547849,5.837162386749515e-11,3.1383726739061774e-08,16,0,0,0.0,16,Tier 0: Core Bottleneck Transducer
SPEGNB,461,260,33.22623062133789,0.025540162,6.3725896,1.858627803457665e-10,9.09718654315236e-08,17,0,0,0.0,17,Tier 0: Core Bottleneck Transducer
LOC124900338,46,200,32.38667297363281,0.025202883,6.322798,2.5686937447188335e-10,1.222341459466065e-07,18,0,0,0.0,18,Tier 0: Core Bottleneck Transducer
ETDB,113,63,25.146785736083984,0.024927232,6.2821045,3.340202079338047e-10,1.4965444212090613e-07,19,0,0,0.0,19,Tier 0: Core Bottleneck Transducer
ENSG00000286615,60,151,44.161277770996094,0.024906382,6.2790265,3.4069950631693067e-10,1.4965444212090613e-07,20,0,0,0.0,20,Tier 0: Core Bottleneck Transducer
SIRPD,299,200,40.96342086791992,0.024489727,6.217517,5.050837789504496e-10,2.1631475543000382e-07,21,0,0,0.0,21,Tier 0: Core Bottleneck Transducer
CYP2C8,146,495,40.43379211425781,0.02387513,6.1267858,8.967208683332131e-10,3.7467622427844575e-07,22,0,0,0.0,22,Tier 0: Core Bottleneck Transducer
