gene,taxa_count,codon_length,max_lrt,psi_score,z_score,p_value,fdr_q,rank_track_b,is_golden_hypercube,num_pos_clades,delta_harm,composite_rank,tier,z_track_b,p_track_b,q_track_b,p_combined
F11,619,648,42.09038543701172,0.047646016,4.623278841298966,1.888607124020638e-06,0.03195712114555321,1,0,0,0.0,1,Tier 1: Primary Regulatory Effector,4.623278841298966,1.888607124020638e-06,0.03195712114555321,1.888607124020638e-06
PGLYRP4,518,390,41.12241744995117,0.046060298,4.292648412543246,8.82772301937003e-06,0.055768782110600205,2,0,0,0.0,2,Tier 2: Physiological Homeostasis Modifier,4.292648412543246,8.82772301937003e-06,0.055768782110600205,8.82772301937003e-06
H4C16,519,103,42.086483001708984,0.045689937,4.2342287368846385,1.1466871258660392e-05,0.055768782110600205,3,0,0,0.0,3,Tier 2: Physiological Homeostasis Modifier,4.2342287368846385,1.1466871258660392e-05,0.055768782110600205,1.1466871258660392e-05
SLC17A3,510,436,42.03990173339844,0.046206616,4.202771594866359,1.318333008938011e-05,0.055768782110600205,4,0,0,0.0,4,Tier 2: Physiological Homeostasis Modifier,4.202771594866359,1.318333008938011e-05,0.055768782110600205,1.318333008938011e-05
SH2D7,637,510,40.84313201904297,0.04525208,4.138629958452602,1.746929723108128e-05,0.05911959568942528,5,0,0,0.0,5,Tier 2: Physiological Homeostasis Modifier,4.138629958452602,1.746929723108128e-05,0.05911959568942528,1.746929723108128e-05
FAM240A,636,105,36.52168273925781,0.04479177,4.046887065267511,2.5951633428866074e-05,0.07318793154164048,6,0,0,0.0,6,Tier 2: Physiological Homeostasis Modifier,4.046887065267511,2.5951633428866074e-05,0.07318793154164048,2.5951633428866074e-05
CELA2A,475,285,41.03911590576172,0.047836777,4.003279248410596,3.123524579188687e-05,0.07550451343493111,7,0,0,0.0,7,Tier 2: Physiological Homeostasis Modifier,4.003279248410596,3.123524579188687e-05,0.07550451343493111,3.123524579188687e-05
ANKRD34C,603,547,41.88922882080078,0.043975525,3.894609871144519,4.9178451305959396e-05,0.10401857181851737,8,0,0,0.0,8,Background,3.894609871144519,4.9178451305959396e-05,0.10401857181851737,4.9178451305959396e-05
IZUMO4,624,239,31.21487617492676,0.043705814,3.833584781302461,6.314462319301289e-05,0.1057272308605625,9,0,0,0.0,9,Background,3.833584781302461,6.314462319301289e-05,0.1057272308605625,6.314462319301289e-05
TAS2R41,503,319,41.714412689208984,0.044723682,3.8243244724788443,6.556556390161536e-05,0.1057272308605625,10,0,0,0.0,10,Background,3.8243244724788443,6.556556390161536e-05,0.1057272308605625,6.556556390161536e-05
PRPS1L1,522,321,41.54156494140625,0.043263573,3.7834331776909167,7.73399330057416e-05,0.1057272308605625,11,0,0,0.0,11,Background,3.7834331776909167,7.73399330057416e-05,0.1057272308605625,7.73399330057416e-05
FAM228A,475,326,40.920040130615234,0.04654016,3.78332150793018,7.737465560132236e-05,0.1057272308605625,12,0,0,0.0,12,Background,3.78332150793018,7.737465560132236e-05,0.1057272308605625,7.737465560132236e-05
PARP10,484,1247,41.90519332885742,0.045722023,3.7579900440207106,8.564184732328627e-05,0.1057272308605625,13,0,0,0.0,13,Background,3.7579900440207106,8.564184732328627e-05,0.1057272308605625,8.564184732328627e-05
UMOD,626,651,41.71491241455078,0.043304585,3.7526830713991557,8.747599031073076e-05,0.1057272308605625,14,0,0,0.0,14,Background,3.7526830713991557,8.747599031073076e-05,0.1057272308605625,8.747599031073076e-05
ACSM2A,499,590,41.66847610473633,0.0440946,3.6558422414973872,0.00012816948376722308,0.1401990174095424,15,0,0,0.0,15,Background,3.6558422414973872,0.00012816948376722308,0.1401990174095424,0.00012816948376722308
NXPE4,481,562,41.832637786865234,0.045199618,3.629214855248816,0.00014214227931848763,0.1401990174095424,16,0,0,0.0,16,Background,3.629214855248816,0.00014214227931848763,0.1401990174095424,0.00014214227931848763
