gene,taxa_count,codon_length,fn,max_lrt,psi_contrast,max_rho_contrast,p_evd_track_a,max_synergy_contrast,top3_synergy_contrast,best_site_codon,best_site_lrt,best_site_rho,valid_clades,pos_clades,pos_delta_sum,net_delta,delta_rodents,delta_camelids,delta_bovids,z_track_b,z_score,p_track_b,q_track_b,rank_track_b,q_track_a,rank_track_a,p_combined,p_value,fdr_q,psi_score,psi_track_b,max_rho_track_a,composite_rank,tier
TRAPPC6B,715,144,0.020832421258091927,41.32819366455078,0.013027280181515765,0.30860647559165955,5.6343818499725104e-14,3.030787944793701,1.821459412574768,92,9.820882797241211,0.30860647559165955,3,2,0.20444900052493128,0.20444900052493128,0.18394675009774844,0.02050225042718284,0.0,-1.47094504067441,-1.47094504067441,0.9293470097142097,0.9999549619648568,14520,9.152335071231927e-12,2396,1.1263212584822213e-13,1.1263212584822213e-13,1.8304670142471057e-11,0.013027280181515765,0.013027280181515765,0.30860647559165955,1,Tier 0: Core Bottleneck Transducer
SMIM45,722,72,0.043054480105638504,25.396955490112305,0.015562606189908918,0.35189154744148254,6.411537967210073e-14,2.4807794094085693,2.011260986328125,57,9.81424331665039,0.25277337431907654,3,3,0.17367026599265975,0.17367026599265975,0.09856289275334681,0.059991060666247945,0.015116312573064982,-0.9864329036695905,-0.9864329036695905,0.8380396373207328,0.9902519495689397,13456,9.152335071231927e-12,1106,1.2817524819297432e-13,1.2817524819297432e-13,1.8304670142471057e-11,0.015562606189908918,0.015562606189908918,0.35189154744148254,2,Tier 0: Core Bottleneck Transducer
CAB39,726,341,0.02869219332933426,41.2223014831543,0.010061113852483844,0.3086065351963043,7.771561172375794e-14,2.959888458251953,1.208323359489441,84,9.591139793395996,0.3086065351963043,3,2,0.08999341177787282,0.08999341177787282,0.0780005883535216,0.0,0.011992823424351227,-2.0141441591495735,-2.0141441591495735,0.9780027997973842,0.9999549619648568,15164,9.152335071231927e-12,2205,1.5548673459875317e-13,1.5548673459875317e-13,1.8304670142471057e-11,0.010061113852483844,0.010061113852483844,0.3086065351963043,3,Tier 0: Core Bottleneck Transducer
PSENEN,721,121,0.04425504803657532,29.658536911010742,0.012162811015087979,0.29069778323173523,7.771561172375794e-14,3.286823034286499,1.9709267616271973,55,14.49936294555664,0.22668741643428802,3,2,0.047169601074916176,0.047169601074916176,0.045729256666709316,0.0,0.001440344408206859,-1.6243141976005253,-1.6243141976005253,0.9478456156630368,0.9999549619648568,14754,9.152335071231927e-12,2992,1.5548673459875317e-13,1.5548673459875317e-13,1.8304670142471057e-11,0.012162811015087979,0.012162811015087979,0.29069778323173523,4,Tier 0: Core Bottleneck Transducer
SRSF10,686,273,0.03016565926373005,40.96928405761719,0.012677423475093059,0.3505600094795227,7.771561172375794e-14,3.426438093185425,1.8824396133422852,139,9.774184226989746,0.3505600094795227,3,3,0.21869820374293034,0.21869820374293034,0.09064667230418649,0.09176902809590452,0.03628250334283931,-1.573133954030101,-1.573133954030101,0.9421560978433258,0.9999549619648568,14670,9.152335071231927e-12,1126,1.5548673459875317e-13,1.5548673459875317e-13,1.8304670142471057e-11,0.012677423475093059,0.012677423475093059,0.3505600094795227,5,Tier 0: Core Bottleneck Transducer
MAGOHB,639,148,0.03333774581551552,18.429733276367188,0.01627805498483979,0.35387250781059265,8.548717289613339e-14,4.357836723327637,3.5862534046173096,81,12.314708709716797,0.35387250781059265,3,2,0.18860682349701918,0.18860682349701918,0.13440151857748206,0.0,0.054205304919537116,-1.0307777972635177,-1.0307777972635177,0.8486774838089101,0.9953915896258286,13552,9.152335071231927e-12,1029,1.7102985694350537e-13,1.7102985694350537e-13,1.8304670142471057e-11,0.01627805498483979,0.01627805498483979,0.35387250781059265,6,Tier 0: Core Bottleneck Transducer
RPL9,689,194,0.037644755095243454,34.2766227722168,0.010149223291626517,0.35135722160339355,8.548717289613339e-14,4.267624378204346,2.5040814876556396,185,12.146112442016602,0.35135722160339355,3,3,0.0967286899292413,0.0967286899292413,0.045555292544314126,0.04111799217570145,0.010055405209225718,-2.022184172353878,-2.022184172353878,0.9784213356050085,0.9999549619648568,15173,9.152335071231927e-12,1114,1.7102985694350537e-13,1.7102985694350537e-13,1.8304670142471057e-11,0.010149223291626517,0.010149223291626517,0.35135722160339355,7,Tier 0: Core Bottleneck Transducer
UQCC5,719,70,0.07729925960302353,25.445812225341797,0.019238833089984503,0.4082482159137726,8.743006318922725e-14,8.303202629089355,3.8983240127563477,59,20.338613510131836,0.4082482159137726,3,3,0.12226409626242334,0.12226409626242334,0.0815212048157236,0.015550293177853424,0.025192598268846317,-0.30675723321383386,-0.30675723321383386,0.6204859186484007,0.9261132917301979,10652,9.152335071231927e-12,590,1.7486012637846216e-13,1.7486012637846216e-13,1.8304670142471057e-11,0.019238833089984503,0.019238833089984503,0.4082482159137726,8,Tier 0: Core Bottleneck Transducer
SMIM10L1,687,75,0.09711954742670059,37.44464874267578,0.012505326910886867,0.3157060146331787,9.32587340685088e-14,2.0198702812194824,1.349936842918396,31,8.569583892822266,0.235702246427536,3,2,0.031160149296153905,0.02487280559931539,-0.006287343696838513,0.014351290336562674,0.01680885895959123,-1.6026022299892575,-1.6026022299892575,0.9454887494419132,0.9999549619648568,14716,9.152335071231927e-12,1940,1.8646195698579504e-13,1.8646195698579504e-13,1.8304670142471057e-11,0.012505326910886867,0.012505326910886867,0.3157060146331787,9,Tier 0: Core Bottleneck Transducer
MAPK1,683,394,0.03072318620979786,40.93057632446289,0.013322115757946966,0.30860650539398193,9.520162436160264e-14,5.660511493682861,2.98345685005188,295,27.82651710510254,0.203421488404274,3,2,0.12675657504053653,0.12675657504053653,0.098883028982287,0.0,0.02787354605824952,-1.4624162448701474,-1.4624162448701474,0.9281864097505006,0.9999549619648568,14505,9.152335071231927e-12,2311,1.9040324872321435e-13,1.9040324872321435e-13,1.8304670142471057e-11,0.013322115757946966,0.013322115757946966,0.30860650539398193,10,Tier 0: Core Bottleneck Transducer
LHFPL3,702,236,0.03736148402094841,25.327659606933594,0.012214754151151955,0.3333331346511841,1.0297318553397797e-13,1.9234758615493774,1.7130786180496216,119,25.293943405151367,0.07604491710662842,3,2,0.04081985362264608,-0.01036803030207853,0.027512066828814057,0.013307786793832018,-0.051187883924724606,-1.6369975819574512,-1.6369975819574512,0.9491845125952055,0.9999549619648568,14769,9.152335071231927e-12,1462,2.0594637106796654e-13,2.0594637106796654e-13,1.8304670142471057e-11,0.012214754151151955,0.012214754151151955,0.3333331346511841,11,Tier 0: Core Bottleneck Transducer
SIX2,712,296,0.040688879787921906,30.711271286010742,0.01595012330123265,0.333333283662796,1.0297318553397797e-13,1.6850154399871826,1.4811935424804688,252,5.055047035217285,0.333333283662796,3,3,0.11832067227730912,0.11832067227730912,0.03400565428390881,0.028995978242021075,0.05531903975137924,-0.9349685102711423,-0.9349685102711423,0.8250977360096966,0.9866917871957112,13296,9.152335071231927e-12,1424,2.0594637106796654e-13,2.0594637106796654e-13,1.8304670142471057e-11,0.01595012330123265,0.01595012330123265,0.333333283662796,12,Tier 0: Core Bottleneck Transducer
