gene,codon_length,taxa_count,fg_count,n_microbats,n_odontocetes,psi_track_b,max_rho_track_a,p_min_track_a,p_evd_track_a,max_synergy_track_a,top3_synergy_track_a,best_site_codon,best_site_lrt,best_site_rho,rho_microbats,rho_odontocetes,rho_megabats,rho_mysticetes,z_track_b,p_track_b,q_track_b,rank_track_b,rank_track_a,q_track_a,min_rank,dual_track_score,composite_rank,composite_score,delta_bat,delta_cet,contrast_quadrant
TMC1,772,665,106,70,36,0.4028630619121576,0.9422011971473694,1.942890293094024e-15,5.984102102727803e-13,19.71283531188965,17.39618492126465,511,34.223388671875,0.5760048031806946,0.9334819316864014,0.9036166667938232,0.5245608687400818,0.2841189205646515,3.31955796407188,0.0004508004262289,0.1473431393119942,46,1,1.0633493101302139e-12,3,2.999905435909697,1,1.001563019620885,0.4089210629463196,0.6194977462291718,Q1_Golden_Quadrant
SEM1,70,723,110,71,39,0.6595082602513838,0.7652454972267151,1.942890293094024e-15,1.7486012637846064e-14,2.7531800270080566,2.4055445194244385,28,3.597773551940918,0.7652454972267151,0.9525065422058104,0.0,0.0,0.0,8.456123314278248,1.3820664826739434e-17,2.0779369567002742e-13,1,936,1.0598948151663044e-12,1,0.9999293638798228,2,1.0311606252078485,0.9525065422058104,0.0,Q2_Unilateral_Bat
CIB2,200,692,100,60,40,0.4439248616816545,0.9334903955459596,1.942890293094024e-15,1.4960255256822866e-13,19.153839111328125,11.73454761505127,198,23.70837783813477,0.8078932762145996,0.8273198008537292,0.7071061134338379,0.6458774209022522,0.2851943075656891,4.141379760380441,1.7261141631584722e-05,0.0162200790269297,16,2,1.0598948151663044e-12,5,4.999907852654293,3,2.0005986032590624,0.18144237995147705,0.4219118058681488,Q1_Golden_Quadrant
EIF4A2,408,709,109,71,38,0.6065378507265794,0.7717949151992798,1.942890293094024e-15,5.6343818499725104e-14,8.62880802154541,4.152387619018555,19,11.180182456970217,0.7717949151992798,0.4823448657989502,0.7787772417068481,0.0380892343819141,0.3956243693828583,7.395959430784444,7.019543372252563e-14,5.276941730090862e-10,2,818,1.0598948151663044e-12,2,1.99991940847766,4,2.027269704023944,0.4442556314170361,0.38315287232398987,Q1_Golden_Quadrant
PCDH15,2003,544,95,64,31,0.2833121571741106,0.9284786581993104,1.942890293094024e-15,2.48301379457108e-12,23.5207576751709,21.628259658813477,670,30.85234642028809,0.7623652815818787,0.8740329742431641,0.9158039689064026,0.8496008515357971,0.9187651872634888,0.9268343174303414,0.1770062820808409,0.8846340489435419,1802,3,2.6002311994975976e-12,6,5.999904419252807,5,3.0600266045892917,0.024432122707366943,-0.0029612183570861816,Q2_Unilateral_Bat
MAGOH,146,676,113,73,40,0.5692464939286563,0.5888501405715942,1.942890293094024e-15,1.1657341758564076e-14,1.7306969165802002,0.576898992061615,54,2.939112663269043,0.5888501405715942,0.0,0.9897237420082092,0.0,0.0,6.649600284266496,1.46945024856257e-11,7.36439482904608e-08,3,10865,1.0598948151663044e-12,3,2.9999634156027137,6,3.361423345527103,0.0,0.9897237420082092,Q4_Unilateral_Cetacean
PARP15,687,129,44,17,27,0.5333150048164597,0.8640322685241699,1.942890293094024e-15,1.0491607582702226e-12,25.0375919342041,21.4687557220459,657,34.47804260253906,0.7261894941329956,0.847667932510376,0.9462558031082152,1.0,0.8173449635505676,5.930457891775386,1.5104552482843611e-09,5.677423664488843e-06,4,64,1.3095877642739254e-12,5,4.999904450624736,7,4.0022613900897905,-0.15233206748962402,0.1289108395576476,Q4_Unilateral_Cetacean
MAP1LC3C,161,422,72,39,33,0.2989051762780749,0.926397979259491,1.942890293094024e-15,2.7006175074003293e-13,10.066624641418455,8.504077911376953,57,15.407758712768556,0.6533477902412415,0.8476412296295166,0.9173175692558287,,0.4254373610019684,1.2389171545643607,0.107688090032553,0.8846340489435419,1010,4,1.0598948151663044e-12,7,6.999910521799267,8,4.03372131692717,,0.49188020825386036,Unclassified
MCOLN3,557,707,112,72,40,0.3199200520579794,0.9250417947769164,1.942890293094024e-15,7.285838599099935e-13,15.48019027709961,14.119023323059082,70,16.73458480834961,0.9250417947769164,0.921938419342041,0.7963674068450928,0.9684485793113708,0.4295605421066284,1.659514475178444,0.0485060831293529,0.8846340489435419,457,5,1.10463625643552e-12,8,7.999906614183857,9,5.015364150315929,-0.046510159969329834,0.36680686473846436,Q4_Unilateral_Cetacean
SEC22B,215,720,112,73,39,0.5197180029958786,0.6895502209663391,1.942890293094024e-15,1.22402088464916e-13,21.948766708374023,19.14689826965332,26,39.73494720458984,0.5523794293403625,0.8541093468666077,0.0370135866105556,0.4956387877464294,0.0351669937372207,5.658323876137287,7.64292352622498e-09,1.9692022103763668e-05,5,4350,1.0598948151663044e-12,6,5.999904963543204,10,5.144828732956435,0.3584705591201783,0.0018465928733348985,Q1_Golden_Quadrant
SLC17A8,604,696,102,66,36,0.2684000040496935,0.924782931804657,1.942890293094024e-15,5.556666238247367e-13,10.476152420043944,9.39576244354248,369,19.243370056152344,0.5444031953811646,0.8370335102081299,0.8816003203392029,0.7058821320533752,0.6603278517723083,0.628378513341583,0.2648780046659318,0.8846340489435419,3107,6,1.0598948151663044e-12,9,8.999909619304072,11,6.103525108081144,0.13115137815475464,0.22127246856689453,Q1_Golden_Quadrant
GNG5,68,655,111,72,39,0.519479365471166,0.690430223941803,1.942890293094024e-15,3.6914915568785773e-14,3.364083766937256,1.6519570350646973,8,4.872445583343506,0.690430223941803,0.8572649955749512,0.1601281613111496,0.4629097282886505,0.0,5.653547721162912,7.858472405891721e-09,1.9692022103763668e-05,6,4293,1.0598948151663044e-12,7,6.999937708001554,12,6.142966411706019,0.39435526728630066,0.1601281613111496,Q1_Golden_Quadrant
MYOM2,1515,578,91,59,32,0.299743452956161,0.9209775924682616,1.942890293094024e-15,2.028377465988104e-12,22.0511531829834,20.27659034729004,376,28.22456169128418,0.7812753319740295,0.9148313403129578,0.8824728727340698,0.9999748468399048,0.999996781349182,1.2556946472523471,0.1046133503333867,0.8846340489435419,968,7,2.167973974206394e-12,11,10.999904700001192,13,7.032424343199202,-0.08514350652694702,-0.1175239086151122,Q3_Parallel_Regressive
NSG1,205,690,102,65,37,0.5082743705822181,0.7233560681343079,1.942890293094024e-15,2.6423307986075237e-13,15.89474391937256,14.959404945373535,156,25.070873260498047,0.6339924335479736,0.9046107530593872,0.3962782323360443,0.957621932029724,0.2278414219617843,5.429287969302157,2.8289663707425353e-08,5.450297910695296e-05,7,2061,1.0598948151663044e-12,9,8.99990626589778,14,7.068772863318922,-0.0530111789703368,0.16843681037426,Q4_Unilateral_Cetacean
TBC1D9B,1282,659,108,69,39,0.2937427537195099,0.9180106520652772,1.942890293094024e-15,1.4571677198194565e-12,21.88038444519043,18.810035705566406,681,23.834564208984375,0.9180106520652772,0.9106045961380004,0.8641889095306396,0.9999240636825562,0.5772389769554138,1.135595054602845,0.1280630397747819,0.8846340489435419,1223,8,1.6391171668169805e-12,13,12.99990504794648,15,8.040937811772531,-0.08931946754455578,0.28694993257522583,Q4_Unilateral_Cetacean
PSMC2,434,705,111,71,40,0.5080529463148433,0.6729665994644165,1.942890293094024e-15,4.274358644806761e-14,7.70306921005249,4.46920919418335,19,11.446435928344728,0.6729665994644165,0.5022247433662415,0.451940506696701,0.9999603629112244,0.1070174500346183,5.424856325044434,2.9000587486240352e-08,5.450297910695296e-05,8,5807,1.0598948151663044e-12,10,9.99991828417902,16,8.1933821084137,-0.4977356195449829,0.34492305666208267,Q4_Unilateral_Cetacean
SLC15A4,600,645,95,58,37,0.2676271166710469,0.908536434173584,1.942890293094024e-15,7.382983113754568e-13,11.774073600769045,10.614291191101074,308,38.26630401611328,0.307687759399414,0.7537747621536255,0.6297324895858765,0.8905088901519775,0.3453056812286377,0.6129097395072851,0.2699680114933406,0.8846340489435419,3192,9,1.1082978778653068e-12,16,15.99990861008204,17,9.106451612903223,-0.13673412799835205,0.28442680835723877,Q4_Unilateral_Cetacean
MAP1LC3A,124,694,109,70,39,0.4651486120995558,0.5700078010559082,1.942890293094024e-15,3.4972025275691825e-14,3.7211196422576904,2.4414167404174805,25,9.165539741516112,0.4059902429580688,0.4415832459926605,0.5033230781555176,0.2218195647001266,0.2931046783924103,4.566157553627614,2.4837273604617547e-06,0.0041492045405047,9,11630,1.0598948151663044e-12,12,11.999929057800186,18,9.387063518456934,0.21976368129253393,0.2102183997631073,Q1_Golden_Quadrant
SLC26A5,762,699,114,74,40,0.3810186864462194,0.9071112275123596,1.942890293094024e-15,5.88695758807316e-13,19.571428298950195,16.8809757232666,407,23.920352935791016,0.8181914687156677,0.9001168608665466,0.8660182356834412,0.51939457654953,0.8573586940765381,2.8823588158262665,0.0019735498789644,0.354882879609867,83,10,1.0629664520256836e-12,18,17.999905592535974,19,10.003092783505156,0.3807222843170166,0.008659541606903076,Q1_Golden_Quadrant
ILF2,397,714,112,72,40,0.4598437453292739,0.7102718949317932,1.942890293094024e-15,8.354428260303957e-14,9.201136589050291,7.504665851593018,351,41.13022994995117,0.2237073928117752,0.8858647346496582,0.1078507602214813,0.5976141691207886,0.2672612369060516,4.459984537276556,4.098278315077452e-06,0.0061617614467189,10,2760,1.0598948151663044e-12,13,12.9999117582515,20,10.092118390422348,0.28825056552886963,-0.15941047668457028,Q2_Unilateral_Bat
