gene,taxa_count,codon_length,max_lrt,psi_score,z_score,p_value,fdr_q,rank_track_b,is_golden_hypercube,num_pos_clades,delta_harm,rank_harmonic,composite_rank,delta_clade_1,delta_clade_2,delta_clade_3,delta_clade_4,delta_clade_5,delta_clade_6,delta_clade_7,delta_clade_8,delta_clade_9,delta_clade_10,delta_clade_11,delta_clade_12,delta_clade_13,delta_clade_14,delta_clade_15,delta_clade_16,delta_clade_17,delta_clade_18,delta_clade_19,delta_clade_20,delta_clade_21,delta_clade_22,delta_clade_23,delta_clade_24,delta_clade_25,delta_clade_26,delta_clade_27,delta_clade_28,delta_clade_29,delta_clade_30,delta_clade_31,delta_clade_32,delta_clade_33,delta_clade_34,delta_clade_35,delta_clade_36,delta_clade_37,delta_clade_38,delta_clade_39,delta_clade_40,delta_clade_41,delta_clade_42,delta_clade_43,delta_clade_44,delta_clade_45,delta_clade_46,delta_clade_47,delta_clade_48,delta_clade_49,tier,z_track_b,p_track_b,q_track_b,p_combined
SLC9C1,226,1138,42.77495193481445,0.018487995,3.5377814728264294,0.0002017519286574706,0.6653184328727464,1,0,15,0.0012911361668623,1242,1,0.0,0.0034192227758467,0.0029274621047079,-0.0073180706240236,0.0097023453563451,0.0272038727998733,0.0,0.0208901055157184,0.0,0.0,0.0054748863913118,0.0,-0.0060218595899641,0.0,0.0,0.0,0.0,0.0,0.0020851355511695,0.0,0.0020851432345807,0.0,0.0,0.0,-7.275491952896118e-05,0.0272038727998733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.57399606704712e-06,0.0211225748062133,0.0,0.0038061684463173,0.0,0.0,0.0,0.0,0.0188257098197937,0.0,0.0,0.0,0.0042003593407571,-0.0019563119858503,0.0,2.9966238798806444e-05,Background,3.5377814728264294,0.0002017519286574706,0.6653184328727464,0.0002017519286574706
H2AC8,178,146,23.005767822265625,0.018113203,3.4562008960989785,0.00027392342180116347,0.6653184328727464,2,0,20,0.001432385608588,104,2,0.0194413233548402,-0.0037829836364835,-0.0128597877919673,0.0,0.0120433121919631,0.0019730592612177,0.0005223002517595,0.0,0.0,-0.0006899614818394,-4.5885703737953917e-17,-0.0071409489028155,0.0,0.0,-0.0124582042917609,0.0089215887710452,0.0088755963370203,-0.0030438078101724,0.0,0.0050536915659904,0.0027848514728248,0.0042632068507373,-0.0095502147451043,0.0,0.0,-0.0017087166197597,0.0,0.0227596051990985,0.0,0.0009129945538006,0.0,-4.74044936709106e-05,0.0,0.0057671684771776,0.0168195702135562,0.0011591544607654,0.0,0.0003501657047308,0.0227596051990985,0.0009129945538006,0.0,0.0,0.0,0.0,0.0,0.0016031053382903,0.0025629731826484,0.0,0.0141030950471758,Background,3.4562008960989785,0.00027392342180116347,0.6653184328727464,0.00027392342180116347
CARD18,131,97,22.35338592529297,0.02103696,3.205075810222062,0.0006751345573097791,0.6653184328727464,3,0,5,0.0010839888400831,16558,3,0.0,0.0288953613489866,0.0155492182821035,0.0,0.0,0.0,0.0,0.0,0.0,0.0172579120844602,-3.944533835434261e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0155929783359169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038331544492393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0172579009085893,0.0,7.889067670868521e-17,-0.0054880669340491,0.0,0.0,Background,3.205075810222062,0.0006751345573097791,0.6653184328727464,0.0006751345573097791
OR5T1,117,346,42.06483459472656,0.021821491,3.0551278424050743,0.0011248230323028738,0.6653184328727464,4,0,22,0.0013152359263561,851,4,-0.0013429704122245,0.0168118942528963,0.0090574165806174,1.4931733698726242e-16,0.0,0.01376423984766,0.0070313178002834,-0.0053204004652798,7.465866849363121e-17,0.0076485374011099,0.0,0.0,0.0,0.0,3.7329334246815604e-17,7.465866849363121e-17,7.465866849363121e-17,0.0,0.0,0.0117987003177404,0.0,0.0,0.0,0.0,0.0089438147842884,0.01376423984766,3.7329334246815604e-17,0.0,0.0,0.0,7.465866849363121e-17,0.0075967642478644,0.0,0.0,0.0200181119143962,0.0,7.465866849363121e-17,0.0,0.0,0.0,7.465866849363121e-17,0.0031728183384984,0.0,0.0,0.0,0.0,0.0211476758122444,0.0,0.009298238903284,Background,3.0551278424050743,0.0011248230323028738,0.6653184328727464,0.0011248230323028738
GBP6,154,653,41.642860412597656,0.017429665,2.9909346504499026,0.001390625029122793,0.6653184328727464,5,0,16,0.0013445446973049,503,5,0.0,-0.0002121114521287,-0.0002139847492799,-0.0021342399995774,0.0066243661567568,0.0,0.0,0.0237213000655174,0.0066024996340274,0.0030458634719252,-4.290747302968125e-17,0.0,0.0,0.0045305611565709,0.0072014322504401,0.0,0.0,0.0,0.0045432532206177,-0.0045318664051592,-0.0003212171723134,-0.0026479153893887,0.0283952318131923,0.0014882582472637,0.0,0.0,0.0017738346941769,0.0,0.0001837313175201,0.0,0.0,0.0,0.0,0.0,0.0,0.0032584881410002,0.0045432494953274,0.0,0.0,-0.0011689148377627,0.0066024996340274,0.0297978706657886,0.0,0.0,0.0,-0.0019557243213057,0.0042721880599856,0.0,0.0,Background,2.9909346504499026,0.001390625029122793,0.6653184328727464,0.001390625029122793
OR2AJ1,206,347,41.40704345703125,0.014008608,2.6394274449408095,0.004152309878458888,0.6653184328727464,6,0,16,0.0013819877832341,275,6,0.0216066390275955,-0.0006027978379279,-0.0016307135811075,-0.0023957383818924,-0.0032085073180496,0.0,0.0,-0.0034979521296918,0.0,0.0,-4.952455397063595e-17,0.0,0.0,0.0081346333026885,0.0006697739008814,0.0,0.0,0.0,-0.006600190885365,0.0084985364228487,-0.0093531655147671,0.006652143318206,0.0132654486224055,0.0076786801218986,0.0,0.0,0.0099420882761478,0.0128723587840795,0.0,0.0056581324897706,0.0036937966942787,-0.0021639883052557,0.0016800948651507,0.0,0.0,0.0,-0.006600190885365,0.0,0.0128723587840795,0.005658128298819,0.0,0.0,0.0,0.0,0.0,0.0098519166931509,0.0136988852173089,0.0,-0.0125428270548582,Background,2.6394274449408095,0.004152309878458888,0.6653184328727464,0.004152309878458888
OR5L1,222,332,44.97423553466797,0.013462925,2.5322990493829787,0.005665865053460337,0.6653184328727464,7,0,17,0.0014249509270212,126,7,0.0158758126199245,0.0118442205712199,0.0099228573963046,0.0013419557362794,0.0,0.0,0.0,0.0128474254161119,0.0,0.011537117883563,-5.141565759577713e-17,0.0,0.005290797445923,0.0,-0.0014259363524615,0.0,0.0057829716242849,0.0,-0.0052742040716111,0.0,0.0028610108420252,0.0037786983884871,0.0134814213961362,0.0035704746842384,-0.0046047666110098,0.0,0.0179540254175663,0.0127407498657703,0.0,0.0,0.0,-0.0021055764518678,0.0,-0.0037673586048185,0.0,0.0,-0.0052742040716111,0.0,0.0127407498657703,0.0,0.0,0.0096854483708739,-0.0056234099902212,0.0,0.0,0.0034421784803271,-0.0152425020933151,-0.0056234099902212,-0.0145492237061262,Background,2.5322990493829787,0.005665865053460337,0.6653184328727464,0.005665865053460337
OR5L2,214,332,43.91496276855469,0.012832594,2.4052569036612845,0.00808055010840111,0.6653184328727464,8,0,18,0.0014007290558339,201,8,0.0168373547494411,0.0059696813113987,0.0051564751192927,-0.0011166281765326,0.0,0.000477181514725,0.0,0.0202857460826635,-1.0084567143984315e-16,0.007487962488085,-1.0084567143984315e-16,0.0,0.0077847675420343,0.0,-0.0030869462061673,-1.0084567143984315e-16,0.0065738731063902,0.0,-0.0089047802612185,0.0,0.004294547252357,0.0063701779581606,0.0154551463201642,0.0112422872334718,-0.0047695087268948,0.000477181514725,0.0319335460662841,0.0138522498309612,0.0,0.0,-1.0084567143984315e-16,0.0002411052701063,0.0,0.0,0.0,0.0,-0.0089047895744442,0.0,-0.0064132856205105,0.0,-1.0084567143984315e-16,-0.0005131645593792,0.0040174340829253,-0.0094716046005487,0.0,-0.0007963757961988,0.0025028882082551,-0.0080490689724683,-0.0143465055152773,Background,2.4052569036612845,0.00808055010840111,0.6653184328727464,0.00808055010840111
NEK4,161,889,41.375587463378906,0.013577405,2.3807973881212567,0.00863760535768308,0.6653184328727464,9,0,16,0.0013275021739177,686,9,0.0004205889999866,0.0103138517588377,0.0099351359531283,-4.3696662891060935e-17,0.0,0.024738572537899,0.0,0.0,-0.0040284651331603,0.0066873081959784,-4.3696662891060935e-17,0.0,0.0027561590541154,0.0,0.0,0.0,0.0,0.0,0.0,0.0008200556621886,0.0,0.0053406129591166,0.0,0.0,0.0,0.024738572537899,0.0,0.0,-0.0086765168234705,0.0116688562557101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116688581183552,-0.0040284651331603,0.01696353033185,0.0003074891865253,-0.00685779703781,0.0,0.0116688655689358,0.020562607795,0.0003462173044681,0.0,Background,2.3807973881212567,0.00863760535768308,0.6653184328727464,0.00863760535768308
NUTM2G,215,515,47.41249084472656,0.012669664,2.372795868993822,0.008827008819046382,0.6653184328727464,10,0,21,0.001397115143955,215,10,0.0366065949201583,0.0,-0.001205253181979,0.0105837788432836,-4.32431697845459e-05,0.004152129869908,-4.471093416213989e-05,0.0,0.0,-0.0026332985144108,-0.0083156432956457,0.0,0.0,0.0,0.0037462278269231,7.434940926032141e-05,0.0001290664513362,0.0,0.0031446905340999,-0.0002388207358308,0.0043272385373711,0.0,0.03023043833673,0.0087339216843247,0.0,0.004152129869908,0.0070098377764225,0.0192655138671398,0.0,0.0015914839459583,0.0036761213559657,0.0001323287870036,0.0,8.335337042808533e-05,-0.0077553070150315,-0.0006105207139626,-0.0019065020605921,-0.0009663885575719,0.0192655138671398,0.0001241825520992,0.0,0.0,0.0,0.0,-0.0083156507462263,-0.0005276277661323,0.0177320707589387,0.0,0.0014518107054755,Background,2.372795868993822,0.008827008819046382,0.6653184328727464,0.008827008819046382
