gene,taxa_count,codon_length,max_lrt,psi_score,z_score,p_value,fdr_q,rank_track_b,is_golden_hypercube,num_pos_clades,delta_harm,composite_rank,tier
PRAMEF9,128,543,41.88655090332031,0.03553389,9.25150455975696,1.1067727440646813e-20,1.8727701602318472e-16,1,0,0,0.0,1,Tier 0: Core Bottleneck Transducer
AKR1C4,110,331,43.59965515136719,0.03490098,9.11238568274856,4.029498981146297e-20,3.4091576129988244e-16,2,0,0,0.0,2,Tier 0: Core Bottleneck Transducer
OR8K5,247,322,41.38114929199219,0.03339064,8.780400400953573,8.14468542485539e-19,4.5938740691326016e-15,3,0,0,0.0,3,Tier 0: Core Bottleneck Transducer
OR2G6,231,330,41.980804443359375,0.03144425,8.352567705909447,3.339737693068911e-17,1.412792537610476e-13,4,0,0,0.0,4,Tier 0: Core Bottleneck Transducer
LAIR2,236,167,41.92067337036133,0.027961586,7.587049220378203,1.6363639660315147e-14,5.5377829338438525e-11,5,0,0,0.0,5,Tier 0: Core Bottleneck Transducer
SPDYE8,264,278,41.60260772705078,0.02781158,7.554076655140615,2.109208458327745e-14,5.948319387227295e-11,6,0,0,0.0,6,Tier 0: Core Bottleneck Transducer
TOMM20L,565,213,37.171142578125,0.027364865,7.4558849862733085,4.4633295823492355e-14,1.078914283756163e-10,7,0,0,0.0,7,Tier 0: Core Bottleneck Transducer
FCGR3B,584,241,41.89029312133789,0.026858987,7.344688798405754,1.031191934215156e-13,2.1810998398568318e-10,8,0,0,0.0,8,Tier 0: Core Bottleneck Transducer
SPDYE14,242,281,40.86583709716797,0.02563443,7.075520994653602,7.44441583621373e-13,1.3996328929396947e-09,9,0,0,0.0,9,Tier 0: Core Bottleneck Transducer
SPDYE4,330,266,40.67142868041992,0.025185103,6.976755186482531,1.5103770425002898e-12,2.5557089936147403e-09,10,0,0,0.0,10,Tier 0: Core Bottleneck Transducer
SPDYE10,217,297,41.987457275390625,0.024843499,6.901667788808964,2.569775875082474e-12,3.953016143842777e-09,11,0,0,0.0,11,Tier 0: Core Bottleneck Transducer
RBP1,143,198,31.938156127929688,0.024618503,6.852211798460602,3.63583923467861e-12,5.126836307499731e-09,12,0,0,0.0,12,Tier 0: Core Bottleneck Transducer
C3orf49,583,329,42.008174896240234,0.024515392,6.829547143885365,4.25915502316484e-12,5.5437817036132504e-09,13,0,0,0.0,13,Tier 0: Core Bottleneck Transducer
SPDYE13,274,320,41.23038482666016,0.02368724,6.647512452962075,1.490438867115248e-11,1.801408290746936e-08,14,0,0,0.0,14,Tier 0: Core Bottleneck Transducer
NUTM2G,215,515,47.41249084472656,0.023354009,6.574265510261871,2.4446958345535943e-11,2.7577798810987578e-08,15,0,0,0.0,15,Tier 0: Core Bottleneck Transducer
SPDYE11,256,297,41.42356491088867,0.023051862,6.507851089046443,3.811671454865635e-11,4.031080792986338e-08,16,0,0,0.0,16,Tier 0: Core Bottleneck Transducer
SPDYE15,258,342,41.38472366333008,0.0227693,6.445741613567706,5.751825143950499e-11,5.725096074163905e-08,17,0,0,0.0,17,Tier 0: Core Bottleneck Transducer
FRG2,309,351,43.21489715576172,0.02251524,6.389897114519258,8.299870245220762e-11,7.802339134410028e-08,18,0,0,0.0,18,Tier 0: Core Bottleneck Transducer
PNPLA5,575,457,40.90495300292969,0.022351785,6.353968347330545,1.0491501470778447e-10,9.343510336160111e-08,19,0,0,0.0,19,Tier 0: Core Bottleneck Transducer
GSTM1,138,226,30.631494522094727,0.02231107,6.3450188520193676,1.1119910545428858e-10,9.408000316960085e-08,20,0,0,0.0,20,Tier 0: Core Bottleneck Transducer
SPDYE9,255,301,41.660987854003906,0.022118174,6.302618708397981,1.4632911658568017e-10,1.1790642770220449e-07,21,0,0,0.0,21,Tier 0: Core Bottleneck Transducer
TPSAB1,148,309,36.69774627685547,0.02194483,6.26451625683908,1.8699227281404683e-10,1.4382255674029484e-07,22,0,0,0.0,22,Tier 0: Core Bottleneck Transducer
RPRML,590,121,31.53282928466797,0.021737328,6.2189055930527655,2.503171974807279e-10,1.8415727385093026e-07,23,0,0,0.0,23,Tier 0: Core Bottleneck Transducer
PRAMEF4,149,504,41.797603607177734,0.021625908,6.194414551235957,2.925103377455976e-10,2.062319760413857e-07,24,0,0,0.0,24,Tier 0: Core Bottleneck Transducer
SPDYE12,252,231,44.49671936035156,0.021456601,6.157199465821504,3.702128505749768e-10,2.5057486578316726e-07,25,0,0,0.0,25,Tier 0: Core Bottleneck Transducer
PRAMEF7,141,504,43.006446838378906,0.021282263,6.118878524803208,4.711810248971218e-10,3.0664823547246917e-07,26,0,0,0.0,26,Tier 0: Core Bottleneck Transducer
SPDYE17,261,311,41.6151123046875,0.02119109,6.098837941823816,5.34211597507311e-10,3.3328580516860394e-07,27,0,0,0.0,27,Tier 0: Core Bottleneck Transducer
THAP3,593,272,39.85726547241211,0.02116791,6.093742785215365,5.515041986124289e-10,3.3328580516860394e-07,28,0,0,0.0,28,Tier 0: Core Bottleneck Transducer
KRT37,310,498,40.77687454223633,0.02093328,6.042169161615674,7.602795844762456e-10,4.3399911060366397e-07,29,0,0,0.0,29,Tier 0: Core Bottleneck Transducer
BTNL2,554,506,41.57448959350586,0.020909052,6.036843645899127,7.85789315290464e-10,4.3399911060366397e-07,30,0,0,0.0,30,Tier 0: Core Bottleneck Transducer
KRTAP25-1,157,105,40.99005126953125,0.020900395,6.034940765365936,7.951050427701427e-10,4.3399911060366397e-07,31,0,0,0.0,31,Tier 0: Core Bottleneck Transducer
GSTM5,134,304,38.07243347167969,0.02071401,5.993971793646086,1.0238845308359873e-09,5.414109420711169e-07,32,0,0,0.0,32,Tier 0: Core Bottleneck Transducer
OR1L1,155,331,41.258636474609375,0.02056168,5.960488393897798,1.2574258291362246e-09,6.447546198428503e-07,33,0,0,0.0,33,Tier 0: Core Bottleneck Transducer
SCART1,166,1053,39.14322280883789,0.020198554,5.880670281792519,2.0430419945263844e-09,1.01677392909944e-06,34,0,0,0.0,34,Tier 0: Core Bottleneck Transducer
SERHL2,551,349,37.116241455078125,0.019563816,5.741149595194808,4.701798627723733e-09,2.2160750229574675e-06,35,0,0,0.0,35,Tier 0: Core Bottleneck Transducer
NOX5,330,820,39.78160095214844,0.019561693,5.740682942154267,4.714774589354579e-09,2.2160750229574675e-06,36,0,0,0.0,36,Tier 0: Core Bottleneck Transducer
HTR3E,304,460,41.250335693359375,0.019497706,5.726618067870188,5.122623367012338e-09,2.3427002700869127e-06,37,0,0,0.0,37,Tier 0: Core Bottleneck Transducer
TPD52L3,476,147,40.50203704833984,0.019454688,5.717162354022805,5.415880834440891e-09,2.4116347263045874e-06,38,0,0,0.0,38,Tier 0: Core Bottleneck Transducer
OR8G1,120,332,41.4715576171875,0.019336082,5.691091769695715,6.311481931444049e-09,2.738373993896532e-06,39,0,0,0.0,39,Tier 0: Core Bottleneck Transducer
PRAMEF27,141,513,42.132469177246094,0.019262495,5.674916735642821,6.937806506538327e-09,2.9348655974283756e-06,40,0,0,0.0,40,Tier 0: Core Bottleneck Transducer
FRG2B,314,349,43.35677337646485,0.019113367,5.642137162100757,8.397610616211304e-09,3.4366501378334774e-06,41,0,0,0.0,41,Tier 0: Core Bottleneck Transducer
CST9L,318,174,38.52945327758789,0.019101098,5.639440333954549,8.530187683293307e-09,3.4366501378334774e-06,42,0,0,0.0,42,Tier 0: Core Bottleneck Transducer
ACOT2,281,432,42.10698318481445,0.019062039,5.630854841203492,8.96593018696824e-09,3.5281977835741757e-06,43,0,0,0.0,43,Tier 0: Core Bottleneck Transducer
H4C2,399,104,12.160300254821776,0.018887673,5.5925277455525375,1.1189368912649087e-08,4.3030752584303454e-06,44,0,0,0.0,44,Tier 0: Core Bottleneck Transducer
OR7D2,236,345,41.588775634765625,0.018819144,5.577464501927837,1.2202478273605912e-08,4.588402997059681e-06,45,0,0,0.0,45,Tier 0: Core Bottleneck Transducer
OR2Z1,391,336,44.86064147949219,0.018733421,5.558621874233867,1.3595652960800771e-08,5.001131385863257e-06,46,0,0,0.0,46,Tier 0: Core Bottleneck Transducer
OR2A4,264,337,41.651573181152344,0.01853933,5.515959059682924,1.73441505437421e-08,6.244263220226811e-06,47,0,0,0.0,47,Tier 0: Core Bottleneck Transducer
PRAMEF25,115,503,42.09916305541992,0.018373717,5.479555946162846,2.1319730474096902e-08,7.400116486803325e-06,48,0,0,0.0,48,Tier 0: Core Bottleneck Transducer
IQCF3,588,192,34.372413635253906,0.018369589,5.478648577462256,2.142933088194332e-08,7.400116486803325e-06,49,0,0,0.0,49,Tier 0: Core Bottleneck Transducer
BMAL2,505,655,42.42041778564453,0.018227693,5.447458657612698,2.554729310931029e-08,8.645714934052788e-06,50,0,0,0.0,50,Tier 0: Core Bottleneck Transducer
DISC1,553,922,42.31280517578125,0.018192641,5.439753936756812,2.6677105197385224e-08,8.851045040097164e-06,51,0,0,0.0,51,Tier 0: Core Bottleneck Transducer
SLX4IP,576,447,40.39326858520508,0.018088158,5.416787705181283,3.033965810975855e-08,9.872641439908162e-06,52,0,0,0.0,52,Tier 0: Core Bottleneck Transducer
OR8H1,132,319,41.54888916015625,0.017807186,5.3550277249142555,4.277164971500224e-08,1.3655454430708545e-05,53,0,0,0.0,53,Tier 0: Core Bottleneck Transducer
