gene,taxa_count,codon_length,fn,max_lrt,psi_contrast,max_rho_contrast,p_evd_track_a,max_synergy_contrast,top3_synergy_contrast,best_site_codon,best_site_lrt,best_site_rho,valid_clades,pos_clades,pos_delta_sum,net_delta,delta_cetacea,delta_xenarthra,delta_tubulidentata,delta_pholidota,z_track_b,z_score,p_track_b,q_track_b,rank_track_b,q_track_a,rank_track_a,p_combined,p_value,fdr_q,psi_score,psi_track_b,max_rho_track_a,composite_rank,tier
RAB10,701,200,0.01687188446521759,15.360164642333984,0.01092196277456193,0.3535533845424652,2.5257573810221993e-14,3.3086516857147217,1.892518401145935,184,9.358280181884766,0.3535533845424652,4,3,0.323917956609521,0.323917956609521,0.0,0.1464876473058583,0.11553601536052455,0.06189429394313815,-2.803037714292916,-2.803037714292916,0.9974688125444748,0.9999902868592971,15513,2.209810655222039e-12,3816,5.0459636469213365e-14,5.0459636469213365e-14,4.4196213104456154e-12,0.01092196277456193,0.01092196277456193,0.3535533845424652,1,Tier 0: Core Bottleneck Transducer
SNX3,714,173,0.012568040750920773,37.240516662597656,0.009985683808022214,0.3147633671760559,2.9143354396409936e-14,1.4486808776855469,0.5253152251243591,55,4.602444171905518,0.3147633671760559,4,2,0.32251036526504107,0.2159115127117931,0.0,0.06186345534819962,-0.10659885255324798,0.2606469099168415,-2.9205232142976967,-2.9205232142976967,0.9982527791906513,0.9999902868592971,15561,2.209810655222039e-12,8421,5.823119764158946e-14,5.823119764158946e-14,4.4196213104456154e-12,0.009985683808022214,0.009985683808022214,0.3147633671760559,2,Tier 0: Core Bottleneck Transducer
RPS11,638,164,0.010904605500400066,25.425865173339844,0.01424146169739243,0.3535533845424652,3.10862446895039e-14,1.9683136940002441,1.5995635986328125,43,8.802566528320312,0.22360679507255554,4,2,0.48647528498177983,0.48647528498177983,0.0,0.2621483062511215,0.22432697873065835,0.0,-2.4325604250686625,-2.4325604250686625,0.9925037551442876,0.9999902868592971,15318,2.209810655222039e-12,3816,6.217248937900877e-14,6.217248937900877e-14,4.4196213104456154e-12,0.01424146169739243,0.01424146169739243,0.3535533845424652,3,Tier 0: Core Bottleneck Transducer
CFL2,718,168,0.01561981812119484,40.880462646484375,0.011312113344658465,0.35355162620544434,3.6914915568785773e-14,1.0366393327713013,0.4180821478366852,153,2.9320733547210693,0.35355162620544434,4,2,0.281513972207389,0.281513972207389,0.0,0.05002240536591148,0.0,0.2314915668414775,-2.74053878515221,-2.74053878515221,0.9969330728957845,0.9999902868592971,15482,2.209810655222039e-12,5239,7.377431998634165e-14,7.377431998634165e-14,4.4196213104456154e-12,0.011312113344658465,0.011312113344658465,0.35355162620544434,4,Tier 0: Core Bottleneck Transducer
GTF2A2,717,110,0.026641272008419037,41.04780578613281,0.014840058639963356,0.2976670265197754,3.6914915568785773e-14,3.260895013809204,1.9707908630371094,84,10.954841613769531,0.2976670265197754,4,3,0.26202507613128617,0.19074343644698105,0.03040429879932243,0.0331998984962795,-0.0712816396843051,0.19842087883568424,-2.2678820949975553,-2.2678820949975553,0.9883318030332899,0.9999902868592971,15211,2.209810655222039e-12,9367,7.377431998634165e-14,7.377431998634165e-14,4.4196213104456154e-12,0.014840058639963356,0.014840058639963356,0.2976670265197754,5,Tier 0: Core Bottleneck Transducer
UBA52,691,128,0.011877220124006271,21.29197120666504,0.017150478914149857,0.3535515069961548,3.6914915568785773e-14,5.322992324829102,3.6907129287719727,23,21.29197120666504,0.2499999701976776,4,2,0.4846779075042962,0.4846779075042962,0.02864854264871794,0.0,0.0,0.45602936485557827,-1.9964992064711353,-1.9964992064711353,0.9770601939774634,0.9999902868592971,14999,2.209810655222039e-12,5428,7.377431998634165e-14,7.377431998634165e-14,4.4196213104456154e-12,0.017150478914149857,0.017150478914149857,0.3535515069961548,6,Tier 0: Core Bottleneck Transducer
TPM2,690,284,0.03755123168230057,41.66205596923828,0.024795894512813253,0.3535504937171936,4.274358644806761e-14,7.221565246582031,3.5685975551605225,262,36.926692962646484,0.19556491076946259,4,3,0.271640300148352,0.21793066762750546,0.15999601987364787,0.027094267437506956,-0.053709632520846554,0.08455001283719715,-1.001769351229074,-1.001769351229074,0.841772498510337,0.9879664085423491,13513,2.209810655222039e-12,6207,8.548717289613705e-14,8.548717289613705e-14,4.4196213104456154e-12,0.024795894512813253,0.024795894512813253,0.3535504937171936,7,Tier 0: Core Bottleneck Transducer
MAB21L1,729,359,0.014647341333329678,40.63558578491211,0.021271291634579564,0.3535534143447876,4.4686476741161554e-14,9.295110702514648,7.196538925170898,294,40.63558578491211,0.22874312102794647,4,4,0.47091511795322616,0.47091511795322616,0.02643230467304231,0.04372302449543197,0.16823838657258325,0.2325214022121686,-1.38018408557163,-1.38018408557163,0.9162350136438244,0.9999902868592971,14296,2.209810655222039e-12,2977,8.931744233109384e-14,8.931744233109384e-14,4.4196213104456154e-12,0.021271291634579564,0.021271291634579564,0.3535534143447876,8,Tier 0: Core Bottleneck Transducer
RHOG,720,191,0.034732937812805176,25.40127944946289,0.025036089362614488,0.35355159640312195,4.4686476741161554e-14,2.9170873165130615,2.6407527923583984,90,8.250810623168945,0.35355159640312195,4,3,0.3820079313656426,0.33010038717003987,0.0673991990927921,0.11428342974866232,-0.05190754419560271,0.2003253025241882,-0.8921542440559879,-0.8921542440559879,0.8138448682734575,0.9768848977089598,13215,2.209810655222039e-12,5274,8.931744233109384e-14,8.931744233109384e-14,4.4196213104456154e-12,0.025036089362614488,0.025036089362614488,0.35355159640312195,9,Tier 0: Core Bottleneck Transducer
H2AX,711,143,0.02980535849928856,14.881745338439941,0.010009209352517147,0.35355111956596375,4.662936703425549e-14,1.592438817024231,0.6548731327056885,139,4.504126071929932,0.35355111956596375,4,2,0.17708531880814643,0.10951576886229716,0.07391179054883784,-0.01761813093416108,-0.04995141901168818,0.10317352825930859,-2.9187684968030516,-2.9187684968030516,0.9982429145212913,0.9999902868592971,15559,2.209810655222039e-12,5956,9.325873406851315e-14,9.325873406851315e-14,4.4196213104456154e-12,0.010009209352517147,0.010009209352517147,0.35355111956596375,10,Tier 0: Core Bottleneck Transducer
HYPK,718,123,0.017256975173950195,36.81023406982422,0.019764384496526514,0.3434355854988098,4.857225732734942e-14,3.8198752403259277,2.655221700668335,98,24.159011840820312,0.15811388194561005,4,3,0.4396120402043526,0.4396120402043526,0.3027195608136113,0.10544152994440875,0.0314509494463326,0.0,-1.6053796726167642,-1.6053796726167642,0.9457948624531485,0.9999902868592971,14606,2.209810655222039e-12,6872,9.708900350346994e-14,9.708900350346994e-14,4.4196213104456154e-12,0.019764384496526514,0.019764384496526514,0.3434355854988098,11,Tier 0: Core Bottleneck Transducer
BANF1,687,98,0.017626743763685226,15.087181091308594,0.026704141760850796,0.3384985625743866,5.051514762044335e-14,3.0538930892944336,2.751692771911621,61,9.643795013427734,0.316669225692749,4,2,0.6185707586138683,0.6185707586138683,0.48639098511869977,0.1321797734951686,0.0,0.0,-0.7616639701834651,-0.7616639701834651,0.776869707781068,0.9614639434223863,12816,2.209810655222039e-12,7068,1.010858063921205e-13,1.010858063921205e-13,4.4196213104456154e-12,0.026704141760850796,0.026704141760850796,0.3384985625743866,12,Tier 0: Core Bottleneck Transducer
CAMK2N1,686,88,0.030059119686484337,23.38222312927246,0.013466199432683656,0.3191552758216858,5.051514762044335e-14,1.532956838607788,1.2740026712417603,8,4.803169250488281,0.3191552758216858,4,2,0.21529807811651935,0.12672266802669774,-0.025838405410083004,0.08515982936282719,-0.06273700467973865,0.13013824875369218,-2.481880475250216,-2.481880475250216,0.9934654447653785,0.9999902868592971,15341,2.209810655222039e-12,8134,1.010858063921205e-13,1.010858063921205e-13,4.4196213104456154e-12,0.013466199432683656,0.013466199432683656,0.3191552758216858,13,Tier 0: Core Bottleneck Transducer
RAP2A,692,183,0.0200444795191288,33.94016647338867,0.01581444490159577,0.35355156660079956,5.051514762044335e-14,4.055385112762451,2.242865800857544,174,11.470420837402344,0.35355156660079956,4,2,0.2776970422155394,0.23338935856064946,0.12355947907027573,0.0,-0.044307683654889955,0.1541375631452637,-2.169485354938041,-2.169485354938041,0.9849770724849319,0.9999902868592971,15131,2.209810655222039e-12,5314,1.010858063921205e-13,1.010858063921205e-13,4.4196213104456154e-12,0.01581444490159577,0.01581444490159577,0.35355156660079956,14,Tier 0: Core Bottleneck Transducer
RAB11A,712,240,0.01583300530910492,37.92055130004883,0.014594122689013103,0.3982942998409271,5.245803791353727e-14,4.953202724456787,1.6510676145553589,144,12.436037063598633,0.3982942998409271,4,2,0.30198957416696864,0.30198957416696864,0.0,0.09508815444902992,0.0,0.2069014197179387,-2.3064719815084356,-2.3064719815084356,0.989457863022467,0.9999902868592971,15238,2.209810655222039e-12,1650,1.0486056467584604e-13,1.0486056467584604e-13,4.4196213104456154e-12,0.014594122689013103,0.014594122689013103,0.3982942998409271,15,Tier 0: Core Bottleneck Transducer
HDAC3,724,433,0.02210237644612789,15.267683029174805,0.01829854019576053,0.30205023288726807,5.4400928206631194e-14,4.148496627807617,1.9919291734695435,415,13.734458923339844,0.30205023288726807,4,2,0.35354209626851163,0.24815521042551136,0.2515662234413043,0.10197587282720734,-0.10538688584300028,0.0,-1.7923526038810507,-1.7923526038810507,0.9634617490715913,0.9999902868592971,14812,2.209810655222039e-12,9123,1.088573675644966e-13,1.088573675644966e-13,4.4196213104456154e-12,0.01829854019576053,0.01829854019576053,0.30205023288726807,16,Tier 0: Core Bottleneck Transducer
PBX1,669,349,0.029247473925352097,26.787429809570312,0.011279965343660379,0.3171151280403137,5.4400928206631194e-14,3.0508413314819336,1.8147791624069214,8,9.620611190795898,0.3171151280403137,4,2,0.16945024550191257,0.16945024550191257,0.0,0.03218317426986601,0.0,0.13726707123204654,-2.776465537354545,-2.776465537354545,0.9972523269732557,0.9999902868592971,15498,2.209810655222039e-12,8263,1.088573675644966e-13,1.088573675644966e-13,4.4196213104456154e-12,0.011279965343660379,0.011279965343660379,0.3171151280403137,17,Tier 0: Core Bottleneck Transducer
TIMM8A,680,98,0.04137972742319107,40.92229080200195,0.015559610495985863,0.3535515367984772,5.4400928206631194e-14,6.47661018371582,2.7846479415893555,90,36.05814743041992,0.17961572110652924,4,2,0.18005406860557088,0.08551774516541819,0.08383258711502004,-0.04743051405563629,-0.04710580938451641,0.09622148149055086,-2.217836890233989,-2.217836890233989,0.9867170220919339,0.9999902868592971,15169,2.209810655222039e-12,5377,1.088573675644966e-13,1.088573675644966e-13,4.4196213104456154e-12,0.015559610495985863,0.015559610495985863,0.3535515367984772,18,Tier 0: Core Bottleneck Transducer
KANTR,617,87,0.03972199559211731,41.447383880615234,0.01731682174428036,0.333333283662796,5.6343818499725104e-14,1.8132221698760986,1.7348235845565796,14,14.468969345092773,0.1253179907798767,3,2,0.1885654749243913,0.12456320656916126,0.10818910047199645,,-0.06400226835523004,0.08037637445239483,-2.0863375549026015,-2.0863375549026015,0.9815259714456567,0.9999902868592971,15067,2.209810655222039e-12,7301,1.1263212584822213e-13,1.1263212584822213e-13,4.4196213104456154e-12,0.01731682174428036,0.01731682174428036,0.333333283662796,19,Tier 0: Core Bottleneck Transducer
