gene,taxa_count,codon_length,max_lrt,psi_score,z_score,p_value,fdr_q,rank_track_b,is_golden_hypercube,num_pos_clades,delta_harm,composite_rank,tier
BTNL3,47,488,44.10757064819336,0.10266507,13.232729,5.678742239330702e-40,9.728253330197425e-36,1,0,0,0.0,1,Tier 0: Core Bottleneck Transducer
TSPYL6,144,435,43.537811279296875,0.07761732,8.776769,1.682385354183265e-18,5.764188700502703e-15,2,0,0,0.0,2,Tier 0: Core Bottleneck Transducer
ENSG00000304062,84,108,41.331886291503906,0.07542224,8.386268,5.0182004968139195e-17,8.596679271091926e-14,3,0,0,0.0,3,Tier 0: Core Bottleneck Transducer
OR56A4,160,314,42.4759635925293,0.07247968,7.86279,3.756702056775408e-15,4.950466379586117e-12,4,0,0,0.0,4,Tier 0: Core Bottleneck Transducer
SP100,68,894,41.27994155883789,0.07190663,7.760846,8.436461698279548e-15,9.635001690215129e-12,5,0,0,0.0,5,Tier 0: Core Bottleneck Transducer
IFITM1,70,136,40.37232208251953,0.07002321,7.4257874,1.1211090867868748e-13,1.1297482215144678e-10,6,0,0,0.0,6,Tier 0: Core Bottleneck Transducer
OR5B17,125,339,41.562625885009766,0.06797259,7.0609856,1.6532577061988635e-12,1.4160978882446365e-09,7,0,0,0.0,7,Tier 0: Core Bottleneck Transducer
HOPX,150,89,26.8596248626709,0.06680395,6.853085,7.227409048917077e-12,5.209789832586391e-09,8,0,0,0.0,8,Tier 0: Core Bottleneck Transducer
NEK4,161,889,41.375587463378906,0.06631034,6.7652726,1.330584145355045e-11,9.117694797630911e-09,9,0,0,0.0,9,Tier 0: Core Bottleneck Transducer
OR10H3,109,317,42.189971923828125,0.06597521,6.705654,2.0050610838462233e-11,1.2721741269396167e-08,10,0,0,0.0,10,Tier 0: Core Bottleneck Transducer
IRGM,118,198,41.52824020385742,0.06591456,6.694864,2.1587260215036578e-11,1.3207548383706845e-08,11,0,0,0.0,11,Tier 0: Core Bottleneck Transducer
OR4C13,110,313,41.48808670043945,0.06576058,6.667472,2.6024729349152727e-11,1.5373435809666735e-08,12,0,0,0.0,12,Tier 0: Core Bottleneck Transducer
SPATA31D4,55,969,43.488433837890625,0.06555145,6.630268,3.35077717214808e-11,1.8832037977652543e-08,13,0,0,0.0,13,Tier 0: Core Bottleneck Transducer
ITLN1,173,330,40.2251091003418,0.06438042,6.421943,1.345456403181415e-10,6.447230442933122e-08,14,0,0,0.0,14,Tier 0: Core Bottleneck Transducer
PCDHGB3,74,934,48.11676025390625,0.064103216,6.3726287,1.858153842487295e-10,8.603252290716176e-08,15,0,0,0.0,15,Tier 0: Core Bottleneck Transducer
PYHIN1,149,582,41.753902435302734,0.06337431,6.2429576,4.293733465907519e-10,1.60590696024119e-07,16,0,0,0.0,16,Tier 0: Core Bottleneck Transducer
GYPC,92,128,31.03057098388672,0.06336738,6.241725,4.3277142410300476e-10,1.60590696024119e-07,17,0,0,0.0,17,Tier 0: Core Bottleneck Transducer
AHI1,181,1233,43.32661056518555,0.06335164,6.238924,4.4059090030550417e-10,1.60590696024119e-07,18,0,0,0.0,18,Tier 0: Core Bottleneck Transducer
OR5B2,125,328,43.734092712402344,0.06330535,6.230689,4.643880514410195e-10,1.657381606090855e-07,19,0,0,0.0,19,Tier 0: Core Bottleneck Transducer
OR11H12,76,336,42.34613037109375,0.06310039,6.194227,5.857168181547316e-10,1.9674342768252365e-07,20,0,0,0.0,20,Tier 0: Core Bottleneck Transducer
H2BW2,106,164,40.07617950439453,0.062715724,6.125796,9.023144467888754e-10,2.9462700918886504e-07,21,0,0,0.0,21,Tier 0: Core Bottleneck Transducer
FCN3,235,301,41.557594299316406,0.06270664,6.12418,9.115189706969731e-10,2.9462700918886504e-07,22,0,0,0.0,22,Tier 0: Core Bottleneck Transducer
MS4A18,150,504,41.74885559082031,0.06210849,6.0177693,1.7683692999302444e-09,5.31472534686053e-07,23,0,0,0.0,23,Tier 0: Core Bottleneck Transducer
CX3CL1,115,673,41.3408088684082,0.06189195,5.9792476,2.241706464761321e-09,6.508927703021389e-07,24,0,0,0.0,24,Tier 0: Core Bottleneck Transducer
SSX2,78,203,39.930320739746094,0.061009258,5.822218,5.807175282034887e-09,1.5790907897863435e-06,25,0,0,0.0,25,Tier 0: Core Bottleneck Transducer
