gene,taxa_count,codon_length,max_lrt,psi_score,z_score,p_value,fdr_q,rank_track_b,is_golden_hypercube,num_pos_clades,delta_harm,rank_harmonic,composite_rank,delta_clade_1,delta_clade_2,delta_clade_3,delta_clade_4,delta_clade_5,delta_clade_6,tier,z_track_b,p_track_b,q_track_b,p_combined
FAM240C,412,103,27.22524070739746,0.033754252,6.816881712382665,4.651890320607562e-12,7.871463611500057e-08,1,0,2,0.0014692981685071,434,1,0.0197848603129386,-1.402494125355417e-16,0.0271925516426563,0.0,-1.402494125355417e-16,0.0,Tier 0: Core Bottleneck Transducer,6.816881712382665,4.651890320607562e-12,7.871463611500057e-08,4.651890320607562e-12
OR2G6,231,330,41.980804443359375,0.029427538,5.940064375643188,1.4245508679661864e-09,1.205241261842792e-05,2,0,3,0.0019198201155129,63,2,0.0222908984869718,0.0232843458652496,0.0,0.0,0.0232843458652496,0.0,Tier 0: Core Bottleneck Transducer,5.940064375643188,1.4245508679661864e-09,1.205241261842792e-05,1.4245508679661864e-09
FAM90A1,151,467,40.50543212890625,0.04079586,5.7141196557488465,5.5136694518015194e-09,3.1098933597977835e-05,3,0,3,0.0011942851477803,2006,3,0.0,8.507322974769845e-17,0.040795836597681,0.0,8.507322974769845e-17,0.0,Tier 0: Core Bottleneck Transducer,5.7141196557488465,5.5136694518015194e-09,3.1098933597977835e-05,5.5136694518015194e-09
FAM90A26,146,475,40.439598083496094,0.035056278,4.779098589700075,8.804142065026041e-07,0.003724372197057641,4,0,1,0.0011933804581387,2033,4,0.0,0.0,0.035056285560131,0.0,0.0,0.0,Tier 2: Physiological Homeostasis Modifier,4.779098589700075,8.804142065026041e-07,0.003724372197057641,8.804142065026041e-07
SSU72L2,164,201,41.59041976928711,0.02908204,4.3777586557702035,5.9953009909509135e-06,0.020289297613576084,5,0,1,0.0011942390661208,2009,5,0.0,0.0,0.0404599122703075,0.0,0.0,-0.0083352364599704,Tier 2: Physiological Homeostasis Modifier,4.3777586557702035,5.9953009909509135e-06,0.020289297613576084,5.9953009909509135e-06
OR9A1P,197,319,41.81719970703125,0.02149811,3.8200778440257386,6.670478124727867e-05,0.18811860058086705,6,0,1,0.0011894264194734,2123,6,0.0,0.0,0.0214980822056531,0.0,0.0,0.0,Background,3.8200778440257386,6.670478124727867e-05,0.18811860058086705,6.670478124727867e-05
CPHXL2,151,471,40.209503173828125,0.025643593,3.6031160345704842,0.00015721254023207183,0.37950022408302747,7,0,3,0.0011910593270362,2080,7,0.0256436169147491,8.507737888565102e-17,0.0,0.0,8.507737888565102e-17,0.0,Background,3.6031160345704842,0.00015721254023207183,0.37950022408302747,0.00015721254023207183
RNASE3,308,198,35.5269775390625,0.0175398,3.5686362311810464,0.00017942212591833933,0.37950022408302747,8,0,2,0.0014272815238238,567,8,0.005639158654958,0.0,0.0178060941398143,0.0,0.0,0.0,Background,3.5686362311810464,0.00017942212591833933,0.37950022408302747,0.00017942212591833933
HBG2,286,150,41.46120834350586,0.016921313,3.443445600487427,0.00028717606407934073,0.5399229089207249,9,0,3,0.001858209321654,77,9,0.0082694133743643,0.0155243733897805,0.0,0.0,0.0155243733897805,0.0,Background,3.443445600487427,0.00028717606407934073,0.5399229089207249,0.00028717606407934073
RFPL4B,425,302,41.32936096191406,0.016487379,3.364034259658075,0.0003840600376838565,0.6498679897648536,10,0,1,0.0011864309937212,2207,10,0.0,0.0,0.0164873674511909,0.0,0.0,0.0,Background,3.364034259658075,0.0003840600376838565,0.6498679897648536,0.0003840600376838565
