gene,taxa_count,codon_length,max_lrt,psi_score,z_score,p_value,fdr_q,rank_track_b,is_golden_hypercube,num_pos_clades,delta_harm,rank_harmonic,composite_rank,delta_clade_1,delta_clade_2,tier,z_track_b,p_track_b,q_track_b,p_combined
UBE2E2,696,201,33.35865020751953,0.13735667,9.571140659103579,5.286630803285354e-22,8.944979319158819e-18,1,0,1,0.0019898259,760,1,-0.00032542832,0.19457708,Tier 2: Physiological Homeostasis Modifier,9.571140659103579,5.286630803285354e-22,8.944979319158819e-18,5.286630803285354e-22
BAP1,712,761,41.665283203125,0.11599502,8.097397435275521,2.807370316379151e-16,2.3750352876567617e-12,2,1,2,0.072408535,2,2,0.05233847,0.111703254,Tier 0: Core Bottleneck Transducer,8.097397435275521,2.807370316379151e-16,2.3750352876567617e-12,2.807370316379151e-16
ICAM1,646,634,41.47959899902344,0.11383204,7.758681409229039,4.2908462902728975e-15,2.4200373077139145e-11,3,0,1,0.0019877534,763,3,-0.0003283471,0.16131116,Tier 2: Physiological Homeostasis Modifier,7.758681409229039,4.2908462902728975e-15,2.4200373077139145e-11,4.2908462902728975e-15
R3HCC1,703,514,40.737937927246094,0.106580675,7.402560392772717,6.679170356039644e-14,2.825289060604769e-10,4,1,2,0.067555696,5,4,0.0494288,0.10129904,Tier 0: Core Bottleneck Transducer,7.402560392772717,6.679170356039644e-14,2.825289060604769e-10,6.679170356039644e-14
SLC18A1,686,531,41.5898323059082,0.10199829,7.034681019120311,9.98586824141308e-13,3.3792178128941865e-09,5,1,2,0.061092127,7,5,0.042462405,0.10178496,Tier 0: Core Bottleneck Transducer,7.034681019120311,9.98586824141308e-13,3.3792178128941865e-09,9.98586824141308e-13
PSD3,656,1235,41.49908828735352,0.1026894,7.007020991497002,1.217228767267494e-12,3.4325851236943328e-09,6,1,2,0.07355855,1,6,0.070621714,0.07460303,Tier 0: Core Bottleneck Transducer,7.007020991497002,1.217228767267494e-12,3.4325851236943328e-09,1.217228767267494e-12
SSH1,650,1107,41.5562858581543,0.101159684,6.884305844824583,2.9034996941258307e-12,7.018173546372722e-09,7,1,2,0.053665545,17,7,0.034540124,0.10852127,Tier 0: Core Bottleneck Transducer,6.884305844824583,2.9034996941258307e-12,7.018173546372722e-09,2.9034996941258307e-12
FAM110B,688,372,44.7934684753418,0.09871028,6.806670217141942,4.994176784804423e-12,1.0562683899861355e-08,8,0,1,0.001985892,766,8,-0.00016494468,0.13976237,Tier 2: Physiological Homeostasis Modifier,6.806670217141942,4.994176784804423e-12,1.0562683899861355e-08,4.994176784804423e-12
CLSTN1,648,969,42.09391021728515,0.09844284,6.6892661862341605,1.1214621564543257e-11,2.1083488541341322e-08,9,1,2,0.07056531,3,9,0.06784139,0.07137779,Tier 0: Core Bottleneck Transducer,6.6892661862341605,1.1214621564543257e-11,2.1083488541341322e-08,1.1214621564543257e-11
RAVER2,640,738,41.66719436645508,0.09829503,6.658524437274035,1.3829515331174394e-11,2.3399539940347073e-08,10,1,2,0.052998126,21,10,0.034372065,0.1046381,Tier 0: Core Bottleneck Transducer,6.658524437274035,1.3829515331174394e-11,2.3399539940347073e-08,1.3829515331174394e-11
HECA,636,582,39.815956115722656,0.09632739,6.511336889732175,3.7242440095061255e-11,5.7285644218948766e-08,11,0,1,0.0019855606,770,11,-0.00028164173,0.13650914,Tier 2: Physiological Homeostasis Modifier,6.511336889732175,3.7242440095061255e-11,5.7285644218948766e-08,3.7242440095061255e-11
LAT2,629,286,38.651153564453125,0.09598174,6.469513758625119,4.9159389307164186e-11,6.931473892310151e-08,12,1,2,0.068723276,4,12,0.06469764,0.07104104,Tier 0: Core Bottleneck Transducer,6.469513758625119,4.9159389307164186e-11,6.931473892310151e-08,4.9159389307164186e-11
GSK3A,681,511,41.75816345214844,0.09082356,6.232363263972753,2.2972526294394376e-10,2.9517116406067514e-07,13,0,1,0.0019847236,772,13,-0.00047535636,0.12891927,Tier 2: Physiological Homeostasis Modifier,6.232363263972753,2.2972526294394376e-10,2.9517116406067514e-07,2.2972526294394376e-10
