gene,taxa_count,codon_length,max_lrt,psi_score,z_score,p_value,fdr_q,rank_track_b,is_golden_hypercube,num_pos_clades,delta_harm,composite_rank,tier,z_track_b,p_track_b,q_track_b,p_combined
REG4,617,182,41.52639389038086,0.059708748,3.9089370690473424,4.6351553377501426e-05,0.7497002598242245,1,0,0,0.0,1,Background,3.9089370690473424,4.6351553377501426e-05,0.7497002598242245,4.6351553377501426e-05
FGFBP1,642,273,39.9847526550293,0.059139747,3.7343560990329703,9.4098029101555e-05,0.7497002598242245,2,0,0,0.0,2,Background,3.7343560990329703,9.4098029101555e-05,0.7497002598242245,9.4098029101555e-05
FAM240A,636,105,36.52168273925781,0.058186572,3.557981071592653,0.0001868581183287886,0.7497002598242245,3,0,0,0.0,3,Background,3.557981071592653,0.0001868581183287886,0.7497002598242245,0.0001868581183287886
PGLYRP4,518,390,41.12241744995117,0.0592259,3.3890719640356792,0.0003506480146178058,0.7497002598242245,4,0,0,0.0,4,Background,3.3890719640356792,0.0003506480146178058,0.7497002598242245,0.0003506480146178058
CELA2A,475,285,41.03911590576172,0.06193293,3.385304125073948,0.0003554971631717777,0.7497002598242245,5,0,0,0.0,5,Background,3.385304125073948,0.0003554971631717777,0.7497002598242245,0.0003554971631717777
CLCN4,601,797,41.095489501953125,0.05675598,3.3592580798607536,0.00039076022224556254,0.7497002598242245,6,0,0,0.0,6,Background,3.3592580798607536,0.00039076022224556254,0.7497002598242245,0.00039076022224556254
FMO2,642,539,41.437618255615234,0.056855258,3.27745829903297,0.0005237310077628021,0.7497002598242245,7,0,0,0.0,7,Background,3.27745829903297,0.0005237310077628021,0.7497002598242245,0.0005237310077628021
LCN12,551,215,40.38411331176758,0.056255158,3.1841249230860753,0.0007259616908115614,0.7497002598242245,8,0,0,0.0,8,Background,3.1841249230860753,0.0007259616908115614,0.7497002598242245,0.0007259616908115614
ANKRD34C,603,547,41.88922882080078,0.055883016,3.179467130530775,0.0007377305106842657,0.7497002598242245,9,0,0,0.0,9,Background,3.179467130530775,0.0007377305106842657,0.7497002598242245,0.0007377305106842657
PARP10,484,1247,41.90519332885742,0.059449945,3.1102893626940205,0.0009345207366067016,0.7497002598242245,10,0,0,0.0,10,Background,3.1102893626940205,0.0009345207366067016,0.7497002598242245,0.0009345207366067016
SLFNL1,528,446,33.25196075439453,0.05701063,3.1093926886609373,0.0009373618572129774,0.7497002598242245,11,0,0,0.0,11,Background,3.1093926886609373,0.0009373618572129774,0.7497002598242245,0.0009373618572129774
F11,619,648,42.09038543701172,0.05436352,2.834893877740183,0.0022920455220537127,0.7497002598242245,12,0,0,0.0,12,Background,2.834893877740183,0.0022920455220537127,0.7497002598242245,0.0022920455220537127
SCNN1A,483,666,41.8280029296875,0.057552587,2.8253669510764152,0.002361324835058608,0.7497002598242245,13,0,0,0.0,13,Background,2.8253669510764152,0.002361324835058608,0.7497002598242245,0.002361324835058608
SH2D7,637,510,40.84313201904297,0.054498367,2.817949425441234,0.002416571101861976,0.7497002598242245,14,0,0,0.0,14,Background,2.817949425441234,0.002416571101861976,0.7497002598242245,0.002416571101861976
RPL12,691,167,41.2041015625,0.055046573,2.8063066174479636,0.002505649103432642,0.7497002598242245,15,0,0,0.0,15,Background,2.8063066174479636,0.002505649103432642,0.7497002598242245,0.002505649103432642
CDC42EP2,717,231,35.10331726074219,0.055208176,2.785180667724911,0.0026748952875599794,0.7497002598242245,16,0,0,0.0,16,Background,2.785180667724911,0.0026748952875599794,0.7497002598242245,0.0026748952875599794
NIBAN3,634,623,42.82357406616211,0.05402112,2.7296889210700654,0.0031697057074883007,0.7497002598242245,17,0,0,0.0,17,Background,2.7296889210700654,0.0031697057074883007,0.7497002598242245,0.0031697057074883007
MR1,437,349,41.89963912963867,0.059331793,2.7257786651502953,0.003207499990586444,0.7497002598242245,18,0,0,0.0,18,Background,2.7257786651502953,0.003207499990586444,0.7497002598242245,0.003207499990586444
