gene,taxa_count,codon_length,max_lrt,psi_score,z_score,p_value,fdr_q,rank_track_b,is_golden_hypercube,num_pos_clades,delta_harm,composite_rank,tier
BTNL3,47,488,44.10757064819336,0.08367207,10.262693,1.0377121709328577e-24,8.888523600125394e-21,1,0,0,0.0,1,Tier 0: Core Bottleneck Transducer
TSPYL6,144,435,43.537811279296875,0.078757286,9.379729,6.614234054085043e-21,3.7769481193510296e-17,2,0,0,0.0,2,Tier 0: Core Bottleneck Transducer
LOC124903972,40,219,26.613605499267578,0.074241504,8.568448,1.0488897496951778e-17,4.492132575507023e-14,3,0,0,0.0,3,Tier 0: Core Bottleneck Transducer
PCDHGB3,74,934,48.11676025390625,0.069145374,7.6529045,1.96489822952254e-14,4.808667367135805e-11,4,0,0,0.0,4,Tier 0: Core Bottleneck Transducer
OR10H3,109,317,42.189971923828125,0.06850846,7.5384803,4.754798574094144e-14,8.145445437280679e-11,5,0,0,0.0,5,Tier 0: Core Bottleneck Transducer
ENSG00000304062,84,108,41.331886291503906,0.06744716,7.347813,2.0147590046364553e-13,2.654987423725163e-10,6,0,0,0.0,6,Tier 0: Core Bottleneck Transducer
H2BW2,106,164,40.07617950439453,0.066807434,7.232883,4.728468355930938e-13,5.785956528960921e-10,7,0,0,0.0,7,Tier 0: Core Bottleneck Transducer
OR56A4,160,314,42.4759635925293,0.0661856,7.1211677,1.0701651484161433e-12,1.1458124473448093e-09,8,0,0,0.0,8,Tier 0: Core Bottleneck Transducer
FCN3,235,301,41.557594299316406,0.06432899,6.787619,1.1399913111541639e-11,9.76459557569099e-09,9,0,0,0.0,9,Tier 0: Core Bottleneck Transducer
AHI1,181,1233,43.32661056518555,0.063955724,6.72056,1.8102737931433643e-11,1.348339145666912e-08,10,0,0,0.0,10,Tier 0: Core Bottleneck Transducer
CARD18,131,97,22.35338592529297,0.06278843,6.5108495,7.472699723788678e-11,5.188905713994365e-08,11,0,0,0.0,11,Tier 0: Core Bottleneck Transducer
IRGM,118,198,41.52824020385742,0.062146,6.395435,1.600910844534405e-10,1.015748284359959e-07,12,0,0,0.0,12,Tier 0: Core Bottleneck Transducer
LOC128966704,117,114,41.53000259399414,0.061217763,6.2286725,4.704039451955884e-10,2.7787896500502153e-07,13,0,0,0.0,13,Tier 0: Core Bottleneck Transducer
OR2AG1,198,323,41.35437774658203,0.060239986,6.05301,1.4216405018400366e-09,6.765034288061574e-07,14,0,0,0.0,14,Tier 0: Core Bottleneck Transducer
CTSL,123,336,41.159732818603516,0.059396025,5.9013886,3.604546748763939e-09,1.506085130562806e-06,15,0,0,0.0,15,Tier 0: Core Bottleneck Transducer
