gene,taxa_count,codon_length,max_lrt,psi_score,z_score,p_value,fdr_q,rank_track_b,is_golden_hypercube,num_pos_clades,delta_harm,rank_harmonic,composite_rank,delta_clade_1,delta_clade_2,delta_clade_3,delta_clade_4,delta_clade_5,tier,z_track_b,p_track_b,q_track_b,p_combined
OR5P2,155,331,42.348838806152344,0.13727137,3.836874174706679,6.230513802983258e-05,0.851291589607673,1,1,5,0.0047506355,963,1,0.09015952,0.06261258,0.083766595,0.07040943,1.4868868e-11,Background,3.836874174706679,6.230513802983258e-05,0.851291589607673,6.230513802983258e-05
SPATC1L,644,356,32.448883056640625,0.12882285,3.625461756365125,0.00014422279160805382,0.851291589607673,2,1,5,0.04232158,2,2,0.06694659,0.048494816,0.017274031,0.05182249,0.10351873,Background,3.625461756365125,0.00014422279160805382,0.851291589607673,0.00014422279160805382
GARIN1A,709,327,45.74958801269531,0.12773436,3.592365612601909,0.00016384482761376036,0.851291589607673,3,1,5,0.020143285,62,3,0.0445116,0.036183573,0.004880503,0.042486932,0.15756011,Background,3.592365612601909,0.00016384482761376036,0.851291589607673,0.00016384482761376036
CXCL12,721,93,25.73459815979004,0.12598312,3.536674435694701,0.00020259941015588037,0.851291589607673,4,0,4,0.003346589,2495,4,-0.00060005346,0.0029396398,0.0034295921,0.14844695,0.12749071,Background,3.536674435694701,0.00020259941015588037,0.851291589607673,0.00020259941015588037
OR52J3,292,325,41.6160774230957,0.124514215,3.478278704918792,0.00025232246439185865,0.851291589607673,5,0,4,0.004732482,969,5,0.08528349,0.052361146,-0.0099365115,0.076470084,0.07424402,Background,3.478278704918792,0.00025232246439185865,0.851291589607673,0.00025232246439185865
HSFY1,142,411,42.0059700012207,0.12093798,3.363268858786563,0.0003851265411663372,0.851291589607673,6,0,4,0.0047243084,973,6,0.06647584,0.065084204,0.07059867,0.068266846,-9.592728e-10,Background,3.363268858786563,0.0003851265411663372,0.851291589607673,0.0003851265411663372
HSFY2,142,413,41.78245544433594,0.120800965,3.3593339890877663,0.0003906528909716366,0.851291589607673,7,1,5,0.00472394,974,7,0.06649232,0.064371586,0.07083488,0.06842039,9.0993524e-10,Background,3.3593339890877663,0.0003906528909716366,0.851291589607673,0.0003906528909716366
CHTF18,658,1059,41.15361022949219,0.114720024,3.177178553681325,0.0007435772308524181,0.851291589607673,8,1,5,0.035329036,9,8,0.056821123,0.027494054,0.017370464,0.11778936,0.037046812,Background,3.177178553681325,0.0007435772308524181,0.851291589607673,0.0007435772308524181
UGT3A2,213,553,41.683982849121094,0.112471916,3.1155026518553255,0.0009181584877208849,0.851291589607673,9,0,4,0.004731047,970,9,-0.027299972,0.07369753,0.06587859,0.06393786,0.075280815,Background,3.1155026518553255,0.0009181584877208849,0.851291589607673,0.0009181584877208849
NXF2B,124,715,43.188697814941406,0.108088024,2.997510682567843,0.001360971594679063,0.851291589607673,10,0,3,0.0024463881,7296,10,0.13030821,0.0,0.046580683,0.0,0.06480326,Background,2.997510682567843,0.001360971594679063,0.851291589607673,0.001360971594679063
NEK5,544,903,41.42488098144531,0.108629584,2.9859269947400735,0.0014136006461631422,0.851291589607673,11,1,5,0.016452543,76,11,0.0872282,0.0032675513,0.052386306,0.045530602,0.054490432,Background,2.9859269947400735,0.0014136006461631422,0.851291589607673,0.0014136006461631422
NOXO1,676,431,40.810752868652344,0.10659756,2.9183545268469193,0.0017594201106988785,0.851291589607673,12,1,5,0.013484682,102,12,0.061652347,0.029275108,0.0023982348,0.06453501,0.08049872,Background,2.9183545268469193,0.0017594201106988785,0.851291589607673,0.0017594201106988785
THOC2,629,1603,41.49367904663086,0.105603464,2.8879313161738764,0.0019389226947398312,0.851291589607673,13,1,5,0.030382955,29,13,0.07538708,0.023217443,0.0155745745,0.024172567,0.09778484,Background,2.8879313161738764,0.0019389226947398312,0.851291589607673,0.0019389226947398312
C12orf50,708,430,44.19392395019531,0.10478302,2.85972204992378,0.0021200622970265212,0.851291589607673,14,0,4,0.003650175,1977,14,0.042143695,0.0023333984,0.023543565,-0.0027563842,0.1690377,Background,2.85972204992378,0.0021200622970265212,0.851291589607673,0.0021200622970265212
R3HDM4,650,295,39.539894104003906,0.10435712,2.8477331331013147,0.002201591524079812,0.851291589607673,15,1,5,0.006885558,435,15,0.09530441,0.05021928,0.002733598,0.08369199,0.001400359,Background,2.8477331331013147,0.002201591524079812,0.851291589607673,0.002201591524079812
CABP2,712,210,41.16960525512695,0.10434056,2.8454943906400434,0.002217127021808642,0.851291589607673,16,0,4,0.0038854352,1713,16,0.043301623,0.0035134624,0.026301142,-0.0028244294,0.1630208,Background,2.8454943906400434,0.002217127021808642,0.851291589607673,0.002217127021808642
GCDH,696,452,41.75892639160156,0.10164493,2.7599360435661695,0.0028906339138404058,0.851291589607673,17,1,5,0.005366949,709,17,0.055240307,0.0022289688,0.09694582,0.07214652,0.0007233359,Background,2.7599360435661695,0.0028906339138404058,0.851291589607673,0.0028906339138404058
TAF1D,692,310,41.646610260009766,0.101157665,2.7445284216575256,0.003029895344566223,0.851291589607673,18,0,4,0.004538597,1084,18,-0.0011430578,0.12608579,0.02190817,0.03402352,0.045321018,Background,2.7445284216575256,0.003029895344566223,0.851291589607673,0.003029895344566223
OR5AS1,457,327,41.84546661376953,0.10073622,2.7418881939183297,0.003054356537731768,0.851291589607673,19,1,5,0.03746407,4,19,0.04645537,0.016349157,0.05404619,0.059611328,0.048791006,Background,2.7418881939183297,0.003054356537731768,0.851291589607673,0.003054356537731768
HCFC1R1,708,120,45.075592041015625,0.10090424,2.7359088180003592,0.0031104130382070194,0.851291589607673,20,1,5,0.0090362765,243,20,0.0036136368,0.002498829,0.12854113,0.044370532,0.046604656,Background,2.7359088180003592,0.0031104130382070194,0.851291589607673,0.0031104130382070194
