gene,taxa_count,codon_length,max_lrt,psi_score,z_score,p_value,fdr_q,rank_track_b,is_golden_hypercube,num_pos_clades,delta_harm,composite_rank,tier
BTNL3,47,488,44.10757064819336,0.09227719,8.052287,8.12610111479579e-16,8.188719893974511e-13,1,0,0,0.0,1,Tier 0: Core Bottleneck Transducer
KIR2DL3,46,341,41.40265655517578,0.08112721,6.4940276,8.357141904737854e-11,3.869356701893626e-08,2,0,0,0.0,2,Tier 0: Core Bottleneck Transducer
HOPX,150,89,26.8596248626709,0.0794507,6.259727,3.856519891676917e-10,1.501500960552665e-07,3,0,0,0.0,3,Tier 0: Core Bottleneck Transducer
ENSG00000304062,84,108,41.331886291503906,0.07771644,6.017357,1.7728794745402613e-09,6.19820373027535e-07,4,0,0,0.0,4,Tier 0: Core Bottleneck Transducer
LOC124903972,40,219,26.613605499267578,0.07570126,5.7357264,9.709531928607033e-09,2.7380185707194305e-06,5,0,0,0.0,5,Tier 0: Core Bottleneck Transducer
FAM9C,208,169,41.877288818359375,0.07310469,5.372844,7.750428410149647e-08,1.6806656847376405e-05,6,0,0,0.0,6,Tier 0: Core Bottleneck Transducer
PRAMEF19,134,503,43.20137405395508,0.071656644,5.1704736,2.3350149125128564e-07,4.332655648841257e-05,7,0,0,0.0,7,Tier 0: Core Bottleneck Transducer
ACOT6,118,517,41.5107421875,0.071581066,5.159911,2.4706706028242067e-07,4.455269273366472e-05,8,0,0,0.0,8,Tier 0: Core Bottleneck Transducer
OR56A4,160,314,42.4759635925293,0.07132118,5.1235914,2.9977019266323124e-07,5.294188835581252e-05,9,0,0,0.0,9,Tier 0: Core Bottleneck Transducer
IGFL4,148,134,39.08162307739258,0.071208574,5.107854,3.2583844852043456e-07,5.6383216783874386e-05,10,0,0,0.0,10,Tier 0: Core Bottleneck Transducer
ENSG00000286615,60,151,44.161277770996094,0.070606224,5.0236726,5.069263018047908e-07,8.192598562469689e-05,11,0,0,0.0,11,Tier 0: Core Bottleneck Transducer
SPDYE14,242,281,40.86583709716797,0.07054097,5.0145535,5.315674788483161e-07,8.510544373972433e-05,12,0,0,0.0,12,Tier 0: Core Bottleneck Transducer
CYP4F3,70,530,38.45825958251953,0.069950625,4.9320498,8.137118365170614e-07,0.00012336015461392725,13,0,0,0.0,13,Tier 0: Core Bottleneck Transducer
H4C11,243,103,42.231075286865234,0.06827543,4.6979337,2.6280674034966035e-06,0.00033850693751353623,14,0,0,0.0,14,Tier 0: Core Bottleneck Transducer
FNDC4,64,235,38.4760627746582,0.067963354,4.65432,3.2505202640359374e-06,0.00040351204813912785,15,0,0,0.0,15,Tier 0: Core Bottleneck Transducer
OAZ3,173,196,36.58584976196289,0.06736222,4.5703087,4.870063356679675e-06,0.0005959218240234251,16,0,0,0.0,16,Tier 0: Core Bottleneck Transducer
OR5B17,125,339,41.562625885009766,0.067111254,4.535235,5.753940214418003e-06,0.0006845190959249639,17,0,0,0.0,17,Tier 0: Core Bottleneck Transducer
LRRC37B,106,919,41.64247131347656,0.06677557,4.4883213,7.178660295792275e-06,0.0008144213875974666,18,0,0,0.0,18,Tier 0: Core Bottleneck Transducer
OR8D1,171,330,41.69001007080078,0.066557355,4.457825,8.279537942064705e-06,0.0009210179512046134,19,0,0,0.0,19,Tier 0: Core Bottleneck Transducer
CEACAM18,328,417,38.74184036254883,0.06553211,4.314543,1.5993356930190107e-05,0.001621493880226534,20,0,0,0.0,20,Tier 0: Core Bottleneck Transducer
NUTM2D,73,500,39.99752426147461,0.06553182,4.3145022,1.5996291270695477e-05,0.001621493880226534,21,0,0,0.0,21,Tier 0: Core Bottleneck Transducer
LINC00390,180,87,40.12995910644531,0.06546051,4.3045363,1.6733582218623116e-05,0.0016862529234543092,22,0,0,0.0,22,Tier 0: Core Bottleneck Transducer
PCDHA13,283,989,41.2836799621582,0.06481604,4.214469,2.5036658552481935e-05,0.0024095674025986966,23,0,0,0.0,23,Tier 0: Core Bottleneck Transducer
FCN3,235,301,41.557594299316406,0.06470249,4.1985993,2.6857103177001838e-05,0.002560346565195836,24,0,0,0.0,24,Tier 0: Core Bottleneck Transducer
IQCN,71,1226,42.426734924316406,0.06469936,4.198162,2.6909001735214514e-05,0.002560346565195836,25,0,0,0.0,25,Tier 0: Core Bottleneck Transducer
TPSB2,176,294,36.51203918457031,0.064477615,4.1671724,3.084012158523608e-05,0.002887006135938138,26,0,0,0.0,26,Tier 0: Core Bottleneck Transducer
H2BC3,274,128,40.002471923828125,0.06411533,4.1165414,3.846002949146267e-05,0.003567368990303258,27,0,0,0.0,27,Tier 0: Core Bottleneck Transducer
OR7C2,220,334,41.92683410644531,0.06411257,4.116155,3.852450313502438e-05,0.003567368990303258,28,0,0,0.0,28,Tier 0: Core Bottleneck Transducer
IQCF5,135,165,41.10966491699219,0.06401063,4.1019087,4.097559927168502e-05,0.003753759310819444,29,0,0,0.0,29,Tier 0: Core Bottleneck Transducer
SPRR2G,65,79,41.42460632324219,0.06390773,4.0875278,4.359945344568265e-05,0.003931064405147313,30,0,0,0.0,30,Tier 0: Core Bottleneck Transducer
ADH7,342,380,40.92622756958008,0.06349455,4.029784,5.582808101645053e-05,0.004830256847943505,31,0,0,0.0,31,Tier 0: Core Bottleneck Transducer
H4C13,261,103,8.498804092407227,0.06331911,4.0052657,6.194780659509797e-05,0.005253603340498136,32,0,0,0.0,32,Tier 0: Core Bottleneck Transducer
ENSG00000304907,59,115,42.15214538574219,0.06325202,3.9958894,6.445181381816296e-05,0.0054123726594066165,33,0,0,0.0,33,Tier 0: Core Bottleneck Transducer
RLN1,280,258,41.25978469848633,0.06318861,3.9870284,6.690603059952942e-05,0.005557381950910024,34,0,0,0.0,34,Tier 0: Core Bottleneck Transducer
APOC1,478,113,33.967533111572266,0.06308721,3.972857,7.101568688585853e-05,0.00573853647189454,35,0,0,0.0,35,Tier 0: Core Bottleneck Transducer
OR8K3,149,322,40.573204040527344,0.062742665,3.9247053,8.683598850253737e-05,0.006792636159986154,36,0,0,0.0,36,Tier 0: Core Bottleneck Transducer
LOC107984732,80,93,42.275367736816406,0.06273153,3.9231486,8.739919462984864e-05,0.006805616378199713,37,0,0,0.0,37,Tier 0: Core Bottleneck Transducer
PRAMEF12,168,540,41.78118896484375,0.06252423,3.894178,9.853231492832666e-05,0.007468836668306036,38,0,0,0.0,38,Tier 0: Core Bottleneck Transducer
OR5AK2,171,334,42.67073059082031,0.062353052,3.870255,0.00010872157422328706,0.00816890038604882,39,0,0,0.0,39,Tier 0: Core Bottleneck Transducer
SPDYE15,258,342,41.38472366333008,0.062224273,3.8522575,0.00011703386136656595,0.00867925142454823,40,0,0,0.0,40,Tier 0: Core Bottleneck Transducer
ARHGAP40,329,735,41.64915466308594,0.062190797,3.8475792,0.00011929069953152699,0.008808486955493917,41,0,0,0.0,41,Tier 0: Core Bottleneck Transducer
NINJ2,672,148,41.691768646240234,0.06192218,3.810039,0.00013894484731376578,0.010128783741838815,42,0,0,0.0,42,Tier 1: Primary Regulatory Effector
DKKL1,208,261,40.48056411743164,0.061892904,3.8059473,0.0001412624598170396,0.010210832063821541,43,0,0,0.0,43,Tier 1: Primary Regulatory Effector
OR51B4,335,357,41.61527633666992,0.061698493,3.7787774,0.0001576002489885604,0.011202696537025013,44,0,0,0.0,44,Tier 1: Primary Regulatory Effector
GOLGA8K,493,739,43.989295959472656,0.06158644,3.7631176,0.00016780827366292083,0.01183013800872221,45,0,0,0.0,45,Tier 1: Primary Regulatory Effector
SLC2A7,373,519,39.17158126831055,0.061372202,3.733177,0.0001890796627353502,0.013216295994069495,46,0,0,0.0,46,Tier 1: Primary Regulatory Effector
GOLGA8B,490,667,43.986488342285156,0.061365493,3.7322392,0.00018978511555315484,0.013216295994069495,47,0,0,0.0,47,Tier 1: Primary Regulatory Effector
OR1S2,290,312,42.17219161987305,0.061341774,3.7289245,0.00019229874194869235,0.01333712448713785,48,0,0,0.0,48,Tier 1: Primary Regulatory Effector
NANOS2,691,162,40.901084899902344,0.06124058,3.714782,0.00020337895142245142,0.01382573340007149,49,0,0,0.0,49,Tier 1: Primary Regulatory Effector
H4C2,399,104,12.160300254821777,0.06118985,3.7076921,0.00020915670539010231,0.01410654929148757,50,0,0,0.0,50,Tier 1: Primary Regulatory Effector
RWDD2B,306,319,42.0721549987793,0.060977824,3.6780608,0.0002350139735817999,0.015665464519182156,51,0,0,0.0,51,Tier 1: Primary Regulatory Effector
TRIM31,269,464,37.88474655151367,0.060936883,3.6723392,0.00024034037896538446,0.015958414852930237,52,0,0,0.0,52,Tier 1: Primary Regulatory Effector
LINC02218,199,223,39.773433685302734,0.06088248,3.6647358,0.00024759404262958277,0.01637585482654605,53,0,0,0.0,53,Tier 1: Primary Regulatory Effector
MACC1,602,857,41.82994079589844,0.0608755,3.6637607,0.00024853903770369345,0.01637585482654605,54,0,0,0.0,54,Tier 1: Primary Regulatory Effector
TRAV26-2,320,114,35.31511688232422,0.060850207,3.6602256,0.00025199325509363594,0.016476704019118615,55,0,0,0.0,55,Tier 1: Primary Regulatory Effector
OR56B1,256,339,41.51834487915039,0.060807187,3.6542134,0.0002579716144690205,0.01680346664436802,56,0,0,0.0,56,Tier 1: Primary Regulatory Effector
ITIH6,242,1525,41.37443923950195,0.060649954,3.6322396,0.0002809720736713239,0.01796019624650541,57,0,0,0.0,57,Tier 1: Primary Regulatory Effector
INSL4,244,150,39.182090759277344,0.060614362,3.6272655,0.00028643877098416786,0.01817400957677696,58,0,0,0.0,58,Tier 1: Primary Regulatory Effector
GOLGA8J,495,762,43.97887420654297,0.060587365,3.6234925,0.000290651658814315,0.01823865775512099,59,0,0,0.0,59,Tier 1: Primary Regulatory Effector
C21orf58,272,260,34.80202102661133,0.06041671,3.5996425,0.0003186549532398736,0.01970714080849197,60,0,0,0.0,60,Tier 1: Primary Regulatory Effector
OR2AG2,174,317,41.42439651489258,0.060292993,3.5823526,0.0003405137069579124,0.020569616907350215,61,0,0,0.0,61,Tier 1: Primary Regulatory Effector
PARP4,458,2046,45.612483978271484,0.060254395,3.5769584,0.0003476154444756059,0.020821678948641974,62,0,0,0.0,62,Tier 1: Primary Regulatory Effector
TYMP,411,489,42.13395690917969,0.060201015,3.5694983,0.000357665537639108,0.021349018555036788,63,0,0,0.0,63,Tier 1: Primary Regulatory Effector
SP100,68,894,41.27994155883789,0.060074527,3.551821,0.0003825750349090525,0.02259963076905855,64,0,0,0.0,64,Tier 1: Primary Regulatory Effector
OR8J1,262,317,42.07477569580078,0.059962835,3.5362115,0.00040590959679239266,0.023732550520991394,65,0,0,0.0,65,Tier 1: Primary Regulatory Effector
KCNJ18,332,436,32.364009857177734,0.05991833,3.5299916,0.00041557281893784783,0.02421489102457235,66,0,0,0.0,66,Tier 1: Primary Regulatory Effector
OR1S1,264,322,42.059288024902344,0.059862792,3.5222301,0.00042793246064318154,0.02485054570602828,67,0,0,0.0,67,Tier 1: Primary Regulatory Effector
KRTAP19-6,32,83,39.29515838623047,0.059557676,3.4795887,0.00050218401173642,0.028114099036132715,68,0,0,0.0,68,Tier 1: Primary Regulatory Effector
GOLGA8M,495,773,43.97140884399414,0.059533827,3.476256,0.0005084668763035711,0.028280993694663883,69,0,0,0.0,69,Tier 1: Primary Regulatory Effector
MBD1,693,813,41.8505744934082,0.059465587,3.466719,0.0005268525259962097,0.029208772242204105,70,0,0,0.0,70,Tier 1: Primary Regulatory Effector
CCDC27,267,719,41.15504837036133,0.059453916,3.465088,0.0005300582195313632,0.029291701157392845,71,0,0,0.0,71,Tier 1: Primary Regulatory Effector
MYH15,387,1932,42.484886169433594,0.059355885,3.4513876,0.0005577119118005959,0.030720780582173656,72,0,0,0.0,72,Tier 1: Primary Regulatory Effector
CPXCR1,338,340,47.187294006347656,0.059281155,3.4409437,0.0005796890987160855,0.03162628646530338,73,0,0,0.0,73,Tier 1: Primary Regulatory Effector
OR10J5,433,315,41.57029724121094,0.05915094,3.422746,0.0006199198833125655,0.033395746921470314,74,0,0,0.0,74,Tier 1: Primary Regulatory Effector
OR10X1,169,330,41.516822814941406,0.059007943,3.402761,0.0006670861060890592,0.035490223861526934,75,0,0,0.0,75,Tier 1: Primary Regulatory Effector
H2AC4,450,131,25.97369384765625,0.058964938,3.396751,0.0006819100474174303,0.03605494142687654,76,0,0,0.0,76,Tier 1: Primary Regulatory Effector
MOAP1,351,370,41.39531707763672,0.058885228,3.385611,0.0007101996544496094,0.03743517009346541,77,0,0,0.0,77,Tier 1: Primary Regulatory Effector
SLC16A1,364,528,45.74427032470703,0.0588374,3.3789268,0.0007276939327071234,0.03823964650676605,78,0,0,0.0,78,Tier 1: Primary Regulatory Effector
