gene,taxa_count,codon_length,fn,max_lrt,psi_contrast,max_rho_contrast,p_evd_track_a,max_synergy_contrast,top3_synergy_contrast,best_site_codon,best_site_lrt,best_site_rho,valid_clades,pos_clades,pos_delta_sum,net_delta,delta_primates,delta_rodents,delta_bats,z_track_b,z_score,p_track_b,q_track_b,rank_track_b,q_track_a,rank_track_a,p_combined,p_value,fdr_q,psi_score,psi_track_b,max_rho_track_a,composite_rank,tier
GABARAPL2,715,133,0.015394779853522778,31.593137741088867,0.024723832730340328,0.35259807109832764,2.5257573810221993e-14,2.567915439605713,1.9006866216659546,101,14.065051078796387,0.18257419764995575,3,2,0.41837367216577304,0.2506187530697938,-0.16775491909597925,0.008076109894368542,0.4102975622714045,-1.9675473786076685,-1.9675473786076685,0.9754399302832254,0.9999259036003924,15314,2.2539759177005585e-12,6159,5.0459636469213365e-14,5.0459636469213365e-14,4.507951835402685e-12,0.024723832730340328,0.024723832730340328,0.35259807109832764,1,Tier 0: Core Bottleneck Transducer
H2AC6,512,131,0.026972753927111626,39.768341064453125,0.013025361554583996,0.40824827551841736,3.3029134982597864e-14,1.2349448204040527,0.5402669310569763,122,3.024984836578369,0.40824827551841736,3,2,0.06475760946135413,0.06475760946135413,0.0,0.0511761900358728,0.013581419425481326,-2.8730283633708655,-2.8730283633708655,0.9979672119291234,0.9999259036003924,15862,2.2539759177005585e-12,653,6.600275881396556e-14,6.600275881396556e-14,4.507951835402685e-12,0.013025361554583996,0.013025361554583996,0.40824827551841736,2,Tier 0: Core Bottleneck Transducer
MTPN,730,118,0.024999110028147697,36.49384307861328,0.019021080259563745,0.4082372486591339,3.3029134982597864e-14,4.050677299499512,1.350225806236267,110,9.922361373901367,0.4082372486591339,3,2,0.22660407397348764,0.1970009693550436,-0.029603104618444048,0.026598895635629796,0.20000517833785786,-2.378675100315634,-2.378675100315634,0.9913125086631178,0.9999259036003924,15618,2.2539759177005585e-12,1747,6.600275881396556e-14,6.600275881396556e-14,4.507951835402685e-12,0.019021080259563745,0.019021080259563745,0.4082372486591339,3,Tier 0: Core Bottleneck Transducer
CDC42SE2,721,94,0.04468318447470665,34.4997673034668,0.03519710978833087,0.4082387089729309,4.4686476741161554e-14,3.4854447841644287,2.7422122955322266,24,8.537761688232422,0.4082387089729309,3,3,0.37979182171971254,0.37979182171971254,0.12031172529926297,0.09649139846918822,0.16298869795126136,-1.188589892679975,-1.188589892679975,0.8826994564414394,0.9999259036003924,14159,2.2539759177005585e-12,1517,8.931744233109384e-14,8.931744233109384e-14,4.507951835402685e-12,0.03519710978833087,0.03519710978833087,0.4082387089729309,4,Tier 0: Core Bottleneck Transducer
TIMM13,673,100,0.045776836574077606,30.405269622802734,0.02938662157739257,0.31775787472724915,4.4686476741161554e-14,1.576234221458435,1.0055888891220093,13,4.960488319396973,0.31775787472724915,2,2,0.11158200607643509,0.11158200607643509,0.10487878705019789,,0.006703219026237198,-1.6731314184713881,-1.6731314184713881,0.9528492861645009,0.9999259036003924,14977,2.2539759177005585e-12,8550,8.931744233109384e-14,8.931744233109384e-14,4.507951835402685e-12,0.02938662157739257,0.02938662157739257,0.31775787472724915,5,Tier 0: Core Bottleneck Transducer
DCTN5,717,186,0.025136051699519157,34.69071578979492,0.026301493957907374,0.40824636816978455,4.857225732734942e-14,7.535538196563721,3.1927671432495117,41,18.45831298828125,0.40824630856513977,3,2,0.3387808877891249,0.25614839153037666,0.030368453087352438,-0.08263249625874827,0.3084124347017725,-1.8496067070307047,-1.8496067070307047,0.9678148722832791,0.9999259036003924,15171,2.2539759177005585e-12,767,9.708900350346994e-14,9.708900350346994e-14,4.507951835402685e-12,0.026301493957907374,0.026301493957907374,0.40824636816978455,6,Tier 0: Core Bottleneck Transducer
TMEM127,725,154,0.027334140613675117,25.27151107788086,0.02207795754799799,0.3868083655834198,5.245803791353727e-14,9.75915241241455,3.7948293685913086,20,25.22994041442871,0.3868083655834198,3,2,0.20697547956869228,0.20697547956869228,0.0,0.059606348388626704,0.14736913118006556,-2.1548873122108683,-2.1548873122108683,0.9844146732577334,0.9999259036003924,15464,2.2539759177005585e-12,3470,1.0486056467584604e-13,1.0486056467584604e-13,4.507951835402685e-12,0.02207795754799799,0.02207795754799799,0.3868083655834198,7,Tier 0: Core Bottleneck Transducer
GNG7,676,69,0.04667253792285919,35.07796859741211,0.03649586000339692,0.40824249386787415,5.6343818499725104e-14,5.749677658081055,3.2086448669433594,33,30.094005584716797,0.1910572350025177,3,3,0.33901689571127225,0.33901689571127225,0.2120605362274559,0.05935846877583097,0.06759789070798537,-1.1628101702358102,-1.1628101702358102,0.877546735049538,0.9999259036003924,14109,2.2539759177005585e-12,896,1.1263212584822213e-13,1.1263212584822213e-13,4.507951835402685e-12,0.03649586000339692,0.03649586000339692,0.40824249386787415,8,Tier 0: Core Bottleneck Transducer
MOB4,703,242,0.015927216038107872,35.920494079589844,0.02627678522098885,0.40824124217033386,5.828670879281901e-14,3.0164425373077393,1.7104378938674927,106,7.3888726234436035,0.40824124217033386,3,2,0.6515780753723106,0.6515780753723106,0.0,0.2657939980065161,0.38578407736579445,-1.8649491914190035,-1.8649491914190035,0.9689057368237252,0.9999259036003924,15189,2.2539759177005585e-12,1073,1.166289287368727e-13,1.166289287368727e-13,4.507951835402685e-12,0.02627678522098885,0.02627678522098885,0.40824124217033386,9,Tier 0: Core Bottleneck Transducer
SH3BGRL3,725,93,0.024463988840579987,26.881385803222656,0.023058904458064015,0.2916618585586548,5.828670879281901e-14,3.042820453643799,2.1064846515655518,47,11.07992172241211,0.2746247351169586,3,3,0.3439894714323218,0.3439894714323218,0.025826461127162744,0.1215249934444972,0.19663801686066185,-2.082197191750641,-2.082197191750641,0.981337769155742,0.9999259036003924,15403,2.2539759177005585e-12,10288,1.166289287368727e-13,1.166289287368727e-13,4.507951835402685e-12,0.023058904458064015,0.023058904458064015,0.2916618585586548,10,Tier 0: Core Bottleneck Transducer
SVBP,716,69,0.04448458552360535,35.266319274902344,0.022869289755723183,0.3695791959762573,5.828670879281901e-14,3.7622194290161133,2.1581411361694336,12,10.17973804473877,0.3695791959762573,3,3,0.24953206545132667,0.24953206545132667,0.08397181741594675,0.029861264931447657,0.13569898310393225,-2.103151066758346,-2.103151066758346,0.9822737169069422,0.9999259036003924,15421,2.2539759177005585e-12,4836,1.166289287368727e-13,1.166289287368727e-13,4.507951835402685e-12,0.022869289755723183,0.022869289755723183,0.3695791959762573,11,Tier 0: Core Bottleneck Transducer
