gene,taxa_count,codon_length,max_lrt,psi_score,z_score,p_value,fdr_q,rank_track_b,is_golden_hypercube,num_pos_clades,delta_harm,rank_harmonic,composite_rank,delta_clade_1,delta_clade_2,delta_clade_3,delta_clade_4,tier,z_track_b,p_track_b,q_track_b,p_combined
RPL21,665,160,40.0523681640625,0.18617713,5.218935668053915,8.997712533213614e-08,0.0015224129606197436,1,1,4,0.0040145684,219,1,0.1614538,0.15399197,0.056873757,3.4677563e-05,Tier 0: Core Bottleneck Transducer,5.218935668053915,8.997712533213614e-08,0.0015224129606197436,8.997712533213614e-08
KATNAL1,694,550,42.05829620361328,0.16503803,4.6474794801544235,1.68007753462555e-06,0.009811365812714575,2,1,4,0.0076223537,74,2,0.07034575,0.18343048,0.0752682,0.0010316025,Tier 0: Core Bottleneck Transducer,4.6474794801544235,1.68007753462555e-06,0.009811365812714575,1.68007753462555e-06
ELAVL1,699,339,41.85462951660156,0.1645471,4.640289884467098,1.7396038675025842e-06,0.009811365812714575,3,0,3,0.002528236,1452,3,0.14985204,0.18526888,-0.006780698,0.000753976,Tier 0: Core Bottleneck Transducer,4.640289884467098,1.7396038675025842e-06,0.009811365812714575,1.7396038675025842e-06
GTF3A,701,396,36.80827713012695,0.16029678,4.5184532924358365,3.114650555085226e-06,0.013174971848010504,4,0,3,0.003858861,231,4,0.052236143,0.19175944,0.07834424,-0.0017462727,Tier 1: Primary Regulatory Effector,4.5184532924358365,3.114650555085226e-06,0.013174971848010504,3.114650555085226e-06
CSN3,639,321,40.62997817993164,0.15071799,4.150743184280971,1.6569872433710304e-05,0.04540265266570344,5,1,4,0.042731263,5,5,0.016307283,0.13852912,0.05497117,0.09162836,Tier 1: Primary Regulatory Effector,4.150743184280971,1.6569872433710304e-05,0.04540265266570344,1.6569872433710304e-05
PDAP1,713,198,39.0274658203125,0.1464891,4.128759721672114,1.8236264904656756e-05,0.04540265266570344,6,0,3,0.0024929491,1547,6,0.08575237,0.21419081,-0.0076646293,0.00069966493,Tier 1: Primary Regulatory Effector,4.128759721672114,1.8236264904656756e-05,0.04540265266570344,1.8236264904656756e-05
IMP3,690,184,31.953245162963867,0.14727417,4.121954098426006,1.8783603348695278e-05,0.04540265266570344,7,0,3,0.0024182885,1757,7,0.22875312,-0.0043689525,0.06959069,0.0005734557,Tier 1: Primary Regulatory Effector,4.121954098426006,1.8783603348695278e-05,0.04540265266570344,1.8783603348695278e-05
KLF14,639,509,37.47380828857422,0.14123152,3.8769464765818324,5.2887807800828206e-05,0.08162929711800035,8,1,4,0.005955742,128,8,0.03444771,0.13611156,0.11130938,0.00059435517,Tier 2: Physiological Homeostasis Modifier,3.8769464765818324,5.2887807800828206e-05,0.08162929711800035,5.2887807800828206e-05
MED31,702,131,38.935794830322266,0.1376822,3.8562204183345803,5.757683155680842e-05,0.08162929711800035,9,0,3,0.0020413604,2516,9,0.2782061,0.0010718843,-0.0050267056,0.0011130762,Tier 2: Physiological Homeostasis Modifier,3.8562204183345803,5.757683155680842e-05,0.08162929711800035,5.757683155680842e-05
GLMN,698,620,43.01282501220703,0.13783132,3.8556585874123703,5.770923890709691e-05,0.08162929711800035,10,0,3,0.0025793167,1331,10,0.2405588,-0.037327882,0.07155505,0.000876609,Tier 2: Physiological Homeostasis Modifier,3.8556585874123703,5.770923890709691e-05,0.08162929711800035,5.770923890709691e-05
