gene,taxa_count,codon_length,max_lrt,psi_score,z_score,p_value,fdr_q,rank_track_b,is_golden_hypercube,num_pos_clades,delta_harm,composite_rank,tier
LOC112267855,52,288,41.013702392578125,0.0956635,11.564176,6.258953184130484e-31,1.0722212699733932e-26,1,0,0,0.0,1,Tier 0: Core Bottleneck Transducer
ENSG00000304062,84,108,41.331886291503906,0.07243588,7.977001,1.4993138030454411e-15,3.2105930949964315e-12,2,0,0,0.0,2,Tier 0: Core Bottleneck Transducer
TSPYL6,144,435,43.537811279296875,0.06962619,7.543085,4.589814273286707e-14,7.148009846879507e-11,3,0,0,0.0,3,Tier 0: Core Bottleneck Transducer
BTNL3,47,488,44.10757064819336,0.06779423,7.2601657,3.8661644307600794e-13,3.4858559401763643e-10,4,0,0,0.0,4,Tier 0: Core Bottleneck Transducer
CST5,118,176,40.20714569091797,0.06374319,6.6345396,3.2551694409154636e-11,2.065344729345289e-08,5,0,0,0.0,5,Tier 0: Core Bottleneck Transducer
KRTAP1-1,63,207,38.198509216308594,0.06215935,6.389938,1.659531604596459e-10,8.884198724481857e-08,6,0,0,0.0,6,Tier 0: Core Bottleneck Transducer
PYHIN1,149,582,41.753902435302734,0.061427087,6.2768507,3.454995526448001e-10,1.5996629287454245e-07,7,0,0,0.0,7,Tier 0: Core Bottleneck Transducer
FNDC4,64,235,38.4760627746582,0.05922624,5.9369617,2.9035254792282144e-09,9.043689997210644e-07,8,0,0,0.0,8,Tier 0: Core Bottleneck Transducer
IRGM,118,198,41.52824020385742,0.05712709,5.612777,1.9910485397663208e-08,5.0908436619010215e-06,9,0,0,0.0,9,Tier 0: Core Bottleneck Transducer
LOC124903972,40,219,26.613605499267578,0.056755245,5.5553517,2.770532965931363e-08,6.684788766108476e-06,10,0,0,0.0,10,Tier 0: Core Bottleneck Transducer
MS4A18,150,504,41.74885559082031,0.05388334,5.111827,3.190581265527066e-07,5.877187920402599e-05,11,0,0,0.0,11,Tier 0: Core Bottleneck Transducer
CST2,36,147,37.972530364990234,0.053120624,4.994036,5.913030768636097e-07,9.647250485476666e-05,12,0,0,0.0,12,Tier 0: Core Bottleneck Transducer
OR2J2,108,328,41.97846984863281,0.05287556,4.9561896,7.188905530527408e-07,0.0001161822081542123,13,0,0,0.0,13,Tier 0: Core Bottleneck Transducer
OOSP1,335,193,38.184810638427734,0.052504435,4.8988748,9.638705456663104e-07,0.0001461244806885802,14,0,0,0.0,14,Tier 0: Core Bottleneck Transducer
MRGPRX4,124,360,34.86972427368164,0.0523861,4.8806,1.0576358035001361e-06,0.00015619274956690373,15,0,0,0.0,15,Tier 0: Core Bottleneck Transducer
ERVMER34-1,122,578,41.331756591796875,0.05158012,4.7561274,1.9734199896912136e-06,0.00026830680828095383,16,0,0,0.0,16,Tier 0: Core Bottleneck Transducer
AHI1,181,1233,43.32661056518555,0.05140763,4.7294893,2.2508528746506207e-06,0.00029661046612030603,17,0,0,0.0,17,Tier 0: Core Bottleneck Transducer
IFITM1,70,136,40.37232208251953,0.050913855,4.6532326,3.267713208895839e-06,0.0004146607035673676,18,0,0,0.0,18,Tier 0: Core Bottleneck Transducer
FPR3,261,355,40.86878204345703,0.050108545,4.528864,5.930167766867615e-06,0.0007006186483738559,19,0,0,0.0,19,Tier 0: Core Bottleneck Transducer
OR10H3,109,317,42.189971923828125,0.049753416,4.4740195,7.676272692983888e-06,0.0008825652852584361,20,0,0,0.0,20,Tier 0: Core Bottleneck Transducer
LOC124903206,61,192,37.894466400146484,0.049544122,4.4416966,8.92523293644184e-06,0.0009993344146025174,21,0,0,0.0,21,Tier 0: Core Bottleneck Transducer
PNMA3,313,500,41.83588409423828,0.04926919,4.399237,1.0863206181753481e-05,0.0012084258772702525,22,0,0,0.0,22,Tier 0: Core Bottleneck Transducer
OR7C2,220,334,41.92683410644531,0.04901106,4.3593726,1.3043585366167766e-05,0.001396560380673875,23,0,0,0.0,23,Tier 0: Core Bottleneck Transducer
BEND2,63,821,45.035064697265625,0.048817106,4.3294196,1.4950283002933519e-05,0.001567078501279859,24,0,0,0.0,24,Tier 0: Core Bottleneck Transducer
SPATA31D4,55,969,43.488433837890625,0.04878433,4.324358,1.5297671118123764e-05,0.0015882691146944133,25,0,0,0.0,25,Tier 0: Core Bottleneck Transducer
SSTR4,385,391,38.01694107055664,0.048631974,4.3008285,1.701607504431282e-05,0.0017560384432778488,26,0,0,0.0,26,Tier 0: Core Bottleneck Transducer
CX3CL1,115,673,41.3408088684082,0.048439547,4.271111,1.945015523458239e-05,0.001971601238601366,27,0,0,0.0,27,Tier 0: Core Bottleneck Transducer
OR12D2,123,308,41.67377853393555,0.048187267,4.23215,2.3146786572821398e-05,0.002292067056526031,28,0,0,0.0,28,Tier 0: Core Bottleneck Transducer
OR1L6,175,322,41.91044235229492,0.04808774,4.216779,2.4781637348215022e-05,0.0024121263034788155,29,0,0,0.0,29,Tier 0: Core Bottleneck Transducer
EZHIP,181,544,41.293270111083984,0.047980137,4.2001615,2.6672470934885606e-05,0.0025746624632429454,30,0,0,0.0,30,Tier 0: Core Bottleneck Transducer
SP100,68,894,41.27994155883789,0.047949247,4.195391,2.724010487405676e-05,0.0025925013144303686,31,0,0,0.0,31,Tier 0: Core Bottleneck Transducer
SPRR3,36,187,41.41523361206055,0.047920495,4.190951,2.7778781191208954e-05,0.002629161881693926,32,0,0,0.0,32,Tier 0: Core Bottleneck Transducer
OR1L4,184,331,42.03667068481445,0.047791004,4.170953,3.0332869554904437e-05,0.0028088237207841505,33,0,0,0.0,33,Tier 0: Core Bottleneck Transducer
PRR18,289,388,31.89838218688965,0.047654763,4.1499124,3.3260260035514514e-05,0.0030469599714887654,34,0,0,0.0,34,Tier 0: Core Bottleneck Transducer
CBY3,217,249,33.78382110595703,0.047614362,4.143673,3.417870973245457e-05,0.003114444023546167,35,0,0,0.0,35,Tier 0: Core Bottleneck Transducer
PCDHB9,116,867,41.20690155029297,0.047282975,4.092495,4.2675651436900124e-05,0.003787961579096042,36,0,0,0.0,36,Tier 0: Core Bottleneck Transducer
CCDC163,92,155,39.21529006958008,0.047271647,4.0907454,4.299888726215343e-05,0.003796979060247167,37,0,0,0.0,37,Tier 0: Core Bottleneck Transducer
HHLA2,469,466,42.61268997192383,0.047078058,4.0608487,4.889464848383949e-05,0.004209116699380172,38,0,0,0.0,38,Tier 0: Core Bottleneck Transducer
TAS2R14,179,384,41.2608528137207,0.04683246,4.0229197,5.748110945374074e-05,0.004771597882541412,39,0,0,0.0,39,Tier 0: Core Bottleneck Transducer
PYDC5,113,120,37.270870208740234,0.046599988,3.9870174,6.690912224108828e-05,0.005210091695964016,40,0,0,0.0,40,Tier 0: Core Bottleneck Transducer
OR4C11,233,348,40.37413024902344,0.04649735,3.9711661,7.152167996854959e-05,0.005498691969949885,41,0,0,0.0,41,Tier 0: Core Bottleneck Transducer
OR1A1,145,318,43.649810791015625,0.0461372,3.9155462,9.019977720406863e-05,0.006718314709925652,42,0,0,0.0,42,Tier 0: Core Bottleneck Transducer
OR56B1,256,339,41.51834487915039,0.04584773,3.8708417,0.0001084601910492832,0.007839795497321816,43,0,0,0.0,43,Tier 0: Core Bottleneck Transducer
KLRC1,199,219,42.17784118652344,0.04542539,3.8056173,0.0001414509376085251,0.009849948482440864,44,0,0,0.0,44,Tier 0: Core Bottleneck Transducer
H2BW1,118,179,40.32024383544922,0.04537724,3.7981813,0.00014576169570843536,0.010068724230569379,45,0,0,0.0,45,Tier 1: Primary Regulatory Effector
OR5M10,175,319,43.483795166015625,0.045314718,3.7885258,0.00015154384525079253,0.010384390451965307,46,0,0,0.0,46,Tier 1: Primary Regulatory Effector
OR10X1,169,330,41.516822814941406,0.045243923,3.7775924,0.00015835174948767718,0.010807664623399991,47,0,0,0.0,47,Tier 1: Primary Regulatory Effector
KRTAP19-5,98,118,41.08671951293945,0.045223445,3.77443,0.00016037390744299255,0.01085915181188105,48,0,0,0.0,48,Tier 1: Primary Regulatory Effector
C1orf202,130,177,31.879169464111328,0.04519781,3.770471,0.00016293967421394034,0.010946351211603969,49,0,0,0.0,49,Tier 1: Primary Regulatory Effector
HSFX2,86,442,42.12510681152344,0.04494857,3.7319796,0.0001899808837483993,0.012421994349213086,50,0,0,0.0,50,Tier 1: Primary Regulatory Effector
ITLN1,173,330,40.2251091003418,0.044896405,3.7239234,0.00019615042817371645,0.012680199943562025,51,0,0,0.0,51,Tier 1: Primary Regulatory Effector
LOC128966704,117,114,41.53000259399414,0.04488162,3.7216399,0.00019793317702345096,0.012747343066123075,52,0,0,0.0,52,Tier 1: Primary Regulatory Effector
MOAP1,351,370,41.39531707763672,0.044384446,3.6448586,0.00026753885724988615,0.016195081849992223,53,0,0,0.0,53,Tier 1: Primary Regulatory Effector
GYPC,92,128,31.03057098388672,0.043794103,3.5536885,0.0003798688209698199,0.020992041200109626,54,0,0,0.0,54,Tier 1: Primary Regulatory Effector
OR10AG1,109,352,41.1566162109375,0.043461815,3.5023713,0.00046113648522072076,0.024457365722341074,55,0,0,0.0,55,Tier 1: Primary Regulatory Effector
KRT83,90,529,28.60120391845703,0.043433055,3.49793,0.00046888409353164584,0.02479152285892168,56,0,0,0.0,56,Tier 1: Primary Regulatory Effector
