gene,codon_length,taxa_count,fg_count,n_microbats,n_odontocetes,psi_track_b,max_rho_track_a,p_min_track_a,p_evd_track_a,max_synergy_track_a,top3_synergy_track_a,best_site_codon,best_site_lrt,best_site_rho,rho_microbats,rho_odontocetes,rho_megabats,rho_mysticetes,z_track_b,p_track_b,q_track_b,rank_track_b,rank_track_a,q_track_a,min_rank,dual_track_score,composite_rank,composite_score,z_score,p_combined,p_value,fdr_q,psi_score,rank_prod,tier
CIB2,200,692,100,60,40,0.4439248616816545,0.9334903955459596,1.942890293094024e-15,1.4960255256822866e-13,19.153839111328125,11.73454761505127,198,23.70837783813477,0.8078932762145996,0.8273198008537292,0.7071061134338379,0.6458774209022522,0.2851943075656891,5.018948390123102,2.5977552146537453e-07,0.00022411401785873682,16,2,1.0541123167921588e-12,5,4.999907852654293,1,2.0005986032590624,5.018948390123102,2.9926061628771095e-13,2.9926061628771095e-13,2.108224633584907e-12,0.4439248616816545,5.656854249492381,Tier 0: Core Bottleneck Transducer
TMC1,772,665,106,70,36,0.4028630619121576,0.9422011971473694,1.942890293094024e-15,5.984102102727803e-13,19.71283531188965,17.39618492126465,511,34.223388671875,0.5760048031806946,0.9334819316864014,0.9036166667938232,0.5245608687400818,0.2841189205646515,3.962775812496463,3.70416714455034e-05,0.012837166722529521,43,1,1.0582330641556401e-12,3,2.999905435909697,2,1.001563019620885,3.962775812496463,1.19687593169715e-12,1.19687593169715e-12,2.1165642946443954e-12,0.4028630619121576,6.557438524302,Tier 0: Core Bottleneck Transducer
SLC26A5,762,699,114,74,40,0.3810186864462194,0.9071112275123596,1.942890293094024e-15,5.88695758807316e-13,19.571428298950195,16.8809757232666,407,23.920352935791016,0.8181914687156677,0.9001168608665466,0.8660182356834412,0.51939457654953,0.8573586940765381,3.531717232866511,0.00020643529466413233,0.04498195152572797,69,10,1.0578313373181006e-12,18,17.999905592535974,3,10.003092783505156,3.531717232866511,1.1773360064637473e-12,1.1773360064637473e-12,2.1157614450698197e-12,0.3810186864462194,26.267851073127396,Tier 0: Core Bottleneck Transducer
SEM1,70,723,110,71,39,0.6595082602513838,0.7652454972267151,1.942890293094024e-15,1.7486012637846064e-14,2.7531800270080566,2.4055445194244385,28,3.597773551940918,0.7652454972267151,0.9525065422058104,0.0,0.0,0.0,10.27007983397222,4.806254075912655e-25,7.226203003134678e-21,1,936,1.0541123167921588e-12,1,0.9999293638798228,4,1.0311606252078485,10.27007983397222,1.887379141862766e-15,1.887379141862766e-15,2.108224633584907e-12,0.6595082602513838,30.59411708155671,Tier 0: Core Bottleneck Transducer
LOXHD1,2302,629,102,67,35,0.3675504245188621,0.905207097530365,1.942890293094024e-15,2.815248034689278e-12,24.83551788330078,23.44256019592285,2016,32.560890197753906,0.7627407312393188,0.9850673675537108,0.9275890588760376,0.6629453897476196,0.91629821062088,3.0167202268435256,0.0012776276486084713,0.17952459529746134,107,12,2.9167071528082483e-12,20,19.999904091224455,5,12.004057199866978,3.0167202268435256,5.63044055823525e-12,5.63044055823525e-12,5.833356793899324e-12,0.3675504245188621,35.832945734337834,Tier 0: Core Bottleneck Transducer
EIF4A2,408,709,109,71,38,0.6065378507265794,0.7717949151992798,1.942890293094024e-15,5.6343818499725104e-14,8.62880802154541,4.152387619018555,19,11.180182456970217,0.7717949151992798,0.4823448657989502,0.7787772417068481,0.0380892343819141,0.3956243693828583,8.960157725068136,1.621071574800124e-19,1.2186405563559932e-15,2,818,1.0541123167921588e-12,2,1.99991940847766,6,2.027269704023944,8.960157725068136,1.942890293094024e-15,1.942890293094024e-15,2.108224633584907e-12,0.6065378507265794,40.44749683231337,Tier 0: Core Bottleneck Transducer
MCOLN3,557,707,112,72,40,0.3199200520579794,0.9250417947769164,1.942890293094024e-15,7.285838599099935e-13,15.48019027709961,14.119023323059082,70,16.73458480834961,0.9250417947769164,0.921938419342041,0.7963674068450928,0.9684485793113708,0.4295605421066284,2.088568770434581,0.018373279420104964,0.7915250890581035,349,5,1.0988322132357058e-12,8,7.999906614183857,7,5.015364150315929,2.088568770434581,1.4571122086692867e-12,1.4571122086692867e-12,2.1975807059226326e-12,0.3199200520579794,41.773197148410844,Tier 0: Core Bottleneck Transducer
NDST4,879,677,102,65,37,0.4330450163600101,0.8222348690032959,1.942890293094024e-15,1.0258460747531184e-12,27.70456314086914,23.104665756225582,206,39.919715881347656,0.6940070390701294,0.927283525466919,0.8000393509864807,0.9999952912330629,0.5309483408927917,4.71750102598449,1.1937959849349846e-06,0.0008158510287953406,22,253,1.290893516397149e-12,27,26.99990414857443,8,22.009145327569005,4.71750102598449,2.051636638356058e-12,2.051636638356058e-12,2.5817171792503626e-12,0.4330450163600101,74.60562981437795,Tier 0: Core Bottleneck Transducer
HNRNPF,420,671,107,70,37,0.3275030692359974,0.8929176926612854,1.942890293094024e-15,2.7006175074003293e-13,11.886882781982422,8.748822212219238,193,21.0814266204834,0.5638557076454163,0.8714045882225037,0.8117373585700989,0.6539216637611389,0.593757152557373,2.178661309765363,0.014678418985571798,0.7356334314935733,300,20,1.0541123167921588e-12,31,30.99991025764937,9,20.012570668440304,2.178661309765363,5.401235014801387e-13,5.401235014801387e-13,2.108224633584907e-12,0.3275030692359974,77.45966692414834,Tier 0: Core Bottleneck Transducer
RPA4,306,332,87,51,36,0.3881060546695561,0.8914470076560974,1.942890293094024e-15,5.032085859112256e-13,19.141136169433594,17.073333740234375,103,27.614158630371097,0.6931638121604919,0.945024311542511,0.7127818465232849,0.5975576639175415,0.4062001705169678,2.135477158795721,0.01636102699608635,0.7623001006975402,320,21,1.0541123167921588e-12,32,31.999905533013525,10,21.00305952776854,2.135477158795721,1.0064726829739357e-12,1.0064726829739357e-12,2.108224633584907e-12,0.3881060546695561,81.97560612767678,Tier 0: Core Bottleneck Transducer
