gene,taxa_count,codon_length,fn,max_lrt,psi_contrast,max_rho_contrast,p_evd_track_a,max_synergy_contrast,top3_synergy_contrast,best_site_codon,best_site_lrt,best_site_rho,valid_clades,pos_clades,pos_delta_sum,net_delta,delta_cetacea,delta_pinnipedia,delta_sirenia,z_track_b,z_score,p_track_b,q_track_b,rank_track_b,q_track_a,rank_track_a,p_combined,p_value,fdr_q,psi_score,psi_track_b,max_rho_track_a,composite_rank,tier
TBPL1,724,186,0.019848501309752464,36.82880783081055,0.03546067284321201,0.33026280999183655,3.6914915568785773e-14,5.851208686828613,2.869415283203125,174,17.716825485229492,0.33026280999183655,3,2,0.5094285113957915,0.44371544637931215,0.4613121913558669,0.048116320039924616,-0.06571306501647932,-1.2133786737141465,-1.2133786737141465,0.8875074619406237,0.9998467469941675,14128,1.4310716354622577e-12,11802,7.377431998634165e-14,7.377431998634165e-14,2.8621432709254998e-12,0.03546067284321201,0.03546067284321201,0.33026280999183655,1,Tier 0: Core Bottleneck Transducer
CDC42SE2,721,94,0.04468318447470665,34.4997673034668,0.028841993379253295,0.30249300599098206,4.4686476741161554e-14,1.4865665435791016,1.4209895133972168,76,9.552550315856934,0.15561985969543457,3,3,0.26094684578022137,0.26094684578022137,0.18070643077844264,0.07964894329933651,0.0005914717024422173,-1.6557001931634658,-1.6557001931634658,0.9511087259094028,0.9998467469941675,14850,1.4310716354622577e-12,12906,8.931744233109384e-14,8.931744233109384e-14,2.8621432709254998e-12,0.028841993379253295,0.028841993379253295,0.30249300599098206,2,Tier 0: Core Bottleneck Transducer
EIF5A2,726,154,0.0234161876142025,20.00881004333496,0.04461640422702085,0.39139801263809204,4.4686476741161554e-14,4.842002868652344,3.371392011642456,5,18.33268165588379,0.26411864161491394,3,2,0.5117941656783177,0.5117941656783177,0.4639268518319656,0.0,0.047867313846352094,-0.5968368335658729,-0.5968368335658729,0.7246918382623669,0.9566612833360596,12128,1.4310716354622577e-12,6982,8.931744233109384e-14,8.931744233109384e-14,2.8621432709254998e-12,0.04461640422702085,0.04461640422702085,0.39139801263809204,3,Tier 0: Core Bottleneck Transducer
DAD1,727,113,0.03074900060892105,28.32925796508789,0.026122143583695003,0.35369324684143066,4.662936703425549e-14,10.019866943359375,4.174692153930664,10,28.32925796508789,0.35369324684143066,3,2,0.3207148046757729,0.3198726932283046,0.24205195598029688,-0.0008421114474683074,0.07866284869547603,-1.8438419723901753,-1.8438419723901753,0.9673969130861658,0.9998467469941675,15049,1.4310716354622577e-12,10285,9.325873406851315e-14,9.325873406851315e-14,2.8621432709254998e-12,0.026122143583695003,0.026122143583695003,0.35369324684143066,4,Tier 0: Core Bottleneck Transducer
TMEM167B,703,74,0.03577110171318054,23.012557983398438,0.035137592317415665,0.3615052402019501,4.857225732734942e-14,2.261723279953003,1.8641761541366577,61,23.012557983398438,0.09828213602304459,3,3,0.39811217850183167,0.39811217850183167,0.26827614142211936,0.07074891546048877,0.05908712161922353,-1.231470291075723,-1.231470291075723,0.8909264892639275,0.9998467469941675,14171,1.4310716354622577e-12,9670,9.708900350346994e-14,9.708900350346994e-14,2.8621432709254998e-12,0.035137592317415665,0.035137592317415665,0.3615052402019501,5,Tier 0: Core Bottleneck Transducer
RAP2A,692,183,0.0200444795191288,33.94016647338867,0.02763481984744469,0.29848170280456543,5.051514762044335e-14,9.06623363494873,6.537599086761475,127,30.37450408935547,0.29848170280456543,3,2,0.4611439066179563,0.4611439066179563,0.2630810892886713,0.0,0.198062817329285,-1.7110066997499342,-1.7110066997499342,0.9564600619773159,0.9998467469941675,14914,1.4310716354622577e-12,13069,1.010858063921205e-13,1.010858063921205e-13,2.8621432709254998e-12,0.02763481984744469,0.02763481984744469,0.29848170280456543,6,Tier 0: Core Bottleneck Transducer
TIMM8A,680,98,0.04137972742319107,40.92229080200195,0.03592852523256391,0.33762243390083313,5.4400928206631194e-14,2.2529337406158447,0.8872542381286621,2,6.672938823699951,0.33762243390083313,3,2,0.3076094636455906,0.28834992128494374,0.29434981462552484,0.013259649020065744,-0.019259542360646847,-1.1777085434669938,-1.1777085434669938,0.8805435901254434,0.9998467469941675,14045,1.4310716354622577e-12,11291,1.088573675644966e-13,1.088573675644966e-13,2.8621432709254998e-12,0.03592852523256391,0.03592852523256391,0.33762243390083313,7,Tier 0: Core Bottleneck Transducer
KRAS,720,189,0.03872791305184364,24.889034271240234,0.011984710123827525,0.36146822571754456,5.6343818499725104e-14,6.172717094421387,2.496476650238037,183,17.07678985595703,0.36146822571754456,3,2,0.05921670661012539,0.04737749610545266,-0.011839210504672735,0.027714856609957057,0.031501850000168335,-2.7809727717084547,-2.7809727717084547,0.9972901858738003,0.9998467469941675,15645,1.4310716354622577e-12,9675,1.1263212584822213e-13,1.1263212584822213e-13,2.8621432709254998e-12,0.011984710123827525,0.011984710123827525,0.36146822571754456,8,Tier 0: Core Bottleneck Transducer
LIN52,711,112,0.02911148965358734,33.341064453125,0.034197530888420036,0.3260839283466339,5.6343818499725104e-14,1.1012938022613525,0.9285173416137695,5,3.3773322105407715,0.3260839283466339,3,2,0.46009862876406543,0.46009862876406543,0.3490944974992821,0.0,0.11100413126478331,-1.2948328549807633,-1.2948328549807633,0.9023110523036981,0.9998467469941675,14307,1.4310716354622577e-12,11996,1.1263212584822213e-13,1.1263212584822213e-13,2.8621432709254998e-12,0.034197530888420036,0.034197530888420036,0.3260839283466339,9,Tier 0: Core Bottleneck Transducer
SUMO1,649,132,0.02982156164944172,40.763099670410156,0.046812722632164225,0.3809499144554138,5.6343818499725104e-14,5.995917320251465,2.682217597961426,129,15.739384651184082,0.3809499144554138,3,2,0.5120847688389164,0.4376223233763653,0.4637775401117616,0.04830722872715482,-0.07446244546255108,-0.5193476909398351,-0.5193476909398351,0.6982408490869565,0.945839476777666,11819,1.4310716354622577e-12,8097,1.1263212584822213e-13,1.1263212584822213e-13,2.8621432709254998e-12,0.046812722632164225,0.046812722632164225,0.3809499144554138,10,Tier 0: Core Bottleneck Transducer
