gene,taxa_count,codon_length,max_lrt,psi_score,z_score,p_value,fdr_q,rank_track_b,is_golden_hypercube,num_pos_clades,delta_harm,rank_harmonic,composite_rank,delta_clade_1,delta_clade_2,delta_clade_3,delta_clade_4,delta_clade_5,delta_clade_6,delta_clade_7,delta_clade_8,tier,z_track_b,p_track_b,q_track_b,p_combined
GNLY,312,165,41.57756805419922,0.032911263,6.186809688186499,3.0697004471672685e-10,5.194240126651735e-06,1,0,1,0.0011380628582669,15790,1,0.0,0.0,-1.2222259265427967e-16,0.0,0.0,0.0329112969338893,0.0,0.0,Tier 2: Physiological Homeostasis Modifier,6.186809688186499,3.0697004471672685e-10,5.194240126651735e-06,3.0697004471672685e-10
OR2Y1,169,313,41.3682861328125,0.037293453,5.9035533659894455,1.7787723661106216e-09,1.5049303603478915e-05,2,0,1,0.0011386094442531,15772,2,0.0,0.0,-8.98629231317357e-17,0.0,0.0,0.0372933223843574,0.0,0.0,Tier 2: Physiological Homeostasis Modifier,5.9035533659894455,1.7787723661106216e-09,1.5049303603478915e-05,1.7787723661106216e-09
KLRF2,297,221,40.83870315551758,0.029953832,5.585634765412817,1.1642406930992739e-08,6.566705589310937e-05,3,0,1,0.001137606880182,15800,3,0.0,0.0,-1.1929237481748202e-16,0.0,0.0,0.0299537405371665,0.0,0.0,Tier 2: Physiological Homeostasis Modifier,5.585634765412817,1.1642406930992739e-08,6.566705589310937e-05,1.1642406930992739e-08
PRAMEF7,141,504,43.006446838378906,0.04082146,5.531190101911861,1.5903269487986355e-08,6.727480575155427e-05,4,0,1,0.0011389665733646,15758,4,0.0,0.0,-8.210034924362777e-17,0.0,0.0,0.0408215150237083,0.0,0.0,Tier 2: Physiological Homeostasis Modifier,5.531190101911861,1.5903269487986355e-08,6.727480575155427e-05,1.5903269487986355e-08
TAS2R20,183,375,41.93013000488281,0.031058203,5.219504635136025,8.970116270059974e-08,0.0003035666748113696,5,0,1,0.0011377869707565,15796,5,0.0,0.0,-9.33619765321738e-17,0.0,0.0,0.0310582797974348,0.0,0.0,Tier 2: Physiological Homeostasis Modifier,5.219504635136025,8.970116270059974e-08,0.0003035666748113696,8.970116270059974e-08
GSTA1,124,231,31.132192611694336,0.038157664,4.6058357676552975,2.054062639987591e-06,0.005792798988538337,6,0,4,0.0011387028613314,15768,6,0.0,7.6992164853978e-17,0.0,0.0,0.0,0.0381576344370842,7.6992164853978e-17,7.6992164853978e-17,Tier 0: Core Bottleneck Transducer,4.6058357676552975,2.054062639987591e-06,0.005792798988538337,2.054062639987591e-06
OR2J2,108,328,41.97846984863281,0.041697837,4.52497587769664,3.020119735832687e-06,0.0073004922928607,7,0,1,0.0011390461511127,15753,7,0.0,0.0,-7.1544935674855e-17,0.0,0.0,0.0416977778077125,0.0,0.0,Tier 2: Physiological Homeostasis Modifier,4.52497587769664,3.020119735832687e-06,0.0073004922928607,3.020119735832687e-06
GSTA2,115,223,31.50017547607422,0.039142672,4.446884571527037,4.35623111808303e-06,0.009213973343635369,8,0,4,0.0011388044363273,15765,8,0.0,7.41063434550173e-17,0.0,0.0,0.0,0.0391426421701908,7.41063434550173e-17,7.41063434550173e-17,Tier 0: Core Bottleneck Transducer,4.446884571527037,4.35623111808303e-06,0.009213973343635369,4.35623111808303e-06
OR2J1,120,330,42.69028854370117,0.03750436,4.397104768336546,5.485219967165616e-06,0.009604841414808577,9,0,1,0.0011386326433852,15771,9,0.0,0.0,-7.557478094820104e-17,0.0,0.0,0.0375043973326683,0.0,0.0,Tier 2: Physiological Homeostasis Modifier,4.397104768336546,5.485219967165616e-06,0.009604841414808577,5.485219967165616e-06
CLEC2A,260,132,39.77003860473633,0.024110919,4.389664458766527,5.67628474369634e-06,0.009604841414808577,10,0,1,0.0011363921621899,15831,10,0.0,0.0,-1.1166329464535035e-16,0.0,0.0,0.0241109393537044,0.0,0.0,Tier 2: Physiological Homeostasis Modifier,4.389664458766527,5.67628474369634e-06,0.009604841414808577,5.67628474369634e-06
TTLL9,295,452,40.19205856323242,0.021152686,3.824058194937998,6.563645438928555e-05,0.10096676770191824,11,0,1,0.0011367913825898,15822,11,-0.006126751191914,0.0,-1.187646997611222e-16,0.0,0.0,0.0257730279117822,0.0,0.0,Background,3.824058194937998,6.563645438928555e-05,0.10096676770191824,6.563645438928555e-05
KRBOX1,239,141,39.72396087646485,0.02065019,3.6792171832746043,0.00011697548660739096,0.16494518407363853,12,0,4,0.0011353655196886,15853,12,0.0,1.0678050042900904e-16,0.0,0.0,0.0,0.020650191232562,1.0678050042900904e-16,1.0678050042900904e-16,Background,3.6792171832746043,0.00011697548660739096,0.16494518407363853,0.00011697548660739096
OR9G1,257,314,42.73860549926758,0.020106485,3.5863012001639527,0.00016770077011268446,0.218281902390518,13,0,4,0.0018372657584784,90,13,-0.0106522412970662,0.0117973443120718,-1.1058602755512047e-16,0.0101221948862075,0.0124916639178991,0.007918600924313,0.0,0.0,Background,3.5863012001639527,0.00016770077011268446,0.218281902390518,0.00016770077011268446
PCDHB9,116,867,41.20690155029297,0.03111891,3.478434931334377,0.0002521754338964635,0.3047900369258613,14,0,4,0.0011388637020915,15763,14,-0.0131794847548007,7.423163815676192e-17,0.0,0.0,0.0,0.0397405102849006,7.423163815676192e-17,7.423163815676192e-17,Background,3.478434931334377,0.0002521754338964635,0.3047900369258613,0.0002521754338964635
PRAMEF8,149,520,42.79463195800781,0.024279844,3.276810109473447,0.0005249347563670875,0.5828227805391122,15,0,1,0.0011364351126821,15828,15,0.0,0.0,-8.427792536723075e-17,0.0,0.0,0.0242798365652561,0.0,0.0,Background,3.276810109473447,0.0005249347563670875,0.5828227805391122,0.0005249347563670875
IFI27L1,102,125,32.03251266479492,0.03232783,3.263050143012721,0.0005511000820652322,0.5828227805391122,16,0,4,0.0011387035349866,15767,16,-0.0067008533515036,6.967683759691014e-17,0.0,0.0,0.0,0.0381640084087848,6.967683759691014e-17,6.967683759691014e-17,Background,3.263050143012721,0.0005511000820652322,0.5828227805391122,0.0005511000820652322
OR56A4,160,314,42.4759635925293,0.021872323,3.1082057651049464,0.0009411348391381087,0.6548997868160297,17,0,1,0.001138663293116,15769,17,-0.0195463672280311,0.0,-8.698321625186298e-17,0.0,0.0,0.037786841392517,0.0,0.0,Background,3.1082057651049464,0.0009411348391381087,0.6548997868160297,0.0009411348391381087
OR5B17,125,339,41.562625885009766,0.026396312,3.081305520428792,0.00103047530057796,0.6548997868160297,18,0,4,0.0011384049823698,15776,18,-0.0152629800140857,7.699366701397041e-17,0.0,0.0,0.0,0.0355281718075275,7.699366701397041e-17,7.699366701397041e-17,Background,3.081305520428792,0.00103047530057796,0.6548997868160297,0.00103047530057796
H2BC7,191,127,29.95039939880371,0.01789938,2.9321636007749636,0.001683046868552553,0.6548997868160297,19,0,1,0.0011384794959021,15774,19,0.0,-0.0007863789796829,-9.497670587977124e-17,0.0,0.0,0.0361523628234863,0.0,-0.0007863789796829,Background,2.9321636007749636,0.001683046868552553,0.6548997868160297,0.001683046868552553
LOC124904394,220,143,43.65099334716797,0.016357897,2.801989781646482,0.0025394241138682514,0.6548997868160297,20,0,2,0.0012986731187283,6749,20,0.0082266749814152,0.0,-1.0262643909743711e-16,0.0,0.0,0.0183228272944688,0.0,0.0,Background,2.801989781646482,0.0025394241138682514,0.6548997868160297,0.0025394241138682514
OR11A1,239,329,41.58979034423828,0.016062971,2.761773383274604,0.0028744182607195823,0.6548997868160297,21,0,5,0.0015113668700302,1171,21,0.0,0.0089335478842258,0.0,0.0089724622666835,0.0,0.0098369773477315,1.0655766458943213e-16,1.0655766458943213e-16,Background,2.761773383274604,0.0028744182607195823,0.6548997868160297,0.0028744182607195823
PRAMEF18,128,493,41.5283203125,0.023513258,2.7567684394569003,0.0029187837480522047,0.6548997868160297,22,0,1,0.0011362354459353,15833,22,0.0,0.0,-7.802373848717043e-17,0.0,0.0,0.0235132556408643,0.0,0.0,Background,2.7567684394569003,0.0029187837480522047,0.6548997868160297,0.0029187837480522047
HDGFL1,111,332,36.171085357666016,0.026092105,2.74693004637866,0.00300779818045673,0.6548997868160297,23,0,1,0.0011368624476409,15820,23,0.0260921064764261,0.0,-7.303174981252721e-17,0.0,0.0,0.0,0.0,0.0,Background,2.74693004637866,0.00300779818045673,0.6548997868160297,0.00300779818045673
OR7C2,220,334,41.92683410644531,0.01588367,2.707144381646482,0.0033932367717630116,0.6548997868160297,24,0,2,0.0013057699120078,6439,24,-0.0125937908887863,0.0,-1.0219435303266391e-16,0.0100001394748687,0.0,0.0269753821194171,0.0,0.0,Background,2.707144381646482,0.0033932367717630116,0.6548997868160297,0.0033932367717630116
NUTM1,226,1197,43.18425369262695,0.014888246,2.5142416611179095,0.005964433121227104,0.6548997868160297,25,0,1,0.001137879550779,15793,25,-0.0120228957384824,0.0,-1.0396385779903735e-16,0.0,0.0,0.0316572003066539,0.0,0.0,Background,2.5142416611179095,0.005964433121227104,0.6548997868160297,0.005964433121227104
TRIM5,263,261,41.96900177001953,0.014589486,2.487811822738237,0.006426586082444969,0.6548997868160297,26,0,4,0.0017029106251134,229,26,0.0045915977098047,0.0031108770053833,-1.1229519445889183e-16,0.0,0.0,0.0297833643853664,0.0,0.0031108770053833,Background,2.487811822738237,0.006426586082444969,0.6548997868160297,0.006426586082444969
OR1S2,290,312,42.17219161987305,0.014417576,2.473606997210286,0.006687837236392256,0.6548997868160297,27,0,4,0.0017902532910005,127,27,-0.0134197464212775,0.0073181227780878,0.0072365445084869,0.0059645590372383,0.0,0.0109864212572574,0.0,0.0,Background,2.473606997210286,0.006687837236392256,0.6548997868160297,0.006687837236392256
AHI1,181,1233,43.32661056518555,0.015830051,2.402521611546478,0.008141236209227359,0.6548997868160297,28,0,3,0.0015050622049788,1245,28,-0.0119431437924504,0.0,-9.26567157244662e-17,0.0113373296335339,0.0,0.005304024554789,0.0,0.0122080715373158,Background,2.402521611546478,0.008141236209227359,0.6548997868160297,0.008141236209227359
OR2S2,301,342,40.32503509521485,0.013947335,2.3869897072533015,0.008493483427494035,0.6548997868160297,29,0,4,0.0012922460913759,7071,29,-0.0024228319525718,0.0007269525667652,0.0,0.0,0.0,0.0296167228370904,1.1996626893636162e-16,0.0007269525667652,Background,2.3869897072533015,0.008493483427494035,0.6548997868160297,0.008493483427494035
OR5P2,155,331,42.348838806152344,0.017682783,2.3547219556428867,0.009268284908340352,0.6548997868160297,30,0,1,0.0011383947441253,15777,30,0.0,0.0,-8.59273632133309e-17,0.0,-0.0030434564687311,0.0354440361261367,0.0,0.0,Background,2.3547219556428867,0.009268284908340352,0.6548997868160297,0.009268284908340352
ACSM6,150,506,42.03804397583008,0.018063493,2.34116535462988,0.009611825469616383,0.6548997868160297,31,0,2,0.0012367131628183,10833,31,0.0012390092015266,0.0,-8.45935642540912e-17,0.0,0.0,0.0441806688904762,0.0,0.0,Background,2.34116535462988,0.009611825469616383,0.6548997868160297,0.009611825469616383
CTSV,151,335,41.36888122558594,0.01735017,2.2455824844756216,0.01236538171903461,0.6548997868160297,32,0,5,0.0012307743667187,11273,32,0.0010878990869969,8.467848592449833e-17,0.0,0.0,0.0,0.0465680249035358,8.467848592449833e-17,8.467848592449833e-17,Background,2.2455824844756216,0.01236538171903461,0.6548997868160297,0.01236538171903461
CT55,208,290,42.00005340576172,0.013358428,2.188938719190821,0.014300647186055733,0.6548997868160297,33,0,5,0.0018858323054998,70,33,0.0,0.0024099797010421,0.002209722995758,0.0,0.0,0.0297330543398857,0.002209722995758,0.0024099797010421,Background,2.188938719190821,0.014300647186055733,0.6548997868160297,0.014300647186055733
CPHXL,115,409,42.48226547241211,0.020903297,2.1881350666129182,0.014329882628680143,0.6548997868160297,34,0,5,0.0013133462752812,6101,34,0.0,7.428712543225199e-17,0.0,0.0209032781422138,0.0209032781422138,0.0,7.428712543225199e-17,7.428712543225199e-17,Background,2.1881350666129182,0.014329882628680143,0.6548997868160297,0.014329882628680143
CST5,118,176,40.20714569091797,0.019904643,2.1117775301016377,0.017352767727434323,0.6548997868160297,35,0,5,0.0013018052561233,6602,35,0.0,7.486971204639554e-17,0.0,0.0072519201785326,0.0,0.0404447689652442,7.486971204639554e-17,7.486971204639554e-17,Background,2.1117775301016377,0.017352767727434323,0.6548997868160297,0.017352767727434323
RTL8A,129,115,24.839282989501953,0.018457329,2.0897507836154237,0.01832009626435861,0.6548997868160297,36,0,3,0.0015346783649789,942,36,-0.010197015479207,0.0,-7.83072165918148e-17,0.0,0.0098604476079344,0.023337060585618,0.0,0.011554641649127,Background,2.0897507836154237,0.01832009626435861,0.6548997868160297,0.01832009626435861
OR10A3,197,327,42.693058013916016,0.0131168915,2.0876083854354017,0.018416587485530655,0.6548997868160297,37,0,2,0.0012842237937776,7480,37,0.0,0.0,-9.681253729638162e-17,0.0053571360185742,0.0,0.0128618776798248,0.0,0.0,Background,2.0876083854354017,0.018416587485530655,0.6548997868160297,0.018416587485530655
OR1L4,184,331,42.03667068481445,0.013795071,2.068088072582517,0.019315871036015144,0.6548997868160297,38,0,2,0.0012990290145287,6735,38,0.0,0.0,-9.354614664119752e-17,0.0,0.0073481947183609,0.0248668007552623,0.0,0.0,Background,2.068088072582517,0.019315871036015144,0.6548997868160297,0.019315871036015144
CTSL,123,336,41.15973281860352,0.018609231,2.021672713506053,0.02160508730175927,0.6548997868160297,39,0,2,0.0012584459187912,9166,39,0.0019717682152986,0.0,-7.644682783717894e-17,0.0,0.0,0.0476686246693134,0.0,0.0,Background,2.021672713506053,0.02160508730175927,0.6548997868160297,0.02160508730175927
OR1L6,175,322,41.91044235229492,0.013963379,1.9941788097730624,0.02306625851671871,0.6548997868160297,40,0,2,0.0012984939295553,6760,40,0.0,0.0,-9.116254298806471e-17,0.0,0.0070069809444248,0.0267064087092876,0.0,0.0,Background,1.9941788097730624,0.02306625851671871,0.6548997868160297,0.02306625851671871
NAT8B,349,251,41.51737976074219,0.011838963,1.9935180757104247,0.023102373114262203,0.6548997868160297,41,0,2,0.0012451719813907,10169,41,0.0,0.0,-1.2901154849163308e-16,0.0015820190310478,0.0,0.0256513953208923,0.0,0.0,Background,1.9935180757104247,0.023102373114262203,0.6548997868160297,0.023102373114262203
SLC52A1,118,455,45.387054443359375,0.018871045,1.9811646665418277,0.023786405120148284,0.6548997868160297,42,0,4,0.0011346995508844,15861,42,0.0188710521906614,7.530109666200929e-17,0.0,0.0,0.0,0.0,7.530109666200929e-17,7.530109666200929e-17,Background,1.9811646665418277,0.023786405120148284,0.6548997868160297,0.023786405120148284
BBIP1,323,95,40.863800048828125,0.011511411,1.9135111962565905,0.027841320780717112,0.6548997868160297,43,0,2,0.0012299017018237,11337,43,0.001118860207498,0.0,-1.2441557418961083e-16,0.0,0.0,0.0296438112854957,0.0,0.0,Background,1.9135111962565905,0.027841320780717112,0.6548997868160297,0.027841320780717112
TCEAL1,157,182,40.59196090698242,0.01460726,1.8920014743762168,0.029245392181735972,0.6548997868160297,44,0,3,0.0015353093446312,936,44,-0.0114295305684208,0.0,-0.0109537411481142,0.0082179103046655,0.0123002212494611,0.0360300242900848,-0.0109537411481142,0.0,Background,1.8920014743762168,0.029245392181735972,0.6548997868160297,0.029245392181735972
OR1S1,264,322,42.059288024902344,0.0115708,1.8848767098671386,0.029723242597335477,0.6548997868160297,45,0,4,0.0017644057442773,152,45,-0.0136459302157163,0.007087480276823,0.0070099607110023,0.0057089328765869,0.0,0.0063229482620954,-1.1200452980908562e-16,-1.1200452980908562e-16,Background,1.8848767098671386,0.029723242597335477,0.6548997868160297,0.029723242597335477
OR51I2,247,336,40.41972732543945,0.011430741,1.8425741725588654,0.03269560386549523,0.6548997868160297,46,0,4,0.0017455396543929,172,46,-0.0148835750296711,0.007752850651741,-1.0836150727739388e-16,0.0060679838061332,0.0090021267533302,0.0033975457772612,0.0,0.0,Background,1.8425741725588654,0.03269560386549523,0.6548997868160297,0.03269560386549523
OR4C13,110,313,41.48808670043945,0.01868119,1.8394048330241979,0.03292783189820493,0.6548997868160297,47,0,1,0.0011392937275397,15745,47,-0.0230346582829952,0.0,-7.215819414611201e-17,0.0,0.0,0.0446742288768291,0.0,0.0,Background,1.8394048330241979,0.03292783189820493,0.6548997868160297,0.03292783189820493
DEFB116,355,104,37.047630310058594,0.010851222,1.7990869594614367,0.03600246306504009,0.6548997868160297,48,0,5,0.0019865458995465,37,48,0.0011229082010686,-0.0064653572626411,0.0065634571947157,0.0,0.0079738516360521,0.0076626916415989,0.0,0.0040773944929242,Background,1.7990869594614367,0.03600246306504009,0.6548997868160297,0.03600246306504009
OR5F1,133,243,43.64193344116211,0.015877416,1.7897797367890294,0.03674466397020285,0.6548997868160297,49,0,4,0.0012836398908964,7507,49,-0.0058499299921095,0.0038041421212255,0.0,0.0,0.0,0.0404528677463531,7.972728718022134e-17,7.972728718022134e-17,Background,1.7897797367890294,0.03674466397020285,0.6548997868160297,0.03674466397020285
LOC124903723,180,272,40.528812408447266,0.012469343,1.7826121018920063,0.03732473423528925,0.6548997868160297,50,0,3,0.001547478226993,850,50,-0.0082504041492939,-1.6801059246063232e-06,-9.278280451959887e-17,0.0124468766152858,0.0167721752077341,0.0,0.0,0.024597231298685,Background,1.7826121018920063,0.03732473423528925,0.6548997868160297,0.03732473423528925
RNFT1,355,442,41.80883026123047,0.010703336,1.7695097594614368,0.03840442177897558,0.6548997868160297,51,0,3,0.001316632573878,5971,51,0.0002597532002255,0.0,-1.3029943561815364e-16,0.0,0.0030260311905294,0.0284838713705539,0.0,0.0,Background,1.7695097594614368,0.03840442177897558,0.6548997868160297,0.03840442177897558
NT5DC4,129,435,40.63758087158203,0.015966523,1.751792223635579,0.03990477093042741,0.6548997868160297,52,0,2,0.0012653111251094,8633,52,0.0023297553416341,0.0,-7.849785856195111e-17,0.0,0.0,0.0439776144921779,0.0,0.0,Background,1.751792223635579,0.03990477093042741,0.6548997868160297,0.03990477093042741
TTLL2,124,600,41.24453353881836,0.015953029,1.687297092413574,0.04577311990631238,0.6548997868160297,53,0,4,0.001133307177845,15900,53,0.0159530490636825,7.671147931108161e-17,0.0,0.0,0.0,0.0,7.671147931108161e-17,7.671147931108161e-17,Background,1.687297092413574,0.04577311990631238,0.6548997868160297,0.04577311990631238
H2AB1,227,135,35.83613204956055,0.010674677,1.6725343071974104,0.04720950432417563,0.6548997868160297,54,0,4,0.0014788179730901,1572,54,0.0012804021826013,0.0,-1.0424983068040921e-16,0.0064432565122842,0.0002325773239135,0.0381406098604202,0.0,0.0,Background,1.6725343071974104,0.04720950432417563,0.6548997868160297,0.04720950432417563
RWDD2B,306,319,42.0721549987793,0.010156872,1.632141563175626,0.0513248338714912,0.6548997868160297,55,0,3,0.0014817326426476,1532,55,-0.0122152781113982,0.0,-1.20652537677205e-16,0.0062666642479598,0.0077600218355655,0.0057881758548319,0.0,0.0,Background,1.632141563175626,0.0513248338714912,0.6548997868160297,0.0513248338714912
OR2T1,315,347,42.259769439697266,0.010084594,1.6233301141174619,0.052259427681477656,0.6548997868160297,56,0,4,0.0017803710974998,135,56,-0.0099454373121261,0.0072938208468258,-0.0058580716140568,0.0044779148884117,0.0,0.0222029164433479,-0.0058580753393471,0.0057923574931919,Background,1.6233301141174619,0.052259427681477656,0.6548997868160297,0.052259427681477656
TPSD1,130,253,34.641021728515625,0.014858019,1.6130217724220897,0.05336988883409623,0.6548997868160297,57,0,6,0.0021938879834573,10,57,0.0094170467928051,0.0016972552984952,0.0015458833659067,0.0,-0.0026393663138151,0.0416977480053901,0.0015458775451406,0.0016972552984952,Background,1.6130217724220897,0.05336988883409623,0.6548997868160297,0.05336988883409623
OR6C65,150,323,42.078514099121094,0.013272351,1.604540138950204,0.05429752211398307,0.6548997868160297,58,0,1,0.0011315312546581,15942,58,0.0,0.0,-8.462818672581022e-17,0.0132723748683929,0.0,0.0,0.0,0.0,Background,1.604540138950204,0.05429752211398307,0.6548997868160297,0.05429752211398307
CYP2A6,250,526,40.44758605957031,0.010105678,1.5801890140543493,0.057031793452781004,0.6548997868160297,59,0,5,0.0011960534713634,13626,59,0.000524598523043,1.0934088250521175e-16,0.0,0.0,0.0,0.0295308195054531,1.0934088250521175e-16,1.0934088250521175e-16,Background,1.5801890140543493,0.057031793452781004,0.6548997868160297,0.057031793452781004
NUDT16,540,208,40.997901916503906,0.009371843,1.5721102054764544,0.05796249755082189,0.6548997868160297,60,0,1,0.0011273297855931,16028,60,0.0,0.0,-1.5962882491956062e-16,0.0,0.0,0.009371830150485,0.0,0.0,Background,1.5721102054764544,0.05796249755082189,0.6548997868160297,0.05796249755082189
OR14A2,144,325,41.951908111572266,0.013414521,1.5627418084681675,0.05905666817476116,0.6548997868160297,61,0,2,0.0012759945384861,7951,61,0.0,0.0150839947164058,-8.298078043529451e-17,0.0,0.0,0.0038205385208129,0.0,0.0,Background,1.5627418084681675,0.05905666817476116,0.6548997868160297,0.05905666817476116
DEPDC4,111,494,41.50355529785156,0.016189655,1.5539328319551773,0.06010021961614372,0.6548997868160297,62,0,2,0.0012778455849155,7839,62,0.003213515272364,0.0,-7.27102809567095e-17,0.0,0.0,0.0420926436781883,0.0,0.0,Background,1.5539328319551773,0.06010021961614372,0.6548997868160297,0.06010021961614372
FBXW12,359,491,41.69719696044922,0.009550445,1.5409660594208647,0.06166252332730139,0.6548997868160297,63,0,4,0.0016471569173309,362,63,0.001510411966592,0.0,0.0040502808988094,0.0,0.0,0.0074107940308749,0.0060616992413997,0.0,Background,1.5409660594208647,0.06166252332730139,0.6548997868160297,0.06166252332730139
SIGLEC14,150,452,35.867645263671875,0.012849658,1.5395522253606488,0.06183476920076599,0.6548997868160297,64,0,1,0.0011351367149716,15857,64,-0.003361344570294,0.0,-8.476704718960072e-17,0.0,0.0,0.0200043264776468,0.0,0.0,Background,1.5395522253606488,0.06183476920076599,0.6548997868160297,0.06183476920076599
TMPRSS15,114,903,42.26211166381836,0.015697528,1.5312443342842337,0.06285450872575626,0.6548997868160297,65,0,1,0.0011384373493351,15775,65,-0.0173453260213136,0.0,-7.372243238911919e-17,0.0,0.0,0.035796720534563,0.0,0.0,Background,1.5312443342842337,0.06285450872575626,0.6548997868160297,0.06285450872575626
OR1E2,166,324,41.50628280639648,0.011672506,1.5063746446664636,0.06598551293577365,0.6548997868160297,66,0,4,0.0012969359393719,6846,66,0.0048260991461575,0.0,-8.902430757439474e-17,1.3369310181587934e-05,1.3361743185669184e-05,0.0422490239143371,0.0,0.0,Background,1.5063746446664636,0.06598551293577365,0.6548997868160297,0.06598551293577365
P2RY13,333,369,42.12720489501953,0.009388825,1.4947702174486859,0.06748721077620516,0.6548997868160297,67,0,2,0.0012756963040334,7969,67,0.0,0.0053137666545808,-1.2586331231514606e-16,0.0,0.0,0.0078730378299951,0.0,0.0,Background,1.4947702174486859,0.06748721077620516,0.6548997868160297,0.06748721077620516
