gene,taxa_count,codon_length,max_lrt,psi_score,z_score,p_value,fdr_q,rank_track_b,is_golden_hypercube,num_pos_clades,delta_harm,rank_harmonic,composite_rank,delta_clade_1,delta_clade_2,delta_clade_3,delta_clade_4,delta_clade_5,tier,z_track_b,p_track_b,q_track_b,p_combined
UCN3,696,173,36.99129486083984,0.13113701,5.61818885436956,9.648475736787658e-09,0.00016325220946644716,1,1,5,0.005975967,56,1,0.0003342798,0.020027101,0.056575496,0.15419017,0.062104248,Tier 0: Core Bottleneck Transducer,5.61818885436956,9.648475736787658e-09,0.00016325220946644716,9.648475736787658e-09
MCTS1,681,181,41.29717254638672,0.111845545,4.608377751272506,2.0291143357979887e-06,0.012585108527449394,2,0,4,0.0019769855,7235,2,0.00091684284,-0.00062960666,0.10950415,0.14029402,8.791685e-06,Tier 1: Primary Regulatory Effector,4.608377751272506,2.0291143357979887e-06,0.012585108527449394,2.0291143357979887e-06
GCA,709,237,41.24143981933594,0.11081859,4.5885757137279635,2.2314022211789707e-06,0.012585108527449394,3,0,4,0.0021162822,5551,3,0.00040706003,0.0005809646,-0.0007058061,0.17579225,0.07172346,Tier 1: Primary Regulatory Effector,4.5885757137279635,2.2314022211789707e-06,0.012585108527449394,2.2314022211789707e-06
MGST3,713,167,41.9821891784668,0.10886591,4.492032961528858,3.5273250785781434e-06,0.014920585082385546,4,0,4,0.003073424,827,4,0.0006986946,0.06702006,0.06978703,0.106131785,-0.00020604022,Tier 1: Primary Regulatory Effector,4.492032961528858,3.5273250785781434e-06,0.014920585082385546,3.5273250785781434e-06
FAM193A,557,1610,41.699180603027344,0.10815053,4.266800909765902,9.914798578807986e-06,0.033477284964330535,5,1,5,0.041374836,1,5,0.022647975,0.043299623,0.034723908,0.06747194,0.07368849,Tier 1: Primary Regulatory Effector,4.266800909765902,9.914798578807986e-06,0.033477284964330535,9.914798578807986e-06
ACSF3,647,615,41.40189743041992,0.10509011,4.226430504859468,1.1871377646925723e-05,0.033477284964330535,6,1,5,0.005465806,68,6,0.013777315,0.0173582,0.087099195,0.11645988,0.0002940446,Tier 1: Primary Regulatory Effector,4.226430504859468,1.1871377646925723e-05,0.033477284964330535,1.1871377646925723e-05
AJUBA,696,557,41.74704360961914,0.10326839,4.185385534805801,1.4234124984090792e-05,0.034405913532973745,7,0,4,0.004375258,239,7,0.009808261,0.05633755,-9.211246e-05,0.039098457,0.12576298,Tier 1: Primary Regulatory Effector,4.185385534805801,1.4234124984090792e-05,0.034405913532973745,1.4234124984090792e-05
MIP,713,270,41.47299575805664,0.09876584,3.9690400898099947,3.608137081089682e-05,0.06922959263546705,8,0,4,0.0035251917,554,8,0.0016807881,0.044980697,0.069998585,0.10420843,-2.1358952e-05,Tier 2: Physiological Homeostasis Modifier,3.9690400898099947,3.608137081089682e-05,0.06922959263546705,3.608137081089682e-05
EFCAB10,691,84,41.622825622558594,0.09905435,3.9641805318635903,3.682425140184417e-05,0.06922959263546705,9,1,5,0.0046302807,131,9,0.0011531572,0.121425346,0.0562693,0.04187911,0.0007653404,Tier 2: Physiological Homeostasis Modifier,3.9641805318635903,3.682425140184417e-05,0.06922959263546705,3.682425140184417e-05
C20orf96,680,461,40.08589553833008,0.098009594,3.900722033092938,4.795310996872584e-05,0.08018191027521461,10,0,4,0.0027131392,1327,10,0.0002623587,0.033638544,0.10682204,0.07854295,-0.00010980107,Tier 2: Physiological Homeostasis Modifier,3.900722033092938,4.795310996872584e-05,0.08018191027521461,4.795310996872584e-05
CDH24,702,851,39.08634567260742,0.097110406,3.873952339339571,5.3542181980882996e-05,0.08018191027521461,11,0,4,0.004334281,263,11,0.011349595,0.020359628,-0.00021715555,0.053702183,0.13195124,Tier 2: Physiological Homeostasis Modifier,3.873952339339571,5.3542181980882996e-05,0.08018191027521461,5.3542181980882996e-05
GID8,715,229,29.06157684326172,0.09628898,3.842439412916278,6.090874553364493e-05,0.08018191027521461,12,0,3,0.0024225523,2483,12,-0.00042344164,0.022683207,0.073157735,0.12050099,-0.0006098375,Tier 2: Physiological Homeostasis Modifier,3.842439412916278,6.090874553364493e-05,0.08018191027521461,6.090874553364493e-05
FNDC9,719,236,41.7243537902832,0.09617172,3.8396477282547274,6.160548661807269e-05,0.08018191027521461,13,0,4,0.00207435,5887,13,0.00027866627,0.024966404,0.0007106359,0.18984489,-0.00075411424,Tier 2: Physiological Homeostasis Modifier,3.8396477282547274,6.160548661807269e-05,0.08018191027521461,6.160548661807269e-05
POLR2E,698,252,25.547622680664062,0.09591069,3.8087796483911314,6.982717056855615e-05,0.08129372317670987,14,0,4,0.004388047,226,14,0.009706463,0.09353944,0.05935702,0.051876627,-1.6711652e-05,Tier 2: Physiological Homeostasis Modifier,3.8087796483911314,6.982717056855615e-05,0.08129372317670987,6.982717056855615e-05
SAP30L,697,189,35.591102600097656,0.09577488,3.800957875391556,7.206890352545201e-05,0.08129372317670987,15,1,5,0.0019008118,8628,15,0.0005834147,0.057296153,8.597504e-06,0.15625459,1.6342849e-05,Tier 2: Physiological Homeostasis Modifier,3.800957875391556,7.206890352545201e-05,0.08129372317670987,7.206890352545201e-05
CIART,706,402,42.00039291381836,0.0953144,3.7846454982418383,7.696391677159163e-05,0.08138934198595814,16,0,3,0.0020265628,6457,16,-0.00012797199,0.038650915,0.0012920555,0.17375988,-0.00044542179,Tier 2: Physiological Homeostasis Modifier,3.7846454982418383,7.696391677159163e-05,0.08138934198595814,7.696391677159163e-05
METTL13,687,707,41.4085693359375,0.09514075,3.7600864830123437,8.492731353683409e-05,0.0845276555907784,17,1,5,0.004720253,112,17,0.04050779,0.017968126,0.10765258,0.046562515,5.017221e-05,Tier 2: Physiological Homeostasis Modifier,3.7600864830123437,8.492731353683409e-05,0.0845276555907784,8.492731353683409e-05
GPN3,688,300,41.98736572265625,0.09462639,3.7345628096844847,9.40207793996191e-05,0.08837953263564197,18,1,5,0.0046941126,121,18,0.009361086,0.03577174,9.532273e-05,0.04890044,0.11746244,Tier 2: Physiological Homeostasis Modifier,3.7345628096844847,9.40207793996191e-05,0.08837953263564197,9.40207793996191e-05
